Paragraph,Page number
"Chapter 10
Suffixed subordinate verbs
In this chapter we look at verbs which have a low tone prefix and one of
five suffixes: kä, 1ε, re, fia, and djó.
These verbs are contained in subordinate clauses which can be
complement to a verb, or a modifier of a noun (ie. relative clause) or a
modifier of a missing noun (ie. headless relative). In this chapter we focus
on the internal structure of the clauses: the kinds of subject and object
they have. In chapter 16 we consider the roles played by these clauses as
arguments and modifiers.
In the glosses we use square brackets to mark the boundaries of the
subordinate clauses; this is an aid to the reader. In a few cases we are in
doubt about the placement of a boundary and in these cases we have not
indicated boundaries in the glosses. We gloss all suffixes as -SB. We
gloss the prefix as N-.
10.1. The morphology of the suffixed verb
10.1.1.","[205, 206, 207]"
"""TÍSPEC FOC'It is to work that I am going... '
'(I am saying that) I am going to work... 'The structure of LOW-?! focusWhat is the LOW tone in this structure? There are several other types of
low tone which might be the same as this.
(a)It might be the low tone determiner, which makes a noun phrase
specific; in this case it perhaps makes the preceding clause
specific (in some sense). We think this is the best analysis.
(b) It might be the same low tone as is attached as a suffix to the
focused verb (and is possibly seen also in ni).
(c) It might be the low tone prefix seen on nonpast (and subordinate
suffixed) verbs, presumably attaching as a prefix in this case to ?1
which would thus be in some sense verb-like.
Or it might be a different morpheme from any of these. In glossing the
examples we have assumed that it is (a) the specific determiner.",[591]
"298Modification of the noun (including possession)In other cases, the interpretation suggests that the noun is really the head
of the phrase with nâ as the determiner.
(29)ma
ISndreόρίaad^únâgbùkûrùsee
Opi POSS spear
AFR before NEG(P)
Ί haven't seen the one which is Opi's spear before.'","[313, 314]"
"ηsit-(FOC)de means either 'fall' in which case it has standard tense behaviour or
'lie' in which case its past form can be interpreted as a present ongoing
state.
(46)gàlamòpen
(a)*
(b)*
(c)5-devùru3-fall
down
Ά pen lay down.'
Ά pen is lying down.'
Ά pen fell down.'",[160]
"ÄFFIt also functions as a bare phrase on its own in which case it is a
quantifier meaning 'some' or 'others'.
(191)ziε-νυdí?araother (3)-VE-go(PL) here AFF
'Others have certainly come here.'",[370]
"Evidence for the analysis in this sectionIn this section we have claimed that the nonverbal predicate always has a
pronominal subject. If the pronominal subject is third person, it is nonovert, and either a noun phrase is adjoined to it (in which case the
adjoined phrase takes on the role of subject), or no noun phrase is
adjoined (in which case the null pronominal is interpreted as expletive).
We now briefly review some evidence for this approach.
1. This approach offers a uniform account of arguments: now all
arguments are always pronominale, overt or null, whether subject of verb,
object of verb, or subject of nonverbal predicate.
2. We know that the full noun phrase at the beginning of a nonverbal
clause can be separated from the predicate by 1ε or ile \ When the noun
phrase is third person, the structure is as follows:
adjoined subject + ( 7 ) 1ε + non-overt pronominal subject + predicate
When the noun phrase is first or second person, the structure is as
follows:
adjoined subject + lie"" + overt pronominal subject + predicate
The fact that the pronominal must be repeated after lié suggests that this
is an obligatory position for a pronominal. Where it is apparently omitted,
as in the third person case, we might sugggest that there is still a
pronominal there, but that it is non-overt.",[252]
"Arguments: subject and objectIn this grammar we propose that all predicators, whether verbal or
nonverbal, have a pronominal subject and can in addition have what we
call an 'adjoined subject', which is optional and which we assume is
adjoined to the left of the pronominal 'true' subject, rather than being a
fundamental structural part of the sentence.
(10)opf
Opiko3SUBJECTADJOINED SUBJECTmûN-go
INFLECTED VERB'Opi is going.'
The adjoined subject can itself be a pronoun, in which case the sequence
of adjoined pronoun and true subject pronominal can merge into what we
call a 'long pronoun'.
A definite subject can be marked as plural by adding ki "" which
follows the subject and precedes the inflected verb (11), but follows the
uninflected verb (12).
(11)kakleßißärá3
PL
fish
N-eat AFF
'They will eat fish.'
(12)ki
ma
m
ofú
dì
m
3-write PL l s
BEN message this FOC
'They are the ones who wrote for me this letter.'o-siSome types of noun phrase cannot be directly inserted into all
argument positions. The noun phrases in question are definite and
specific; they are names, or noun phrases ending in the low tone16An overview of Ma'dideterminer which codes definiteness and specificity. These phrases must
be pre-adjoined to a pronominal, which in the default case is the
pronominal ni, when they are in object position or subject of a nonverbal
predicate. They can also be pre-adjoined to the plural pronominal pi
(meaning 'X and associates') or the focus/predication pronominal ?i.
The object can be left-dislocated to before the subject, leaving a clitic
copy behind when the verb is inflected.
(13)b^gólìapikó-dzè-asàbunìπsìclothes
DEF Opi 3-(N)-wash-OBJ soap
DEF
SR
'The clothes in question, Opi is washing them with the soap in
question.'","[31, 32]"
"The subject as the patient of a transitive predicateA transitive verb characteristically assigns its subject the thematic role of
agent and its object the thematic role of patient. It is possible for the
subject instead to be assigned the patient thematic role. The effect is
similar to passive in English, though achieved by different syntactic
means.
5.3.1. Detransitivization (and hence subject interpreted as patient)
All transitive verbs characteristically have objects. If the object is not
realized explicitly as a noun phrase or pronoun, there are two optionsThe subject as the patient of a transitive predicate89depending on the verb. If the verb is uninflected or directive the object can
be covert, while if the transitive verb is inflected the object can only be
realized as ?a and cannot be omitted.
(77)ko-dt-?ara3-N-cook-OBJ AFF
(a) 'It will certainly cook it.' (describing a cooking utensil)
(b) 'She will certainly cook it.'
If a verb which would normally have an object is inflected and ?a is
omitted, this means that the verb is not a transitive verb, which means that
its subject must be interpreted as the patient rather than the agent.
(78)ko-di
3-N-COokra'
AFF'It will certainly get cooked'
(79)ko-di3-N-cook
'It is getting cooked'
If the verb is uninflected, it is in principle ambiguous between a
transitive form with covert object and an intransitive form with no object
and a patient subject, readings (a) and (b) respectively in (80).
(80)5-dirá3-cook
AFF
(a) 'She has certainly cooked it.'
(b) 'It is certainly cooked.'
(81)*5-di3-cook
'It got cooked.' (ungrammatical because the uninflected verb is
not terminated)
Detransitivization is possible for some verbs and not others. Transitive
verbs for which detransitivization is possible include di 'cook' and emi
'boil'. Some verbs appear only in an intransitive form with a patient
subject; these include äka 'melt'. Transitive verbs for which this is not
possible and which therefore always have agent subjects include ρ à 'eat',
mvü 'drink' and djè 'wash'. Causative verbs with the i- prefix cannot be
detransitivized:90(82)VerbsirádìIkóbeerthisfinishra
ÄFF(a)'This beer has certainly finished it.' (odd reading, but the
only one possible)
(b)* 'This beer is certainly finished.'
(83)iradì
oko
ra
beer
this
finish
AFF
(a)* 'This beer has certainly finished it.'
(b) 'This beer is certainly finished.'","[104, 105, 106]"
"38Phonetics3.5.1.2. Contour tones: all arise by sandhi
There may be no underlying (phonemic) contour tones. High-Low tonal
sequences are found in some words.
kpo
sa""'all'
'time, clock, watch' (from arabic); also 'even'However, these may be interpreted not as contour tones but as involving
two syllables rather than one. Evidence for this is that the vowels in these
'contour' cases are always longer.
kpó.ò'all'In some cases, a High-Low sequence on a single lengthened vowel is a
variant of a word with a High Low sequence on two syllables:
(1)tebe—>te'earlier in the day'
(2)banba~'bar' (loanword from English)
(3)ma ?a—»ma'my'
The first two shortened forms occur freely for most speakers in both fast
speech and slow speech; the last only in fast speech.
There are no corresponding examples of Low-High contour sequences
on what appears to be a single syllable, with the possible exception of the
word máátfiká 'a sorghum species'.
In addition to these cases of contours which arise by internal voweldeletion rules there are contours which arise by external vowel-deletion
rules. Thus there are various grammatical morphemes which are realized
by a floating low tone, and these combine with a preceding high tone to
produce an apparent High-Low contour on a single lengthened vowel.
(4)jiimü—»pfmü2S
N-go
'You are going.'
(5)c/joniiqgo—>c£phouse
SPEC PR
where
'Where's the house (we are talking about)?'niiqgo?","[53, 54]"
"CompoundnounsThe only true kind of compound in Ma'di is a compound noun.
Compound nouns are most commonly formed by combining two nouns,
and are most typically interpreted as possessor + possessed.
(9)dsónu
d^oor
+nuhouse
'window'eyed^omlThey are structurally equivalent to noun phrases of the 'possessor ni
possessed' type (13.1.1); thus the compound
'floor' resembles the104Other word classesphrase djo ni ?á 'the inner part of a house'. Compounds are
differentiated from analogous phrases by idiosyncratic meanings, and in
some cases by ATR harmonization (4.1.7).
In some cases, the combination appears to be a noun followed by a
postposition, but the postposition might possibly also be analyzed as a
noun in this case:
(10)mlakò
mi + ako
eye
absence / without
'blindness'Some compounds appear to contain the possessive postposition ?a
(13.1.2) but there are two major differences between compounds with this
word and phrases with this word where the postposition takes as its
preceding complement a possessor. In a phrase the possessor + ?a
combination precedes the possessed thing; in the compound it follows. In
a phrase the possessor must be animate; this restriction does not hold in
the compound.
(11)lukù(fóèji?à
lukùcfó èji
?à
pot
water POSS
'water pot'(12)*èj'i
?à
water POSS6.2.","[119, 120]"
