Paragraph,Page number
"7.3.1 Pronouns & forms of cross-referencing proclitics
The pro-forms for nominals express two grammatical categories: person and
number. The Taba independent pronouns are listed in figure 7.2.
1 sg.yak42sg.au38g.i1pl. Gincl.)
Ipl. (excl.)
2pl.3pl.tit
am
meusiFigure 7.2 Taba independent pronounsThe independent pronouns can be used in virtually any of the syntactic
contexts where full noun phrases can be used, except that pronouns cannot
normally be used to refer to inanimates (but see §7.3.1.1 and §6.5 on reflexives
for some exceptions). Pronouns referring to Undergoer arguments (§4.2) mayoptionally cliticise (§3.2) onto the verbs of which they are arguments.
In many languages, possessive pronouns are used to refer to possessors. This
is not the case in Taba, which, strictly speaking has no possessive pronouns.
Rather, possessor nouns and the nouns referring to whatever they possess are
linked by ligatures which are marked for the number and person of the
possessor noun.5 The possessive ligatures used in the Waikyon dialect are
illustrated in figure 7.3.",[235]
"4.3.1 Adpositions
Adpositions are particles which occur as the heads of adpositional phrases
and are used to mark oblique case roles on non-core noun phrases. Taba is
rather unusual in having both prepositions and a postposition. Thepostposition marks nouns as locative while the prepositions mark a variety of
other roles. Adpositions are discussed in more detail in chapter 13, where
reasons for the existence of both prepositions and a postposition are also
explored.",[149]
"°nit
amammemeu / mmeu’
nidiFigure 7.3 Taba possessive ligaturesThe Actor cross-referencing proclitics used with Actor verbs (see chapter 8)
are listed in figure 7.4.
1 sg.k=Ipl. (incl.)
Ipl. (excl.)28g.m=2pl.
3pl.n=38g.=
a=h=
=Figure 7.4 Taba Actor cross-referencing procliticsThe rules for determining Person and Number categories will be discussed in
§7.3.2 and §7.3.3 respectively.
7.3.1.1 Pronouns and inanimatesAs has just been discussed, the independent pronouns may not generally be
used for inanimate reference. There are two exceptions to this generalisation,
however. Occasionally, ‘higher inanimates’ are accorded more animate-like
status (as in English where things such as cars and ships etc. can be sometimes
ascribed a gender). This is illustrated in in (80).
(80)Ttumo
t=tum-o1pl.incl=follow-APPLi
i3sgte
teNEG _ndara
ndaratoo.much‘We didn't catch it enough’Sentence (80) was a response to the question ‘Why did the Taba Jaya (name of
a boat) stop coming to Makian?’. In this case, the Taba Jaya, a fairly large boat
significant enough to be given a name, is accorded something more like animate6There is some degree of variation in the form of this pronoun. The forms nig and dik are also
encountered occasionally. In the Waikyon dialect, nik is clearly most common, but dik is
quite common amongst speakers of some other dialects. Although there are no differencesbetween any of the forms used in Waikyon to distinguish alienable, inalienable or ediblepossessive classes, such distinctions are found in closely related languages such as Sawai
(Jacqui Whisler, n.d.) and Buli (Maan, 1951), and it may be that some of these formaldistinctions signal such possessive classes in other dialects.
7The forms memeu and mmeu are in free variation.",[236]
"6.5 Reflexive constructions
Taba has an invariant reflexive particle do which occurs as an attribute of the
Actor nominal, and which indicates that the Actor of the verb is coreferential
with an Undergoer (either primary or secondary) of the same verb. It is most
commonly encountered with simple transitive verbs where agent and patient
are coreferential.
(68)I
i
3sgdo
do
REFL‘He hit himself”nwet
n=wet
3sg=hiti
i
3sgDo can also be used with ditransitive verbs, to indicate that the Actor and the
primary Undergoer of the verb (see §6.4) are coreferential.r
it
-190Taba(69)Yak
yak
Isgdo
do
REFLkalcomak
=alcoma-k
Isg=send-APPL‘Tm sending myself a letter.’yak surat
yak surat
1sg_letterThe use of do to indicate that a clause is reflexive is optional. Example (70)
could also be used to refer to the same real world event as (69).
(70)Yakkalcomakyakk=alcoma-kIsgIsg=send-APPLyaksuratyaksuratsgletter‘T’m sending myself a letter.’Although the use of do is strictly optional in all cases of reflexives, it is rather
unusual for reflexive clauses with pronominally marked third person
arguments to occur without do, presumably because there is a greater likelihood
of ambiguity in these cases. Example (71) is, however, grammatical ifdispreferred in practice.
(71)Inweti1n=weti3sg3sg=hit3sg‘He hit himself’In most Taba clauses, anaphorically retrievable arguments can be ellipsed
(see §6.2). In reflexive clauses, however, a pronominal copy of the coreferentialobject must occur. Examples (72) and (73), then, are ungrammatical.
(72)(73)**J
ido
donwet
n=wet3sgREFL3sg=hitYak
yakdo
dokalcomak
k=alcoma-kIsgREFLIsg=send-APPLsurat
suratletterThe rule which requires a pronominal copy of a reflexive object to
occur
applies equally to animate and inanimate objects, thus constituting
an exception
to the general rule that inanimates can never be referred to with
pronouns
(§7.3.3). Examples (74) and (75) illustrate the use of a pronominal
copy of
inanimate reflexive objects. Note that example (75) also shows posses
sorraising (§9.1.3): the subject noun phrase actually refers to a part
of the reflexive
Undergoer.","[209, 210]"
"Taba, like a great many Austronesian languages, has a large number of roots
which do not in themselves belong to any word class, but which, after having
participated in derivational morphological processes gain membership in a
particular word class. The ‘precategorial root’ is discussed in §4.4.
In Taba, syntactic criteria are the most important for defining parts of speech,
and these will be the characteristics most discussed in the rest of this chapter.
Morphological criteria are of only limited use for determining part of speech
membership. Semantic criteria are not used at all to assign individual words to
word classes, but they are used to ascribe an appropriate label to already
defined word classes on the basis of cross-linguistic semantic similarities. (See
Dixon, 1977 and Schachter, 1985 for general discussions on the determination of
parts of speech categories.)114TabaThe same forms may sometimes function on different occasions as differentparts of speech, without any overt morphological marking. In (1) mlongan ‘be
long’ functions as a verb, but in (2) it functions as a noun ‘depth’.
(1)(2)YapyapumWoya
woya
waterni
ni
3sg.POSSnilloyamlonganyapyap um
ni
Ilo
ya
mlongan
ash
house
3sg.POSS inside up
belong
‘The ash inside the house was as deep as this.’
mlongan
mlongan
depthtujuh
tujuh
seven‘The water was seven metres deep.’taneta-ne
SIM-PROXmeter
meter
metresSometimes, the meanings of etymologically related nouns and verbs having
the same form cannot be predicted from each other. For example, the verb poas
‘to row’ is related to the noun poas ‘oar’.
In a few cases the form of a word can be used to incontrovertibly define its
word class, but this is rare. For example taktek ‘scoop (n.)’ is derived from the
verb tek ‘to scoop’. The instrumental reduplicative prefix tak- (see §7.1.2.1)
marks taktek as a noun.","[133, 134]"
"5.3Nominal clausesNominal clauses take a diverse range of forms. Depending on the nominal
subcategories to which both arguments and predicates belong, a number of
different semantic functions can be discerned for nominal clauses. In §5.3.1 we
discuss some of the formal characteristics of nominal clauses and in §5.3.2 aclassification of nominal clauses according to the kinds of meanings they
express is provided.
5.3.1 Formal characteristicsNominal clauses consist of just a noun phrase in the case of existence clauses
(see §5.3.2.6), but more commonly (in all other kinds of nominal clauses) of bothan argument noun phrase (which may nevertheless be ellipsed) and a noun
phrase acting as predicator. Given that both the argument and the predicator in
these nominal clauses are noun phrases, the first problem which needs to beaddressed in this discussion is how we can determine which noun phrase bears
which function.
A number of pragmatic properties of arguments as they are used in discourse
can be used to identify the arguments in nominal clauses. These all have to do
with the fact that arguments are trackable in discourse. Trackable elements in
discourse often tend to be given information (once they have been introduced
into a discourse), and they are referential. This cluster of pragmatic properties
typically associated with arguments often has grammatical consequences:
arguments are often definite (e.g. they are proper nouns, or they are qualified
by demonstrative particles, etc.) while predicator noun phrases are hardly everTaba146definite.","[165, 166]"
"Another problem with the traditional approach to grammar writingis that languages often include minor form-classes which can have a role to play
at different structural levels within a language. This is the case, for example,20Tabawith the class of ‘directionals’ which have been identified in Taba. Some of the
forms which have been derived from directional roots are formally classified as
nouns while others can function as verbs or as adverbials of various kinds.
Should they all be treated separately, in order to satisfy the constraints of the
structural divisions of the grammar, or should they be treated together, in order
to show both their formal and functional commonalities?
Inevitably, the answers to such questions as those posed above will involve
compromises on the part of the linguist who is writing a grammar. This
grammar, like any other can be viewed as the end product of a large number of
such compromises. While the basic outline of this grammar follows the
progression of the ‘standard grammar’ from small units of analysis such as thephoneme through larger units of analysis such as the clause and multi-clausal
constructions, a few departures from this ‘standard’ framework have beenmade where it was felt that such departures contribute to a better
understanding of the Taba language in some way.
The first departure from this standard framework lies in the provision of
some chapters where we ‘zoom out’ to take in a wider view of the language’s
structures before zooming back in on smaller structural units. This occurs, forexample, with chapters 5 and 6 which provide an overview of simple clauses
before any examination of either the noun phrase (chapter 7) or the verb phrase
(chapter 8).","[39, 40]"
"These have arisen from roots to which the stative deriving prefix *ma- was once
attached and to which post-nasal syncope has subsequently applied. In modern
Taba, although the sequence ma- or m- commonly occurs at the beginning ofUndergoer intransitives, the prefix is no longer truely productive (but see
§8.5.2). A few examples of such forms are given in (39).
(42)mbtiluk‘berotten’<*ma-+PAN*buRukmit‘be soft’<*ma-+PEMP*lutmunihis‘be thin’< *ma-+PAN*nipisSuch morphological and phonological processes explain the vast majority of
initial consonant clusters, but do not yet provide an account for the origins of
initial geminates. Although the specific processes which have applied in each
and every case for the emergence of initial geminates are not clear, there is one
process which may have played a prominent role.
In instrumental reduplication (§2.7.6.2 & §7.1.2.1), a copy of the initial CVCsequence of a verb root is made, the vowel is changed to /a/ and the resulting
affix is prefixed to the root to derive a noun referring to an instrument. A
similar process has been reported in a number of languages from Maluku
including Sawai (R. Whisler, 1992: 26-28), Buli (Maan, 1951: 25-26) and West62TabaTarangan (Nivens 1993). It appears that the process is of some antiquity (see
Blust, forthcoming).
In many instances of instrumental reduplication in Taba, the final consonantof the reduplicative prefix assimilates to the initial consonant of the root (see
§2.7.6.2 for more details). In one certain case, the assimilated form has beenfurther weakened in some speakers’ idiolects so that the prefix has been
reduced right down to a copy of the first consonant:
(43)doéba ‘garden’with reduplicative prefix:dabdéba‘earth’with assimilation:daddéba‘earth’some speakers:ddéba‘earth’The vast majority of contemporary roots with initial geminates are nouns, so
it may well be that other initial geminates have also derived from reduced
reduplicative prefixes. However, the evidence is limited at this stage andfurther historical research needs to be done to properly understand the origins
of initial geminates.","[81, 82]"
"Verb — ObjectVerb — ObjectYesAdposition — Noun
Noun — Relative ClauseBoth
Noun — Relative ClauseNo
YesGenitive — NounNoVerb — Manner AdverbVerb — Manner AdverbYesBothNoAdverbial Subordinator —Adverbial Subordinator —YesClauseClauseNoun — GenitiveVetb — Adpositional Phrase
Content Verb -Tense/Aspect
VerbVerb - Adpoitional PhraseYesFigure 6.3 Taba word order and expected VO language word-order comparedThe table above shows that Taba fails to meet typological expectations in a
number of respects. While genitive - noun order is the only pattern for which
Taba consistently fails to meet expectations (and according to Dryer, genitive -noun order is relatively weakly correlated with Verb - Object order, particularly
in SVO languages), Taba has variable ordering in two more cases. TheseOverview of clausal syntax167concern the order of adpositions and nouns, as well as the order of contentverbs and tense / aspect verbs.
As far as genitive - noun order and adposition - noun order are concerned,
Taba probably exhibits the patterns as a result of extensive contact with
typically AOV non-Austronesian languages also found in North Maluku.","[186, 187]"
"The heads of noun phrases are always nouns. They may be qualified in a
variety of ways. These include postposed demonstrative particles, measureParts of speech115phrases or relative clauses as well as attributive nouns. Number is usually only
marked on nouns having human referents (chapter 7). Four minor
subcategories of nouns are distinguished: pronouns (§4.1.1), locatives (§4.1.2),
quantifiers (§4.1.3) and interrogatives (§4.1.4). Most nouns, however, belong tonone of these subcategories.
Nouns are shown occurring in a variety of syntactic roles in (3) through (7).","[134, 135]"
