Paragraph,Page number
"Tsim-shian is very unlike English
in that Tsimshian does not have
subjects
and objects.
The subjects of intransitive
sentences
and the direct objects of transitive
sentences
are in Tsimshian
consideredtobethesamekindofnounphrase,i.e.,theyareconsidered
to have the same grammatical
function;
they are both
called absolutives.
Subjects of transitive
sentences
in Tsimshian are called ergatives.
Subjects
of intransitive
sentences
are not considered
to be like subjects of transitive
sentences,
as is the case in English.
English:
Tsimshian:SUBJTEMPVBnOBJTEMPVBERGSUBJ
ABS59TEMPVBLTEMPVBLABS60Tsimshian2.","[75, 76]"
"Notice that
(b)
The
(a) variant
language;
it is
Simplifications
casual.and
(c) are progressive
simplificiations
of
(a).
of this sentence represents
an older form of the
also considered more formal and elegant.
The
are newer forms and are considered
informal
and2. The demonstrative
pronoun
is ni'ni.
The
pattern
for a topical ergative expressed as
pronoun is:
TEMP3.",[84]
"E.généralTaylor, Jr.
Directeur
Musée nationalde1'HommeClark
Chef
Servicecanadiend'EthnologieZimmerly
Editeur
Servicegénéral
canadiend'EthnologieDroitsréservésaunomdelaCouronneNATIONAL MUSEUM
OF MAN
MERCURY SERIESMUSEE NATIONAL
DE LHOMME
COLLECTION MERCURE
ISSNCANADIAN
PAPERETHNOLOGY0316-1854SERVICELENo. 55DOSSIER
ISSNASHERNATIONALCANADIENNo.550316-1862A REFERENCE
GRAMMAR
FOR
COAST
TSIMSHIAN
LANGUAGE
JOHNSERVICETHEDUNNMUSEUMSOFCANADAMUSEES
OTTAWA1979NATIONAUXDUCANADAD’ETHNOLOGIEOBJECTThe
MuseumMercuryofMan,SeriesNationalOFTHEMERCURYSERIESisapublicationofMuseumsofCanada,theNationaldesignedtopermitthe rapid dissemination of information pertaining to those
disciplines
for which the National Museum of Man is responsible.
In the interests of making information available quickly,
normal production procedures
have been abbreviated.
Asa
result,
editorial errors may occur.
Should that be the case,
your indulgence
is requested,
bearing in mind the object of
the Series.
The opinions
expressed
by the authors do not necessarily reflect those of the National Museum of Man or the
Federal Government
of Canada.","[2, 3, 4]"
"ForspecialemphasisanOFTHEergativeERGATIVEmaybebroughttothebegin-ning of the sentence:
this is called topicalization.
Topicalized ergatives must be expressed by pronouns,
never by nouns.
Topical ergatives
are either independent pronouns,
demonstrativepronouns,interrogativebasicsentencetiveis:pronouns,patternforanTEMP+t
t+ergINDPRO
Someexampleorrelativeindependent
VB,tditTEMP+tpronouns.pronoun
ERG+aABSaABSin+VB,,+Thetopicalerga-sentences:a)T'ntitlyudmtb)'Nitlyudmtc)'Nutiyudminbaa'n
inbaa'ninbaa'nboot.
boot.boot.",[84]
"The purpose of this work is to present a phonemically accurate,
practical spelling system of Kwakw'ala, the language of the
Kwagulh (Kwakiutl) people.
The first section deals with the
use of the practical orthography while the second section is
a two-way, cross-indexed dictionary:
English - Kwakw'ala.
No.",[103]
"That's the house I built.
These are the main foods I
just talked about.topical absolutive
pronoun:beabsINDPROa)'niida3. A
tivetopical
pronounnahmayalsoexpressedTEMP+t
+VB,+daERGt+aTEMPVB,taERG'niidzaol.absolutive may
ni'ni or 'nii:
TEMP+tHe'salsobeERG+aVB,.taERGanthebearwiththeindepen-ABStheoneexpressedVB,,tdawithhavesaw.demonstra-ABSY
(ni)a)
b)
4.
gu'ni'Nii silayawxgu
ta
twelve-o-clock.
Ni'ni gtthldm.",[85]
"POSSESSIVES
1. Possession
is shown by placing the possessor noun after the
noun that is owned.
The two nouns
(or noun phrases)
are connected by the -a/null enclitic
if the possessor
is a common noun and
by the -as/-s enclitic
if the owner is a proper noun.
Unless
itissomethingthatisconsideredtobeapartoftheowner,thepossessed noun has a na- prefix.
This prefix comes before the
plural prefix.
Some kinship terms do not have the na- prefix
when they are possessed.
This fact implies
that some kinsmen areconsidered,insomeway,gyigyeda huwaap
nahoon
‘yuuta
nata'ta tiktguigm
yik'yuuta gwa'a
nahuwaaba am'aamn
hanaa'naga gwa'apartofoneanother.the colour of the houses
the man's
fish
these little boys'
ball
thesegoodwomen'shouses58
k'wili
'wileeksm nahuwaaba
gatgyetgm yik'yuuta
nana'as Meli
nawaabastheDzonts'e'ls Paul
noos Sala gwa'a
Note:
gwa'a determines
nagwadas Utinalnoos,notstrong men's three
houses
Mary's dress
John's house
Paul's
face
Sarah's mother here by
Sala.
Arnold'sPOSSESSIVEbigmefatherPRONOMINALS1. Possessive pronouns
are expressed as enclitics or suffixes
attaching to the words they possess.
The na- prefix is used with
pronominals
in the same manner as with genitive nouns.
The
possessive pronominals
are:
Singular
lst
2nd
3rd
Exampleperson
person
personnoun-u
-n
—tplural
-m
-sm
-tphrases:nawaapthishouse,herhouse,theirhouse
noothisnawaabn
nawaabism
nahuwaabism
ts'ta'ln
naga'aadismmother
your house
(singular)
your house
(plural)
your houses
your face
your nets
(plural)nawaabmournoom
ha'tsa'an'onm
‘an'onu
asiiyu
Note:
When -u comes after
between the two vowels.
naboodu
nagaxsooyunagaaydnnap'axsunagwidaadzit
ts'uwaangyidmmother,tmktiints'uwaangyidm tgaawgat
ts'uwaangyidm tmktiit
gwisgwaasgm nagukstttisguanotherhermother,houseour mother
our hands
my hand
my foot
vowel,
a -ymy
myboat
canoesmypantsyourisinsertedherjackethathisjacket,youryoungest
sister
to a boy)
youngest
sisterherhis
myyoungest
blue(speakingsistershirtstherebyawaan
gwingwisgwaasgm
naguk+titsgntheiryourthreeblueshirtsyouTHE
1. The
a verbverb phrase
(TEMP VB).","[73, 74, 75]"
"Glottalizedtionandthensegmentsbecomingoftenk'wili,
gwttlii
gasgoos,
k'ask'oos
k'ask'adzn,
gasgadzn
ts'awes,
dza'westthree
crane,
ants
salalgaldzap,galts'aptown""naaxt,naaxtkiller‘naa,naa4. The glottal
with aitch.
ato,
5.simplifyElllosingtheglottaliza-(general
storknumber)whalebaitstopininitialhato
sometimesbyvoiced.positionsometimescloth
alternatesmanbu'nsk,
manbulask
k'yilaam,
k'yi'namwitherupt
giveen.(ofageyser)alternatesTHEFORMATIONOFTHEPLURAL-REDUPLICATION1. The ordinary way to show the plural number is by reduplication.
Reduplication
is a morphological
device in which part of
a word is copied or repeated.
Verbs agree in number with their
absolutive
(transitive object or intransitive
subject).
Adjectives agree in number with the nouns they modify.
Verbs and
adjectives
show number agreement
in the same way that nouns show
number.
There are several types of reduplication.
2. The most common type of plural reduplication consists of
copying the first consonant of the word and prefixing
it to the
word along with a vowel and a kay
(k).
This type of reduplication is referred to as Class
I, or CVk-,
reduplication.
The
vowel that occurs
in the prefix is determined by the first consonant of the prefix.
3.","[28, 29]"
"J)Bawiltlu'niidzimtk)Bawiltlu'niidzisimta proper
end of theThen John just now sees me.
Then John just now sees you.
And just now my father has
seen him, her,
it.noon.
Meli.",[79]
"42A PRACTICAL DICTIONARY OF THE COAST
LANGUAGE.
John Asher Dunn.
155 p.",[105]
