Paragraph,Page number
"Wari'2982.1.2.2.2. Marking of number in demonstrative pronouns
See 2.1.2.3.3.
2.1.2.2.3. Marking of gender in demonstrative pronouns
See 2.1.2.3.7.
2.1.2.2.4. Marking of case in demonstrative pronouns
There is no case marking in the language.
2.1.2.2.5. Adjectival use of demonstrative pronouns
Demonstrative pronouns cannot be used adjectivally. This is accomplished by the
demonstratives from which demonstrative pronouns are derived—see 1.2.5.2.5.
(573)Quepnain
na-inxirimca'.do3s:rp/p-3nhousethis:n‘He did (made) this house.’2.1.2.3. Demonstrative pronouns used as personal pronouns
2.1.2.3.1. Occurrence of free pronouns
Demonstrative pronouns used as personal pronouns may appear (optionally) in the
subject and object positions of the sentence. However, they do not occur in the indirect
object position.
(574) a.","[310, 311]"
"Mi'neconwompaincajicaxim.caji-0
give2s:1s:rfprep:3smcottonprep:3nstrangeness-3nfoot‘Give me clothes and (with) shoes.’No form of the preposition can be stranded, it cannot be modified, and, since there is no
case marking, it does not govern case.
1.2.5. Noun phrase
1.2.5.1. Operational definition for a noun phrase
The noun phrase is defined as the structural unit that can occur as the subject (241a),
direct object (241a), or indirect object (241b) of the clause, as well as the argument of
any prepositional phrase in the clause (241c).
(241) a.",[158]
"Mi'napari'
na-pari'paincatomi'querectegive3s:rp/p-1pinclprep:3nINFL:nrp/pspeakseefather:1swaca'.infthis:n‘He gives us happiness.’Absence of these three indicators of marking definiteness can be interpreted as
indefiniteness. There is no formal marker to express referential indefiniteness (‘He ate aWari'294(specific) fish’), but nonreferential indefiniteness can be expressed by the verb jimao ‘to
be different’ following the noun like a modifier. We have recorded jimao with only two
nouns, as illustrated in (568).
(568) a.carawajimaoanimalbe:different:s‘something inanimate’
(568) b.wari'jimaopersonbe:different:s‘something animate’2.1.1.11–12. Marking of indefiniteness in noun phrases
Indefiniteness is not overtly marked in noun phrases, although the absence of VICS
and/or demonstrative adjectives can indicate indefiniteness—see 2.1.1.1.1.
2.1.1.13. Marking of genericness in noun phrases
Genericness may be marked in noun phrases by the use of the collective morpheme 'oro,
which precedes the noun. The marking of genericness in noun phrases is optional.
(569) a.'oronarima'collwoman‘women’
(569) b.'orocarawacollanimal‘things’ or ‘everything’2.1.1.14. Distinguishing of more important noun actors from less
important ones
There is no morphosyntactic distinction between more important and less important noun
actors, aside from the semantic-role/agreement hierarchy discussed in 1.2.1.2.3. above.
2.1.2. Pronouns
The only underived pronouns in the language are emphatic pronouns, discussed in the
next subsection. However, demonstrative pronouns may be used as personal pronouns, as
discussed in 2.1.2.2.","[306, 307]"
"Towettaracaramaji-uhu'
be:at:pstill3s:rfafterwardsthings-2p‘Your things will stay behind (afterwards).’1.2.1.3.1.2. Prepositional phrases Prepositional phrases may be used as verbal
modifiers—see examples (184)–(194) in 1.2.1.2.3.1.
1.2.1.3.1.3. Cases of noun phrases There is no case marking in the language.
1.2.1.3.1.4. Verbal modification clauses Verbal modification clauses are described in
1.1.2.4.
1.2.1.3.2. Position of adverbials
See 1.2.1.3.1.1 for the position of verbal modifiers in relation to the verb.
1.2.2. Nominal modification phrases
Nominal modification phrases do not occur. This notion is expressed by verbal
modifiers—see 1.2.1.3.
1.2.3. Verbal modification phrases
Verbal modification phrases do not occur. This notion is expressed by verbal modifiers—
see 1.2.1.3.
1.2.4. Prepositional phrases
1.2.4.1. Operational definition for the prepositional phrase
The prepositional phrase is defined mainly in terms of its internal composition: the head,
consisting of an inflected form of the single 'ON preposition (see 2.1.5), followed by an
optional nominal element, composed of an NP (238a–c), noun clause (238d), or derived
noun (238e). The first or second person inflection of the preposition appears alone, i.e. noSyntax143nominal element may follow it (238f). The prepositional phrase is further defined by its
syntactic function as an object-like argument to the verb—see 1.2.1.2.3–4.
(238) 'An
a.tiquin'wa'qui'ron
ra-oncoptakerscontinuearrive:scoming:this:way2s:rf-3sm maniocconcojeo'
co-jeo''iri'cwain.prep:3smINFL:m/frp/p-grandfather:1s1pinclthat:m/f:distal‘Bring the manioc regarding our grandfather there.’ (lit. ‘Carry and arrive (to the house))
coming the manioc regarding, or from, our grandfather there.’)
(238) b.","[155, 156]"
"Tu tu tu tu,pararain pararain pararain,childrensound:of:fleeingsound:of:flapping:wingshmmmmmmama'nana.sound:of:goinggo:p3p:rp/p‘They called them (lit. they were called). “Are you bringing fire, boys?” (Sound of fleeing, flapping
of wings, and going) they went.’1.16. OPERATIONAL DEFINITIONS FOR WORD CLASSES
1.16.1. Noun
Nouns may be distinguished by the following morphological criteria: (i) they may bear
possessive suffixes or NICS—see 2.1.1.4.6; and (ii) they may be followed by any one of
the spatial/temporal demonstratives—see 1.2.5.2.5 (note that only two of the
demonstratives, ca' ‘this (neuter) proximate to speaker’ and ma' ‘that proximate to
hearer’, and one of the temporal demonstratives, cara ‘absent’, though without its
accompanying temporal particle, may follow a verb). Besides these morphological
characteristics, the following syntactic criteria apply to nouns: (iii) they may appear alone
as subject or object of the verb, (iv) they may appear as the complement of a form of the
preposition—see 1.2.4; and (v) they may occur in sequence with another noun in a
possessed NP, in which the second element (possessor) can be any noun except a derived
noun, and the first NP is marked by the possessive marking suffixes or NICS referred to
above (functioning semantically as either an actually possessed element or a nominal
modifier—see 1.2.5.2.3).
1.16.2. Pronoun
There are two classes of pronouns: (1) demonstrative and (2) emphatic.
(1) The demonstrative pronoun is a subclass of nouns. It satisfies three of the syntactic
criteria that define the noun: (i) it may appear by itself as the subject or object of the verb;Wari'216(ii) it may appear by itself as the complement of a form of the preposition; and (iii) it may
appear as the second element (possessor) of a possessed NP. It is different from
nonpronominal nouns, however, in that it cannot be suffixed or postposed by an NIC or
possessive marking suffix, nor can it be followed by a demonstrative.
(2) The emphatic pronoun is not a subclass of nouns. It cannot occur by itself as the
subject or object of the verb, nor can it appear as the complement of a form of the
preposition. It is marked by its potential to occur alone (in the case of first and second
person) or in apposition to a noun or demonstrative pronoun (in the case of third person)
in coordinate constructions (see 1.3.3) or to express emphasis (see 1.11.2.1.3).
1.16.3. Verb
The verb is the main predicate constituent of all major sentence types. It is marked by the
following morphological criteria: (i) its potential to be compounded with a verbal
modifier or with another verb; and (ii) that it may be followed by verbal inflectional
clitics. There are two additional subclasses of verbs, which we label verbal modifiers.
These are like main verbs, except they may only occur in compounded verbs (see 1.16.7).
There are usually slight semantic differences in the meanings of verbs when compounded
in nonhead position.
1.16.4. Nominal modifier
Nominal modifiers do not occur as a separate word class. See 1.16.1.
1.16.5. Preposition
The preposition is marked by its function as the head of the prepositional phrase, which
may occur as any nonsubject argument of the verb. It can occur alone (inflected for the
person, number and gender of its object) or with a complement, which may be a simple
noun or derived noun—see 1.2.4.","[228, 229]"
"MonpewetMondayalready:s3s:rfrec:pastslowly:sbe:at:sstill‘actain ta'-inca’tara.travel1s–3nthis:n3s:rf‘After Monday, I’ll stay here.’ (lit. ‘When it is Monday. Then I’ll stay here.’)Wari'282Point in period-past
(544)Doispinnapanawo'caxainho'xaintwocompletely3s:rp/pmoonINFL:nrp/photnowhotho'capa'
ca-pa'cawijicwa'.now3sm–1sson:1sthis:m/f‘It is two months that my son repeatedly has fever.’ (lit. ‘…has fever to me.’)Point in period-future
(545)'Inqui'ho'ta'ta.returncoming:this:waynow1s:rfemph‘I will return soon.’2.1.1.7. Double case marking
There is no double case marking in the language.
2.1.1.8. Number marking system
There is no distinction between singular and plural marking on nouns.
2.1.1.8.1. Number marking systems in nouns
See 2.1.1.8.3.
2.1.1.8.2. Optionality of number marking systems in nouns
See 2.1.1.8.3.
2.1.1.8.3. Other means of indicating number
Although there are no obligatory number distinctions on nouns, there are four ways
(optionally) to mark number on them.
(1) There is a set of collective markers or particles that can precede nouns to express
the general notion of plurality. 'Oro is the most common. It can appear optionally with all
common nouns, even on collective nouns (546d).
(546) a.'oropanacolltree‘trees’
(546) b.'orowari'collpersonMorphology283‘people’
(546) c.'oroxirixi'
xiri-xi'collhouse-1pincl‘our (incl) house’
(546) d.'orohwijima'collchildren‘all the children’There are four other collective particles that have a limited, complementary distribution.
They indicate a specific group. Waram can occur with the first person singular inflection
of kinship terms, as in waram te ‘my fathers’; mon occurs with the word tarama’ ‘man’;
oromon occurs with the words xojam' ‘young girl’ and horon ‘old person’; and mana can
occur with the second and third person singular and plural inflections of co-kinship terms,
as well as some common nouns. See (547) below, where the use of mana with common
nouns illustrates the difference between 'oro as a general plural marker and the other
collective particles as specific group markers. Although 'oro and mana may appear with
the same noun, 'oro does not appear together with waram, mon, or 'oromon with the same
nouns—see 1.2.5.2.6.
(547) a.'orotocwecollBrazil:nut‘Brazil nut trees’
(547) b.manatocwetryBrazil:nut‘grove of Brazil nut trees’(2) Although the number of nouns referring to humans is also marked in the verbal
inflectional clitics (548a), possessive morphemes (548b) or on an inflected preposition
(548c), this device is very restricted, because only human nouns can be marked this way
(compare (548d) and (548e)), and they are also normally marked by other means—see
2.1.1.8.3(1, 3–5). See 2.1.1.8.3(4) on how to mark the number of nonhuman nouns.
(548) a.","[294, 295, 296]"
"Querecte'inem
'ina-empaincahwetmapa'
ma-pa'seefather:1s1s:rp/p-2sprep:3nINFLappears2s–1sMorphology289ca'.
this:n
‘I am happy that you came to me.’Nouns are also divided into classes by the feature of possession. All body parts and
kinship terms, as well as some useful objects when expressed as a -xi' noun, have
inalienable possession.
(558) a.winaxi'
wina-xi'
head-1pincl
‘our head’(558) b.coxari'
co-xa'-iri'
INFL-younger:brother:1s–1pincl
‘our younger brother’(558) c.xirixi'
xiri-xi'
house-1pincl
‘our house’(558) d.mapawirixi'
mapawiri-xi'
club-1pincl
‘our club’Nonpossessed forms of useful objects, as well as all other nouns, have alienable
possession. Many body parts also have an unpossessable form. Kinship terms do not have
nonpossessed forms.
Nonpossessed
(559) a.xirim
‘house’(559) b.xowi'
‘rain’(559) c.maho
‘vulture’Unpossessable
(560) a.
(560) b.waji'
‘head/pillow’
*waji'nehead/pillowposs:1s‘my head/pillow’Wari'290Division of nouns into classes by their humanness/nonhumanness is also determined
semantically. See 2.1.1.9.3 for the significance of this class division.
2.1.1.9.3. Marking of noun classes
Gender is not marked on the noun itself, but on the verbal inflectional clitic (561a–c), in
the possessive suffix (562a–c) or nominal inflectional clitic (562d–f), or by the
demonstrative following the noun (563a–c). In the latter case, a distinction is only made
between neuter versus nonneuter, i.e. the masculine and feminine distinction is
neutralized. In these cases, agreement with the gender of the noun is obligatory. Verbal
inflectional clitics are described in 2.1.3.6; genitives in 1.10; and demonstratives in
1.2.5.2.5.
(561) a.","[301, 302, 303]"
"'Antake:s'inonxocoricon'ina-onxocori-con1s:rp/p-3smnewness-3sm‘I got a new dress’.wom.cottonWari'334In all other cases, there is a distinction between predicative and attributive forms of
modification as follows:
(1) In -xi' nouns, the first person singular form functions as the complement to a
copula (predicative), whereas attributive modification is expressed by the third person
inflection.
(645) a.","[346, 347]"
"An overview of 'oro nao' grammar3Thus, Chapacuran is one of the rare language families in the Amazon which manifests
grammatical gender distinctions, the other families being Arawan and Arawakan.
However, contra Greenberg (1987), these families are not related, at least they share no
obvious cognates and the presence of gender is hardly a sufficiently reliable criterion
alone to posit any genetic affiliation (see Everett 1996).
Like many languages with rich agreement, in 'ON nouns usually only appear in
sentences to signal particular discourse functions and in isolated sentences to avoid
ambiguity. Otherwise, it is more common merely to reference participants in a
predication via VICS, NICS, or the inflected preposition wherever possible.
(Nonpronominal) nouns are not themselves marked for case, number, person or
gender. These features are discernible via agreement and certain verbal modificational
forms. There are two broad classes of nouns, -xi' nouns (so-called because their citation
form ends in -xi' 1pincl) and non-xi' nouns. Kinship terms form a third (closed), minor
class. Both -xi' nouns and kinship terms are inalienably possessed. The non-xi' nouns for
the most part all have -xi' forms as well. The non-xi' forms are themselves subdivided
into nonpossessable and possessable nouns. Non-xi' forms which may not be possessed
(although if they have a -xi' form they may be possessed in that form) are body parts,
exclusively. Optionally possessable non-xi' forms can be marked as possessed via NICS.
The distinction between -xi' vs non-xi' nouns is also important for the derivational
morphology since non-xi' nouns when zero-derived to form verbs usually form
attributive, nonactive verbs, whereas verbs zero-derived from -xi' nouns are almost
always active.
Although case is not overtly marked on nouns, the verbal inflectional clitic is sensitive
to the semantic role that the noun phrase bears in the clause, rigidly observing the
following hierarchy for object agreement (subject agreement is always obligatory,
regardless of the semantic role of the subject):
(c) GOAL>CIRCUMSTANCE>THEME>BENEFACTIVE>COMITATIVE>
LOCATION>TIMEThat is, if there is a GOAL in the clause, the object portion of the VIC must agree with it
(if there is also a theme, it is usually expressed as the object of the preposition, much as
Relational Grammar’s ‘3→2 Advancement’ would predict); if there is a circumstance
(but no goal) then it will be referenced on the VIC, and so on down the hierarchy, with
remaining roles usually expressed as prepositional objects.
0.2.3. Verbs
The class of verbs is the most productive word class in the language. Most adjectival
notions, as well as traditionally verbal meanings, are expressed as verbs. The majority of
loan words, regardless of the word class in the source language, enter Wari' as verbs.
Verbs may be either transitive, intransitive or ambitransitive, although the last class is
quite small. The last class, as one might expect, subdivides those where the intransitive
subject corresponds to the transitive object from those where the transitive subject
corresponds to the intransitive subject, with the verb for ‘turn over’ representing the first
class and the verb for ‘break’ the second class (e.g. ‘I turned over the baby’ vs ‘The baby
turned over’; ‘The man broke his arm’ vs ‘The man broke’). Perhaps the most remarkableWari'4fact about verbs in 'ON is the almost complete absence of verbal inflectional processes
alongside a rich set of derivational processes. Nouns, emphatic pronouns and sentences
may all form verbs via zero-derivation. Any verb, whether nonderived or derived
(including ‘desententialized’ verbs, i.e. verbs derived from sentences), may be
compounded to form new verbs or to increase transitivity. Verb compounding never
reduces the transitivity of the verb as a whole, which is set by the leftmost member of the
compound, which we analyse as the head of the compound.
There are two minor classes of verbs which we have labelled preverbal and postverbal
modifiers. These differ from main verbs in two ways, according to our analysis: (i) they
may never occur in the predicate outside of a compound; and (ii) some of the preverbal
modifiers may also modify nouns, in prehead position within the NP. Verbal compounds
are always constructed according to the following template (superscripts indicate number
of times a category can reoccur in a single sequence. No superscript means that there is
no reoccurrence allowed):
(d)preverbal modifier effect2 postverbal modifier2 initial action/cause resultEach effect/result is produced by the action of the verb (in its compound) to its immediate
left, suggesting an iconic principle of compound formation.
Verbs are uninflected by affixation, except for reduplication, which marks aspect.
There are various types of reduplication processes. One interesting aspect of
reduplication is that an inflectional (INFL) morpheme otherwise expected in a particular
clause will sometimes not co-occur with reduplication.
Aside from compounding, zero-derivation and reduplication, verb morphology in 'ON
is quite simple. Certainly it is one of the simplest morphological systems in Lowland
Amazonia. Nevertheless, this simplicity is deceptive since this language provides perhaps
the strongest evidence yet documented on the ability of the syntax to feed wordformation, in violation of certain theoretical proposals and frameworks, such as Lexical
Phonology.
Valency-reducing morphology is represented on the VIC, with special forms for
active, passive, and reflexive. But since VICS are not part of the verb word, these
inflectional processes are actually independent of the verb per se.
0.2.4. Preposition
'ON has a single preposition, obligatorily inflected for person, number and gender of its
object. It is required for definite NPS not referenced on the VIC, as per the hierarchy
given in (c) above, although it is optional for indefinite NPS, without regard to the
semantic role of the NP, subject only to the condition that it only appear with NPS not
referenced on the VIC.
0.2.5. Emphatic pronouns
There are emphatic pronouns for all grammatical person, number, and gender
combinations. These can only be used as zero-derived verbs, in left-dislocation position,
and as arguments of the verb, in which case they must be followed immediately by an
appositional noun further specifying their referent (usually a proper noun). First andAn overview of 'oro nao' grammar5second person emphatic pronouns may only be used as replies to questions or as
exclamations, in left-dislocated position, and in certain kinds of list structures. The first
person plural inclusive emphatic pronoun is wari', the autodenomination of the people.
Interestingly, there are no simple personal pronouns in the language. Personal pronoun
functions are expressed via demonstratives.
0.2.6. Demonstratives and personal pronouns
First and second persons can only be expressed on VICS, NICS and emphatic pronouns.
There are no simple or derived pronominal forms for first or second person. Personal
pronouns for third person are derived from demonstratives. The semantic categories
encoded in demonstratives are proximity to speaker vs proximity to hearer vs distal,
singular+gender, and plural (in which no gender is expressed), as well as a small range of
temporal categories as well. These may occur as arguments in NP positions within the
clause and they may be used for noncontrastive emphasis or even in apposition to
emphatic pronouns.
0.2.7. Verbal and nominal inflectional clitics
0.2.7.1. Nominal inflectional clitics (NICS)
NICS follow possessed non-xi' nouns to indicate person, number and (third person)
gender of the possessor, and they may replace VICS in some types of nominalized
clauses. We have analysed them as clitics, rather than suffixes, primarily on phonological
grounds: (i) they never bear primary stress (which otherwise goes on the last syllable of
the noun preceding them); and (ii) they fail to undergo vowel harmony (or trigger it) with
the noun to which they attach.
0.2.7.2. Verbal inflectional clitics (VICS)
VICS always express person, number and gender (for third person) of the subject and
‘primary’ object (according to the semantic role hierarchy in (c) above). They also
express tense when the verb is clause-initial, except when tense is prohibited by a
particular postverbal modifier. The VIC is a (simple) clitic. As with NICS, VICS fail to
undergo vowel harmony with the word immediately preceding them, in this case the verb,
and they never bear primary stress. Unlike NICS, however, they can appear alone in
certain types of question responses and discourse circumstances (which certainly argues
against affixal status for them). We analyse each of the two parts of the VIC (subject and
object agreements) as affixes, at least prosodically:
(e)[VIC subject agreement-object agreement]The two parts of the VIC are stressed as a single word (stress on the last syllable) and
vowel harmony may take the entire VIC in its scope, but is otherwise allowed only within
words, VICS almost always form a single pause or breath group with the verb. By
labelling the VIC as a simple clitic (as per Zwicky 1977; see also Everett 1996), we claimWari'6that the VIC is in fact a grammatical word, but phonologically dependent, in this case
part of the preceding pause or breath group. Although rhythmically it seems to be part of
the preceding verb, intonation always falls sharply immediately before the VIC.
VICS may also manifest tense, but only when the VIC is in second position in its
clause. This is a result of the fact that tense in 'ON must occur in sentence second
position; see below.","[15, 16, 17, 18, 19]"
"Hocmi'nonon(con)hwamna-ocon
cookgive3s-3pmhumaxicam.
humaji-cam(prep:3sm)fishchildren-3sf‘She cooked fish for her children.’1.2.1.2.3. Indirect object and ethical dative
1.2.1.2.3.1. Indirect object When more than one object-like argument occurs in the
sentence, the object referenced in the VIC will be the highest on the hierarchy: indirect
object (goal/circumstance)>direct object (theme/patient)>oblique object (although an
indirect and oblique object rarely occur in the same sentence). We will use the labels
indirect object, direct object and oblique object to refer to grammatical relations borne by
goal, theme/patient and oblique arguments in English (or ‘underlying grammatical
relations’). The object VIC is always required with definite objects, but optional with
indefinite objects, as discussed in 1.2.5.2.4. Thus a definite indirect object will always be
marked on the VIC. If there is no indirect object, the direct object can be marked on theWari'120VIC. If neither of these two occur, the oblique object may be referenced by the VIC. In
the extremely rare cases where more than one oblique object occurs, we have noticed the
following preference for marking on the VIC: location>time (see 2.1.1.4.3 and 2.1.1.4.4
for a discussion of instrumental and comitative roles; we will simply say here that
instrumental and comitative cannot cooccur). Objects not referenced by the VIC will be
marked by an appropriate form of the preposition (except in the cases discussed in
1.2.5.2.4). All NP arguments are optional when referenced by an agreement morpheme.
Goal takes precedence over theme/patient
(184) a.","[132, 133]"
