Paragraph,Page number
"Morphologica1 investigation is primarily eoneemed wÏJth the systematie fonnal-sernantic correlations which may exist in the lexicon of a
language. It brings to light morphologica1 eategories, i.e. series of
words between which there is semantic and fonnal proportionality.l
Besides these morphologica1 categories proper, cart:egories of another
type may be found, which I sha11 call syntactica1 categories. Instead of
a formal-semantic proportionality, they show a forrnal-synttactic proportionality only: in opposition to other categories of words they share
both a forrna1 feature and a potential for entering into certain syn:tactic
constructions. All these proportionalities are best described in tenns
of a process tenninology.
In the second place, morphological investigation has to answer tbe
question to what extent and in what way the categories are imerrelated,
constituting systems which are generally called parts of speech or
(morphologica1) word classes. In a number of languages these systems
ean be thought of as being largely autonomous, 1mt for the frequently
occurring relations that are dealt with under the headings of 'transposition' or hypostasis. This morphologica1 model may be represented
by the following diagram: 2(1)II12IIIt is certain, however, that in other languages the word classes
show a smaller or larger amount of overlapping, because they mutually
See E. M. Uhlenbeck, The study of word classes in Javanese, Lingua 3 (1953),
vp. 322-354. For the term proportionality see E. M. Uhlenbeck, Verb Structurc
in Javanese, in Por Roman Jakobson, The Hague, 1956, p. 569, and J. Kurylowicz, The inflectional categories of lndo-European p. 37 (1964).
2 An example of such a description is Schultink's study of the Dutch adjectives
(H. Schultink, De morfologische valentie van het ongelede adjectief in modern
N ederlands, Den Haag 1962). F or the terms part of speech and word c1ass
see also A. W. de Groot, Structural linguistics and word classes, Lingua 1
(1948), pp. 427-500, and Uhlenbeck's articles cited in note 1.
1106THE CARIB LANGUAGEshare a part of their categories. In such cases there are at least two
other conceivable mode1s of description. 3 The hierarchic model would
apply in those cases where systems form part of more-embracing supersystems. These super-systems in their turn may, of course, form part
of still larger wholes.
This might he symbolized as follows:
12(2)
3
4There are here, too, four different systems of categories which,
however, partly overlap. A represents categories which are found in
system 1 as well as in system 2, B represents categories which are found
both in system 3 and in system 4, while C represents categories that
occur in all four systems. 4
The chain-model would apply in those cases wh ere some relatively
autonomous system shares same of its categories with certain other
systems, and some of its other categories again with other systems.
What I mean may be illustrated by the following diagram:
12(3)
34
The present descriptive study is not the place to raise the theoretical questiol1
how many different models it might he possible to conceive. The question as
to how far the first model has been developed under the influence of the
traditional theory of word classes also cannot he gone into here.
4 Hockett assumes that as a mIe a hierarchic presentation of the stem classes
described by him is possible. See C. F. Hockett, A course in modern linguistics,
New York 1958, pp. 221-222.","[125, 126]"
"MORPHOLOGY225a little riee (epe:rirï 'rice', roxkoij 'just', a:mu 'some', sena:piri 'I
would eat') ; kuwa:imbo 'littie piece of a gourd', i.e. a small implement
cut from a gourd and used for moulding pots (kuwa:i 'gourd').
We have already come across suffixation with -mbo in the verbs
(3.1.3.2.2.). The process also occurs with the demonstmtives (3.5.2.),
the postpositions (3.3.6.), andthe adjectives 97 (3.4.4.). In all these
classes the mbo-category may he semantically defined by the term
'diserepancy' as it was used above; although not all the differences
found here were also found in classes other than that of the nOWlS.
Only I ('formerly, at one time') and 11 ('resembling, not real') were
found in all four classes; 111 ('bad, wretched, dear') and IV ('little
bit') are only known to me from nominal cases. On the other hand,
however, I do not know of any nominal cases where the 'discrepancy'
is to he taken in the sense of 'spatial distance or removal', as it occurs
in the verbs and d.emonstratives, and occasionally in the postpositions
(3.3.8E.) and the adjectives (3.4.6B.).
3.2.2.3. THE xpa-CATEGORYThe formation of the members of this category takes place by suffixation with one of the altemants:
1) -xpa
2) -'ma
3) -pa4) -main certain cases accompanied by prefixation of i-.
A simple rule determines this prefixation of i-: the prefix invariably
precedes initial C, replaees initial ï or ïi, but is not used if the initial
phoneme is avowel other than ï or ii.
The occurrenee of the suffix-altemants, on the other hand, is only
partly determined by rules. Fully predictable is, in the first place, the
occurrenee of the 3rd or the 4th alternant with nouns ending in a
diphthong. 98
Examples:
ka:rU/Ï 'blackness' , ika:raipa 'not blaek'; i:rui 'older brother', i:ruima
'without elder brother'.
With the postpositions and the adjectives -mbo occurs on!y in combination
with -no, apart from iso!ated instances Iisted in 3.3.8E. and 3.4.6B.
98 The occurrence of specia! alternants without x and y after diphthongs may
be seen as a consequence of a genera! sequentia! ru!e, see 2.1.1.4.1.
97226TUE CARIB LANGUAGEAlso prediatable is the occurrenee of -~ma when the monomorphematic noun ends in 1j or f'3 (which are dropped), and that of -~ma or -ma
when the monomorphematic noun ends in the syllable nï, which also
disappears when suffixation takes place 99. Again, -ma is used here
after a diphthong and -~ma after other vowels.
Examples:
PO:SI~1j 'sweetness', ipo:si~ma 'nat sweet'; e:rlDJ 'watchman', e:ra~ma
'unguarded'; ïxko:nï 'dirt', ixko~ma 'not dirtty'; a::~ 'heat', a:si~ma
'not hot'; exkïini 'smoke', exkiima 'not smoky'.
In all other cases either -xpa or -~ma is found without it being
possible to give a rule.
Examples with -xpa: wo:to 'fish, meat', iwo:toxpa 'without fish, meat';
ixka:rï 'anything living in water', ixka:rixpa 'without living inhabitants';
u:ra 'weeping', uraxpa 'without weeping'.
Examples with -~ma: pe:tï 'thigh', ipe:tï~ma 'without a thigh'; ïiyo
'husband', iyo~ma 'unmarried (woman)' ; are:pa 'cassava', ere:pûma
'without cassava'.
The fact that recent loanwords are suffixed with -xpa might he an
indica.tion that it is the productive altemant: e.g. bu:ku 'book', ibu:kuxpa 'not possessing books'. A further indication is perhaps the fact
that -~ma is not foond with verbs, although othe,rwise they form the
negative category in exactly the same way as nouns. 100
A number of noons loses the final syllable before -xpa and -~ma.
This phenomenon occurs in all cases en ding in nï in my material, and
in some of the cases in ti and ri, again without it being possible to
find a rule for the occurrence or Ilon-occurrence of the reduction.
Ni is lost in amo:ni 'avarice', am()~ma 'not avaricious'; ere~nï 'quickness, nimbleness', erûma 'motionless'; exkïinï 'smoke', exkïima 'not
smoky'; ïxko:ni 'dirt', ixko~ma 'not dirty'.
Ri is lost in me:rï 'drawillg, marking', imexpa 'without marking'
(said of skin of young animal) ; pi~'ri 'shyness', ipï:ixpa 'not shy';
ye:rï 'tooth, sharpness', iyexpa 'toothless, blunt'; ra:rï 'flat surface',
iraxpa 'without a flat surface' ; apo:rï 'arm', apoxpa 'armless'; eka:ri
'message' , ekaxpa 'without a message' ; ekï:ri 'thom' , ekixpa 'without
Not only nï but also the final syllables nu, f'ï, kï and ti are lost before the
suffix in certain cases; see further on in this section.
100 That is, as far as the transitive verbs are concerned. In intransitive verbs
there is yet another difference: initial tv is lost in the verbs, while in the
nouns w is treated as the other consonants, i.e. i- is prefixed before w. See
3.1.3.2.6.
DOMORPHOLOGY227thorns'; epe:rï 'fruit', epexpa 'wÎlthout fruit'; Ono:rï 'raw smeU',
i~noxpa 'without raw smeU'; andïkï:rï 'tail', anáikixpa 'without a tail';yatjsikï:rï 'depth', iyatjsikïxpa 'shaUow'.
Rï remains in a:rï 'foliage', a:rïxpa 'bare, of tree'; ta:rï 'contents',
ita:rïxpa 'without contents'; ïxka:rï 'anything living in the water',
ixka:rixpa 'without living inhabitants'; emïirï 'daugter', emïirïxpa
'without a daughter'.
Ti is lost in epe:tï 'price, payment', epe~ma 'cheap'; i:pofi 'hair (on
the body)', i:poxpa 'hairIess'; tlxse:tï 'hair (on the head)', tlxsexpa
'baId'.
Ti remains in e:tï 'name', etïxpa 'nameIess'; o:fi 'thing', o:tïxpa
'without thing, without substanee' ; pe:tï 'thigh', ipe:FOma 'without a
thigh'; yaxtï 'firewood', iyaxtï~ma 'without firewood'; ïxkaitï 'dysentery', ixkaitïxpa 'not suffering from dysentery'; epi:tï 'medicine',
epi:tï~ma 'without medicine'.
FinaIly, something must he said about the nouns that are regarded
as bases for the formations described here. In generaI it may he
stated that the monomorphematic nouns serve as such, but a further
specification must he given for those nouns in which the syntactic
dist'inction discussoo in 3.2.1. is partly expressed by means of vowelalternation. Where this is the case, the same vowel appea.rs in the
negative formations as in the syntactic B-category. In the first place
this applies to the words with 0 I e-alternation; e.g.
A o:ma, B e:marï 'path', e:maxpa 'without apath'; furthermore to
the isolated case with ale: A are:pa, B ere:parï 'cassava-bread',
ere:pûma 'without cassava-bread'. lol aIso appIies, however, to the
two irregular cases with olï-altemation at the end of the word: A auxto,
B auxti 'house', aum~ma 'without a house'; A pa:to, B pa:tï 'place,
spot', ipa:tï~ma 'without a place, spot'.
The meaning of the memhers of the category may he described as
'without that which is designated by the corresponding monomorphematic noun'.","[244, 245, 246, 247]"
"3107MORPHOLOGYOf the four systems, 1, 2 and 3 share certain eategories, on the
one hand, represented by A. On the other hand, 3 shares some other
eategories with 4, represented by B. It is this double affinity of 3
which makes it impossible to arrange the systems in a hierarchic
structure.
N ow it seems to me that the most adequate method of description
for Carib is a combination of methods (1) and (3). The main COtlc1usion of my morphological investigation is that in this language there
are six morphologieal systems to he distinguished, one of which, that
of the numerals, is c1early separated from the other five: those of the
verbs, nouns, postpositions, adjectives and demonstratives; which
together ean he adequateiy described with the aid of model (3). Thus,
a schematic picture of the morphology of Carib may he given in the
foIIowing diagram:
5) demonstratives, e:ro 'this'.--I,,
I_2) nouns, epi:fi 'medicine'
I""- , ,I1II
II
I
I...1) verbs, c:ne 'to see'......:;,-~.I',_ 3 ) postpositions, I/wa:po 'before'
4) adjectives,kt'WO 'high',"", , ,,"",16) numerals, ""o:wiij 'one'IIn the diagram the dimensions of the areas give an approximate
indieation of the extent of the six systems and of the degree to which
they overlap.
Let us now first COtlsider the five systems of categories (or word
classes, the term that will he used from now on) which, while showing
differences, at the same time share same unmistakable agreements. As
to the differences, it is only the verbs (1) that have, for instanee,
eategories of tense and mood, only the nouns (2) that have a general-108THE CARIB LANOUAGEising category with the suffix -wa:no, only the postpositions (3) that
have a reflexive category with as-, only the postpositiOt15 and the
adjectives (3, 4) that have a no-category, the members of which
designate persons or things characterized by a property which is
designated by the corresponding monomorphematic word,5 while only
the demonstratives (5) have a category with the suffix -ba1j, the
members of which characterize persons or things as belonging to a
certain kind. Examples:
(1) e:ne
to see
(2) epi:ti
medicine
(3) uwa:po before
(3) uwa:po before
(4) ka:wo high
this
(5) e:rosene:ya
opi:wa:no
asll :'wa:po
uwa:pono
ka:wono
e:roba1jI see it
medicines in genera! 6
before each other
one who is before
a high one
one of this kind.","[126, 127, 128]"
"TEXTS
TRANSLATIONS
WORD INDEX4. TEXTSIn my transcriptions of tape-recorded stories and conversations, I
have tried to reflect the special character of these spontaneous speech
documents. To this end, I have retained false starts, errors, hesitations
and anacoluthons, indicating them as such by a row of dots and, if
necessary, by an explanation in a note. Mutilation of word forms in
rapid speech has been indicated by placing in parentheses that part of
the word form, which was not audibly pronounced. In case of sandhi,
words have been written as they were heard, notes indicating how they
would appear in isolation. Words with free alternation of .X"" or ~ with
vowel length have in each case been written as they were actually
hoord.
Of the prosodie phenomena I can only give an incomplete picture.
Any interruption of the continuity of speech, Hnguistically relevant or
not, has been indicated by /; unless the interruption is associated with
a terminal pitch change, in which case / / has been used. Word accent
has only been indicated when it was clearly perceptible. For typographical reasons accent on ï had to he indicated by replacement of the two
dots by a circumflex: î. Stretching of vowels has been rendered by
repeating the vowel le'llter several times; e.g. kni 'oooh'.
In the English translations parentheses mark off insertions that have
no direct counterpart in the Carib text, but were added to facilitate
reading.
On the method used for recording and transcribing, see also the
section on field work, 0.4.3.","[305, 306, 307, 308, 309]"
"The meaning of the numerals with -no may be defined as 'something
containing so many components as indicated by the base, or: a member
of a group taking therein a place as indicated by the base'. E.g. o:wi:no
'a single one' (also a single-barrelled rifle), for instanee in o:wi:no me
roxkofJ si:woi 'let me deal him a blow as a single one only' (= 'let me
deal him a single blow only', me 'as', roxkofj 'only', si:woi 'let me deal
him a blow'); o:ruwa:no 'one who is third', for instance in no:kï ko
o:ruwa:no me na~? 'who is third?'
Unlike -pai and -mboto, -no may he combined with other morphological processes, viz. with:
1) Syntactical affixation, wirt:h y- and -ri, as found with many nouns 150.
2) Personal prefixation, with one of the five processes used with verbs
as weIl as with nouns and postpositions 151.
3) Plural suffixation, with the alternant -koij, as occurring in all word
classes 152.
Examples:
1) yo:morï yo:ruwa:norï mo:se ma~ 'he is the third member of my
family' (yo:morï 'my family', mo:sc ma~ 'he is').
2) o:we ko iyo:ruwa:norï 153 naijl 'where is tbe third one of it?'
(o:we ko 'where ?', na~ 'is').
See 3.2.1. The syntactical process consists here in the simultaneous addition
of a suffix -rï and a prefix y-. The occurrence of y- with these numerals is
remarkablc, because with the nouns it is confined to a few isolated cases:
as a rule, there is only -rï.
161 See 3.1.3.2.1.; 3.2.2.1.; and 3.3.2.
162 Sec 3.1.3.2.9C and D.; 3.2.2.4.; 3.3.5.; 3.4.3.; 3.5.2.
lä3 The personal prefixes (in this example, i- for third person) are always added
to thc words as thcy appear in the syntactic rï-category; see 3.2.2.1.
150284THE CARIB LANGUAGE3) mo:rokoiJ o:ruwa:nokofj se wa 'I want those triple ones' (mo:rokoij
'those', se wa 'I want').
Personal prefixation and -koiJ may he applied together:
iyo:ruwa:ncwïkoiij mo:se mafj 'he is the third of them'.
Suffixing with -no, with similar semantic correlate, bas also heen
found with the postpositions and the adjectives, e.g. eko:sa 'at, with',
eko:sano 'one who is at, with', ka:wo 'high', ka:wono 'one who is high'
(3.3.4., 3.4.2.). Yet, I do not believe that th is process is to he identified
with the process discussed here, because there are also important
differences, both with regard to their morphological and to their
semantic properties.
MorphologicaUy, both processes ean he combined with plu ral -koij:
o:ruwa:nokofj 'triple ones', eko:sano:koij 'those at, with', ka:wono:koij
'high ones'. Personal prefixation, however, may he combined with
numerical -no, but cannot he combined with adjectival -no. It is true
that with the postpositions, -no and a personal prefix may he found
within the same word (e.g. aye:ko:satlo 'one staying with you') ; but
still the situation is essentially different from the one we are finding
with th.e numerical category, because with the postpositions personal
prefixture may occur as weU without -no heing present (e.g. aye:ko:sa
'with you'), which is not tnte for the numerals. FinaUy, the syntactic
N-distinction does not occur together with the adjectival and postpositional no-process, but is strictly confined to tbe nouns and the
numerals witb -no.
Syntaotically, adjectival and postpositional no-formations may be
connected with an immediately foUowing noun, e.g. ka:wono we:we
ca high tree', aye:ko:sano kari~na 'a man staying with you'. Neither
numerical no-formations nor nouns can be used in groups of this type.
011 the other hand, the numerical no-category has one important
feature in common with the nouns, and with the noul1s only: the syntactic rï-distinction. Moreover, syntactically they are probably 154 fuUy
equivalent. Therefore, I am of the opinion that the numerical no-process
may weU he regarded as a means by which numerals are transposed
to the nominal class.","[303, 304]"
"Pinal positionIn this position only 1), 13 are found; and very rarely m, and the
cluster ~m.
Examples: aura1) 'language', e:ra'3 'guard'.
Only one case was found of both m and ~m in final position: am
'somebody, something, a little', ro~m 'otherwise, else'.
By the side of am, a:lnu occurs. It would seem plausible enough to
assume that am, with its exceptional fina,1 -111, is a reduced form used
in rapid speech. Yet this is not the case. In the case of ro~m, which
is doubly exceptional because it does not only end in m but is moreover
the only instance of a sequence of two consonants in final position, we
find a situation similar to that of a11l. By the side of ro~m the forms
ro:mu1) and ro~mu1) occur with a meaning which does not seem to he
different from that of the shorter fonn. Again, ro~m is by no means
confined to rapid speech.
When through suffixing 1] and 13 lose their final position, the following phenomena occur:
If the suffix has an initial consonant the result is different clusters
which can also occur in monomorphematic words: mb, nd (2.1.1.l.1Bl)
or ~m (2.1.1.1.1B2, the type wo:toxko~me).
1f the suffix has an initial vowel, 1) and 13 are replaced by n. E.g.
on the basis of aura1) 'language, speech', with -ïmbo, auranïmbo 'chat-70THE CARIB LANGUAGEting'; on the basis of wo:nel1j 'murderer' (which is fonned on the basis
of wo' 'to kill'), with -ïmbo, wo:nenïmbo 'mean murderer'.
Finally a remark about the frequency of finalfj and '3. It is strikingly
low in mooomorphemaJtic words: there are only 39 instances of fj in
my material, and even fewer instanees of '3 : S. On the other hand,
in polymorphematic words the frequency of fj and '3 is by no means
low, because a fairly large number of productive suffixes happen to
end in these consonants (see phonemics, 1.1.2.2.).
2.1.2.1.3.","[89, 90]"
"SYNTACTIC CATEGORIES3.2.1.1. FORMATION AND SYNTACTIC VALENCEIn a large part of the nouns we find two formaIly distinct categories,
between which there is no semantic difference but only a difference
in syntactic valenee. The members of these syntactic categories, here
provisionally designated A and B, are found as follows: A in isolation,
and besides in all word-groups where no members of the other category
occur, B in groups formed by the noun being directly connected with
a preceding other noun or nom,inal group, or also with a precedingMORPHOLOGY215demonstrative (3.5.), provided the latter refers to a separate person
or thing and does not perform the function of an article, in which
case A occurs. Examples:
A) kuri:yara! 'a baat!'; e:ro po:no kuri:yara 'a boat from here';
kuri:}'ara am wo:pïrï sene:ya 'I see a boat coming' (am 'a', wo:pïrï
'to come'); with a demonstrative: mo:ro kuri:yara wo:pïrï sene:ya
'I see the boat coming' (mO':ro 'that, the').
B) kasi:ri ku:riya:rarï 'boat for cassava-beer' (kasi:ri 'cassava-beer') ;
moxko ya:wo ku:riya:rarï 'my uncle's boat' (moxko ya:wo 'my uncle') ;
with a demonstrative: moxko ku:riya:rarï wo:pïrï sene:ya 'I see his
boat coming' (moxko 'he, his').
\\Te now pass on to the description of the formal difference between
the two categories.
Apart from certain cases with vowel-a1ternation, which will be discussed presently, the situatiOll is as follows:
The members of A are monomorphematic nouns;
The corresponding words in Bare forn1ed by suffixation with one of
the following a1ternants:
1) -rï
2) -rtt
3) -ni
4) -diThe first alternant occurs when the monomorphematic noun ends 111
avowel other than u, the second when it ends in ti. Examples:
A) kuri:yara
B) ku:riya:rarï
boat
to,'Ptt
to:puYtt
stone 86
The third alternant occurs when rthe mOllomorphematic noun ends in
a nasal, ex cept in one case, e:rafJ 'watchman', where the 4th alternant
was found: Examples:
A) a,'si~
e:rlIf3B) a:si:ni
e:randïheat
watchmanThe productive character of the formations with -nï, at least where e
precedes the nasal, is perhaps shown by the occurrence of -nï in two
recent loanwords from Sranan:86In a number of cases suffixation is accompanied by contract ion : we :we/we :rï
'wood', wï:wïjwï:rï 'axe'; we:yu/weiru 'sun', sese:wu/seseuru 'fringe on a
garment'; ki)'e:rejïxkerc :rï 'cassava'.","[234, 235]"
"276THE CARIB LANGUAGE4. Categories fonned by combination ofthe ba1J-, mbo-, and plural
processes.
3.5.2.1. THE bafj-CATEGORYSuffixation takes place with -baij.
Examples:
o:tïbaij se maij 'what kind do you want?' e:robaij 'one of this kind'.
o:'weba1j 'in what kind of a place?' mo:eba1J 'like yonder'.
o:yabaij kïno:saij? 'in what direction is he coming?'
o:yabaij itoxpa wa 'wherever it may be, I am not going' (itoxpa wa
'I am not going').
mo:nïbaij wa kïnï.rsaij 'he went to a point like that over there' (wa 'to,
as far as').
no:kïbaij tampo:ko? 'what kind of old man (do you mean) ?'
mo:scbaij 'somebody like him here', amo:robaij 'somebody like you'.
The meaning of the memhers of this category may he defined as:
'place, direction, thing or person as indicated by the corresponding
monomorphematic demonstrative, presented as referring 11:0 a kind'.
3.5.2.2. THE mbo-CA TEGORYSuffixation takes place with -mbo.
Examples:
o:wembo tuwo:se naij? 'where has he come from ?' mo:embo 'from over
there'.
e:ro ta:ro ro:teij e:rombo maij 'so far this story' (e:rombo 'this, now
helonging 1:(> the past', refers to the story just finished; e:ro ta:ro
ro:teij 'only lasting so far', maij 'is').
moxkombo ene:ko 'look at him, you know whom I mean'.
o:tïmbo a.nu:ku:tïxpa maij 'he does not know anything at all, even the
simplest .things' (anu:ku:tïxpa maij 'he does not know', o:tïmbo 'anything whatever, cóntrary to what one might expect').
Semantically, the category may he characterized by means of the
term 'discrepancy', as eXplained in the sections on the mbo-categories
within the other word classes (see especially 3.2.2.2.). The cases that
express a spatial removal: o:wembo 'from where', mo:embo 'from over
there', are most clearly paralleled by some verbal cases, and especially
by a few incidental postpositional and adjectival mbo-formations
(3.3.8E. and 3.4.6B.).
The anaphoric words irombo and ino:rombo, formoo with -mbo, areMORPHOWGY277used in a special way in stories, where they may serve to conclude a
passage and open a new one. In this - very frequent - use they can
he aptly rendered hy some sueh term as 'next'. E.g. irombo mo:ro po
maij 'next he lived there' (irombo 'the matter just mentioned, now dealt
with', mo:ro po 'there', maij 'he was') ; ino:rombo kï~ga:no ""yu:ta:pïi
ra/' 'next he said ""I have lost my way"" (ino:rombo 'he who is known
from the preceding part that is now finished', kï~ga:no 'said').
3.5.2.3. THE ne-CATEGORYThe name 'ne-category' for the plural has heen retained here for
the sake of uniformity. It is not meant to indicate that the alternant
-ne plays any part here in the fonnation of plurals.
In the same way as practically all nouns, the demonstratives referring
to inanimate objects have a plural fonned by means of the suffix -koij;
e.g. e:roko1j 'these', iro:koij 'those just mentioned'.
The plural of demonstratives referring to living ereatures, with the
exeeption of au 'I', is fonned by suffixing with either -aij (also found
with a few nouns) or -aro; combined with modification of the base.
The suffix i'S -aij in the following three cases:
no:kï
who
nort""kaij
who, plural
mo:kï
that
1nOrt""kaij
those
mo:se
this
mo:yaij
these
The suffix is -aro in the following four cases:
mort""ko
he
mort""ka:ro they
kïxko
both of us
kirt""ka:ro
we, including hearer
amo:ro you
amïiyaro you, plural
ino:ro
the one just mentioned ina:ro
those just mentioned
An isolated position is taken up by au 'I', which has for its plural
a~na 'we, excluding hearer'. It is to he noted that au takes up a similar
isolated position in the system of formal-semantic relationships discussed in 3.5.1.
The plurals mort""ka:ro and nort""ka1j can OOth he further suffixed with
the ordinary plural suffix -koij. M o.rka:rokoij is used to refer respectfully to a third person (father, mother, wife's brother) ,139 while
noxkatjgo1j occurs as a plural of the taboo-word no.rkaij 'snake', which
to the speakers is probably identical with nort""kaij 'certain creail:ures'.
139There are analogous honorifics on the basis of pï:tï 'wife' aml tamil :si
'grandfather', viz. pï:)'atJgoij 'my respected wife' (pï:ya1J= plural 'spouses')
and ta:mukofj 'my respeeted grandfather'.","[295, 296, 297]"
"MORPHOLOGY219categories: auraij 'language, speech', uwe:s~ 'backside', awo:St1J
'weight, heaviness', ema:miij 'work', po:siij 'sweetness', apoxtufj 'righthand side', a:tufj 'fever', tu:muij 'mound', uwe:tuij 'sleepiness', ya:>muij
'body', yextuij 'illness, pain'.
In fact these 11 cases constitute the greater part of the very limited 91 material with a final nasal; I know of only 7 cases where the
syntactic cattegories do occur: su:rabaij j su :raba:nï 'beam of roof',
skeijjske:nï 'body', tefj/te:nï 'time', a:sifJja:si:nï 'heat', mo':siijjmo:si:nï
'length' , sa:niij j sa:ni:nï 'shortness', e :mt}j e :randï 'watchman'.
Finally, i:tuji:turu 'forest' is an isolated case, since the presence
or absence of ru has nothing to elo with a difference in syntactic
valence: both fom1s are syntacticaIly and semantically fully interchangeable.
3.2.1.2. NOM1NAL WORD-GROUPSIt is necessary to make same observations about the worelgroupcharacter of the constructions elesignateel B in the last section. As we
saw there, in many nouns a special syntactic suffixation with -rï
occurred, sometimes accompanied by vowel-alternation, e.g. A kuri:yara
'boat', B moxko ya:wo ku:riya:rarï 'uncle's boat'; whereas in cases
where the synt,actic category is lacking these constructions merely
contain the monomorphematic noun: e:tï 'name', moxko ya:wo e:tï
'uncle's name'.
WhaJt has so far not been mentioneel, however, is that in the Bconstructions the two componenfs must always immeeliately foIlow
each other,92 a fact which may weIl make us wonder whether these
constructions are not compounds rather than word-groups. The consequence of such an assumption would be that what we called 'members
of the syntactic B-category' in the last section could no longer he
assigneel the status of worels since they would only occur as parts of
compounds.
There are, however, three indications pointing to the fact that, in
9192A nasal as final phoneme is rare in monomorphematic words, see 1.1.2.2.
1t is true that mi 'late' and ~me plu ral .~makoiJ 'smaU' may be placed between
the two nouns, but it is doubtful wheth~r these elements themselves are words
and not parts of words. Mi itself cannot be separated by a third word from
the word to which it beloogs (ya:wo mi 'my late uncle'); ~me and imakojij
are perhaps identical with the words ï';>me, ï~makojij 'child, children' (loss of
initial ï is a normal sandhi-phenomenon) but, when used as diminutives, they
must always immediately foUow the word to which they belong (pïrï:wa ';>me
'smaU arrow', pïrï:wa ~makoiJ 'smaU arrows'). On ;>me, also 2.1.1.4.3B.·220THE CARIB LANGUAGEspite of the absence of clear separability, we have to do with wordgroups and not with compounds. 93
1) In analogous constructions with a rnonornorphernatic verb following
a noun there is clear separability, e.g. by na~net3 'first': moxko ya:wo
(na~net3) kura:ma kïnoxtaij 'he will (first) corne tI) look after uncle',
see 3.1.1.(lb).
2) The first nominal component of the eonstruction remains subject
to suffixation without any restriction, which is generally not the case
with compounds. E.g. maina e:marï 'path to a garden' (maina 'garden',
o:ma 'path'), imainarï:ko'Ïj e:marï 'a path to their gardens'.
3) Each of the two cornponents remains subject to the rules of wordstructure, formulated in chapter 2.
Finally, clear isolability exists in the A-nouns or, where the syntactie differentiati011 is laeking, in the rnonornorphematic nouns. They
rnay eonstitute the tatal word-content of a sentence, e.g. kuri:yara!
'a boat !', a possibility which m011omorphematic verbs (3.1.1.) and
postpositions (3.3.1.) do not have.","[238, 239, 240]"
"TRANSPOSITIONAL AD]ECTIVESEvery verb and every noun can probably he transposed to the system
of the adjectives. This is effected in the following ways.
1) Verbs, by suffixation with -sene, in certain cases attended by prefiXiture of i- or by removal of an initial w, according to the rules
fonnulated in 3.1.3.8. E.g. wo:pï 'to come', opï:sene 'just come'.
2) Nouns, except the five cases mentioned under 3, by prefixing with
t-, tï- or tu- and suffixing with -ke, -ne, -re or -me; e.g. on the basis
of wa:re 'song', tuwa:reke 'knowing many songs' (3.2.2.8.). The same
process is applied to a small number of verbs as weU, e.g. 11 :'u/a 'to
dance', tuwa:lle 'fond of dancing' (3.1.3.8. note).
3) Five nourus are tran,sposed by suffixation with -pe or -me and removal of a fragment of the base: panaxtorï I panaxpe 'strength' /,strong',
parixtorîl parixpe 'violence'/,violent', yaiJsikï:rï I yaiJsi:pe 'depth' I'deep',
mo:siiJlmo:si:pe 'length' I 'long', sa:niiJl sa:ni:me 'shortness' l'short'.
The transposed verbs with -sene have a no-category with -'rJ and
vowel change, exactly like the monomorphematic adjectives of the type
ipi:piye (3.4.2C.a.); e.g. opï:sene I opï:sena'rJ 'just come' /,one who has
just come'. Also the nc- and the mbo-processes, and their combination,
are applied in a fuUy regular way (3.1.3.8. and 3.4.5.).
Both the regular transposed nouns and the five irregular cases mentioned under 3, fuUy share the semantic distinctions as illustrated in
the paradigm of 3.4.5. FonnaUy ho wever , they show some deviations.
These concern:
131I have not found any semantic difference between this word and the next one.",[288]
