Paragraph,Page number
"2) Shecameinto the room(and noticed that) they weresayingunfavorable things about her behind her back. 3) I returned last night (and
observed that) my wife was making mittens for you. 4) They came in and, lo and
behold, there was frozen fish in the dishpan. 5) We went down to the shore and,
lo and behold, our boat was about to drift away.
Personal Pronouns
Throughout the preceding chapters we have seen how the role that personalpronouns (“she,” “her,” “I,” “you,” “they,” etc.) play in a language like English is
filled by the system of noun and verb endings in Yup’ik. However we have also
seen how there is a role for personal pronouns as separate words in, for example,
the terminalis for subject of embedded transitive verb (see Chapter 18) as in:
Qanrutellruanga elpenun teglellruniluku. ‘She told me that you stole it’
(elpenun is the 2nd person singular personal pronoun in the terminalis case).
Aatavet wangnun navrallruyuksaaqan pelatekani. ‘Your father wrongly
thinks that I borrowed his tent’ (wangnun is the Ist person singular
personal pronoun in the terminalis case).
There are in fact a full range of personal pronouns in Yup’ik, in all cases and
numbers.",[398]
"118GRAMMAROF CENTRAL ALASKAN YUP IKSubject and Object with Transitive Verbs
The grammatical cases used for subject and object with a transitive verb are
different than those used with an intransitive verb.
If the object of a transitive verb is expressed with a separate noun, then that
itive verb:
noun is put in the absolutive case, just like the subject of an intransve verb
Neqa neraa. ‘She is eating the fish. (The object neqa of the transitihere is absolutive as it is when it is the subject of an intransitive verb as
in neqa taigug ‘the fish is coming.’)If the subject of a transitive verb is expressed with aseparate noun, then that
noun is put in the relative case, just like the possessor of a possessed noun:
ve
Arnam neraa. ‘The woman is eating it.’ (The subject arnam of the transiti
as
verb here is relative as it is when it is the possessor of a possessed noun
in arnam atkua ‘the woman’s parka.’)Both subject and object may be expressed with nouns in the appropriate cases:
Arnam neraa neqa. ‘The woman is eating the fish.’One must be fully aware that the role of the absolutive case shifts from indicatingve verb:
the subject with an intransitive verb to indicating the object with a transiti
way:
intransitive verb: subject (in absolutive case) does something or is someQimugta qilugtug. ‘The dog is barking.’
some
transitive verb: subject (in relative case) does something to, or bears
relation to object (in absolutive case); for example:Agayulirtem nunuraa qimugta. ‘The preacher is scolding the dog.’
This characteristic of the language, that the form or case used for the subjectof the
of the intransitive is the same as the form or case used for the objecttransitive, is called ergativity.
are:
Statements that give the (main) uses of absolutive and relative cases
Uses of the absolutive case:
(1) subject of intransitive verb, as in qimugta qilugtuq
(2) object of a transitive verb, as in gimugta nunuraaUses of the relative case:
(1) subject of a transitive verb, as in gimugtem qilugaa(2) possessor of another noun, as in gqimugtem pamyua.","[127, 128]"
"Indefinite Objects of Verbs; the Ablative-Modalis Case
Nouns can also be used as the indefinite object of a verb with an ending fromChapter 2, but then the noun must be changed from its citation form in the
absolutive case to another form called the ablative-modalis case. This is because
it is the ending of the noun which shows whether it is the subject or the object
of the verb, rather than the position of the noun in the sentence as in English.
For example in the sentence angun ner’uq kemegmek or angun kemegmek
ner’uq ‘the man is eating meat’ or ‘the man is eating some meat,’ the word
kemegmek is an indefinite object in the ablative-modalis case. Kemegmek is
said to be an indefinite object because another construction with a definite object
is used to express ‘the man is eating the meat.’ This latter type of construction
will be dealt with later in this book.
Theendingof thesingularablative-modalisis ~%mek.",[42]
"Arnat iqvaryugtut curanek nunapigmi. ‘The women want to pick
blueberries on the tundra.’ (But compare: tengssuun mit’ellruuq
nunapigmun. ‘The plane landed on the tundra.’ Even though the
English translation uses ‘on’ rather than ‘to’, the terminalis is used
because motion from one place to another is involved.)Mikelnguut aquigut ellami. ‘The children are playing outside’ (literally:
‘in the outside’).
Calillruuten-qaa kipusvigmi akwaugaq? Were you working in the store
yesterday?’1. The terminalis case is also called the “allative” in works on Eskimo grammar, and corresponds
to some extent to the dative case of many (especially Indo-European) languages.
2. The localis case is also called the “locative” in works on Eskimo grammar.",[57]
"#4 The word pelatekagq ‘tent’ is from Russian, and is pronounced palatkaaq in NS. Apparently
there is no non-loanword for ‘tent’ in Yup’ik, which is evidence that perhaps Yup’iks did not
use tents before the Russian came, unlike the Inupiags who used skin tents and have a nonloanword for them. Or it may be that an older Yup’ik word for tent has been totally replaced
by the Russian loan.
#5 Instead of tan’gerpak for ‘crowberry’ there is paunraq in NS, some Y, Nun, and Eg, andkavlakuaragq in HBC.
#6 Instead of tumagliq for ‘low-bush cranberry’ there is kitngik in NS and Y (?). The word
kavirligq ‘red thing’ is also used as a name for this type of berry. ‘High-bush cranberry’ is
mercuullugpak, and ‘bog cranberry’ is uingiar(aq) or uskutuliaraq in NS and Y.
#7 The words ugasqinarge- ‘to be slippery’ and ugasqite- ‘to slip’ are used in these forms in K
above Bethel, upriver Y, some NR, and LI. These words are pronounced qurrasqinarge-and qurrasqite- in NS, downriver Y, NI, Can, K below Bethel, BB, and some NR. They are
pronounced qurasqite-, and qurasqinarge- in HBC. The pronunciation or pair of forms
with ug is one of the few cases of Yup’ik words with this sound other than the demonstratives
augna, paugna, and qaugna and words derived from them (aug’ar- ‘to get out of the way,’
and taugaam ‘however, but’). The other cases are ugasek ‘jackrabbit, tundra hare’ (NI and
Can), and ugalguun ‘fishskin bag, quiver for arrows,’ and ugayar- ‘to pillage’ (also wayar-,and mayar-), ugaq’allaga- ‘to retch repeatedly’ (onomatopoeia; also waq’allaga-), qaugeq
or qaugiigq ‘eider duck,’ and qaugyagq ‘sand.’Note A
The participial mood in Alutiiq and Siberian Yupik, the closest languages to Central Yup’ik,
is the common way of expressing “past tense” (in narrative at least, in Siberian Yupik). This may
have been the original role of this verb mood in Central Yup’ik as well. The present-day Central
Yup’ik means of expressing “past tense,” that is by means of the postbase -llru-, is no doubt a
historically recent innovation. This postbase is clearly from -lleq ‘one that V-ed,’ and ~:(ng)u-‘to be N,’ so that, for example, qilullruug ‘it barked,’ literally means ‘it is one that barked.’ This
postbase -llru-, is not used at all in NSU, where “past tense” as well as “present tense” is
expressed with the indicative unmarked for time. Possibly the present-day uses of the participial
are a remnant of its former broader use. On the other hand, the Inuit (especially Greenlandic)
verb form that corresponds to the Yup’ik participial (in function though not so closely in form) seems
to suggest that the present Central Yup’ik use may be closer to the original use of this verb mood.
The fact that the third person subject person/number markers are exactly the same as the
possessed absolutive noun endings (see Chapters 5 and 6) coupled with the fact that both mood
markers (transitive indicative and transitive participial) are identical with certain nominalizing
postbases suggests that historically a transitive sentence, at least one with a third person
subject, can be viewed as an identity of two noun phrases. Thus arnam neraa akutaq ‘the
woman is eating the Eskimo ice cream,’ can be viewed as arnam neraa = akutaq that is, ‘the
woman’s eaten thing is the Eskimoice cream,’ and similarly for arnam nerkii akutaq. This may
shed light on the historical origins of ergativity in Yup’ik and in Eskimo languages in general
while explaining why the relative case has the two roles it has (possessor and subject of transitive
verb). This should be regarded as only an insight on the ancient history of the language. There
remain manyunexplained developmentssubsequent to the historical phase in question (forexample, the fact that fourth person forms always point back to the subject whether it is the
absolutive subject of an intransitive verb, or the relative subject of a transitive verb).",[408]
"Ablative-Modalis of Place from which
The ablative-modalis case can also mean ‘from.”! This is the place from which
use of the ablative-modalis case, as in the following examples:Tekituq pengunek. ‘She arrived from the hills.’
Akwaugagq ayallruukut nunamek.’ ‘We left (from) the village yesterday.’
Exercise 3-5
Translate:1) Kaviag anellruuq igteniek. 2) Taillruuci-qaa nanvamek akwaugaq? 3) Angun
ayallrunrituq kuigmek. 4) Qimugta-qaa taillruuq nunamek? 5) Mikelnguq
utercugtuq elitnaurvigmek.
Postbases
The postbases for this chapter are used with noun bases and yield verb bases.
1. This second use explains the hyphenated name “ablative-modalis.” In Inupiaq/Inuit Eskimo
languages there are two separate cases, the ablative meaning basically ‘from,’ and the modalis
used for indefinite object. The endings of the two cases are different in Inupiag/Inuit. However
in all the Yupik Eskimo languages there is only case, one ending, for both uses or meanings. It
is not certain which is the innovation and which is the original pattern: separate ablative and
modalis cases now combined in Yupik, or a single ablative-modalis case now split in Inupiag/
Inuit. The modalis is also called the “instrumental” in works on Eskimo grammar.
2. Or nunanek; a village can be considered a plurality as can other things which consist of
multiple parts.",[44]
"12, 17, 22;@~+yar- Chap. 16
wound (nown: cut in one’s flesh): kilineq
Chap. 21
wound (verb: cut one’s flesh): kilir(patientive) Chap. 21
wrap: caqu- (trans. only) Chap. 12wrapping: caqu Chap. 12
wring out: ciur- (trans. only) Chap. 22
write: igar- (agentive) Chap. 8
year: allrakug Chap. 11year (last year): allragni (particle; from
localis) Chap. 24year(next year):
Chap. 24yearly:allrakuallrakuaqan(particle)(particle; fromcontingent) Chap. 20
yes: li-i (particle) Chap. 2
yes or no: =qaa Chap. 2yesterday: akwaugagq (particle) Chap. 2
you: elpet (personal pronoun) Chap. 21you, to you: elpenun(personal pro-noun in term.) Chap. 18young N: -ya(g)aq* Chap. 21
young one is V-ing: -ya(g)ar- Chap. 21younger sibling: kinguqliq* Chap. 5,
23; uyuraq* Chap. 23younger sister of male: nayagag Chap.
23
you: elpet (personal pronoun) Chap.
21
you, (to you): elpenun (personal pronoun in term.) Chap. 18, 21youn}: elpeci (personal pronoun) Chap.
21
youy! (to youpi): elpeceriun (personal
pronoun in term.) Chap. 18, 21yourself: elpenek (personal pronoun
in abl.-mod.) Chap. 21
Yukon River: Kuigpak Chap. 4VYupikEskimo,southwestAlaskan:Yup’ik Chap. 3,4V; Yupiag Chap. 4V
YupikEskimolanguage:Yugcetun(particle — from equalis) Chap. 2SUBJECT INDEXablative-modalis case, 32; miscellaneous uses, 138; of indefinite object, 32; place from which, 34; specification, 39; summary of uses, 219;table of endings, 470; with numerals of repetition, 420; with verbs of
communicating, 138; with verbs of
giving, 138
absolutive case, 29; as citation form for
nouns, 32; for time, 226; object of
transitive verb, 118; of included
subject, 120; plural and dual, 44;
possessed, 58, 89, 125; subject of
intransitive verb, 32; summary of
uses, 118, 219; table of endings,469; unpossessed singular, 29
abstract combining forms, 17, 30accessibility (with regard to demonstratives), 75adjective equivalents in Yup’ik, 253
adverb equivalents in Yup’ik, 17, 227
agentive verbs, 122
agreement in number, 46, 94, 119Aleut loanwords, 438
‘allow’ vs. ‘compel,’ 330
antonyms, 248apicals, 1
apostrophe, 3, 4, 8, 11, 12, 15appositives, 31, 78, 253
(ar) deletion, 50, 173, 187, 291
assimilation of vowels, 45
asterisk, 21, 32
Athabaskan loanwords, 438‘at’ or ‘apiece’ sign, 23
aunts, 423automatic devoicing, 6
automatic gemination, 9, 10, 11; due to
retention of hatted e, 12autonomous subordinative, 240, 357
base twenty counting system, 418
bases, 17, 30
borrowed words, 13, 438
cardinal numbers, 418Catholic orthography for Yup’ik, 218, 447
causative postbase as subject adjuster,333, 375
checkmark, 38
Chukchi loanwords, 438
citation forms, of verbs,19; of nouns, 29
clusters of three consonants, 33
clusters of three vowels, 114coining of words in Yup’ik, 440
colon, 21
color words, 253
combining forms, 17, 30
commands and suggestions,67,130,196, 240, 316, 395, 404, 410
comparatives, 257
compound-verbal postbases, 322
concessive mood, 291; table of endings, 468
conditional mood, 293; table of endings, 468
connective moods, 269; summary, 241;table of endings, 468
consequential mood, 278; table of endings, 468consonants, 1; strong, 32, 44; weak, 32, 44
constructions with two independent
verbs in one sentence, 409
contemporative mood, first, 306; second,
306; table of endings, 468
content questions, 51, 174, 366
contingent mood, 290; table of endings, 468
contractions, 84
contrafactual conditionals, 296
core General Central Yup’ik, 278, 306, 441
counting, 171, 416542GRAMMAROF CENTRAL ALASKAN YUPIKcousins, 423
Cyrillic orthography for Yup’ik, 447
days of the week, 173
de-transitivizing postbases, 123, 161
definite vs. indefinite object, 120
deletion, of (ar), 50, 173, 187, 291; of
hatted e, 12, 36
demonstratives, 75; adverbs vs. pronouns, 81; inflection, 78; predicative
demonstrative forms, 86; vocative
forms, 86; table of forms, 76, 478
dependent subordinative, 240, 357
dependent verb moods, summary 341;
vs. independent verb moods, 227, 268
derived sentence, 322
devoicing, automatic, 6; of vowels 5
diacritics, 447
dialects of Yup’ik, viii, 14, 440202; negative for optative, 203
gemination, 4; automatic, 11, 12
General Central Yup’ik, 14, 440
“ghost,” of localis, 306; stress, 188
half-retaining type suffixes, 32
half-transitive postbase, 123, 161
hat over consonant indicating automatic gemination, 10
hat over vowel indicating rhythmic
length, 10
hatted e deletion, 12, 36
Helper Neck, 135, 448
Hooper Bay - Chevak dialect, 443
hyphen, 12, 13
imperative, 196
impersonal subject transitive = intransitive verbs, 140
‘if vs. ‘when,’ 293
in-laws, 423digraphs, 1, 4indefinite object, 32dimensional roots, 248indicative, as part of construction, 334;
intransitive endings, 19; table of
endings, 463; transitive endings,descriptive verbs, 248dotsymbol 82
dropping of hatted e, 36
dual, 20, 44, 434
e, 5; deleted when hatted, 36; insertion, 33;
initial weak, 44; semi-final, 37, 45Egegik dialect 444
embedded sentence, 322
emotional roots, 350
enclitics, 12
endings, 17; tables of endings, 463
English loanwords, 13, 439equalis case, 74; table of endings, 471
equals sign, 12
ergativity, 147evidential postbase, 128
exclamations from verbs, 165, 394exclamatory particles, 166
extended demonstratives, 75
first contemporatve mood, 306; table of
endings, 468
fourth person, 125, 158, 159, 228, 269, 273
fricatives, 1, 2; undoubling, 6
future “tense,” 103, for optative, 68,113, 138, 156
innovative endings, 62
interrogative mood, 51, 174, 366; table
of endings, 464interrogative words as indefinites, 185
intransitive-only verbs, 115
kinship, 422
Kleinschmidt orthography for Greenlandic, 447
Kotlik dialect, 14, 441
labialized consonants, 3
labials, 1
left hand side, 345
length: double-vowel, 5; rhythmic, 8
‘let’ vs. ‘make,’ 330
letters used in writing Yup’ik, 1
lexicalizations, 38
ligature, 3, 392, 398
loanwords, 438localis, “ghost” of in contemporative
mood, 306; for indirect modifier ofSUBJECT INDEXsubject, 394; of comparison, 257, 389;
of place at which, 47; table of endings, 470; with exclamations, 165
Minus sign, 35
modernized endings, 62
money, 420
months, 431Moravian orthography for Yup’ik, 218, 447
naming practice in Yup’ik, 437
nasals, 1
negation, 25; with subordinative mood, 232neologisms, 440nephews, 423
nieces, 423
nominalization: partial, 368
Norton Sound dialect, 14, 441
nouns, 28number (grammatical), 20
numbers and numerals, 171, 416
Nunivak dialect, 443
object, indefinite 32; with transitive, 118
oblique cases, 97; summary, 219
obscured demonstratives, 75
observational construction, 334, 359, 382
obsolete verb base ete-, 84, 348
opposites, 248
optative mood, 67, 130, 196, 400; in place
of indicative, 403; table of endings, 465
order, of postbases, 24; of words, 31, 32, 119
ordinal numbers, 418
orthography, 1, 447
parentheses, 20
partial nominalization, 368
participial mood, 382; completion orexplanationuse, 385; expressing“maybe,” 386; in exclamations, 384;
inobservational construction, 382;scenesetting use, 384; table of endings, 467particles, 17, 166
past “tense”, 24
patientive verbs, 122
percentage sign, 32peripheral General Central Yup’ik, 278,
306, 441543person (grammatical), 17
personal names, 213, 437
personal pronouns, 388
place names, 438
plural, 17, 44
plus sign, 20polite forms for optative, 205
positionals, 99; from demonstrative
adverbs, 100
possessed noun, 58; oblique cases, 97,
144, 159; relative case, 140, 153, 159
postbase, 23; on verb but applying to the
subject of the verb, 392; ordering, 25
postural roots, 348; with quantifier/
qualifier construction, 349precessive mood, 268; table of endings, 468predicative demonstratives forms, 86
prefix in Yup’ik, 77productivevs. non-productivepostbases, 148
prohibitions, 68, 203
pronouns, personal, 388
prosody, 8, 14, 55quantifier/qualifier construction, 346
questions, content, 51, 106, 174, 366;
“yes” or “no,” 22
reflexive, 125; objects with connective
moods, 273
relative case, 93; possessed, 140, 153,
159; subject of transitive, 118; sum-maryof uses,119, 219; table ofendings, 470relative clause equivalents in Yup’ik, 250
requests, 196, 400
restricted demonstratives, 75
rhythmic length, 8
rhythmic stress, 14, 55right hand side, 345
rounded (labialized) consonants, 3Russian Orthodox orthography for
Yup’ik, 218, 447
Russian loanwords, 438
seasons of the year, 226
second contemporative mood, 306; table
of endings, 468544GRAMMAROF CENTRAL ALASKANYUP IKsecond terminalis, 102
selectional bases, 95, 178, 258, 419Unalig dialect, 441
uncles, 423shortening process with -li- postbases, 35undoubling of fricatives, 6siblings, 424
simple open syllables, 9
simplified endings, 62, 434
singular, 17Uyaqugq, 135, 448
velar(s), back, 1; dropping, 21; front, 1
Veniaminoff, 447
verbal constructions that differ in form
and function, 394
verbs, 17; used as nouns, 353
vialis case, 73; of instrument, 73; of
route, 73; of part of a whole, 145 ;special te, 104, 198, 231, 382
specification use of ablative-modalis, 39
stative forms, 208, 348, 355
stop consonants, 1
stress, rhythmic, 8, 14, 50
strong consonants, 32, 44
subject, included 120, ofembedded tran-sitive verb, 324, 368; ofintransitive
31; of transitive, 118
subordinative mood 227; autonomous
240, 357; for bases ending in special te, 2231; in place of indicative,
240; in place of optative, 231; tableof endings, 466
suffixes, 17
suggestions, 196, 316, 395, 404, 410
superlatives, 258
syllabification, 9
syllables: closed, 10; open, 10; simple, 10
telling time, 421
terminalis case 47; second, 102; of placeto which, 47; subject of embedded
transitive verb, 324, 368; table ofendings, 470
three-consonant clusters, 33
three-vowel clusters, 114
ti becoming ci, 35tilde, 23
time of day, 421
time words, 226, 422
topic, 323
toponyms, 436
transitive verbs with impersonal subjects, 140
transitive vs. intransitive, 113
transitive-only verbs, 116
transitivizer postbase, 148table of endings, 471
vocative forms, for demonstratives, 86;for kinship terms, 213; for personal
names, 213
voiced consonants, 1
voiceless consonants, 5
vowel(s), 5; clusters, 6; full, 6; raising,
45; reduced, 5
weak consonants, 32, 44
weak initial e, 44
word order, 31, 32, 119
writing systems, 1, 447
Yupik dialects, viii, 14, 440Symbols
@ ( te changing suffix) 23
+ (consonant-retaining suffix) 20
~ (e deleting suffix) 23- (as hyphen: used in writing enclitics) 12, 13;
(as minus sign: consonant deleting
suffix) 35
= (used in citing enclitics) 12* (strong final r) 32; (unattested form) 21
: (velar-dropping suffix) 21
% (suffix retains only strong consonants) 32
V (additional vocabulary word) 38
- (suffix does not alter vowel-final base) 82? (geminationor exceptionto ortho-graphic rules) 3, 4, 8, 11, 12, 15~ (rounded velar) 3, 392, 398
* (rhythmic length or automatic gemination) 10, 11
[e] (initial weak e) 44BIBLIOGRAPHYThe following list includes all the books (excluding children’s story books,
translations of government documents, and religious material)that are recom-mended to students of Yupik grammar. It also includes some of the recommendedtechnical linguistic articles. The bibliography sections in the works cited here will
lead the reader to additional resources.
Alexie, Oscar, Sophie Barnes, and Gerald Domnick. 1990.","[550, 551, 552, 553, 554, 555]"
"Yup’ik (and Eskimo in general) is very much a gender-neutral language. It
has no words comparable to “mankind” or “workman” which assume a certain
gender bias. Moreover in Eskimo languages the various morphemes indicating
third person singular are not marked for gender. Thus, the word that means ‘he
is here’ also means ‘she is here’ and ‘it is here,’ and the word for ‘she is asleep’ also
means ‘he is asleep.’ This situation leads to a certain problem in translating such
words into English. Even though accurate, it is extremely cumbersome to
repeatedly read (and write) ‘he, she or it is here’, ‘he/she is asleep,’ ‘3s is here’ or‘(s)he is asleep’ and even worse to have to say something like ‘he or she is
putting his or her son to sleep in his or her own bed!’ To avoid such difficulties
as well as to avoid the objectionable aspects of routinely using the masculine
third person singular pronouns ‘he,’ ‘him’ and ‘his’ as a convention for ‘he or she,
‘him or her,’ ‘his or her’ (as has sometimesbeen done in Eskimoand othergrammars and dictionaries), in this book every even-numbered chapter uses onlyxGRAMMAROF CENTRAL ALASKAN YUPIK‘he,’ ‘him’ and ‘his,’ and every odd-numbered chapter uses only ‘she’ and ‘her’ for
the third person singular (for humans that is; for non-humans of course the word
‘it? is used). Thus in an even-numbered chapter one should understand the
English gloss ‘he is asleep’ to mean ‘he or she is asleep,’ and in an odd-numbered
chapter one should understand the gloss ‘she is here’ as meaning ‘he, she or it is
here.’ The only exceptions will be cases where biology overrides such a convention, so that, for example, even in an even-numbered chapter one will see ‘she is
a mother’ rather than ‘he is a mother’ (even though the Yup’ik word itself could
also mean ‘he ...’). On the other hand, no allowance is made for culturally
determined gender roles no matter how fixed or traditional such roles are. Thus,for example, in an even-numbered chapter one may find ‘he is sewing a parka’
(meaning ‘he or she is sewing a parka’), and in an odd-numbered chapter one may
find ‘she is hunting’ (meaning ‘he or she is hunting’).","[7, 8]"
"This means that yuinag is used in ‘twenty’ up to but not including ‘forty,’ and ‘forty’ is literally‘two ipiaqs,’ rather than ‘two yuinags.’ Furthermore ipiaq as a multiplier is always singular
and comes after the number by which it is multiplied. So people who use this format say malruk
ipiaq for ‘forty’ rather than yuinaak
yuinaat pingayun.malruk,and pingayunipiaq for ‘sixty’ rather thanTwo areas have special words for ‘(one) hundred.’At the mouth of the Yukon a word kavluunis used for this, while in some NR negavagq is used. Because of the undistinguished role of thisquantity (‘one hundred’) in the native Yupik base-twenty counting system, one expects that, as
in the case of tiissitsaaq ‘one thousand,’ these two words came from outside the language.",[440]
"Those bases that can take both intransitive and transitive endings divideinto two groups. Those in one group mean ‘subject is V-ing’ or ‘subject is V-ingsomething’ when used with an intransitive ending, and merely add a definite
object (‘subject is V-ing object’) when used with a transitive ending. The action
of the subject stays the same. These are called agentive verb bases. For example:
nuteg- ‘to shoot’; intransitive: nutegtuq ‘he shot’; transitive: nutgaa ‘he
shot it’
nere- ‘to eat’; intransitive: ner’ugq ‘he is eating’; transitive: neraa ‘he is
eating it’qilug- ‘to bark’; intransitive: qilugtug ‘it is barking’, transitive: qilugaa ‘it
is barking at him’Those in the other group add someone (or something) that is acting on the
object causing it to V when used with a transitive ending. The subject of the
intransitive becomes the object of the transitive. These are called patientive verb
bases. For example:naveg- ‘to break’; intransitive: navegtugq ‘it broke’; transitive: navgaa ‘he
broke it’
kuve- ‘to spill’; intransitive: kuv’uq ‘it spilled, it is spilling’; transitive:
kuvaa ‘he spilled it, he is spilling it’
tamar- ‘to lose, get lost’; intransitive: tamartuq ‘it got lost’; transitive:
tamaraa ‘he lost it’CHAPTER EIGHT123Often, but not always, the question of whether a particular verb base is
intransitive-only, transitive-only, agentive, or patientive, will be exactlythe same asin English (as is the case for the bases (except for gilug-) givenin the examples above). A learner of Yupik need pay attention primarily in
cases where Yupik and English differ. For an example of a case where the two
languages differ, consider that “bark” is intransitive-only in English (one cannotsay ‘it barks him’), but in Yup’ik qilug- is agentive as we have seen — one does notneedanythingin Yup’ikto correspondto the Englishpreposition“at”; thetransitive ending takes care of this. Conversely, in English “leave” isa transitive verb;
one can say ‘I will leave the village tomorrow’, but in Yup’ik one cannot use ayag-‘to leave’ with a transitive ending: *ayagciqaqa to mean ‘I will leave it’, but must
rather use an intransitive ending on the verb and an ablative-modalis noun:ayagciqua nunamek unuaqu, literally ‘I will leave from the village tomorrow’.","[132, 133]"
