Paragraph,Page number
"5
Case
Barasano is a nominative-accusative language. The subject in Barasano
bears no case marking whereas the object is generally marked when it is
definite. Regarding word order, the subject is sentence initial when first
introduced or in special focus and is sentence final elsewhere.
Barasano has four morphemes which mark case though not obligatorily:
-re occurs on noun phrases in the roles of object, experiencer, benefactee,
and manner; réka occurs on noun phrases of accompaniment andinstrument, -h# marks locations or times; and ya marks the genitive (see
§4.8).§.1-5.3 -reTheending-re is usedto marktheobject,theexperiencer,andbenefactee. It is also used to mark manner, which is discussed in §11.9.","[82, 83]"
"4.7-4.8 Noun-noun stractures
Barasano forms noun-noun structures by compounding and by use of the
case marker ya (genitive). Because of the classifier system and few independent
nouns, Barasano does not have many noun-noun structures.",[78]
"50ee58
58..........
0.00. eee eee eee594.7-8 Noun-noun structures
4.7Compound nouns000004614.8Genitive constructionsrrr6149Descriptive modifiers... ........02...2.-00,634.10Postpositional phrases635 Case............-0
.............",[10]
"Predicatenominative,locative,existential,andpossessive clauses often share the same constituents in many languages.
This is true in Barasano, where all of these sentence types share the sameverb, yd ‘to be’ and its negative counterpart ba/badi ‘to not be’. The
possessive construction may also occur with the verb kzti/ku#to ‘to have’.
Predicate nominative. The following illustrate the predicate nominative
with the verb yd ‘to be’:110Barasano Syntax(334) gaw-a
nonindigenous-pya-a-baidabe-PRES-3p3pThey are nonindigenous people.
(335) haibéiya-tutiJim
3ms GEN-Stack
That is Jim’s book.ya-a-hasibe-PRES--33inLocative. Locatives may be formed with yd ‘to be’, as in (336), or with
several stative verbs which refer more specifically to the location of an
entity, e.g., hesa ‘to be on top of and saya ‘to be inside’.
(336) stbe-ri-hata-ro
hubea-hu
green-ptcpL-box-s inside-place
It is inside the green box.ya-a-ha
be-PRES--3ti
3inExistential. Existentials are formed with ya ‘to be’ and ba/badi ‘to not
be’. See (337) and (339). The participants of a discourse are usually first
introduced as existing. For example, (338) introduces Sue’s mother at the
beginning of a narrative.
(337) sita
éyaroka-hu
ground beneath-place
Metal is underground.
(338) s#eSuehak-okébe
metal—_ya-a-ha
be-PREs--3ya-ri-o-bésOparent-fs_be-PsT“CONI-fs-3fs_3fsSue’s mother lived.
(339) bas-a
human-pbadi-ka-hetinot*be-far*pst--33inThere were no people (there). or No one was there.
Possessive. The possessive clause may be formed with ya ‘to be’ or
ba/badi ‘to not be’. In these cases, the possessor is encoded as an object.
For example, in (340) and (341), yw (1s) is encoded as an object.
(340) hai-ro
yd-a-ha—s
many-NOM
be€-PRES--3
I have a lot.tis yut-re
3in 18-0Sentence Structure(341) gaheiidi
possessions111ba-a-ha
not*be-PRES--3ya-re
1s-0I have no possessions.
Thepossessiveclausemayalsobeformedwith ke/kutior kvo,bothmeaning ‘to have’; ku/kzti is generally used when the possessed is perceived
as an inherent characteristic of the possessor, e.g., ‘A head has hair’, or ‘Thave the name John’ as in (342).
(342) hiawabekuti-a-haJohn
name _ have-prReEs--3
I have the name John.ye
1shai ‘to be big’ is often used in possessive clauses. In such cases, hai is
generally nominalized with animate nominalizers which refer to the
possessor. In (343) hai-gu ‘one who has a lot of is the possessor and we-ri
‘dirt’ is the possessed:
(343) ie-ri
hai-gu—-ya-a-bi
dirty-PTcPL big-ms
be-PRES-3ms
He is very dirty. (lit. He has a lot of dirt.)
7.5, Juxtaposition. Juxtaposition is defined as the ordering of phrases
or clauses where there is no marking to show their relationship
grammatically. There are at least two types of juxtaposition, that of verb
phrases and that of noun phrases.
Juxtaposition of verb phrases is used to indicate a series of events in
sequence all performed by the same subject. These verb phrases may
consist of optional objects and may contain compound verbs © but there
is no subject and no tense or person marking on the verbs. Illustration
(344) has these juxtaposed verb phrases bracketed.","[127, 128, 129]"
"[blank]4
Noun
ThischapterdiscussesthePhraseconstituentsof thenounphrasewhichincludes classifiers, quantifiers, numerals, noun-noun structures, descriptivemodifiers, and postpositions. 12 In general, the head of the noun phrase
occurs as the last constituent unless it is in focus or being topicalized, in
which case it occurs first.","[65, 66, 67]"
"Index
Abasi (distal) 5, 85, 88, 150, 154benefactive 13, 19, 68, 78a (motion) 7, 13, 24-26, 30, 34-35,beti (negative) 8, 13-14, 16, 22, 24,
26, 85, 93, 124-127, 129, 131,
172, 183
boa (contraexpectation) 8, 38, 71, 85,
95-96, 98-99, 104-105, 122,
127, 139, 147-148, 156-157,
166-167, 171-173, 175-177,
180-181, 18338, 44, 50, 76-91, 93, 98-100,
102-104,108, 118-119, 128,131, 139, 142, 150, 154-155,
157, 168, 175, 177-179, 182-183
adverbs 5, 19, 30, 43, 128, 132
agreement 19, 34, 49, 60, 73-75, 79,
83-84, 86-88, 90-91, 97-98,
115, 119, 121, 123, 125, 127,
138, 151, 165
aka (diminutive) 12, 14-15, 29, 41,
43-44, 58, 128
animacy 20, 31, 36, 42, 58, 73, 141
aspects 5, 37, 73-75, 92-101, 154,
165, 176
anticipatory 97-98
durative 98-100, 176
fulfillment 14, 34, 84, 88, 92-96,
126, 165, 178-179
habitual 92, 98-99
iterative 92, 100-101
progressive 37, 97, 154
augmentative 11-12, 30, 43-44boo (subjunctive) 37, 91, 124, 148
busa, buto ‘very much’ 3, 6, 23-25,
29-30, 47, 50, 68-69, 90, 104,
123, 150, 153, 159, 166Cc
case 6, 35, 58-61, 63, 65-72, 129, 174
causatives 66-67, 73, 101-102change of setting 165, 178-179
classes
noun 19, 49
classifiers 19, 29, 33, 36-37, 41, 44,
49-58, 63, 66, 143-146, 148-152
clauses
adverbial 34, 81-82, 126, 137-139,
153-160
bitransitive 109B
badi ‘to not be’ 22, 109-110, 125,
127-128, 145189190Barasano Syntaxconcessionary 94, 105, 122, 127,
139, 156-157, 171
conditional 38, 135, 157-159, 174
intransitive 108
locationals 109
possessive 109-111, 127
purpose 79, 81-82, 105, 126, 129,
139, 153, 155-156
reason 121, 129-130, 159-160
relative 6, 8, 149, 151-152, 184
subordinate 38, 100, 107, 113,
120-121, 126, 129, 137-138,
140, 156, 165-166
transitive 108
comparatives 7, 22, 29
concord 49, 57Fconjecture15, 37-38,focus 6, 32, 36, 49, 59, 65, 135, 157,
167, 169-178
future 42-43, 74-76, 78-82, 89,
115-116, 119, 147-148, 154-155
distant 74, 82-83, 91
G
gender 5, 19-21, 31-32, 38, 41-43, 60,
62-63, 73-74, 83, 87-91, 116,
121, 123, 125, 127, 138, 143,
146, 155-157, 165-166, 179, 182
genitive 4-5, 8, 35, 41, 49, 60-62
goda ‘really’ 14, 29, 47, 95
grammatical categories 1940, 43, 74, 82,88-91, 97, 104, 115-117, 119,
135, 146, 148, 179
conjunction 19, 38, 133-134, 183
contraexpectation 5, 73, 94, 99,
104-105
coordination 133-136
coparticipant 68D
definiteness 31
di (toward here) 13, 76, 81, 83-84, 86,
100, 102-104, 112, 118, 168
dialects 2, 10, 61, 74-75, 91, 103, 127,
129, 131, 156
diminutive 12, 14, 29-30, 41, 43, 58,
128
discourse 35-36, 46, 70, 110, 159, 170,
172, 175, 184disjunction 133-136H
ha (present nonproximate) 44, 83-85,
118, 120, 162
he ‘place, time’ 8, 15-16, 22, 27, 30,
33, 35-36, 45, 55, 63, 65-66,69-72, 92-93, 95-96, 98, 107,
110, 144, 153-154, 156-157,
161, 166, 177-178, 182I
ideophones 17
imperatives 37, 39, 73, 75-82, 95, 104,
123-127
first person 79-81, 124
of motion 76
second person 75-79, 126
simple 76
third person 81-82, 126
inferred 37, 74-75, 85, 87, 89,103-104, 115, 117, 119, 122,
124-125, 127
ellipsis 165-168
emphasis 5, 173
evidentials 37, 73, 75, 83, 87-89,91-92, 97-98, 103-104,
115-121, 123-125, 135, 141,
146, 178
existentials 21, 109-110, 127
experiencer 47, 65, 67instrument 19, 65, 68, 168
intensifiers 6, 30, 41, 45intention 37, 74-75, 79, 82, 88, 91-92,
115-117, 119, 146, 153, 156
interjections 19, 39-40, 88, 134
iterative 100-101191IndexJ
juxtaposition 111-113,134, 167,179-181, 185K
ka (far past) 5, 17, 25, 28-30, 33, 35,
43, 45, 50, 68, 86-87, 95,98-105, 110, 112-113, 119, 121,
125, 128, 133-134, 138, 140,
146-149, 151-153, 158, 161,
166, 168, 175-177
koa (fulfillment) 12, 14, 22, 34, 38, 43,70-72, 82, 84, 88-89, 92-96,
103-104, 113, 121, 126-127,
138, 148, 150, 154-156,161-163, 173, 175-176, 178,
180-185nominalizers 13-16, 21, 29-30, 41-43,
55-56, 63, 66, 69, 78, 80, 82,
88-91, 96-97, 111, 116, 121,
124-127, 138-139, 141-151,
153-156, 178-180, 182
nominatives
predicate 23, 109, 120
noun classes 49
nouns 4-6, 11-12, 19-21, 29-30, 35,
41-44, 49-64, 69, 128, 133, 143,
145, 149-153, 170, 176-177
numbers 5, 19, 24, 26, 31-32, 38,
41-43, 60, 62-63, 73-75, 83,
85-91, 108, 119, 121, 123-125,
127, 138, 141, 143, 146,
155-157, 159, 165-166, 179, 182
numerals 49, 59-60kudi (iterative) 30, 100-101
L
locationals 21
locatives 26-27, 110, 120M
manner 16, 19, 21-22, 25, 30, 65, 107,
120, 141, 153, 155
modifiers 19, 29-30, 49, 57, 63, 149
descriptive 4-5, 7-8, 30, 49mood 5, 37-40, 74-75, 79, 82, 89, 91,
95-96, 124, 126
morphology 5, 41, 45, 101
derivational 41
verb 5, 41, 45, 101
motion 7, 12-13, 25, 46, 73, 75-83,
85-87, 89-92, 97-99, 101-104,
115, 117-118, 140, 178
purpose of 79N
nasalization 11, 14-16, 42, 103
negation 5, 75, 125, 132, 141, 145,
158, 175, 181scope of 128-129
standard 125, 129, 131
nominalizations 6, 21, 127, 137,
141-153, 158-159, 170O
objects 2-3, 19, 24-28, 35, 65-67,
101-102, 107-113, 120, 128,131, 135, 137-138, 146-147,
153, 155, 160, 162, 165,
167-170, 174, 183, 185
direct 3, 26-27, 67, 101, 108, 185
incorporated 25-26
indirect 3, 27plural 26-27
onomatopoeia 16P
participials 21, 29, 63, 137-138,
178-179
particles
negative 125, 128-130,
phonological words 10132phonology 16
phrasesnoun 2, 4, 19, 29, 31-32, 38, 49,
57, 59, 63, 65, 111-112, 130,
133, 149, 151, 169
verb 73, 101-102, 111-112
pitch 2, 10-13
postpositions 3, 8, 27, 37, 49, 63, 68,128, 170, 176-177
pro-sentence 34pro-verbs 34Barasano Syntax192
pronouns 2, 4, 8, 16, 19-20, 26-27,
30-33, 35, 61-62, 67, 69-70, 88,
107, 115, 119-122, 128, 140,
143, 145, 149, 161, 169-170,
176-177
demonstrative 4, 16, 30, 32-33, 69
interrogative 8, 31-32, 120-121, 131
personal 16, 31-32, 39, 62, 65Q
quantifiers 49, 58-59, 125, 128,
130-132
questions 7-8, 14, 34, 75, 115-124
content 8, 170
question word 115, 120-122, 124,
170, 177
yes-no 7, 115, 119-120, 124R
raka ‘with’ 5-6, 39, 58, 65, 68, 98,
104, 134, 139-140, 160, 170,
173, 177, 180, 185
re (object) 3, 6-8, 22-23, 26-29, 33,
35-36, 38-40, 45-46, 50, 57,
63-68, 70-72, 82-83, 85, 87,
90-93, 95-96, 99-102, 104,
107-111, 113, 129-130, 135,
137, 141, 147-148, 150-157,
159-163, 166-167, 169-176,
178, 180-183, 185
recipients 67, 109
reflexives 30-31, 46
reportative 75, 85, 87, 97, 117, 122,124, 148
ro (augmentative) 11-12, 30, 44
ro avoidance 88-89, 137
ro heard 42, 85, 116, 137S
s (present nonproximate) 36, 84-85,
123
sentences 34, 36, 38-40, 65, 70, 105,107-113, 116, 125, 127-129,
133-135, 169-171, 173, 180, 183
sentential complement 137, 160
singularizer 12, 20, 49, 151
stress 2, 10-13, 79, 120subjects 2-3, 15, 19-21, 23-26, 28, 31,
37-38, 47, 65-66, 73-75, 88-89,
91, 101, 107-108, 111-113, 121,
125, 127-128, 138~147,
154-159, 161-163, 165~167,
169, 183
patient 24sentential 25
subjunctives 37, 82, 88, 91
subordination 107, 137
suffixes 5-8, 11-15, 19-21, 33, 36, 38,
40-44, 47, 57-62, 68, 73-77,
82-83, 89-91, 102, 115-119,
123-127, 133, 146, 152, 156, 180
switch reference 137-141, 153-154,
179-180
syllable patterns 10, 42, 74T
temporal overlap 140, 153-154
temporal succession 140, 154-155
tenses 5, 15, 30, 37-38, 42-43,73-105, 111, 115-126, 135, 141,
146-148, 178
immediate past 85, 88, 104, 115,118-119, 121, 146
irrealis 43, 74, 82, 88-92, 104
nonpast conjecture 38, 74-75, 90,115-116, 135
past 85-89, 118-119, 121, 124-125,
135, 148, 158
present 42, 76, 79, 83, 86, 89, 115,118-119, 121, 141, 146-147,
149, 158
realis 42-43, 74, 82-83, 85, 88, 104
thematic 35, 167, 179
topic 32~33, 49, 59, 61, 72, 156, 165,
169-170, 176
topicalization 165, 169-170Vv
verb roots 6-7, 12~15, 21, 24, 41-43,
45, 47, 77, 81, 91, 96, 101-102,118-119, 121, 126-127, 131,
141, t44, 147
verbal complements 21, 27-28, 46,
102, 127, 162-163193Index
verbs 2, 5, 7-8, 19-30, 33-34, 37-43,
45-47, 73-105, 107-113,
115-128, 134-135, 137-138,
153, 155, 158-163, 165-169,
178-179, 185
auxiliary 8, 37, 135
bitransitive 67
compound 24, 47, 111, 126,transitive 8, 15, 21, 24, 26-28, 35,45-46, 67, 101, 108, 127, 185
with only a subject argument 21Ww
word order 2, 5, 65, 113Y130-131
copular 21-22, 155infinitives 137, 161-163
intransitive 24-25, 28, 45-46, 66,68, 101, 108
involving patient subjects 24
negative 125, 127, 145
nonfinite 150, 155, 170, 179of motion 13, 25, 76, 80, 83, 85,
87, 89, 92, 117, 140
stative 24, 45, 47, 63, 95, 110, 145ya (genitive) 4-5, 41-42, 50, 60-63,65, 100, 110, 141, 170yu (inferred) 3-4, 13, 17, 22, 27-29,32, 36, 38, 60, 63-64, 67,70-72, 93, 96-97, 102-103, 108,
113, 117, 119-121, 123-125,127, 139-141, 148, 153-157,
159, 161~163, 167, 170-175,
180-185Studies in the Languages of Colombia 2
Publications in Linguistics Number
BarasanoSyntaxisthesecond101
inaseriesofstudiesofColombian languages produced by SIL members under the
tutelage of Dr. David Weber at a workshop held for that purpose
in the fall of 1984. The series is edited by Dr. Paul Frank, who
also authored the first volume of the series—Ika Syntax.
These sketches are based on a typological, functionalperspective which provides an excellent framework for writing
broadly useful, descriptive grammars. Linguists and nonlinguists
alike can derive a helpful understanding of what these languages
are like without the heavy demands of a rigorously theoretical
orientation.
Barasana is a member of the eastern Tucanoan language family
and is closely related to Taiwano. However, the Barasana and
Taiwana people are of different ancestry and thus form two
distinct social groups. These peoples live in southeastern
Colombia just above the equator along the Piraparand River and,
at the present time, number about 250 speakers.
Wendell Jones and Paula Jones have worked with the Barasana
andTaiwanasinceMarchof 1977undertheauspicesof theSummer Institute of Linguistics and the ministry of Government
of Colombia. They concentrated on studying three closely related
dialects, collecting the data which is the basis for the analysis
found in this volume.
ISBN: 0-88312-807-1\SUMMER
INSTITUTEOFLINGUISTICSUNIVERSITY
OF TEXAS AT uRAARLINGTON cme","[206, 207, 208, 209, 210, 211, 212]"
"NounPhrase614.7, Compound nouns. Compound nouns are rare, undoubtedly due to
the productiveness of combining a noun and classifier to form a referring
expression. In the few that occur, the first noun attributes characteristics
or properties and the second provides the reference. For example, wai-sotu
‘fish pot’ (pot refers to the method of cooking), bode-kiibua (dragonfly
canoe) ‘helicopter’ and hea-guso (fire alligator) ‘cayman’.
4.8. Genitive constructions. Barasano uses the case marker ya (genitive)
to express ownership. It is generally used in referring expressions, and occurs
between the possessor and the possessed, e.g., Hdibe ya-wi (Jim GEN-house)
‘Jim’s house.’ The possessor is usually a pronoun, e.g., 7 ya-wi (3ms GEN-house)
‘his house’ or so ya-papera-tuti (3fs GEN-paper-stack) ‘her book’. The possessor
precedes the possessed unless the possessed is topicalized in which case it is
fronted. In illustration (163), ya (genitive) follows the head which is topicalized.
(163) hie
hammockiya-gu3ms GEN-hammockhis long hammock
There is a plural genitive form ye, e.g., bas-a ye sita (human-p GENp land)
‘the people’s land’. With plural inanimate referents (as well as for
nonindividuated items), ye (genitive plural) occurs without a classifiersuffix, e.g., ida ye ‘their things’.!8
Notions like part-whole and kinship relationship are expressed by putting
the possessor directly before the possessed. To indicate the possession of
body parts, a noun or pronoun is directly followed by the term for the
body part, e.g., Haibe abo ‘Jim’s hand’ or i 4bo ‘his hand’. The form -wi
‘house’ !9 may also occur without the genitive marker, e.g., Haibe wi ‘Tim’s
house’. Kinship terms are obligatorily preceded by a noun or pronoun
which refers to the person so related and which directly precedes the
kinship term, e.g., Haibe yike ‘Jim’s grandfather’, or i yikw ‘his grandfather’.","[78, 79]"
"NounPhrase59DIM) is viewing ‘few’ as a mass, whereas siguri perceives the individuals that
constitute ‘the few.
In cases where quantifiers modify nouns they generally occur before the
noun as in (157) where hdraé ‘many’ precedes basa ‘people’ and (158)
where hairo ‘many’ precedes gahetidi (J) ‘possessions’:!7
(157) héré
manybas-aeha-bahuman-parrive-3pMany people (have) arrived.
(158) hai-ro
gahetidi
hua-a-bi
many-NOM
possessions _ pick “Up-PRES-3ms
He gets a lot of things.
When a quantifier occurs with a noun which is new information or is in
some type of special focus, it follows the noun.
Quantifiers may also occur alone with suffixes that refer to an implicit
(or previously mentioned) head.
4.6. Numerals. Numerals occur with suffixes which generally refer to an
implicit head. When they occur with the head noun, they may precede or
follow it. When they follow it, we contend that the head noun is
topicalized or in some type of special focus. Thus comparing illustration
(159) with (160), (160) is considered a noun phrase where the head is in
focus.(159) hua-rahe— kGbe-rahe-ritwo-cylinder metal-cylinder-p
two metal cans
(160) géta-hai
stone-flat*thinhua-hai
two-flat“thintwo stone slabsIn some cases, a numeral plus a classifier may function as a noun. For
example, the classifier -r#bu ‘day’ functions as a noun yet does not occur
by itself, e.g., idia-raébu ‘three days’ in (161).""pahetidi (J) / gaheyetidi (E)60Barasano Syntax(161) idia-réibe ya-yu-hu
so wii
budi-be-ko
three-day be-INFER--3p 3fs house leave-NEG--PROXEs
For three days she remained in the house without leaving,
With animate nouns, numerals agree in number and gender. A list of
numerals for animate nouns is given in (162). The gender suffixes -x
(masculine), and -o (feminine) follow all the numbers except hxa ‘two’ and
idia ‘three’ which are the only numbers marked with -r4 (plural). If a group
is mixed according to gender, the -# (masculine) suffix is used. Numberagreement marking with numerals is strictly adhered to for animate nouns,
e.g., hua-rd (two-anp) ‘two living things’.
(162) sig-u/o‘one-(m/f’hua-ra
idia-ra“two-(anp)’
‘three-(anp)’babarirak-u/o
kohobékarak-ulo
kohobékarak-u“four-(m/fy’
‘five-(m/f’
—‘five-(mf’With inanimate nouns numerals agree in class and number. For example,
the number Awa ‘two’ followed by the class marker -hdi ‘flat, thin objects’
produces the hxahdi ‘two flat, thin objects’, which may modify any object
in the -hdi class, e.g., hua-hai sudi-hai (two-flat“thin cloth-flat“thin) ‘two
pieces of cloth’.
The number ‘one’ has a different form when referring to inanimate
nouns. The inanimate form is koho-, e.g., koho-raibu ‘one day’.
By contrast to animate nouns, for which number agreement is rigidly
adheredto, with inanimatenounsthere is a certain amountof variation:hua ‘two’ is rarely marked as plural, idia ‘three’ is optionally marked as
plural, and numbers above four are usually marked as plural. For example,
‘two days’ is huwa-rébu (two-day); ‘three days’ may be idia-réibu (three-day)
or idia-réibu-ri (three-day-p); and ‘four days’ is babari-rébu-ri (four-day-p).","[76, 77, 78]"
"BAn exception to this is in the case of subordinate clauses which link with preceding
sentences or are used in switching topics. In such cases -ri (participle) most frequently occurs
with bahi ‘to be’ and seems to refer to the situation in general (event or state-oriented
rather than subject-oriented).
°The verb sure ‘to cut off many’ in (429) is a verb which agrees in number with its
object.",[156]
"Parts of Speech35
2,.17-2,.21 Nounadjuncts2.17, Case markers. The noun adjunct most commonly used is -re
(object) which marks objects of verbs or any nonsubject word which is
thematic, ie., of primary importance in the ongoing discourse. Generally
these objects are highly individuated. For example, all pronouns which
occur as objects take -re (object). In the case of nominalized clauses where
the verb is transitive, the object marker is crucial to the meaning. Compare
the genitive construction of (106) with the object in (107):
(106) 7
bue-g
3ms_study-ms
his student(107) i-rebue-gu3ms-Ostudy-msone who teaches himWhen the object is not thematic, it need not occur with -re (object) even
though it may be highly individuated. For example, in (108) kakw ‘dad’ is
only mentioned and does not become a real part of the story till later.
Thus the speaker did not mark kaku ‘dad’ as the object of ia ‘to see’.(108) ti-ribu-re— wadi-ka-huthat-day-ocome-far*pst--3kak-utia-gumy parent-mssee-msyeado-hudobigo_ya-ro1shere-placedomingobe-NoMOn that day I came here, a Sunday, in order to see dad.
Later in the account, kake ‘dad’ is introduced as a real part of the story,
in that he responds to the main participant’s speech, becoming an active
participant. Thus, -re (object) now occurs with kakz.(109) “to
that—_k6-ro
count-Nomkak-u-rewai
fishhua-ro-a-da”
pick“up-anp-MoT-anpyi-ka-hu
say-far“PsT--3goti-gumy” parent-ms-o _ tell-ms
“We are going to get fish at that time”, I told dad.yee
1s36Barasano Syntax2.18. Discourse markers. The most common discourse markers are -dé
(spacer), -hwa (selective focus), ridé (restricting focus), -b4 (contrastive
focus) and ya (J) / yuha (£) (temporal pointer). The clitic -dé (spacer) is
used to separate sentences or groups of sentences into two parts of
unequal importance. The order of the constituents may be from less
important (anaphoric information) to more important (nonanaphoric
information) or vice versa. In (110) -dé ‘spacer’ separates the anaphoric
information ‘got her pregnant at night’, and example (111) illustrates the
use of -hxa (selective focus) when switching from one main participant to
another,
(110) i-dé
so-re
bak-t
sa-yu-hu
3ms-SPCR
3fs-O = progeny-ms
put“ in-INFER--3p
He was the one who got her pregnant at night.
(111) ida-re
3p-Ohuti__yi-ro-dé,“Yu-re— hutiblow15-0blowdo-NOM-SPCRi
3ms__eho-be-saba!arrive “CAUS-NEG-PRES-PROX
IMPV2s __ 1s-place-oeho-be-haba,”yi-yu-hui-hua.arrive“CAUS-NEG-FUT
IMPV2sSay-INFER--3p3ms-SELyabi-hu.
night-timeYu-hu-reAs he was blowing at them, he (the other one) said, “Don’t blow it
at me. Don’t cause it to arrive over here where I am”.
2.19. Quantifiers. Quantifiers are inflected for animacy, e.g., ha-ra
(many-anp) ‘many (animate)’ and hai-ro (many-NoM) ‘much (inanimate)’.
The Barasana count by fingers and toes, and eventually by people. They
normally count up to five and beyond that would use ‘many’. The word for
‘five’ is koho-b6-k6-ro (one-hand-count-Nom), and ‘twenty’ is sig-u bas-uké-ro (one”an-ms human-ms count-NoM).
2.20. Classifiers. Approximately 140 classifiers have been recorded in
Barasano. Most of these are semantically based on shape. They are usually
nominal suffixes which cannot occur alone. Some classifiers are highly
referential in that nominals require them. For example, -# is the classifier
for trees or wood in ktibu-u ‘tree called kibuw’; -u (classifier for tree) is
replaced by a classifier for hollow objects in kibu-a ‘canoe’. However, kibuParts of Speech37by itself may refer to the nonspecific form for ‘canoes’ or ‘benches’ (whose
singular form is kfibu-ro).!° See §4.1 for a complete list of these classifiers.
2.21. Spatial relators. Spacialrelators of Barasanoare postpositions.","[52, 53, 54, 55]"
