Paragraph,Page number
"(58) A:B:
(59) A:B:Ng diak monga a bobai?
‘Don’t you eat papayas?” =
‘Is it the case that you don’t eat papayas?’
Chochoi.
(Ng diak kungang.)
“No, I don’t. (I don’t eat them.)’
Ng diak monga a bobai?
‘Don’t you eat papayas?’ =
‘Is it the case that you don’t eat papayas?’
Ng diak.
(Ak menga er a bebil er a taem.)
“Yes,
Ido.
(I eat them from time to time.)’If we think of A’s question as really meaning ‘Is it the case that
you don’t eat papayas?’, as mentioned above, we can easily
explain how B’s responses are interpreted. Thus, when B answers
chochoi in 58, he actually means ‘Yes, it is the case that I don’t
eat papayas’. Similarly, B’s use of ng diak in 59 corresponds to“No, it is not the case that I don’t eat papayas—i.e., I do eat them’.",[201]
"We found it necessary to introduce many different facts about
Palauan pronouns simply because the use of pronouns is so closely
tied up with problems of the spelling and the grammar. Thus,
in 1.5.d we discussed how the different sets of Palauan pronouns
are to be spelled; in 2.4 we examined some of the distributional
characteristics which pronouns share with nouns, in addition to
showing why the distinction human vs. non-human is important
to pronoun usage; and, finally, in 3.2-3 we analyzed the possessor
pronouns (or suffixes) extensively. There are still many facts about
Palauan pronouns which we have not presented; this will be donein the present chapter.
As we saw in 1.5.d, some Palauan pronouns are spelled as
separate words, while others are spelled as part of another word.
We shall call the former type independent pronouns, whereas the
latter type will be referred to as affix pronouns.! Affix pronouns
never occur alone but must always be attached to the beginning orend of a word: in the former case they are prefixes, while in the
latter case they are suffixes. ThesetwoIst pers. sg.2nd pers. sg.
3rd pers. sg.",[49]
"79terms have already ap-Ist pers. pl. incl.
Ist pers. pl. excl.
2nd pers. pl.
3rd pers. pl. (human only)Though some special comments will be necessary in a few cases
we will be able to use the above seven categories to desoribe
all of the pronoun sets of Palauan. To save space, we will alsoadopt the abbreviations given above.",[49]
"A John a mle sensei.
‘John was a teacher.’THENEGATIVEEXPRESSIONdi keaThe negative expression di kea, which probably consists of the
word di ‘only, just’ followed by kea, corresponds to the Englishi
380NEGATIONNEGATION381expression ‘no longer’. In other words, di kea implies that some-(51) A:thing which was once the case is no longer the case. The following
sentences with di kea are presented without explanation, since
their derivation parallels that of the various negative sentencesB:analyzed in 18.2.1 and 18.6 above:‘Toki is no longera aaa studentB:my girlfriendA John a di kea Iechad er a Merikel.
‘John is no longer an American citizen.’c.","[199, 200]"
"85You may have noticed that although we have been speakingA John a dimlak Igbo e le ng mle smecher.of the emphatic pronouns in object position, the specific pronoun
objects of 15 (gr ngak ‘me’, er ngii ‘him/her/it’, etc.) do not seem to‘John didn’t go because he was sick.’have the implication of contrastive emphasis which we observedfor emphatic pronouns in subject position (cf.4.2 above). Unfortunately, we cannot explain why this should be the case. Even
though the “emphatic” pronouns do not imply contrastive em-USE OF EMPHATIC PRONOUNS FOLLOWING er
4.3.",[52]
"The connectingFURTHERUSESOF THECONNECTINGWORDme
b.more-or-less equal significance. In such cases, me simply establishes a rather loose connection between the events, states, etc.
designated by the independent clauses and therefore corresponds
to English ‘and’ rather than ‘so’ or ‘and so’. Observe the examples
below:(9) a.",[252]
",‘The letter which
Toki.’Droteohas just finished(writing)goes toA similar case of multiple occurrence of hypothetical pronouns is
found in 67b, where both the verb bo ‘become’ and the following
noun (rubak ‘old man’) are prefixed with k-,In the hypothetical forms of complex verb phrases such as
those illustrated in 68 above,Palauanspeakersoftenomitthe110PALAUANPRONOUNSPALAUAN PRONOUNS
d.first occurrence of the hypothetical pronoun. This occurs most
often in rapid, casual speech and when the third person hypothetical pronoun is involved. Thus, the following sentence is perfectly
acceptable:e.","[64, 65]"
"LIMITEDPERFECTIVEFORMSThere are many Palauan verbs whose meaning determines that
they can take only inanimate objects—i.e., ones that are nonhuman and non-living. For example, the actions described by
verbs like meluches ‘write’, mengitakl ‘sing’, melasech ‘carve’,
mengiis ‘dig’, menguiu ‘read’, etc. can only be directed at things: in
other words, human beings (and animals) cannot be ‘written’,‘sung’, ‘carved’, ‘dug’, or ‘read’. For this reason, the perfective
forms which such verbs can have are limited to those with the
third person singular object pronoun -/i (in which case reference is
made to an inanimate singular object) and to those with the third
person plural non-human object pronoun -@ (in which case reference is made to an inanimate plural object). Thus, the onlyPALAUAN PRONOUNSpossible (past) perfective forms for meluches ‘write’ and mengitakl(52)ulekerngak“woke me up’‘sing’ are illustrated in the sentences below:ulekerngau(48) a.","[59, 60]"
"In the examples below, we observe further cases of indirectly-In the sentences below, we observe further instances of indirectly-quoted questions which contain question words of variousquoted questions of the yes-no type. With indirectly-quoted yesno questions, the negative expression ng diak is often added in
sentence-final position; the resulting sequence corresponds closelyto English ‘if/whether. . .or not’:
(13) a.
b.
c.",[227]
"The negative responses given by B in the dialogs above appear to
be short sentences which mean something like ‘it isn’t the case’
(for ng diak), ‘it wasn’t the case’ (for ng dimlak), and ‘it hasn’tNg di kea kureor er a bangk.
‘I’m no longer working at the bank.’Ng di kea kbo er a Guam.
‘(It turns out that) I’m not going to GuamKe mlo era party er a kesus?
‘Did you go to the party last night?’‘No.",[200]
