Paragraph,Page number
"[Boas 24.228-229]In the case where there is no noun or pronoun used, the copular auxiliary verb can be used.",[112]
"(8)’, although in many cases there is no appropriate English equivalent.",[95]
"6.1.2 Quantifiers as Pronouns123[Boas 17.106]Quantifiers can also stand alone in the sentence, without any noun to modify. In these cases,the quantifiers themselves act a type of quantificational pronoun, e.g.sai/saiyu‘all of them’hats'u‘some of them’n'auya‘many of them’Another possible analysis is that they act of modifiers of the pronominal arguments marked
on the verb. Examples of this type are shown in (6)(6a)(6b)Sh'eesaini cha'aat'a.thenalldownthey PL sat INDThen they all sat down.","[137, 138]"
"Thirdly, many of the derivational and inflectional processes in the language involve some
type of change in accentual patterns. Syllable-final /‘/is affected by these processes, in some
cases being added, in other cases being deleted, as seen in the examples below.",[62]
"[Boas 30:463]as a discontinuousnounphrase,with duwaactingas ademonstrative adjective and dyeiyanyi as the head of the NP, much as is the case in the
English translation Boas provides.",[132]
"4.1.1 Uses as an InterrogativeAs an interrogative, dzii means ‘what? ’. It can be used in cases where the possible answers
are open-ended, as in (1).(la)Daiiduwa?whatthisWhat is this?(1b)Emidziikidru'uts'ipi?that's it| whatyou DL want it DIRIndeed, what do you (dl) want?(lc)Dziianyiugu?whatshe likes it DIR[Boas 06.063]76What does she like? (Boas 25.050]It is also used in cases where the range of possible answers is more limited, and where
English might use ‘which?’(2a)instead of ‘what?’, as in (2).","[90, 91]"
"In terms of word classes, Laguna has distinct noun and verb categories, although it also
has a fairly large number of roots which can serve as the basis for either nouns or verbs.
Nouns do not distinguish case or number, but they can be inflected for a possessor, with
distinct constructions for alienable and inalienable possession.",[24]
"If we look closely at the verbs in (14), we'll see that in all three cases it isJohn's role that isbeing marked in the PRMP prefix. In the first two sentences he is the actor, and the verb
carries a third person actor prefix.",[175]
"Despite any of these transcriptional shortcomings, in most cases once the Laguna
sentence had been matched up with its corresponding English sentence, it became
relatively easy to fill in the missing pieces of Boas's transcription at least enough to makeit intelligible to modern day speakers.","[23, 24]"
"In most cases, it is the first form, with the actor prefix, that gets used: this is the ""normal""
way of expressing an action involving a third person actor and a third person undergoer. The
second form, with the undergoer prefix, only gets used in cases where there is a “switch"" in
the action.",[173]
"For example:(39a)s'aapakéawany'i‘my axe’(39b)kidrayape‘you (pl) ate’(39c)dyaamihanutsida‘Tam Eagle clan’(39d)dziwaéhimatyishe‘those who believe, the believers’(39e)dzitmishchitsita‘he/she is fainting’However, there are a number of problematic cases which do not seem to fit this general
pattern. I discuss each of these below.",[48]
"(7)""Haa'a,ma'ima,haityidziimaame_srguts'ipitisheyesindeedwhichsomethingverythat
I want itnyiyaduweedzuuse,""dyanaat’a.for thatreasonthiswayIcameDIRhesaid IND""Yes, indeed, I want something very much, and therefore I come here,"" said he. [Boas33.075-076]4.1.3 Other usesBesides its use as an interrogative and an indefinite nominal, dzii is also frequently used to
add a degree of uncertainty to astatement. In such cases, dzii may translate as ‘perhaps, if80efc..","[94, 95]"
"[Boas 19.136-138]In other cases, such as (10), there is no English translation.(10a)Maamedziik'adyaatyishch'uyuuna,very(what)he has a pet DIRmosquitodaukuna,
horseflyshch'umi.| bumblebeeHe has very many mosquitoes, horseflies and bees.(10b)[Boas 21.081]...sh'eenitdziisn‘chidya....thendown(what)down —she climbed down INDThen she climbed down there.",[96]
"162Laguna marks two roles morphologically: actor and undergoer The actor corresponds to the
subject in all cases except with impersonal verbs where it is simply adummy argument. The
undergoer corresponds to the subject with intransitive verbs, to the object with transitive
verbs, and to the recipient with ditransitive verbs.","[176, 177]"
