Paragraph,Page number
"The former includes dative and purposive case functions which, although not
cross-referenced in the verb, are intimately bound up with the transitivity
and thematic structure (see Halliday 1967) of the clause.
‘Peripheral
syntactic’ also includes instrumental, a case category which applies only
to neuter nouns.
'Local' functions expressed by distinct case desinencesarelocative,allative,thegenitivecasefornounsandablativefunction.adjectives,andGenitivepergressive.
casedemonstratives,forms, but distinct from dative
identity, an adnominal genitiveis
andin pronouns.
case function55Thisformallyschemaleavesoutidenticaltodativeindefinite-interrogativeDespite this
(that of thepartial formal
possessor) must56be57
distinguished2.1.1.__Noun_
core tte Ft Pettonfunctionalgroundsfromdative(indirectobject).prefixed with nan- (probably created
nan-); see examples in 2.1.1.8.6.4.inflection
tt tt te tteThe noun inflects for noun class, case, and number.
Case functions
are marked in nouns by combinations of prefixes and suffixes.
This is
unlike the majority of better-known (mostly Pama-Nyungan) Australian
languages in which case functions tend to be marked by suffixes only.
The
marking of case is formally intertwined with marking for noun class, as
described in 2.1.1a.
The description of case-marking is complicated by the fact that all
overt number suffixes have distinct case forms.
Discussion is limited first
to the singular noun; in 2.1.1.8 the number suffixes are introduced.
221.1a:_Noun_classeesi_syntactic casepatterningThere are three noun classes: masculine, feminine and neuter.
Masculine and neuter classes are inflectionally similar in a number of ways,
including the fact that each class has two prefix forms, each prefix
appropriate to a particular set of case functions.
(See comments below on
a third masculine prefix form.)
In the distribution of forms over syntactic case functions, masculine
and feminine nouns pattern nominative-accusatively, while neuter nouns
pattern ergative-absolutively.
The distribution of forms over clause functions is shown in the following chart (TS = transitive subject function,
IS = intransitive subject, TO = transitive object).
masc. and
neuterThis
madeTSfem.","[34, 35]"
"SecondarypronounSee preceding section.
Case distinctions
2.1.2.1.20.systeminpronounsUse of nominative pronouns has been illustrated in
See 2.1.2.1.2.-4.
Brief remarks on uses of other case forms follow.
preceding sections.
Dative/purposive pronouns are used to mark the beneficiary or other
indirect object types of transitive and intransitive verbs, including the
Some examples of dative/
goal of a verb expressing purposive activity.
purposive pronouns are:
Nanga
na-mi ?-+Mmi -h
1Sg-look for-PP 2Sg""I lookedfornanba-nan?+ma-fA3P1/1Sg-ask-PPyou'.
nanga2Sg""They asked me about/for you’.
nanya
ja-@-yiyi-ji-n
3-3Sg-be afraid-MP-Pres 1InPl'Heisafraidof us'and
'mine', 'yours'
Genitive pronouns function as nominals meaning
they may be used in apposition to genitive NPs to
‘As adjectives,
on.
further specify the possessive relation.
nan-ma-ri
nanjugu na-bada-(nanju)
1Sg Gen MNom-father- (mine) 3Sg/1Sg-say-PC
""My father told me'PPmayfunctionPPaspredicatesinpredicatenominalconstruc-= na-nunyanguNom1Sg-2P1Gen‘I am yours(P1)'.1lExP1--go-PPNompronouns(naya)I went'MNom-father-PlNom1Sgandna-~bada- wulanayaGenitive
tions:njir-ya-j
1ExDu-go- -PPna-bada
MNom-fathernan-dalag38g/1Sg-bite(MNom) 2P1 Gen 3Sg/isg-bite
""Yours bit me'example below, 'I' and 'my father' are cross-referenced by
nir-, in the second 'I' and 'my fathers' by 1ExPl nila-.naya
1Sg Nomna-muyg-nunyaMNom-dog-yours(P1)Gen""Your(P1) dog bit me'.
When functioning as nouns, genitive pronouns in transitive and intransitive
subject functions are sometimes prefixed for noun class/case of the
(deleted) noun which they represent, but prefixation is more commonly
omitted in all major syntactic and local functions.
(na-)nunyangu
nan-dalagpronoun and a possessed kin term, where pronoun and propositus of the
kin term are co-referential, are cross-referenced in the verb by a pronominal representing combined person and number of the compound expression.",[59]
"PronounPronouns include first and second person forms.
They have subject,
object, dative, genitive and local case forms.
For most pronouns,
the
dative case form is identical to that used as possessive suffix.
Genitive
case is built morphologically on the dative, and local case forms on the
genitive.
A few third person forms are more like pronouns than demonstratives,
in that they do not code distance categories; see 2.1.2.5.2.1.",[33]
"IsNom
Ergdistribution by noun class is perfectly in
in Silverstein (1976).
There, it is shownin casepatterningby NPtype,thoseTONom
AbstypeslessAcc
Abskeeping
that ifwith generalizations
there is any split'natural'in TSclausefunc-tion will pattern ergative-absolutively, while relatively more 'natural'
agents will pattern nominative-accusatively.
Note that in ergative-absolutive patterning the TS clause function is filled by the functionally
unpaired (i.e., TS # IS = TO), hence functionally more highly marked, case
form (ergative).
An instrumental case function must be distinguished for neuter nouns.
The instrumental noun expresses the means by which (also, sometimes the
manner in which, see 2,1.1.4.3) an activity is performed,
The instrument is
put in a case form identical to ergative, but instrumental case function is
distinguished syntactically from that of transitive subject.
The instrumental NP is never cross-referenced in the verb, while NPs in transitive
(and intransitive) subject functions must always be cross-referenced,
Besides the syntactic and instrumental case functions marked by
alternations of prefix forms, the other case functions
(genitive, dative,
purposive and local) are expressed by combinations of appropriate forms ofthenounclass/caseCombinations
nounclass.prefixes
ofFemininewithprefixes
nounscasewithhavesuffixes.suffixesnominativecan
nala-,bebrieflysummarizedbyaccusativenan-,aandFeminine
third prefix form naya- which occursin all other case functions.
genitive/dative/purposive forms are characterized by zero suffix, but local
case meanings require overt suffixes as for the other noun classes.
For masculine nouns nominative is marked by na-, accusative by @-.
One additional comment must be made regarding marking of masculine direct
Though most masculine nouns in direct object function are marked
objects.
with @-, masculine kinship terms in direct object function are oftendative/purposiveandlocativecasehistorically by
The prefix formfunctions,$-analogy with FAcc
na- occurs in genitive/in allativeNeuter nouns show the same distribution of prefix forms in
case functions as masculine nouns.
For neuters, na- marks
instrumental, while intransitive subject and direct objectTable
nominative(TS,2-1IS)andablative.non-syntactic
ergative and
are marked byNoun class/case paradigms
Feminine 'woman'
Masculine'man'nala-gaduguna-malamaccusative (TO)
genitive/dative/purposivenan-gadugu
naya-gadugu@-malam
na-ma
| am-gulocative
allative
ablativenaya~gadugu-yan
naya-gadugu-|ama
naya-gadugu-wanana-ma
| am-gan
$-tna |am-ga | ama
@-malam-ganaergative (TS), instrumental
absolutive (IS, TO)genitive/dative/purposiveNeuter ‘tree!
na-(andi
@-landina-|andi-wu
-{andi-yanlocativeallativeb-landi~\amaablative$-\andi-wanapergressive
2.1.1b.",[35]
"PurposecomplementsThe dative/purposive nominal case-ending is identical to a purposive
A
381).
verb suffix in many Australian languages (see Dixon 1980:310,
similar parallel between an affix used in nominal and verbal constructionsisfoundsuffixThe nominalin Manarayi.-w,u(see3.4.1.1forthe morpho-phonemic alternation) marks dative/purposive and genitive in (masculine and
(In pronouns, however, it is the formative used to build
neuter) nouns.
genitive case-forms upon the morphologically basic dative ones, which lack
Genitive and dative case functions are described in 2.1.1.2.5
the suffix.
the use of dative case in purposive meaning is described
and 2.1.1.2.5.1;
in 2,1.1.4.13).
It
(DI).
As verbal suffix, -w,u is termed 'desiderative-intentional'
is used to express intention or desire on the part of the agent of the verb
It cannot be used to create comwithin a single clause (see 2.1.3.-IId).
plex (two-clause) desire or purpose complements in which the second clause
has a different subject; i.e., it is not used to express such meanings as
The former can
'I want/told/intend him to go’, only 'I want/intend to go'.
see 1.1.1.1.
only be expressed as direct (or reported direct) discourse,
Thus, desiderative-intentional is a possible modal modulation of a main
clause verb, not a means of creating subordinate complements.",[12]
"LingutstieNovember 1978,
this time.
ItypeAboriginally,
languages of the proposed Pama-Nyungan family were spoken
over most of the Australian continent except for a relatively small area in
northern Western Australia and the Northern Territory.
Manarayi belongs to
a non-Pama-Nyungan genetic subgroup.
Wider relations among the non-PamaNyungan subgroups are presently not well established.
Manarayi is a highly inflecting language.
Nominal case function is indicated by noun class/case markers which show different patterning by noun
class.
There are three noun classes, masculine,
feminine and neuter
(largely inanimate).
Case-marking in masculine and feminine classes is
organized nominative-accusatively, and in the neuter class, ergative-absolutively.
Also pronouns, demonstratives,
interrogative-indefinite and plural
forms pattern nominative-accusatively.
There is evidence, however,
that
nominative-accusative patterning in at least the feminine noun class is
a historical development from an earlier ergative-absolutive pattern (see
2.1.1d).",[6]
"ReflexiveThere are no special reflexive pronouns.
Reflexive is marked by a
verbal suffix (2.1.3.1.2.3), the NP cross-referenced by intransitive pronominals, and may also be specified by independent nominative pronoun.
The reflexive category is only used in Manarayi where subject and object
are co-referential.
Corresponding to instances in English where the
reflexive is in other than direct object function (e.g., indirect object
'I bought it for myself'), Manarayi can use either independent dative or
genitive pronoun:
Na-may
Nanju-gu1Sg/3Sg-get PP 1Sg Gen
""I got mine', i.e. ‘I got
2.1.2.3.itformyself'.",[59]
"Genitive case is not formally distinct from either dative or purposive
Nevertheless genitive and dative case functions can
within each noun class.
be distinguished from each other on semantic and syntactic grounds.
Genitive is the case used to express possession, while dative marks a
Unlike many
(typically, animate) beneficiary for whom something is done.
verbal
verb.",[40]
"Person/number/casecategoriesinpronounsThere is a full
The personal pronouns pattern nominative-accusatively.
Dative forms are the same as those which function as
set of case forms.
are built directly
possessive suffixes; genitive forms for the mest part
inclusive/exclusive
an
is
There
genitive.
the
on
forms
on these, and local
trial ‘you,
contrast in first person nonsingular forms, and additionally a
Thus
Second person distinguishes singular-dual-plural.
I and another'.",[57]
"There(e.g., Dixon 1972:43) the genitive noun
function within the NP, and then inis no‘doublecase-marking'inManarayi.
That is, nouns standing in attributive relation to a head
noun
are case-marked only for their function within the NP,
and the head is
Case-marked to express the external function of the
NP within the clause:
na-muyg
naya-Bagurniya nan-dalag
MNom-dog FGen-(name)
3Sg/isg-bite PP""Bagurniya'sdogbitme'.betweensaybalayarg
middle/halfwayti“halfway'''.the
between
anywhere
to may be almost
referred
The place
it may be used without
in fact,
or,
the destination;
and
destination.
definiteof
point
implyingdeparture
anyon
moreNonsingular number is marked by two processes in
the noun: reduplicaand suffixation.
These may both be employed in the same form,
but
commonly, number is marked by one means or the other.
In the fullinfiectedbothnumbernoun,anyovertandcasecannumberbothbemarkersmarkedprecedebyovertcasesuffixes.morphologicalThoumaterialnin87
86in the
the same word, various strategies are employed which eliminate the need
Also, the fact that
for explicit number suffixation in many instances.
morphologically singular nouns may be interpreted as plural in many
contexts, reduces the incidence of nouns in which number is overtly marked.
Nonsingular number is cross-referenced in the verb with greater or
lesser consistency, depending on the case function and noun class of the
Inanimate nouns are less frequently explicitly number-marked than
NP.
animates, and even when so marked, are less frequently cross-referenced as
Sometimes in free speech there are disparities
nonsingular in the verb.
between number-marking on the noun and cross-referencing pronominal in
the verb.
There are three number-marking patterns in nouns: one for kin terms,
The sets of number
one for subsection terms, and one for other nouns.
Kin terms and ordinary nouns may be described as
suffixes used overlap.
having a singular-dual-plural number system, and subsection terms a
All number markers have a full set of
singular-dual-trial-plural system.
case forms; as for nouns themselves, genitive/dative/purposive are formally
identical; see 2.1.1.2.5.
The nonsingular number-marked noun tends to lack case class/prefixation, especially in syntactic case functions, but often is prefixed ingenitive/dative/purposiveCircumventing2.1.1.8.2.-3.‘many,a lot'.
nounsexplicitnonsingularmarkingfor nonsingular number is rendered
Plural number can be expressed bySuffixation
variety of means.
pluralfunctions.localandstronglySpeakerstendtreatedmorphologicallyare$-garan-galama$-banam-ga!amaNAll-manyNA1l1l-campto useNPsunnecessary by a
the adjective garag
singleorsingularsascollections:NAbl-tree""from many trees'
= na-landi
na-garag
NInst-stickNInst-many‘with manysticks'Dual number-marking in inaninamate nouns
clinable numeral nabaranwa 'two' and treatment
singular:$-banam-ga|amatwoNAl1-camp""to
However,twonumber/casesuffixnabaranwa
two""two men'
often usetendencytoin the
bad.sensemodifiedbynumeral'two',indeassuffixnounsanimaterequire'two'to modify
numeralmalam-garan'set(oftwo)';fordual-marked
dual'two men'.
thepleonasmisisevensuffix,e.g.,isevidentlyusedTherenominals.number/caseHeresingularneednotgeneric
Examplesminiwana-mubul-analreadyMLoc-singlealreadywomen'.ja-@-yu
3-3Sg-sleepboysleepingamong(the)bachelors/singleboys'(i.e.,is already circumcised)
Such meanings may be expressed by plural-marked nouns, usually where the
referents are contextually specific.
Where a generic sense like 'mankind'
is intended, a singular is also used.
Reduplication is only a secondary means of plural number expression
compared with suffixation.
There tends to be a standard set of nouns —
especially human status nouns — which frequently occur in reduplicative
form, especially in syntactic case functions.
Some of these are bugbugbug""oldpeople’,wangangij'children',gababuji‘oldblindpeople',anda fewothers; other nouns tend not to occur in reduplicated form unless in the
proprietive construction (see 2.1.1.4.4.-5).
Reduplicated kinship terms
occur regularly in plural dyadic formations
(2.la.2) but also in syntactic
case functions in other than dyadic formations.
Reduplicated plural nouns
are sometimes also number-suffixed:
bugbugbun-gala
'old people’
(Pl Nom).
Duality can only be marked by suffixation, not reduplication:
bugbun-garanoldpeople’.","[49, 50]"
