Paragraph,Page number
"l 3 ~ h i si s coniparable to the French unemphatic pronouns
marginal.- often considered very1 4 - ~ amay often be glossed ' f o r , in order to o b t a i n ' , and the term 'objective'
i s Kt used in the sense of object of the verb.
Issee, f o r example, 10.3.4.1, where the variant forms of the negative adverb
word and t h e i r distributions are described.
lbThe cl i t i c s are the border1 ine case and two statements in which they a r e involved are included here.
17Those cases where t h i s i s not so, which most frequently occur, are the irnperfective and descendant prefixes which both have the form GA- in many contexts
G- and X-, which occur as s y l l a b l e =set and coda respecand the variant forms tively.
18~henthe zero variant form of the consonantal cl i t i c -5' 'adessive'
with these locative words the forms a r e ?A, kd and yd respectively.occursFOOTNOTES TO CHAPTER 3
'1n conversation, however, the mi nor sentence may comprise a subordinate clause,
e.g. A n ~ 7 6 n i ' i f he buys i t 1 .2 ~ nfuture examples &IX will be rendered ' b e a r ' ( i n the i n t e r e s t s of brevity)
b u t i t may be noted t h a t t h i s word r e f e r s t o the brown bear as d i s t i n c t from
the black bear (Tl i n g i t s 7 \ g ) .
3 ~ h e s eare described in 4.2 and the following subsections.
4 ~ u r t h e rdata would probably suggest a wider semantic function f o r t h i s subc l a s s , b u t i t has thus f a r only been found occurring with a main clause containing the verb theme y - j i ' t o t h i n k ' .5 ~ nexamples of t h i s type, the t o t a l T l i n g i t sentence i s given f i r s t , divided
into i t s component clauses by ' / I , and the parts labelled in the same way.
The s t a t u s of the parts i s then diagrammed, using symbols as follows:
1N = nuclear in f i r s t l a y e r , 1s = s a t e l l i t e in f i r s t layer, and so on;
ind. = independent, sub. = subordinate.
6 ~ h a ti s , containing the prefixes 2- ' i r r e a l i s ' , s1'ascendant' , and h2'imperfective', and the decessive suffix -in.
-AWE
- i s here representative of a l l four demonstrative postmarginals. Y A Y i s
most frequently manifested by the variant form JA (see 5.3.1 footnote 4 r
8 ~ nthe fol lowing examples, the shared elements a r e underl ined.
l o ~ h i si s a nominal phrase (composed of a demonstrative word (6.4.2) w e and a
noun word comprising the derived noun stem (8.5.2.1) j ~ n t ! expanded b y t h e
adverb &) functioning formally as object (4.2.2.2.2).
llsee R . H . Robins, General 1i n g u i s t i c s :an introductory survey, (1964) :233.12see R . Subbiah, The syntax of spoken Tamil (London, Ph.D. t h e s i s , 1965):26.
131n the fol lowing examples, the preceding sentence (when gi ven) i s bracketed,
the postulated 'completion' i s underl ined, and the incomplete sentence i s l e f t
without e i t h e r underlining or bracketing.
14see R. H. Robins, General 1inguistics : an introductory survey, (1964) :232.
15several members of t h i s class are extrasystemic phonologically, containing
such features as a word final g l o t t a l stop. See also 2.3.1 footnote 5.
1 6 ~ h a ti s , a stem occurring in other contexts with an allomorph containing a
long (2.2.2.1) vowel, may have an allomorph which occurs here with the corresponding short vowel.
1 7 ~ h e r ei s a s t y l i s t i c preference f o r r e l a t i v e l y short sentences (see 1 . 3 ) .","[173, 174, 175]"
":Of these interjections ( 5 . 5 ) function only a t sentence l e v e l ; marginals ( 5 . 3 ) ,
;syntactic markers ( 5 . 4 ) and the conjunction ( 5 . 6 ) function b o t h a t phrase and high-..
e r levels (and n o t wit.hin the phrase base); the remainder function within the phrase
base. These l a t t e r classes may be divided into nuclear (6.2)-verb, nominal, locave, directional and
t i v e and adverb- andsa t e l l i t e (6.4)-pronominal, demonst\%ati
modifier; the former may function as the unmarked nucleus of a phrase, the l a t t e r
e i t h e r may not function as nucleus or may d o so only when f ~ l l o w e dby a syntact i c marker. The great majority of words belong to the verb ( 7 . 4 ) and nominal ( 8 . 4 )
word classes, which are open s e t s . A cross-classification of words into interrogative and non-interrogative yields a small interrogative word c l a s s ( 6 . 5 ) , a1 1
other words being non-interrogative.
A verb comprises a theme ( 7 . 5 . 3 ) (which i s a stem preceded immediately by
an extensor, and, in a 1 imited number of cases, derivational prefixes) with or
without inflectional a f f i x e s . Verb themes are t r a n s i t i v e , i n t r a n s i t i v e , s t a t i v e
or impersonal. Verb forms a r e assigned to paradigrns ( 7 . 5 . 5 ) (each paradigm being
a s e t of forms varied only as to pronominal subject prefix) which niay be niain, subordinate, a t t r i b u t i v e or infini t i v e . Mai n and subordinate inflected Forms function
in the verbal phrase of independent ( o r included) and subordinate clauses respectively; a t t r i b u t i v e inflected forms function in the nominal phrase as satel 1 i te
and i n f i n i t i v e inflected forms are substitutable for a nominal phrase ( 8 . 3 . 6 ) .
Prefixation i s almost e n t i r e l y limited t o verb forms, which have considerably more prefixation than suffixation. Limited inflectional suffixation i s found
among nominal (8.5) and locative ( 9 . 5 ) words. The members of other classes a r e
in most cases monomorphemic. Where t h i s i s not the case, word stems usually comprise
e i t h e r two roots or a root and a derivational s u f f i x .
C l i t i c s occur as elements a t sentence and clause levels. They a r e phonologically dependent, b u t form an IC with the t o t a l clause or phrase, rather than
with the word they immediately follow. These cl i t i c s are a1 1 members of the synt a c t i c marker class (which includes also certain f u l l words in i t s membership).
There i s congruence of grammatical and phonological''bbundaries a t the sentence level. A t lower 1 evels t h i s congruence 'is often incomplete, b u t considerable.","[13, 14]"
"Anaptyctic vowels
Two anaptyctic vowels a r e found, i and u , whose occurrence i s predictable
from the structure. The environments in which these occur may be summarized as
follows: ( a ) between a (grammatical) nucleus having a final double consonant clust e r and a (grammatical) sate1 1 i t e having an i n i t i a l consonant, and ( b ) between a
s a t e l l i t e consisting of an a t t r i b u t i v e clause construct having a f i n a l double consonant c l u s t e r , and following nucleus (of necessity the nucleus of a nominal phrase
[8.3.5.2]) having an i n i t i a l consonant. These anaptyctic vowels a r e not symbol ized
since, given the grammatical s t r u c t u r e , the presence of such a vowel i s predictable.
Which vowe15(that i s , whether i or u ) occurs i s dependent upon the phonological
environment .
2.3Symbol ization of Suprasegmental and Other FeaturesThe levels s e t u p f o r the phonological analysis of Tl ingi t , and the units
operating a t these levels, are: the phoneme, s y l l a b l e , tone group, span and pause
group. So f a r , only the symbols which represent the phoneme level have been described. The span ( a unit consisting of a number of closely related tone groups,
with the tone of the final tone group being the most prominent) and the pause group
(a unit consisting of spans and bounded on e i t h e r side by pause) a r e not symbolized
in t h i s transcription. The boundaries of any utterance given will also be pause group
boundaries, however, and the span i s usually co-terminous with the boundaries of the
major ICs of the clause ( o r sentence). Tone group boundaries also a r e not marked, b u t
the tonic s y l l a b l e i s (see 2.3.2).
2.3.1Svllables
Every vowel defines a s y l l a b l e peak and every vocalic s x l l a b l e contains a
V and VC occur
vowel. Vocalic s y l l a b l e patterns are V , V C , C V , CVC, AND CVCC.
only in the precontour of the tone group ( t h a t i s , as non-tonic s y l l a b l e s ) i n i t i a l
to a grz;.yatical word; CV and CVC occur in a l l environments; CVCC occurs only
f i n a l t o the tone group ( i n almost a l l cases as a tonic s y l l a b l e ) .
The plain f r i c a t i v e s (2.2.1 . I ) , s , 5 , and 4 , may form consonantal s y l l a b l e s ;
in t h i s case the f r i c a t i v e i s of longer duration (than when functioning as a s y l l a b l e
margin) and/or constitutes a peak in breath force. These consonantal syllables a r e
The environments in which these consonancongruent with total grammatical words.
t a l syllables occur i s r e s t r i c t e d t~ the following: ( a ) between two consonants
within a tong group, preceding the tonic s y l l a b l e , e.g.
du.w~G.4.t i g
' t h e pupil of his eye' ; ( b ) i n i t i a l to the tone group and preceding
e i t h e r a consonant, or a vowel which may be potentially preceded by a g l o t t a l stop
(2.2.1.3) ( t h a t i s , a vowel i n i t i a l t o a grammatical word), e.g. 4. qurtlni 'blind
person', 4. uSk'5 ' e v i l ' .
Spaces i n the transcription mark the boundaries of grammatical words ( 2 . 4 . ) .
While these a r e grammati cal--not phonologi cal--uni t s , there i s a considerable
degree of congruence between word boundaries and syllable boundaries, apart from
those s y l l a b l e boundaries which occur word medial ly in polysyllabic words. In
these cases, word medial syllable boundaries may be predicted as follows: an
intervocalic single consonant constitutes a s y l l a b l e onset and not a s y l l a b l e coda,
since V and VC syllables do not occur word medially. For the same reason, a
c l u s t e r of two consonants i s divided between a s y l l a b l e coda and a s y l l a b l e onset.",[19]
"FOOTNOTES TO CHAPTER 4
'The term 'phrase' includes a one word element occurring a t clause level (other
than a clause marginal [ 5 . 3 . 1 ] ) , since every such element i s expandable into
a mu1 ti-word phrase ( i f only by the addition of a phrase marginal [ 5 . 3 . 2 ] , as
in the case of the negative adverbial phrase).
2 ~ v e r ysuch verbal phrase contains as i t s nuclear element a verb word (which
i s defined i n terms of i t s function there) which consists of a verb theme
( t h a t i s , stem plus derivational a f f i x e s [ 7 . 5 . 3 ] ) together with inflectional
suffixes ( 7 . 5 . 4 ) , and i s a member of a verbal paradigm ( 7 . 5 . 5 ) .
3 ~ h eterm 'nuclear verb' designates the verb contained in the (nuclear) verbal
phrase of the clause.
4 ' ~ a i n and
'
'subordinate' paradigms wi 11 not be defined structural ly in t h i s
study, since they a r e so definable only in ternis of the total form (prefixes,
inflected stem form, and s u f f i x e s ) and t h i s niorphological detai 1 i s considered
t o be outside the scope of the present work.
5 ~ r a c e sdenote cross-classification ( t h a t i s , each clause i s referable t o two
types, see 4.2.3).
%ompare the additive supplemental clause ( 4 . 2 . 1 . 5 . 1 ) .
7~emanticfunctions of subordinate clauses have been l i s t e d in 3.2.1; they are
repeated here f o r convenience of reference.he variant form ? i n occurs occasionally in t h i s context, freely fluctuating
tln.
with two calque forms, ku3tu'y~X ' i t doesn't matter, I don't c a r e ' and
gun A! Z f S 'thank y o u 1 , together with the noun phrase ,.\ giwu 'time f o r i t , i t s
time' -(when having the same function as t h e s e ) , para1 l e l the clauses of which
these verbs a r e nuclear since they always occur e i t h e r in isolation or followed
by an additive supplemental clause. They a r e allocated t o a non-verbal clause
type - t h e unitary clause ( 4 . 3 . 3 ) of which they a r e the only three exponents
recorded.
l 0 ~ l t h o u g hthe negative word 4 (10.3-4.1) may occur in t h i s clause, i t seldom
does so, b u t when the prefix u- ' i r r e a l i s ' (which in other contexts i s most
frequently associated with co%currence of a negative word) occurs, the clause
always has a negative semantic component.
llThis may be marked in one of a variety of ways, f o r example: by the colas in dx"" 'men'; by a basically plural
l e c t i v e plural noun suffix -x'--x"",
3d 'women' (compare 3aw:;d 'woman' ; by a compound containing a
word, as in plural word, as in k' ~ s d n i ' l a d ~ m ~ n t a i n sdni
i n ~ ' c l u s t e r , group of objects' ) ;
by a noun containing a verb stem which i s basically plural, as in ?An-d qjni
'crowd, mu1 t i t u d e ' (containing the stem fi ' s i t [ p l . 1' - contrasted with 2
' s i t [sg. 1 ' ) .","[175, 176]"
"FOOTNOTES TO CHAPTER 9'A 1 i m i t e d number o f l o c a t i v e phrases have been found i n t h i s f u n c t i o n . They
a r e t o be d e f i n e d i n a s i m i l a r way t o t h e nominal phrase f u n c t i o n i n g as o b j e c t
(4.2.2.2.2), v i z : t h e o b j e c t l o c a t i v e phrase i s i n agreement w i t h t h e nonf o c a l o r t h i r d person o b j e c t pronominal i n the verbal phrase:
AX
LPo
myhtdiki#4lnhwhousesurface3leaksvP'My r o o f i s l e a k i n g . '
2 ~ h ei n d e f i n i t e l o c a t i v e i s homophonous w i t h t h e non-focal pronoun (8.4.3).
There i s r a r e l y room f o r ambiguity i n view o f t h e d i f f e r e n t d i s t r i b u t i o n s o f
each, b u t when a form o f t h e shape o f t h e i n d e f i n i t e l o c a t i v e and t h e nonfocal pronoun occurs immediately f o l lowing t h e n u c l e a r l o c a t i v e phrase o f t h e
l o c a t i v e clause (which i t does q u i t e f r e q u e n t l y ) , i t i s assumed t h a t t h i s form
i s an exponent o f t h e pronoun and n o t of t h e l o c a t i v e .
yfs
NP t
newx'dx'
bookAX
Jiwu
LPn
my
hand-sm7MP t
nf' I have a new book. '
The above example may be compared w i t h t h e f o l l o w i n g i n which t h e n u c l e a r
hd.
l o c a t i v e phrase i s immediately f o l l o w e d by t h e t h i r d person pronoun ni?4u
LPn
home-smhd
NPt
3'He's a t home. 'FOOTNOTES TO CHAPTER 10
l ~ h emost convenient a l t e r n a t i v e analysis appears t o be t o t r e a t those classes
of adverbial phrase which have the greatest degree of correlation between
distribution and structure as separate phrase c l a s s e s , functioning a t clause
l e v e l . This would r e s u l t in the following clause level elements ( a p a r t from
the verbal, nominal, and 1ocative phrases a1 ready s e t u p ) : negative, complemental, modal, and situational (locational , adjunctival , and temporal ) . This
analysis has n o t been chosen because of the overlap mentioned above and
because the analysis i s preferred which t r e a t s a l l the s a t e l l i t e phrases under
the one head.
2 ~ h e r ei s only partial correlation between the formally defined classes and
semantic function.
3 ~ h e s erarely follow or precede the verbal phrase immediately since t h e i r preferred position i s e i t h e r i n i t i a l or final in the clause. This i s in contrast
t o the locational and adjunctival phrases.4 ~i st also found q u i t e frequently in incomplete sentences referable t o these
( 3 . 3 . ) Particularly frequent are incomplete sentences comprising the negat i v e adverbial phrase followed by a phrase containing an interrogative word
( 6 . 5 ) , e.g. A44 da sX 'Nothing!'.
5 ~ h e s ea r e paradigms defined by the prefixes 2- ' i rreal i s ' , 'ascendant',
and GJ~- ' imperfective' in the prefix s t r i n g and usually trans ated i n English
by the future tense.
6 ~ h enegative adverbial phrase might have been so defined as t o include gWL4.
I t has been consciously excluded by the present definition (since i t does not
always occur with a verb containing the i r r e a l i s p r e f i x ) , f o r the following
reasons: ( a ) i t does not occur preceded or followed by phrase marginals and
therefore does not appear t o be the nucleus of a phrase; ( b ) dubitative
postmarginals frequently occur in phrases in the clause where gWX4 i s present
and t h i s i s not the case with the negative word; ( c ) semantically also i t does
not negate the clause in which i t occurs.7 ~may
t be noted t h a t when the negative adverbial phrase i s forming an IC with
the nominal phrase, the i r r e a l i s prefix s t i l l occurs in the nuclear verb of
the verbal phrase.
8 ~ o examples
r
of t h i s construction related t o the incomplete sentence, see
3.3.1.he absence of the locative marker - u following the nuclear phrase when the
negative adverbial phrase i s present i n t h i s clause i s noted and exemplified
in 4.3.2.
'O~he translation equivalent i s l i t e r a l l y 'He went with no o n e 1 , see 4.4.1.","[185, 186, 187]"
"On the basis of function in the clause, and in some cases,
occurrence with f o l l owing syntactic markers, the phrase may be divided
i n t o four classes : verbal, nominal , locative and adverbial. These wi 1 1
be defined here, b u t described both as t o function and s t r u c t u r e , in
chapters 7 t o 10.
5.2.1 The Verbal Phrase. The verbal phrase i s defined a s t h a t phrase
which functions only as the nucleus of the clause.
5.2.2 The Nominal Phrase. The nominal phrase i s defined as t h a t phrase
which may function as nucleus or sate1 1 i t e of the clause (4.1) and
which i s never followed by the locative syntactic marker (5.4.5).
5.2.3 The Locative Phrase. The locative phrase i s defined as t h a t phrase
which may function as nucleus o r s a t e l l i t e of the clause and which may be
followed by the locative syntactic marker.
5.2.4 The Adverbial Phrase. The adverbial phrase i s defined as that
phrase which functions only as a s a t e l l i t e of the clause.
5.3 Marginals. Plarginals may be defined as those words which occur as
outer components of the clause (4.2.2.5) or phrase, forming an IC with
one or other of these units. Their grammatical function i s thus t o
delimit a larger unit ( t h a t i s , the clause or phrase) in which they occur.",[66]
"WORD CLASSES
6.1 General
69
6.2 Nuclear Word C l a s s e s
69
6.2.1 The Verb
70
6.2.2 The Nominal
70
6.2.3 The Locative
70
6 . 2 . 4 The Adverb
70
70
6.3 Nuclear Nard Groups
70
6.4 Sate1 1 i t e Word C l a s s e s
6.4.1 The Pronominal
70
6.4.1.1 Functions and Forms
72
6.4.1.2 Semantic C a t e g o r i e s
73
6.4.2 The Demonstrative
75
6.4.3 The D i r e c t i o n a l
77
6.4.4 The Modifier
79
6.5 I n t e r r o g a t i v e Word Class
80
THE VERBAL PHRASE AND THE VERB
7.1 General
82
7.2 Function o f t h e Verbal Phrase
7.3 S t r u c t u r e o f t h e Verbal Phrase
7.3.1 The Nucleus
8282
827.3.2 The S a t e l l i t e s
83
7.3.2.1 The Pronominals
83
83
7.3.2.2 The D i r e c t i o n a l s
-7.4. Classes o f t h e verb-word
84
84
7.4.1 Axial and A u c i l i a r y Verbs
7.4.2 T r a n s i t i v e , I n t r a G i t i v e , S t a t i v e , and In~personal Verbs
7.5 S t r u c t u r e o f t h e Verb Word
85
7.5.1 The Verb Stem
85
867.5.2 The Extensor
7.5.3 The Theme
86
7.5.4 The I n f l e c t i o n
90
7.5.5 The Paradigms
91
7.5.6 The S t r u c t u r e of t h e A u x i l i a r y
94
7.6 Relation o f Paradigms t o Other Elements
95
95
7.6.1 Paradigms Cooccurring w i t h t h e Auxi 1 i a r y
7.6.2 Paradigms Cooccurring wi t h D i r e c t i o n a l s
95
-I-65847.6.3
7.6.4Paradigms Cooccurring w i t h t h e N e g a t i v e A d v e r b i a l Phrase
96
Paradigms Cooccurring w i t h P a r t i c u l a r S i t u a t i o n a l S y n t a c t i c MarkersTHE NOMINAL PHRASE AND THE NOMINAL
8.1 General
97
8.2 F u n c t i o n o f t h e Nominal Phrase
97
8.3 S t r u c t u r e o f t h e Nominal Phrase
98
98
8.3.1 Type 1: The I n c l u s i v e
8.3.2
Type 2: The Numeral
99
8.3.3 Type 3: The Pronoun
99
. 8.3.4 Type 4: The A p p e l l a t i o n
99
8.3.5 Type 5: The Noun
99
8.3.5.1
Type 5a: The Type A Noun Phrase
100
8.3.5.1.1
The Nucleus
100
8.3.5.1.2
The S a t e l l i t e s
101
8.3.5.2
Type 5b: The Type B Noun Phrase
105
8.3.5.2.1
The Nucleus
105
8.3.5.2.2
The S a t e l l i t e s
105
8.3.6 The C l ause Constructs
106
8.3.6.1
The A t t r i b u t i v e Clause C o n s t r u c t
106
8.3.6.2
The I n f i n i t i v e Clause C o n s t r u c t
107
8.4. Classes o f t h e Nominal Word
108
8.4.1 Class 1: The I n c l u s i v e
108
8.4.2
Class 2: The Numeral
108
8.4.3
Class 3: The Pronoun
108
8.4.4
Class 4: The A p p e l l a t i o n
109
8.4.5 Class 5: The Noun
109
8.5 S t r u c t u r e o f t h e Nominal Word
110
8.5.1 S t r u c t u r e o f t h e I n c l u s i v e , Numeral, Pronoun and A p p e l l a t i o n
8.5.2
S t r u c t u r e o f t h e Noun
110
8.5.2.1
The Noun Stem
110
8.5.2.2
The Noun I n f l e c t i o n
112
THE LOCATIVE PHRASE AND THE LOCATIVE
9.1 General
112
9.2 F u n c t i o n o f t h e L o c a t i v e Phrase
112
9.3 S t r u c t u r e o f t h e L o c a t i v e Phrase
113
9.3.1 Type 1: The I n d e f i n i t e L o c a t i v e
113
9.3.2
Type 2: The D i r e c t e d L o c a t i v e
114
9.3.3
Type 3: The Areal L o c a t i v e
114
114
9.3.4 Type 4: The Postposi t i onal L o c a t i v e
9.4 Classes o f t h e L o c a t i v e Word
115
115
9.4.1 Class 1: The I n d e f i n i t e L o c a t i v e
115
9.4.2
Class 2: The D i r e c t e d L o c a t i v e
9.4.3
Class 3: The Areal L o c a t i v e
116
9.4.4
Class 4: The P o s t p o s i t i o n a l L o c a t i v e
116
9.5 S t r u c t u r e o f t h e L o c a t i v e Word
116
9.5.1 The L o c a t i v e Stem
116
9.5.2
The L o c a t i v e I n f l e c t i o n
116
THE ADVERBIAL PHRASE AND THE ADVERB
10.1 General
117
10.2 F u n c t i o n o f t h e A d v e r b i a l Phrase
10.2.1 The Negative A d v e r b i a l Phrase
10.2.2 The L o c a t i o n a l A d v e r b i a l Phrase117
118
1201109610.2.3 The A d j u n c t i v a l A d v e r b i a l Phrase
121
10.2.4 The Complemental A d v e r b i a l Phrase
122
10.2.5 The Temporal A d v e r b i a l Phrase
123
10.2.6 The Modal A d v e r b i a l Phrase
123
10.3 S t r u c t u r e o f t h e A d v e r b i a l Phrase
125
125
10.3.1 Type 1: The Nominal Phrase
10.3.2 Type 2: The L o c a t i v e Phrase
127
10.3.3 Type 3: The S a t e l l i t e Word
128
10.3.4 Type 4: The Adverb Word
128
10.3.4.1
The Negative Subtype
129
10.3.4.2
The Complex Subtype
131
132
10.3.4.3
The Simp1 e Subtype
10.3.4.4
The Possessed Subtype
133
10.3.5 Summary o f t h e S t r u c t u r e o f t h e Classes of t h e A d v e r b i a l Phrase
10.3.6 Summary o f Overlap
134
10.4 Classes o f t h e Adverb Word
135
135
10.4.1 Class 1: The N e g a t i v e Word
10.4.2 Class 2: The L o c a t i o n a l Adverb
135
10.4.3 Class 3: The Temporal Adverb
136
10.4.4 Class 4: The Modal Adverb
136
10.5 S t r u c t u r e o f t h e Adverb Word
137
10.5.1 M o r p h o l o g i c a l l y Simple Adverbs
137
10.5.2 M o r p h o l o g i c a l l y Complex Adverbs
137
10.5.2.1
Adverbs Formed by Cornpoundi ng
137
10.5.2.2
Adverbs Formed by A f f i x a t i o n
137
Annotated T e x t138B ib l iography
Footnotes153
158134LIST OF TAGLES. . . . . . . . . . . . . . . 4A
. . . . . . . . . . . . . . . . . 4BTable 1ConsonantsTable 2VowelsTable 3C r o s s - c l a s s i f i c a t i o n o f Clauses by
.
Function and S t r u c t u r e . . . .","[5, 6, 7, 8]"
"Clauses have been described as composed of phrases (withor without syntactic markers) and clause marginals ( 4 . 1 ) . The phrase
i s divided into phrase base and marginals ( 5 . 2 ) . The phrase and i t s
classes will be defined in t h i s chapter.
Marginal s (both clause and phrase), syntactic markers (of word
and c l i t i c s t a t u s ) , i n t e r j e c t i o n s and the conjunction comprise those word
classes which do not function in the phrase base. These will be further
defined and described following the definitions of the phrase and phrase
classes.
5.2 Definitions of the Phrase and Phrase Classes. The phrase i s defined
by i t s place in the hierarchy as a unit higher than the word ( 2 . 4 ) and
lower than the clause ( 4 . I ) , functioning (with or without following synt a c t i c markers) as an element of the clause, and composed of words and,
in certain cases, phrase o r clause constructs.
The phrase i s divided into marginals and phrase base ( t h e remainder), since these marginal s a r e potential outer components of phrases
of any class or type. They occur both preceding and following the phrase
base and thus delimit the boundaries of the phrase.",[66]
"( 2 ) Compound noun stems. Compound noun stems a r e composed o f a c o m b i n a t i o n
of noun and l o c a t i v e r o o t s , e i t h e r two noun r o o t s o r noun, l o c a t i v e , and noun
r o o t i n t h a t order.
Noun r o o t 4 ' d t '' t o n g u e ' + noun r o o t AdG4'ut'AdG
Noun r o o t $( ' head''arrowhead' :' snake'
+ l o c a t i v e r o o t fi ' u n d e r ' + noun r o o t 7id 'thing' :g ~ y b d 'pillow'I t may be n o t e d t h a t compounds c o n t a i n i n g t h e portmanteau morph &
l
(composed o f t h e l o c a t i v e r o o t
' u n d e r ' and t h e noun r o o t ? i d ' t h i n g ' ) o r
k,( '-Firface' and t h e
t h e portmanteau morph k&d (composed o f t h e 1o c a t i v e r o o t ? i d ' t h i n g ' ) a r e q u i t e common.
same noun r o o t -One f u r t h e r t y p e of compound c o n s t r u c t i o n w h i c h i s p r e v a l e n t enough
t o m e r i t mention, i s t h a t i n w h i c h a noun r o o t i s compounded w i t h p r e c e d i n g
l o c a t i v e r o o t ( s ) , t h e t o t a l word b e i n g preceded i n t h e nominal phrase by a
noun word. T h i s i s a case o f non-congruence o f grammatical and p h o n o l o g i c a l
boundaries, f o r t h e grammatical components a r e a l o c a t i v e p h r a s e c o n s t r u c t
as s a t e 1 1 i t e f o l l o w e d by a noun word as head (compare r, X i
' some' [ 1 i t .
' i t among one' I), b u t t h e p h o n o l o g i c a l boundaries l e a d t o t h e a n a l y s i s i n t o
noun word f o l l o w e d by noun word compound (see 2 . 5 . 1 ) .
T h i s c o n s t r u c t i o n i s used p a r t i c u l a r l y f r e q u e n t l y i n t h e d e s i g n a t i o n
o f m a t e r i a l items brought i n from o u t s i d e t h e c u l t u r e :x 'dx ' d a k ~ q d g' p u r s e ' ( 1 i t . 'money around-on-sack' )
' a p p l e box ' ( 1 it . ' appl e around-on- box ' )Xdd X ' ~ yt '&X
i' f i s h h o o k ' ( l i t . ' f i s h mouth-under-hook')ddna dakAgW&A compound noun may be a member o f e i t h e r c l a s s I o r c l a s s I I b nouns.","[124, 125]"
"The f o r m a l c o n t r a s t s between t h e nominal phrase f u n c t i o n i n g as s u b j e c t
(NPs), o b j e c t (NPo), i n d i r e c t o b j e c t ( N P i ) , and e x t e n s i o n (NPe) a r e as
f o l l o w s : NPs e x h i b i t s agreetilent w i t h t h e pronominal s u b j e c t p r e f i x (7.5.4)
i n t h e n u c l e a r verb; NPo e x h i b i t s agreement w i t h t h e o b j e c t pronominal
(6.4.1.1) i n t h e n u c l e a r v e r b a l phrase; NPi e x h i b i . ' . ~ no agreement w i t h
e i t h e r ; NPe e x h i b i t s agreement w i t h a p o s s e s s i v e prunorninal i n a nominal,
l o c a t i v e , o r a d v e r b i a l phrase o f t h e c l a u s e . I n a d d i t i o n , NPs may be o p t i o n a l l y f o l l o w e d by t h e s u b j e c t i v a l s y n t a c t i c marker - j ( 5 . 4 . 4 ) , and i s o b l i g a t o r i l y
so f o l l o w e d when o c c u r r i n g w i t h a t r a n s i t i v e verb ( 7 . 5 . 3 ) w i t h o u t p r o nominal s u b j e c t p r e f i x ( 7 . 5 . 4 t a b l e 7 ) and w h i c h i s preceded i n t h e v e r b a l
phrase by t h e o r d e r 1 t h i r d person o b j e c t prononiinal ( 6 . 4 . 1 . 1 ) ( w h i c h has a
zero allomorph i n t h e verbal phrase).
4.2;2.2.1
The Nominal Phrase F u n c t i o n i n g as S u b j e c t . T h i s phrase i s i n
agreement w i t h t h e pronominal s u b j e c t p r e f i x o f t h e n u c l e a r v e r b ( o r i t s
s i g n i f i c a n t absence) as f o l l o w s : ( a ) i f t h e pronominal s u b j e c t p r e f i x i s
f i r s t o r second person, t h e nominal phrase has as i t s n u c l e a r element a
nominal of t h e pronoun s u b c l a s s ( 8 . 4 . 3 ) w h i c h i s t h e same i n number and
person as t h e p r e f i x , and w h i c h i s p o t e n t i a l l y f o l l o w e d b y - j ; ( b ) i f t h e
pronominal s u b j e c t p r e f i x i s t h e f o u r t h person p r e f i x du-, f i e nominal
phrase has as i t s n u c l e a r element e i t h e r t h e i n c l u s i v e 7 8 . 4 . 1 ) - l _ d ~ k i d ,o ra nominal designating a c o l 1e c t i v e e n t i t y (and u s u a l l y formal lyl'c o l 1e c t i v e
p l u r a l ) o r t h e word 3 ' o n e ( s ) ' ( i n . t h e f i r s t case t h e r e i s no s a t e l l i t e i n
t h e phrase; i n t h e o t h e r two cases, t h e r e may be a sate1 l i t e element, which
i s most u s u a l l y an a t t r i b u t i v e clause c o n s t r u c t r4.2.1, 8.3.6.11 i n t h e
case of
( c ) if t h e r e i s no o v e r t pronominal s u b j e c t p r e f i x i n t h e verb
( t h a t i s , t h e verb i s t h i r d person [7.5.4]) t h e nominal phrase has as i t s
nuclear element e i t h e r a nominal of t h e pronoun subclass which i s t h i r d
person o r a nominal word of any o t h e r subclass (8.4), p o t e n t i a l l y f o l l o w e d
by -j:2);12
7uhdn-.f ~ y xf33
i
w utus~t7n
NPsNPoVPwe-subj.bear we-saw'We saw a bear. '
4 d ~ k A dwu& 3 1 kG
NPsVPallthey-knew-it'Everyone knew i t . '
weyfsq8NPs5~WAJLG
$GNPo VPt h a t young man bear it - h e - k i 11ed
'That young man k i l l e d a bear too. '
I t may be noted t h a t t h e nominal phrase f u n c t i o n i n g as s u b j e c t (and
f o l l o w e d by t h e s u b j e c t i v a l s y n t a c t i c marker -J) and t h e nominal phrase
f u n c t i o n i n g as an a d v e r b i a l phrase (10.3.1) (and f o l l o w e d by t h e i n s t r u mental s y n t a c t i c marker -3) may be t h e same i n form. However, t h e f i r s t has
t h e p o t e n t i a l i t y o f agreement w i t h t h e pronominal s u b j e c t p r e f i x i n t h e
nuclear verb which t h e second does n o t have.","[42, 43]"
