Paragraph,Page number
"( Tlta. nJl . )S e n t e n c e Type 2 C d i ffers from 2A and 2 B in that t h e p r i mary verb i s a
t rans i t iv e one ; that i s , i t takes obj e c t i ve p ronoun p r e f i x e s .
a l s o t ak e a d i r e c t and/or i n d i r e c t obj e c t
each case ) .",[50]
7. 1 .( noun or ob j e c t i ve pronoun i nD i re c t and i nd i re c t obj e c t may f o l low o r p r e c e de e a c h o t he r .,[50]
"NOU N+I t i s u s u a l i n the t y p e o f c o n s truc t i on under c o n s i derat i o n for t h e
pronoun t o pre c ede t h e noun .",[24]
"No t e: t h e f i r s t t w o s e c t i ons ( e x c e p t for the verb p art i c le t i ) d e a l t
w i t h w o r d s t h a t fi l l t h e Sub j e c t p o s i t i on ( nouns and as s o c i a t e d words :
pronouns and adj e c t i ve s ) .",[32]
Only h e a r i ng e ach u s e d i n real languages i t ua t i ons w i l l t e a c h the d i fferenc e .,[69]
"'E x p 4e� � � o n' i s u s e d t o r e f e r t o any word or group o f words t h a t ex­
p re s s a noun , i de a , v e rb i de a , adj e c t iv e i d e a , e . g .hampu ' oome h e r e ' i s a verb e xp re s s i on ;
so iswamnga q i ' i ( noun r o o t + v e rb )' h e i s w o r k i ng ' .",[9]
"T h e noun may a lso b e q u a l i f i e db y a n adj e c t i v e i n whi c h c ase t h e p ossessive p ronoun usu a l l y f o l l ows
A n a t t r i b u­t he noun-pIus- adJe c t ive phrase , t h o ugh it may p r e c e de i t .t i ve noun may f o l low t h e p ossessive phrase as i l l ust rat e d b y t he first
sent e n c e i n 2 . 1 . 2 .",[25]
I t s u s age w i l l o n l yb e l e arnt b y o b s e rv i ng i t s o c c urre n c e i n r e a l language s i t uat i ons .,[37]
"COMPILATION OF GRAMMARThis Grammar was c omp i l e d b y memb ers of t h e S ummer Inst i t ut e of Lin­
guist i c s in response t o an invi t at i on from the Lutheran Mission t o
undert ake l i nguist i c studies i n language spoken around Aseki .",[7]
"Language l e arning i s mo s t s u c c e s s fu l i f t h e l anguage i s l earnt in
a c t u a l c o nve r s at i onal s entenc e s .",[8]
N o unsi n o b j e c t p os i t i on have t he s ame form as nouns in s ub j e c t p os i t i on .,[28]
"When i t f o l l o w s the noun i t a c t s a s at y p e o f noun q u a l i f i er or at tri but i v e noun j u s t as an adj e c t i ve fo l l ow­
P l ura l i t yi n g t h e noun do e s .
pre s s e d in t h i s••.( no t expre s s ed by t he nouns ) may be e x •••
10•
- Ime
a aqoa . . .' t h e c h i l dr e n '( l it ., chi ld they ' ) .",[24]
"ADVERBSThe words in S e n t e n c e 2-4 l i k e
word s .' t h e , i s , are ' we are c a l l i ng FUNCTIONIn Kapau we have l i s t e d t e n groups o f them .
AVerbParticlesBSubject andCPossessive Pronouns'Group Pronouns'DObject PronounsEModifierFNoun,Pronoun Ligature WordsGClause Ligature WordsHVerbal ParticlesI'q oma'JExclamationsI t i s t h e s e ( p l u s t h e s u f fi x e s and pre fi xe s l i k e' s ' p lu r a l in Eng­l i s h ) t ha t g i ve Kapau i t s chara c t eri s t i c s �ruc t ur e .","[8, 9]"
"In theabove c a s e s , t he group pronoun s u f f i x e s o f b r o t h er s and s i s t e r s h a s b e e n
out l ined .",[111]
"There h a s b e e n an at t empt to l i s t a numb er o f e x amp l e s o f t h e par­
t i c u l ar s ent en c e type unde r d i s c us s i on at the end of each s e c t i on ,
t o a s s i s t i n a s p e ak ing knowl edge o f t h e language .",[8]
"What mus t b e known i s t h e t y p e o f ut t e ranc e in w h i c h i t c an b e
used .
4.",[8]
"Subje ct Pronouns are as follows :IS.niI2S.nt iYou3S.aqo,He.l Vl .ya iWe t w o2 Vl.qi3 Vl .a q oa ' u ,1 Pl.na i2 P.e. .ha i3 P.e. .a q oa ,sheYou t w oi sa ' uThey two(ma l e . fema l e )We a l I
You a l li ' y oaThey a l l(ma l e .fema l e )I t w i l l b e n o t e d t hat t hird p e r s on has a feminine form i n e a c h
numb e r .",[23]
"+ A dj . ) , obj e c t p ronouns , or i n d i r e c t obj e c t ( pe r ­s on a l ) nouns , as we l l as b y noun s .",[50]
"When a t t a c h e d t o a n oun , pronoun , e t c . t h e s e c l i t i c s form what we c a l l
i n Eng l i s h a n adverb i a l p r e p o s i t i on a l phras e , wh i ch o c c ur s i n adverb p o s i ­
H e nc e , t h i s s en t e n c e t y p e i s a n e xt e ns i on o f S e n t e n c e Type 6 .t i on .",[73]
"19The p ossessi ve p ronoun phrase c onsists o f a p ossessive p ronoun
e i t h e r b e fore or a f t e r t h e noun in t he sub j e c t p osi t i on.","[24, 25]"
"Z , 3 P.t .qoeapaqoe ' aYou,( b ) Pronoun Suf f i xe s
(n)s e r i e s are as fo l l ow s :IS.-aIZS .-nYout h ey t w o are c o m i n g , g o i ng down .
•t h e y a L L a r e c o m i n g , g o ing dow n .",[34]
"Some t i me s t w o noun r o o t s o c c ur t og e t he r , the s e c ond on� an a t t ri b u t ­
ive n o u n t o the f i r s t .
t he f i r s t noun .",[19]
"I t appears t o qua l i fy t h e noun or pronoun in S ub j e c t p o s i t i o nw h i c h i t s e ems t o a lway s f o l l ow .m p u k a Q O M A t i f a ' a h a ma t a a m aT h e b o o k i s j u s t b la c k and r e d .t i ya QHE
y a Q O M A a n g a t a m P MAma
�niQOMA y a ' a y a n g a q a TAPAaqo QOMA yako n l YAPA t a t i14.4.h i n ta' s i de 'I w i l l s imp l y s i t down i n t h e h ou s e .
I a m s imp ly g i v i ng y ou t h i s k n i fe .
He o n ly came up temporar i l y .",[82]
"( 1 Ylt . )Thi s s e n t e n c e t yp e may or may not have a s ub j e c t ( noun or p ronoun )
( noun ) , b u t i t alway s has an i n t rans i t i ve p rimary verb .and an o b j e c tAn i nt rans i t i v e verb i s one wh i c h d o e s not t ake o b j e c t p r e f i xe s .",[28]
"'Ph4a� e' i s u s e d t o r e f e r t o a group o f t w o or more words t ha t f a l l4t o ge t her and are bound toge ther t o expre s s a c l o s e k n i t i d e a ; e . g .ama a awa t i' g o od man ' , where t h e noun i s a c e n tre o f t h e p hra s e .","[9, 10]"
"A D V E R BS ( W O R D C L ASS 4 )Adverb s are a large c la s s o f words whi c h modi fy C las s 3 words ( ve rb s )
and always p r e c e de t h e ve rb they modi fy .
They c on s i s t of three t yp e s :
( a ) words wh i c h fun c t i on as adj e c t i ve s when b ound t o a noun b u t a s
adverb s w h e n b ound t o a verb .",[58]
"' N- Vx '( a ) Noun roots wh ich occur e l s ewhere in other noun ' spot s '
The s e c omp r i s e t h e maj ori t y o f nouns in t he N - V x i n c lud i ng a l l t he
nouns l i s t e d b e low f o r whi c h a me ani ng has b e e n g i ve n , e x c e p t m t a
g e r ' , and q u n o' t h o ug h t s ' .( b ) Nouns whi c h neve r occur except in a N - V x con s t ruction5.2.1 .
( 1)' hu n ­Nouns which occur with a wide variety of verb s temsOnly a v e ry general mean ing c an be g i v e n for e a c h o f t he s e v e rb
s t ems .
5.2. 1 . 1 .y a N o u n R o o t wh�ch � e em� t o � n d� c at e an a c t � o n 6 � o m a� t at� o na�y p o � �t� o n to m o v em e nt
ya
yapma-s i t down*- tau-s t a n d up-N o t e : ya a l s o means
' go ' ;u5.2. 1 .2.i-' fe a r ' and o c c ur s with the fo l l ow i ng verb s t ems :' do ' ;' fe e l. ' .",[43]
The V e rb Phras e :Noun-Ve rb Expre s s i on366.,[3]
"A noun may s h ow p o s s e s s i on by t h e add i t i o n o f - i ' y a
s u f fi x .",[26]
"A s far a s our analy s i shas l e d u s , t he y app e ar u s u a l ly t o cons i s t o f only one root , and u s u­
a l ly f o l l o w t h e noun t o w h i c h they are t i e d .
nouns i n a l l p o s i t i ons i n whi c h t h e y o c c ur .",[19]
"PART TWO :C O M P L E XS E N T E N C E SI N TRODUC T I ONThe s e nt e n c e s i n t h i s s e c t i on i n t ro d u c e a new s e r i e s o f v e rb forms
whi c h we are c a l l i ng Part i c i p i a l Verb s .
Kapau s e n t e n c e sThey are o f t e rt i ary rank in( s e c ondary verb forms w i l l be d e a l t w i t h l at er ) , and ared e p e n d ent verb forms , that i s , t h e y may not o c c u r un l e s s ' t i e d ' to a
p r i mary ( or s e c ondary ) v e rb form .
me d i a l 'Dr Wurm c a l l s t h e s e forms' sentenceverb forms , b ut b e c au s e i n Kapau we have t h r e e s e t s o f verbforms ( two o c c ur r i ng me d i a l ly ) and b e c au s e t he s e p r e s ent forms may b e
t rans l a t ed b y Eng l i s h part i c ip i a l phra s e s w e fee l' pa�ticipia! v e�b� 'may be a b e t t e r name for t he m .
As i n many o t h e r H i gh l and language s t he s e part i c i p i a l v e rb s are o f
t w o k i nd s :TYPE A : t h o s e in whi ch t h e s ubj e c t of t h e part i c i p i a l verb s and o f
t h e p r i mary verb i s t h e s ame , as' Com i ng h e a t e ' , i . e .","[91, 92, 93, 94, 95]"
"114PREDICATE ( P . V . )SUBJECT ( S . V . )
Noun C lause
i pango nam i ya tmngafa f i ' ya t iThe p i t p i t I p la i t e d i sqoeO n l y t h e o n e b o x I b r o ug h t( 1 . P. )ho ley .mpok i 5 inin a ma q a p * a M Ai s there .","[119, 120]"
"Many o ft he s e forms e x p re s s e d Kapau i di om ( and i t i s w i s e t o le arn the phrase
as e n t i ty ) .",[45]
"SENTEN C E S : NOUN CLAUSE OBJECT O F VERBSUBJECTOBJECTPREDICATENoun C l ause
ntihope ' a a qOEnqania q o q o e a p a n q a ' mah a ma ( Im p . )Take t h e k a u k a u t h a t l i e sqat i ' yaI ' m s p e a k i ng o f h i s aom i ngthere !",[120]
"+V.B.(t i)This s en t e n c e t y p e c on s i s t s o f a s ub j e c t , a noun phras e , whi c h may
c o n s i s t of a noun , pronou n , or adj e c t ive , or any c omb inat i on of t h e s e
t h re e part s o f s p e e c h , p lu s t i .",[17]
"C LAS S F )
fa ,haw i t h ; a nd ( re f e r r i n g t o t h i ng s )tawi t h ; a n d ( refe r r i ng t o p e r s o n s t o g e t h e r ,qisuppose( of t e na c company i n g )' s up p o s e t h i s or t h a t ' )The ab ove t hree word s u s ua l ly o c c ur fol l ow i ng b o t h ( or a l l ) nouns or
p ronouns wh i c h they j o i n , though when q i means' s upp o s e ' u s u a l l y i t oc­fo l lowing t h e noun itcurs j u s t once i n t he s e n t e n c e ,' s upp o s e s ' .",[80]
"I n K apau t h i s c ove r s nouns , adj e c ­( A l l o f t h e s e e x c e p t part i c le s maya l s o , of c ours e , t ake a ff i xe s , i n whi c h c a s e the re s u l t ant form i s c om­
p o s e d of a root+non-root , as hope'a-ma 'oonoe rn i ng k a k a u ' ) .",[9]
"What d o e s t h e p art i c u l a r part o f s p e e c h ' s igna l ' grammat i c a l l y ,t h i ng s f i l l that' spot ' ; e . g .' s p o t ' noun ' s p ot ' .s ub j e c tfrom i t s l e x i c a lt ha t i s , what meaning d o e s i t c arry apart
meaning?",[8]
"S U C C E S S I V E A C T I ON A S S O C I AT E D W I TH N O N - M O T I ON P R I MA R Y V E R B SThi s i s a very c ommonly u s e d c on s t ruc t i on i n Kapau .
b y a form w e have c a l led
o f n - s t em ( - m )I t i s e xp re s s e d' S u c c e s s i v e A c t i on Part i c i p l e ' whi c h c o ns i s t ss e r i e s pronoun s u f f i x e s de c li ne d for a l l p e r s ons .",[97]
"( 1 . F. )Q U O T AT I V E SI n K a p a u t h ere are morpheme s wh i c h t ake t h e p l a c e o f t h e quot at i on
marks in Eng l i s h .",[132]
"+PN , orBut t h i s order is c h anged when one part o f t h e s e n t e n c e is em­pha s i s e d ; t hen the empha s i s ed word , phrase or c l a u s e usua l ly o c c u r s
sentence init i a l ly .",[12]
"P OS S E S S I V E P RONO U N S ( S T R U C T U R A L C LA S S C )IS.nqa2S.* ntaMy , m i n e
Your, yours3S.a qo i ' ya , q a i ' ya ,IV£..ye ' aOur t w o ,2V£..q i ' yaYour two,3V.t.aqoa ' u ' ya ,i ' ya , qa i ' yai s a ' u ' ya , q i ' vaH i s , he r s ,ours
yoursThe i r t w o ,t he i r s( P. )I Pl.na i ' yaOur ,2 Pl.ha i ' yaYour,3 Pl.aqoa i ' ya ,i ' yoa i ' y a , q u ' yan.our8yoursThe i r ,( P. )t he i r sto ' o i ' yaWho s e ?haqo i ' yaSome o n e 8I t w i l l b e n o t e d t hat t hese forms a r e simi lar t o t he sub j e c t pronouns
( wi t h a few root change s ) p l us the addi t i on ( e x c e p t i n IS. and 2S. ) o f
t h e ' p ossessive ' morpheme - i ' v a o r - ' Va where t h e p ronoun root a l r e ady
e nds i n an - i .",[25]
"The s e nouns are t he t e rms u s e d for the k i n d s o f re l at i on s h i p d i s t i n­
g u i s h e d in t h i s s o c i e t y .",[27]
