Paragraph,Page number
"Syntax Of Phrase Types
15 Noun phrase structure
15.1 Marking for case. Noun phrases coding A and
roles (sect. 1) are
distinguished both by word order and by cross-referencing with Set I versus
Set II clitics. S arguments are marked in one of two ways. In the great
majority of cases they are treated like A arguments, both in terms of word
order possibilities and Set I clitic forms. Most intransitive movement verbs,
however, may take Set II clitic forms under certain discourse conditions. In
non-verbal clauses, the S argument may be referred to with a Set II clitic.
It cannot be referred to with a Set I clitic. Details of order and clitic use
are discussed in sects. 1, 9.1, and 16.
15.2 Genitives. The genitive phrase (possessor) normally precedes the head
noun (the possessed item):
(302)Tomäasa rooriy
Tom
house
Tom's house'If the identity of the possessor is presupposed, a Set I clitic may be used
instead of a full noun phrase:
(303)sa-rooriy
3SG-house
'his/her house'In certain contexts where the identity of the possessor is presupposed, it
may be referenced by both a Set I clitic and a noun phrase. The Set I
clitic is prefixed to the head noun and the possessor follows the possessed
item:
(304)sarooriy Tomäasa
Tom's house'There are no forms for indicating alienable versus inalienable, temporary
versus permanent, present versus past, or specific versus nonspecific
possession.","[99, 100]"
"17 Postpositional phrases
Yagua is a consistently postpositional language. There are upwards of thirty
postpositions and there are no prepositions. At first glance the direct object
(Set II) clitics might be considered prepositions since they always
immediately precede any coreferential full noun phrase. However, these
forms are very distinct from common conceptions of prepositions in several
respects. They only mark direct objects and never mark oblique roles. They
function as part of the participant reference system, alongside forms
referring to other persons and numbers. Hence they are functionally more
like pronouns than prepositions.
Postpositional phrases have one of three forms:
1) Noun Phrase Postposition
2) Proclitic-Postposition
3) Proclitic-Postposition Noun Phrase
One example of each of these types of postpositional phrase is illustrated
below:
(433)NOUN PHRASE POSTPOSITION
Mamertu
jysa$
Mamerto
COMIT
'with Mamerto'(434)PROCLITIC-POSTPOSITION
sfisaa
sa-jysa^
3SG-COMIT
'with him/her'Yagua 379(435)PROCLITIC-POSTPOSITION
sgsaa
sa-jysaa
3SG-COMIT
'with Mamerto'NOUNPHRASE
Mamertu
MamertoBased partly on Powlison (1982), we distinguish two classes of
postpositions: 'concrete' postpositions which are semantically highly specific,
and 'general' postpositions which have a wider range of meaning and are
closer to being grammatical than lexical items. The second class consists of
the following forms:
(436)-jy
-siy
-va or -iva
-mu or -imu'adlative'
'ablative'
'dative'
'locative'(ADLAT)
(ABLAT)
(DAT)
(LOC)According to Powlison (1982), the adlative and ablative postpositions
indicate motion towards and motion away from the point of reference,
while the dative, locative, and other postpositions indicate a position at rest
relative to the point of reference. The adlative and ablative postpositions
can be suffixed to the dative -va/-iva, to the locative -mul-imu, or to any
'concrete' postposition. Certain verbs such as diiy 'see' and sytay 'say' are
subcategorized to take O's with the dative postposition. When suffixed to
nominalized ('subordinate') adverbial clauses, the locative and instrumental
are extended to indicate 'while', the dative indicates 'until', and the adlative
indicates 'purpose'. The ablative -siy does not (so far as we know) occur on
nominalized adverbial clauses; it does correspond to the verbal bounded
movement formative meaning 'action done upon departure' (sect. 18.2.3.2).
We present here a few examples of each of the general postpositions:
(437)
alonewith verb
form-ft ADLATIVE
räyjyy
ray-jy
1SG-ADLAT
'for me' (benefactive)-siy ABLATIVE
roorichiy
rooriy-siy
house-ABLAT
'from (the) house'jibyeedajy
jimyiy-jada-jy
eat-INF-ADLAT
'for eating' (purpose)naadamutivyechiy
naada-mutiy-vay-siy
3DL-cook-INTS-ABLAT
'She cooks upon departure.'","[130, 131]"
"18.7 Incorporation. Due to the highly polysynthetic nature of the Yagua
verb, a great number of modifications which are expressed by means of
adverbs in many other languages are expressed in Yagua by verbal suffixes
(e.g., the ideas conveyed by the location and movement suffixes).
Nevertheless, since these do not otherwise occur as non-bound forms we do
not consider them to be cases of adverb incorporation.
There is some evidence that object nouns can be incorporated into a
verb phrase when the verb phrase is nominalized. Incorporated object
nouns precede the verb rather than follow it. The opposite order cannot be
used in such nominalizations. However, the object nouns are not
phonologically bound to the verb word, as shown by retention of the j /h/
at the beginning of 'make' in (567).",[164]
"In addition to these forms there is a set of forms meaning 'which?' that
index the animacy and, if animate, the number of the participant
questioned:
(164)m»ra
munuurya
muvyerya
muryaraanimate singular
animate dual
animate plural
inanimateMost of these interrogative forms are multimorphemic, involving a muyand a -ra component, plus the animate or neutral classifiers (sect. 23).
Participants in any morphosyntactic role can be questioned. There is no
distinction between subject and object forms. Examples (165) and (166)
below question subject and object roles, respectively. (167) questions an
oblique. The postposition is fronted along with the questioned item. (168)
questions a semantically possessed item, and (169) questions a semantic
genitive. However, (168) and (169) are predicate nominal constructions and
the questioned element in both cases is the syntactic subject. Nevertheless,
(170) shows that the genitive noun within a noun phrase can be questioned
(it is presupposed that children are crying). When the genitive is
questioned, the entire possessed noun phrase occurs preverbally.
(165)munuuryajiy£4siy
jiya-jäsiy
whichrDL
go-PROXl
'Which two went?'",[63]
"Yagua 451Paul Powlison (personal communication) observes that at least some of the
roots with which va- occurs are classifiers; va- may be one means of
deriving a nominal from them, as in (685):
(685)väsoopajyuunu
va-soo-pay-juu-nu
VA-CLASS:fuzzy-matted-profuse-CLASS:ANIM:SG
'an animal with thick matted hair'However, classifiers themselves are nominalizers and many are also nouns
in their own right. With the data available to us at this time, we can
neither prove nor disprove the hypothesis that va- serves a nominalizing
function.
23.2.2 Suffixal morphology. In many languages information which modifies
or restricts the reference of nouns is primarily expressed by separate
adjectival words. The order of such descriptive modifiers relative to their
head nouns has become an important parameter in typological studies (cf.
Greenberg 1963, Hawkins 1983). An important typological feature of a
number of Native American languages, however, is the relatively infrequent
use of noun phrases in discourse, correlated with an even more infrequent
use of separate adjectival words. In Yagua, descriptive modifiers occur
within noun phrases frequently enough to demonstrate a 'neutral' order of
head and modifier (sect. 23.3.3; Doris Payne 1985b). Nevertheless, a great
deal of modifying information is expressed by suffixes on nouns, as in (685)
above.
Specific types of nominal suffixes include classifiers and suffixes
expressing condition, size and quantity. The following schemata, describing
the order of these suffixes, is modified from Powlison (1961):
(686)STEMCLASS""CONDITIONSIZEQUANTITYCLASS"" indicates that more than one classifier can occur on a given
noun. As noted in sect. 23.1, classifiers indicate something about the shape,
spatial orientation, function, consistency, or animacy/number of a noun.
Classifiers occur in a variety of morphosyntactic contexts, one of which is
as a derivational suffix on a noun itself. Co-occurrence of classifiers with
noun stems is lexically restricted, depending on the inherent semantics of
the items involved. Condition and size affixes are less restricted lexically.
Some condition suffixes are etymologically related to verb roots. Quantity
suffixes indicate duality, plurality, or profusion, such as -juu 'heap of or
'profuse' (note that animate classifiers also indicate three numbers).
Quantity suffixes include -suma 'very', which has an augmentative adverbial
meaning. The first three examples which follow are taken from Powlison
(1961):452 Payne and Payne(687)STEM
CLASS
SIZE
sapiijyc44
sa- piijyc44
3SG- throatCLASSropening- long
'his long throat'(688)STEM
CLASS
CLASS
SIZE
ramyudiijosiidyee
ray- mudii- josiiydee
1SG- jawCLASSrplace- CLASS:small:container- diminutive
'my small jaw box' (i.e., for keeping dentures)(689)STEM CLASS
CLASS
SIZE
pijacyooquiisuma
pijaycooquüneckCLASS:skin- CLASS:hanging- bigVery big hanging neck skin'(690)STEM
CONDITION
vatachareräpyy
vatachare- räpyy
frogworthless
'no-good frog'
cf. räpyy
'to menstruate'
räpyyrya 'no good, worthless thing'(691)STEM CLASS
CONDITION
määyjepyoojuu
määy- jaypoosleepCLASSrskin- rotting'rotting heap of mosquito netting'(692)QUANTITY
sumä
veryQUANTITY
juu
heapSTEM CLASS
CLASS
CONDITION SIZE
roorijyydapyooquiimiy
rooriy-jydaypooquohouse- CLASSropening- CLASSrpatch- rottingbigQUANTITY
miy
PL
'the several tall and rotting house doors'
cf. poo'to rot'Yagua 45323.3 Morphology on nominal modifiers. There are five types of modifiers
within the noun phrase: demonstratives (sect. 16.4), numerals (sect. 15.3.1),
genitives (sect. 15.2), descriptive modifiers (sect. 15.3.1), and relative clauses
(sect. 14.7).
23.3.1 Demonstratives. Demonstratives consist of a demonstrative root jiy
'this' or ru 'that (distant)', plus a classifier (see sect. 16.4 for examples). A
quantity suffix indicating the number of the item may follow this:
(693)runujuy
ru-nu-juy
DEM2-CLASS:ANIM-DL
'those two (animate)'(694)jinujuy
jiy-nu-juy
DEM1-CLASS:ANIM-DL
'these two (animate)'If no quantity suffix follows the classifier, singular reference is normally
implied.
23.3.2 Numerals. The well-developed numerical system of Yagua is
described in Powlison and Powlison (1958). It is a quaternary decimal
system in which the numerals 1 through 5 and 10 are unique. The numerals
6 through 9 are composed of the words for 1 through 4, plus the suffix
-nijataa On top of (Vainilla dialect). Numeral roots are infixed with
classifiers, sometimes with entire noun roots when there is no specific
classifier, or with the neutral classifier -ra. Idiosyncracies in the system are
discussed in Powlison and Powlison (1958) and in Doris Payne (1986a).
Sect. 15.3.1 discusses order of numerals within the noun phrase.
23.3.3 Descriptive modifiers. The class of inherently adjectival roots is
extremely small, perhaps limited to j^qmu 'big' and pasuy 'small'. Japuu
'small' may also be inherently adjectival. These roots can be suffixed with
classifiers to derive nominals. Except for a few cases, roots can be
classified as nominal, verbal, or adverbial, depending on what morphology
they take.
Despite the paucity of inherently adjectival roots, order of head noun
versus elements which modify the head can still be identified in a given
discourse context (this determination is based partly on referentiality or
subsequent discourse deployability of head elements; cf. sect. 15.3.1; Doris
Payne 1985b). Head + modifier is the neutral order. In one count of over454 Payne and Payne1000 clauses of narrative text material there were 28 instances of the order
head + modifier and 5 instances of the order modifier + head. Of the
latter five instances, two involved negation of the modifier, and one was an
instance of the modifier jaaryiy 'much, very' which always precedes its head,
both in its function of modifying nouns as well as in modifying verbs. The
two remaining cases involved the lexical item samirya 'good' and we leave
the ordering unaccounted for. On the basis of these text counts we
conclude that the use of non-bound descriptive modifiers within the noun
phrase is clearly infrequent, but that the preferred order in naturally
occurring text is head + modifier.
Inherently adjectival roots are always suffixed with classifiers when
following the head and may be suffixed when preceding the head. The
neutral classifier -ra is most frequently employed when the head noun is
overtly present in the same clause.
Verbal roots must be suffixed with classifiers or some other nominalizer
in order to serve as (phonologically separate) descriptive modifiers (sects.
15.4; 23.2). Certain roots which can modify either verbs (i.e., as adverbs) or
nouns (i.e., as adjectives) are apparently idiosyncratic with regard to
suffixation when they modify nouns. For example, samiy 'well, good, new,
clean' is sometimes suffixed and sometimes not. Compare the following two
examples:
(695)sämirya
vächuuy pastojy
sämiy-ra
vächuuy pasto-jy
good-CLASS:INAN grass
pasture-ADLATräniy
rä-niy
INAN-CLEFTrfftya
brachiaria
ra-jjtya
brachiaria
INAN-name brachiaria
'Good grass for a pasture is (the kind) called brachiaria.'
(696)c4£va
sämiy
ye^cha
c4£va
sämiy
yi-jacha
heron
beautiful 2SG-be
beautiful heron you (will) be.'","[202, 203, 204, 205, 206]"
"A preverbal subject noun phrase may not antecede a proclitic (unless that
noun phrase is set off from the verb by a distinct pause) as illustrated by
the ungrammatical sentence in (2a). A postverbal subject noun phrase, on
the other hand, must be co-referenced by a proclitic. Example (2b)
illustrates that if a postverbal subject noun phrase follows the verb without
a corresponding proclitic occurring on the verb, ungrammatically results:
(2a)* Manungo samur44y(2b)*mur44y ManungoType 1 clauses may be univalent, as in (1); divalent, as in (3), (4) and
(5); or trivalent, as in (6) and (7). If the clause has an Ï participant, a Set
II enclitic indicating animacy, and if animate, the person and number of the
O, often occurs. (There are a few two-participant verbs that require that
the Ï be in the dative case; these will not occur with a Set II clitic.) For
purposes of this sketch we will say that Set II enclitics precede ""roughly
definite"" direct objects (see sect 16.1.3 and T. Payne (1985) for further
discussion of the function of Set II enclitics). Set II forms function rightward
(i.e., they immediately precede any noun phrase with which they show
""agreement""). However, they always cliticize leftward, regardless of the
syntactic category of the host (see examples in 4). If no full noun phrase
referring to the object occurs, the enclitic is required. This could
alternatively be stated as follows: whenever an enclitic occurs, the following
NP may be omitted. When the NP is omitted, the Set II clitic most
neutrally occurs at the end of the clause. In the following examples, all
enclitics referring to objects are italicized in the morphological
representation:
(3a)siimyimi
sa-jimyiy-raT
3SGI-eat-3SGII
'He ate it (an animal).'",[6]
"342 Payne and PayneThis example illustrates that the superordinate proposition need not be
explicitly formulated (or even formulatable) in a single clause, much as the
English 'therefore' can refer to an entire stretch of discourse, (ramutee
might be analyzed as ra-mu-tee ºÍÁÍ-LOC-INTS,' and ramusiy as ra-mu-siy
ºÍÁÍ-LOC-ABLAT.' The inanimate proclitic would refer to the
superordinate proposition.)
14.7 Relative clauses
14.7.1 Structure of relative clauses. Consistent with a verb-initial type,
relative clauses in Yagua strictly follow their heads and are of the following
form:
(286)Head-NPRELATIVIZER
RELATIVE PRONOUN[s . . REF (R-NP) . . ]The abbreviation REF indicates a non-fully specified participant reference
form (usually a Set I or Set II clitic; see sect. 16) within the relative clause.
It normally occurs if a relativizer occurs, but not if a relative pronoun
occurs. R-NP indicates the noun phrase within the relative clause which is
normally omitted due to identity with the head. When R-NP is not omitted
the referring clitic (REF) necessarily precedes it (sect. 16).
Both the relativizer and relative pronouns are formed by suffixation of
-tiy to one of the following demonstrative or third person pronoun forms.
(We do not know whether first and second person forms could also be
used.)
(287)jirya (or contraction to ja)
jifiu
çßß
riy
r
çýý
tgthis (inanimate)
this (animate)
third singular
third plural
inanimate
other
someone, anyoneJiryatiy, or its contraction to jatiy (especially in the Cahocuma dialect), is
the most neutral form. It can be used with either animate or inanimate,
definite or non-definite heads. All other forms reflect semantic features of
the head and thus can be referred to as 'relative pronouns'. Relative
pronouns indicate case only for relative clauses formed on prepositional
phrases. In the following examples, the head noun (if present) and
resumptive reference form (REF) are italicized. The relative clause is
bracketed:Yagua 343(288)Tomääsa saayäsiy
saay-jäsiy
Tom
give-PROXljäviinu
naada
jäviinu
naada
earthen:jar 3DLvaturuy
vatuiyy
woman2jiryatiy
naaniimuutyavuuy
[jiy-ra-tiy
naada-jymuutya-vuyy]
DEM1-CLASS:NEUT-REL 3DL-help-lINCL
Tom gave the earthen jar to the woman who helped us.'","[93, 94, 95]"
"Anita
AnitaIn the Cahocuma dialect there is no such restriction on the use of the third
person enclitics and (17) above is acceptable.
Tense, aspect, and many other inflectional categories characteristic of
verbs cannot be expressed directly in predicate nominal or predicate
locative clauses. Instead, a verb of being or existence is used (cf. examples
80 and 81; sect. 5.2). In the remainder of this sketch, we will no longer
indicate the distinction between Set I and Set II clitics in the glosses.
1.2 Basic order of constituents in main clauses. In the preceding section
we claimed that the basic order of subject and object in all three clause
types is postpredicate. Here we briefly present evidence supporting this
claim (see Doris Payne 1985b, 1986b, and sect. 9 of this paper for fuller
discussion). In the following discussion, type 3 clauses (non-verbal
predications) are treated as intransitive clauses, with nominal predicates
being subsumed under the label 'V.
The order VOSu does not occur unless the Su is right-dislocated (as an
'afterthought'). Similarly, SuOV and OSuV occur only if one or both noun
phrases are left-dislocated (cf. sect. 9 and Doris Payne 1985b). None of
these orders ever occurs in dependent clauses. This leaves only VSuO,
SuVO, and OVSu as candidates for basic orders. A major argument for
positing VSuO as basic concerns the circumstances in which subject, object
and postpositional constituents occur before the verb. Any one, but only
one, such nominal constituent at a time can occur before the verb. This
points to the preverbal position as having a marked status. In fact, fronting
occurs in marked pragmatic contexts of focus of contrast, repetition, added
detail repetition, information questions and answers to information questions
(cf. sect. 9 and Doris Payne 1985b).
VSuO, VSu, and VO clauses, on the other hand, are used for
introduction and reintroduction of participants into the discourse, and for260 Payne and Payneclarification when the identity of participants may be confused. It might be
argued that introduction of participants into discourse is also a marked
communicative function. Thus the preverbal position should not be
identified as any more pragmatically marked than is the postverbal position.
It is possible, however, to introduce new information in preverbal position,
provided that one of the other pragmatically-marked conditions mentioned
above also holds. Thus, VSuO is a more neutral order relative to SuVO or
OVSu in that it is the unmarked case for introductions.
With regard to simplicity of description (and depending on one's
theoretical biases), positing VSuO as basic leads to overall simplicity in the
grammar. If we hypothesize that the basic order is SuVO, then two
statements are needed to describe the order variation OVSu. First, a
statement needs to be made regarding fronting of the object nominal and a
second regarding subsequent or simultaneous movement of the subject
nominal to a postverbal position. Positing VSuO as the basic order,
however, would entail just one statement in order to account for the OVSu,
SuVO, PVSu, and PVSuO variations (P = postpositional phrase).
Statistical evidence also favors positing VSuO as basic. The data given
here come from a study reported in Doris Payne (1985b), based on
approximately 1516 clauses. In this corpus of data, 8% (122) of the clauses
use a preverbal noun phrase or free pronoun to refer to the subject
participant. In 17% (257) of the clauses, the subject noun phrase follows
the verb. 75% of the clauses, then, use just proclitics to refer to the subject
participant.
There are 465 object references in the 1516 clauses. In 14% (65) of the
cases reference is made by object noun phrase preceding the verb, and in
40% (186) an object noun phrase follows the verb (and subject if present).
46% (214) of object participants are referred to just by means of an
enclitic.
These data show that it is much more likely for participants to be
referred to just by means of non-fully-specified Set I and Set II clitics, than
by noun phrases or free pronouns. In particular, only 25% of subject
participants and 54% of object participants in the corpus are referred to by
noun phrases or free pronouns. Nevertheless, when subject and/or object
noun phrases do occur, they are much more likely to appear in postverbal
position. In sum, VSuO is pragmatically the least marked and statistically
the most frequent order when full noun phrases are used.
1.3 Basic order in subordinate clauses. Subordinate clauses, that is, relative,
adverbial, and complement clauses of verbs like daatya 'know', fogta 'begin',
and jachipiypp 'think about', are infrequent in oral narrative discourse. We
have found no naturally-occurring examples which suggest that the basic
order of syntactic roles in subordinate clauses is different from that in mainYagua 261clauses. It is, in fact, rare to find subordinate clauses which consist of more
than a verb and a postpositional phrase. The examples found in sect. 14
are primarily elicited and thus determination of basic orders should not be
judged just by these. Nevertheless, subordinate clauses with more
constituents are grammatical, as the following relative and adverbial clauses
attest:
(21)rijnuurya
nfftiy
ray-junuuy-ra nff-tiy
ISG-see-INAN 3SG-REL
rumityädeeda
jiryonura
jiry4va§
rumiy-täniy-jada
jiryonu-ra
jiy-r4vaa
spill-CAUS-PAST3 bushmaster-INAN
COR1-poison
(have) seen it, he who made the bushmasterj spill hisj poison.'","[11, 12, 13]"
"The alternation between the use of a Set I or Set II clitic for those verbs
that allow either is not correlated with an alternation in volitionality on the
part of the subject, as is the case in classic ""stative-active"" or ""fluid-S""
languages (Sapir 1917, Klimov 1977, Dixon 1979). Rather, use of S0 coding
is highly favored in discourse contexts where a major character is moved to
a new scene, or at points of episodic climax (see T. Payne 1985, ch. 6, for
more discussion). The suffixes -nuvee 'upon arrival at a new scene' and
-nuv# 'upon arrival at the currently activated scene' are consequently
common in this construction as their deictic nature is well suited to location
changing predications (cf. example (11)). The effect of these constructions
might be rendered fairly accurately by English presentatives such as 'up
jumped the rabbit,' or 'here comes my bus,' though their discourse
distributions are not necessarily equivalent.
S0 clauses are most commonly preceded by a locative demonstrative dify,
'there (near),' jasiy, 'there (yonder),' or muuy, 'there (distant).' Examples
(8) and (11) were judged ungrammatical without the initial locative.
However, as examples (9) and (10) show, S0 clauses clearly do occur
without them.
Type 3 clauses are predicate nominals and locatives. In these
constructions, the noun phrase serving as predicate normally occurs initially,
followed by the subject noun:258 Payne and Payne(13)maestum Antonio
teacher
'Antonio is a teacher.'","[9, 10]"
"Yagua 36116 Pronoun system
In this section we discuss non-fully-specified reference forms, including free
pronouns and clitics. Sect. 4 discusses reflexivity, reciprocity and other kinds
of intrasentential coreference. Sect. 13 briefly discusses anaphora in
discourse.
16.1 Participant reference clitics. Subjects (the conjunction of S and A in
the sense of Silverstein 1976 and Dixon 1979), possessors, and objects of
postpositions can be referred to by what we term Set I clitics. These clitics
occur prefixed to verbs and auxiliaries (sect. 18.8), to nouns, and to
postpositions (sect. 16.1.2). Objects, whether 'direct' or 'indirect', are
referred to by Set II enclitics. In most cases the Set I and Set II clitics are
morphologically similar to the corresponding free pronouns, except for
stress and phonological binding. The Set I and Set II third person singular
clitics are completely distinct from each other. For all other persons and
numbers, the two sets of clitics differ only in tone. There are special Set I
and Set II clitics for indicating coreference (COR) with a previously
mentioned subject, possessor or object of postposition within the same
clause (subject to certain pragmatic constraints). Part of the function of the
Set II coreference clitic is to indicate reflexivity and reciprocity (sect. 4).
16.1.1 Set I clitics and subject reference. The basic Set I clitics are as
follows:
1
1+ 2
2
3
Sg. ray—
jiysaDl. nääy- vuuy- s^da- naadaPl. nuuy- vyyy- jiryeyriy-COR1 INAN
jiy-ra-The coreference (COR1) and inanimate (INAN) clitics are not distinguished
for number. In the Vainilla dialect the COR1 clitic can code any
person/number other than first and second person singular. In the
Cahocuma dialect it may code only third persons. Most of these forms have
allomorphic variants depending on the phonological shape of the stem to
which they are attached (see T. Payne 1984 for a detailed description of
these variants). The most common allomorphs are the following:
11 +2 2
3
Sg.
ri—
yisi-/suDl. näädya- vurya- s4£naPl. nuudya- vurya- jirya- rirya-/ru-COR1 INAN
yi-n-362 Payne and PayneSet I clitics are phonologically prefixed to the head of the constituent in
which they occur, which may be a verb, postposition, or head noun. When
they are prefixed to the verb they indicate subject reference, as in
examples (1) through (4) of sect. 1. When the preverbal auxiliaries g.
'irrealis', riy 'could'/'frustrative', niy 'malefactive' or y 'negative' (sect. 18.8)
occur in a clause, Set I forms are prefixed to the auxiliary rather than to
the semantically 'main' verb:
(358)vuryaa
määy jiyu
vw/ya-a
määy jiyu
1INCL-AUX:IRR sleep here
'Let's sleep here.'","[112, 113, 114]"
