Paragraph,Page number
"Whenfollowed by a pronoun,they are augmentedby at least a vowelin all cases:a5BEFORE
toward!",[34]
"PronounsThe préceding demonstrative suffixes, minus their initial vowel if there is one, may be attached
The pronoun base is variable in number
to a pronominal base to form demonstrative pronouns.
characterizes the masculine
initial w
and gerder if the referent is characterized by gender:
This consonant is followéd by a in the singular forms (mo
pronouns, initial t the feminine.
i in the plural forms:
vowel in one case),
SINGULAR1,m.
f.",[28]
"For
azstta
‘'weaving', plur.
izedwan,
consonant that was lost in the singular.
The
wan
‘'heaven(s)'.the w
of the plural was
same is true of igonnaclearly a third stem
'sky', plur.
igon-3.
-the secondconsonantMorphologyof a two-consonant singular19,stem™jis lax in the singular,tense intheplural::
asif‘river’i-saff-ona-fus‘hand’i-fass-aena-dor‘acorn’i-derra-n,a-fud-tkneett-arwa
3.1.3i-fadd-on‘canal!ti-raggW-inStateBerber nouns vary in form according to the construction of which they are a part.
The alternation, which affects the first syllable, appears to be similar to a case marking but because it
does not seem synchronically to correspond with an identifiable case relationship it has
been
called a mark of 'statet.
The normal state (French
état-libre
or 'free state') is the citaThis form is used in all
tion form of a noun (all nouns given so far are in the normal state).
dtannexion
état
syntactic environments except those in which the construct state (Frenchorétat-whenthe noun-afterprepositions~in nounTheconstruit)is subjectcomplementconstructis used,statei.e.of the(verbal)constructionsis formedfromandutteranceafterandat leastthe normalis placedcertainstate of theafter the verbnumerals}¢nounin the following manner:(a) Vowel initial nouns (masculine in all but two cases) are prefixed
el (prefix or stem~initial) is a or u, with y if the vowel is i.
(b)Thegender-number14 Always
feminine\stemfinalnouns.prefixvowelin masculine
Onenounis droppednounsappears(i.e.to have(affectsmasculinewithandno vowelafterit), usuallyonlystemconsonantonewfeminineif the initial vow-nouns).followed by a vowel
t-iziin‘'mountain-pass't-izza.","[24, 25]"
3.9.1.1CausativeDerivation:Case 1.,[50]
">ttuks""be'sew'>ttugnu‘be sewn'plowable'rentable'grazed’As in the case of the other derivational prefixes, the form of the prefix is subject to variation
before a -initial stems and stems with initial tense consonant followed by lax: its form may
The a of a -initial stems usually is changed to i and the initial tense
ttuy.
or
be tty
consonant is preceded by i in the tense + lax type (Cc):
af'find'>‘tty-if""be‘write’>tty-aru""be written'tty-iffor""be hiddentty-ibbey'be cut,""hold'tty-imoez‘be seized’'steal'tty-iSer""be'believe'ttuy-imen‘tbe believed,""hide!
‘cut,tear,pinch'found’torn'stolen’
believable’treo3.agem""getisintknow'(perf.","[52, 53]"
"The case of 'tense'
which,as wehavea better transcription for the tense correspondent
/yy/
pointedis almost certainly related to another phenomenon:
out,areverycloseto - andtain positions) with - [w'7] and [y]
respectively,
when they are medial in bisyllabic words: /y-gWt/
the is,did'>)[Liyya],of lax/tagWYutt/‘fog'£/d/ than would™/gW/in some subdialects identicalare articulated as
[ww]
‘he struck'
) [iwwee],eawwaty,Returningto/qq/
from[yy],and
(in/g/
cer-and Lyy]
/y-ga/
the na-tive words involved are, precisely, bisyllabic with medial /y/: /ayu/
‘milk’
Layyul],
/tayatt/
‘nanny goat' [ gayyat]
. In all these cases we are apparently dealing with a
case of lengthening, or gemination under certain stress conditions and not the tense ~ lax
contrast.
There is thus every reason to transcribe these words
phonemically
with a lax
consonant.
3InAytNdhirTamazight,quitea fewborrowedwordsareregularlypronouncedwithlax stops[k,g,a].
Those borrowed words which are pronounced with [b, t, d], and to a certain
degree [t],.often have a second equally or more acceptable pronunciation with[ 8, 6,5,8].",[13]
"Neither of these cases, if treated
ceptions to the general rule.- asYevowelbe pointedout that it does
singular,not excludethethis vowel eitherplur.i-saff-on‘rivers’plur.ussa-~n‘days'vowel:'day!
stem( a=garthe initialmarker.a)
For a (very) small number of nouns with stem-initial a. in the
does not appear in the plural stem and therefore i is prefixed:
asifnouns:someas a result,itheyis changedto stem~initialplur.a&’Biw-onshouldbe- asstemvowelain the plural: ©""horns!
changes, constitute ex-%3.","[21, 22]"
"Thed-yiwedverbis almostyufaalwaysbezzafn-meddennear pert. he arrive perf. he find many
of people
he arrived here, he found lots of people in the house’(f) adday
‘whenever, when (eventual, future).
The unmarked
ally used, less often the extensive (which becomes da in this
adday
toddud
yer-ssuq,
when
you go
to market
""When you go to market, buy meadday
when
""Whenin the perfect:tirisy-iyi
buy to me
some meat!at-tzdi-taddart
in housestem without particle
type of clause):is gener-$a uksum
some of meatimendi,she want
proj. she grind
grain
she wants to grind some grain, first sheda-tettferra
ext.it she sort
sorts it!tamezwarutt
firstllig and, less often, adday may be preceded by prepositions,
deffir
(deffirllig) to express ‘after',
zoy (zoggWllig,
zaggwadday)
to express 'since, from the time when',
and llig
may be preceded by al
to express ‘until' (specific event) :
deffir
after
‘Afterllig
when
hed-yiwod
near perf.arrived,wehe arrivedanced'nga
perf.wedoahidus
dance4,uras-ssiwlexSyntax75.zegg¥lligi-irgomnot
to him perf. I speak
from when
perf. he
'{ haven't spoken to him since he insulted me'urd.ittoddunot
hear
""He won't
(g)al‘until'(evéntual).lattdqranqbel
before
‘Before(i)zeggVisThealzeggus)yawed'since'.withoutparticle,is used:leasoradseenhim‘while’.
in theThe verb
intensive,kkuitteddulbab
doord-yiwodsincesincehenear perf. he arrivearrived'particle.is in the intensive form without
with or without particle:(la)stem:and the unmarkedThe verb is in the perfect:zeggVishim perf. I see'I haven'tisstem,of hisuntil
he arrive
3rd prayer
the hour of the 3rd prayer't-annayxnot
(j) kku
sentenceunmarkedan-neaddu,
nqqgen
proj. we go
perf. we close
going, we closed the door'(orurlexdemt-annsThe verb is always with the projective particle‘before’.qbeliSommelproj. he go
until
he finish
work
come until he's finished his work'ext.
they study
'They study until(hy)alliginsuitittiniofverbThemaintheizlanwhile
ext. he walk
(ext)
he say
songs
'While walking, he sings (sang) songs'
PurposeThese synonomous conjunctions are almost always fol‘in order that'.
and ttafa
hma
(k)
This is most often true even when the verb is negated:
lowed by the projective particle ad.
and the intensive stem replaces the unmarked stem:
the negative particle is placed after ad
la -~t ttoggant
it they (f) put
ext.yizid
meal’
'Theysameputhma-((a)d)
so-thatwaSal
ground
it underit so that the mealdoesn'tur
notittuttuy
it fallfall on the ground’issifodamazanttafa-(a)dyur-sdddunméeddoenqahperf. he sendmessengerso thattohimnéarthey gopeopleall""He
Thexf
onddaw-as
under itsentmeaningiddaa messenger
canbe,andto get all the people
oftenyer-azruperf. he go
to Azru
'He went to Azru to buyis,renderedad-d
proj. near
some wool’byto come
usingonlyto him’
the projectiveisey8an-tadutthesomeof woolbuyparticlead:76,()4.sameur-yif-wex
not on us .‘withoutofanymainisaellim
proj. he greetgreetingt-ttayr-asshehimbother'He'supsetTOPICALIZATION4.7.1TopicalizationANDnounelahseqqtamottutt-onnswomanof himdidn'tcome’hiswifemaysentencesubordinatetopicalizedabecausebecause4.7withouttheabove,outpointed
orwithe.g.clause,us’As‘'because'.elahseqq(m)sentence:a negativeby juxtaposingobtainedis oftenmeaningstem:unmarkedagWd-awal
even word
us'bla-(a)d-ax-yini
dat-ax
izroy
without to us he say
front us
perf. he pass
'He passed right in front of us without greeting
Thetheandparticleby the projectiveis followed‘without’blaSyntaxphrase,cleftedtakethe formconstruction,etc.:ur-t-teddi/ her notnearperf.goCLEFTINGAny noun phrase of a sentence may be topicalized by placing it before the remainder of the senThe noun is in the normal state under these conditions no matter what its function in
tence.
If the topicalized noun is a complement, a pronoun must appear in the sentence
the sentence.
If it is subject, the subject affixes
in the appropriate position to refer to the topicalized noun.
of the verb serve the same referential function:
topicalizedsubject:
aryaz,
man
'The mantopicalizeddirectidda
yor-ssuqg
perf. he go
to market
went to market’
(compare:iddauryazobject:tamettutt-ennas,
ur
tt
nannay
woman of him
neg.
her
perf. we see
'His wife, we haven't seen' (compare: ur
nannay
topicalizedindirectyor-ssuq)tamettutt-anns)object:moemmi-s,son hisisya-yasasrawalperf.pantshe buy for him/her'He bought his son pants'topicalized prepositionalobject:ssuq-uzruurda(compare:yur-smarket of Azru
not
ext. to it
'They don't go to Azru's market'(compare:urdattoddun8aisya-(yas)asrawaltteddun8athey goneg.yor-ssuquzru)i-maemmi-s)4.
topicalizednounnouns;71.complement:aryaz-ad,ur-datxeddem8abezzaftmattutt-onnasmannot ext.she workneg.muchwomanthis'This man's wife doesn't work
(compare: ur da txeddom
TwoSyntaxmayvery hard’
5a bozzaftmottuttof himuryaz-ad)be topicalized:aryazad,manthis¢ «'Thisman,histamattutt-snnosurdatxeddam8abozzafwomannotext.sheneg.muchwifeof himdoesn'tworkveryworkmuch'The topicalized noun phrase may be preceded by an ‘as for ——~' word.
This may be
umma,
mani(S),
or i ‘as for’.
i has the effect of changing the topicalized noun to the construct
state just as does. the preposition
i ‘to, for'.
it is not clear whether Berber speakers identify the two as the same element however:i-terbatinurdaassentttekksanazzaras for girls
not
ext. to them (f) they remove
hair
'As for girls, people remove their hair only in the country’
(i.e. 'only people in the country ——')4.7.2yasi-borraonlyin countryClefting”A cleft sentence is one in which a phrase other than the verb phrase is made into the predicate.
In English, this is the case for sentences such as
'It is John who did the damage’
as
opposed to ‘John did the damage’.
Clefting is very frequent in Berber languages in general.
In Tamazight, it is very often used
under conditions where no particular stress or emphasis is intended - particularly in sentences
with the verb g ‘be': aryaz
ag-ga
‘He's a man' (lit,
(It's) a man that he is‘).
Formally, clefting consists in placing the phrase - noun phrase, prepositional phrase, adverbial - at the beginning of the sentence, placing the particle ay
after it and
subordinating the
remainder of the sentence to this particle.
The form of the sentence is thus
bi-partite,
the
clefted phrase juxtaposed with the ay
clause.
In the case of clefting of the subject, object, indirect object or prepositional object noun phrase,
the ay
clause takes the form of a relative clause, i.e. in the case of clefting of the subject
noun phrase, the ay
clause is a subject relative clause with a participle.
Only the singular
participle is used no matter what the number of the clefted noun phrase, a fact which must berelated to the demonstrative nature ofAsin the caseof relativeclauses,ay .78dependencyconditionsapplyin theayclause.","[80, 81, 82, 83]"
"‘Whatis this?'butin this Case the noun mustother.
The preposition thus must either be placed before milmi
-—- as it invariably is -or
after ay, not immediately after milmi.
Why
milmi_
now takes a cleft construction while
mani
continues to introduce a relative clause is not at all clear.",[87]
"Morphology25.osition n ‘of! is used if the noun begins with a consonant (feminine nouns and unberberized Arabic loans) and may optionally be used before vowel initial nouns if the number is from Arabic.
The noun isin the pluThe noun is, as we will see, formally a noun complement (see Syntax).
thereafter.
singular
the
in
and
-ral from two to ten
n-tmattutt‘one woman!snatn-tewtmin‘two women'yunuryaztone man'yutsinireyzen™'two men’ytBradirayzen‘three men'Srattn-tewtmin‘three women'rheaireyzen‘four men'rbean-tewtmin‘four women'eeSrinuryaz(rhea3.4.2n-ireyzen)ment‘twenty¢oSrinn-tmettutt‘twenty women’Ordinalst:ti,
fem.
The ordinals in Tamazight are composed forms made up of a pronominal base wi,
‘with’, and
usually identified at least etymologically with the preposition s,
followed by an s,
Both the pronominal base and the number agree in the case of the gender
a cardinal number.
marked3.5numbers:aryazwi-s-sin‘the second man’tarbattti-s-snat‘the second girl'aryazwi-&-%rad**‘the third man'tarbattti-3-Sratt‘the third girl’wi-s-rbea‘(the) fourth (m)'ti-s-rbea(the) fourth (f)'wi-s-xemsa_'‘(the) fifth (m)'ti-s-xemsa'(the) fifth (f)'if one includesverb subject affixes.",[31]
"The suffix t of the singular is dropped, if there
to i (as for masculine nouns) and the suffix inis one.5
is added:Theaof theta-xam-t‘small tent')ti-xam-in‘small tents!ta-fullus-t‘then')ti-fullus-in""hens'This pattern - prefix vowel changea)ilinked with a suffixnorin,accordingto gen-der - accounts for plural formation for somewhat less than half of Tamazight nouns,
a fact
which underscores the complexity of plural morphology.
Although there are 2 number of other
fairly regular rules, even Tamazight speakers accept, and may even use actively, different plural forms for the same noun.
3.1.2.2OtherIt is preferablePluralFormationsthat wedealseparately,for nounstern,with the particular morphological processesorderof theirBeforerelativetwo5 Thisdo not fall into the basicTherea.initial vowelb,suffixation of an endingc.
d.
e.stem vowel alternation
extra stem consonant (last) in plural stem
tenseness alternation of a consonant (i.e. tensediscussingeachof thesewith finalseparately,excludesexceptionnit shouldthe use- initial vowelis withaqut
”regular pat~listed here in thechangeof theseprocessesobservationare five,frequency:~ no one of these processes
may be used simultaneously.
-whichinvolved.be. notedof anotherchangeandand,consonantfor all femininenouns.in oneform,lax in the other)that:
in the case of several nouns,
tensenessalternationfour— are vir-3.tually never
(a)
theusedalone withoutoneMorphology15,of the others beingusedsimultaneously.®Initial vowel change.
The plural gender-number prefix is always
with
stem has a stem-initial vowel, in which case no prefix vowel is used.”voweli,unless(b)
Addition of a suffix ending in n,
About 80% of all Tamazight nouns are characterized, in
the plural, by a suffix with final n.
Generally the ending is simply n for masculine
nouns,
in for feminine nouns (after dropping any suffix t of the singular).
Onthesurface,thereareseveraldifferent,lessfrequentformsfor the pluralsuffix.","[20, 21]"
