Paragraph,Page number
"There is no secondary pronoun system.
Specification in
greater
detail
of
the
precise
combination
of
various
nonsingular conbinations
of
persons can be achieved by the
* free personal
pronoun
system
in
a_ similar manner to the
process described
in
2.1.2.1.17.
oly
in
this case bothappositionalNP'swouldbepronominal.",[106]
"Intext,once
a nominal reference has been made subsequent reference
will be by personal pronoun or
verbal
suffix
alone.
For
personal
prounoun
forms
see
2.1.2.1.10.
Pronominal
reference can be
interclausal
and
intraclausal.
In
the
latter
case
a pronominal
""copy"" is made of the preceding
nominal.
The pronoun itself agrees with the verb in
person
and
number
and = serves
to
emphasize~the
nominal
or
disambiguate it from other nominals in the sentence.
(541 )Dana uga ho-i-a.
man
3s
come-3s-tod.p
’ ""The man came.'
(542)Dana age ho-ig-a.",[59]
"The
notion
of
possession
i.e. one
entity
being
possessed or related ina
close
association
with
another
entity,
is
only expressed formally on the noun in the case
of
the
inalienably
possessed
noun
(see
2.1.1.4.7.).
However,
this
notion
can also be expressed in a nunber of
other ways as given below.tobe-na.
climb up-3s-pres.
137Syntaxexpressingpossession.three
of
be
can
possession
expressing
Sentences
different types:
;
;
equative sentence with a possessive nominal
(1) A verbless
'of',
na
postposition
the
by
followed
a pronoun
i.e.
functioning as predicate.","[69, 70]"
"The noun
object,function as subject,
direct
object,
indirect
as
an adverbial of time, location or manner inthePersonal pronouns.cannot.
(c) Syntactic function.
can
orininflect.(ii)
Theinalienably possessed nouns.vs.predicatePersonal pronouns can be free forms
or
pronominal
clitics
attached
to the verb (see 2.1.2.1. and 2.1.3.6.1.2-3.).
In
each case there are distinct forms for various
combinations
of
person
and
number.
Free pronouns can occur wherever a
noun or noun phrase can occur.
A
free
pronoun
must
also
occur
before
the
reflexive
postposition
dodoc
in
the
reflexive postpositional
phrase
(see
1.2.4. and 1.6.).
A
clitic pronoun attached to the verb must agree in person and
number with
the object that it refers to.
Up to two clitic
pronouns can occur in the verb.mass (noncount )Alienably possessed
nouns
must be preceded by a possessive
possessive noun
premodified
the
in
postpositional phrase
inalienably possessed nouns must be preceded
phrase whereas
by either a proper noun or a pronoun (see 1.2.5.1.).nominalPronouns
are a closed set of items used to substitute
noun or noun phrase.
There are four basic types.into alienablyvs.asPronoun.(vi) as the nominal predicate in the equative clause
(vii) as the juxtaposed item in the derived adjective
adverbial phrase.
A noun is distinguished
the basis of occurrenceanandis
ofa word which has the
suffixes to indicate:(see2.1.3.6.12.1.11.)potentialto153SyntaxSyntax(ii)tense-aspect-moodand negationof the sentence(see 2.1.352-4. and
(iii) person-nunber2.1.3.6.12.1.10.)
of the subject (see(iv) person-nunberof the direct or indirect(see2.1.3.6.1.2-3.)(v)subject coreferentiality2.1.3.6.1.1.)objector noncoreferentialitywith the subject of the following verb (see 2.1.3.6.7.)
In addition the verb stem, predicate marker or object marker
can
be reduplicated
to
indicate simultaneous or iterative
action (see 2.1.3.3.2.1.2 and 8.).la-lan
ne-nel
SO-sog‘crunbly'
*sloping'
‘narrow'trtic""straight'(2) Derived adjectives.
Adjectivescan bederivedfrom verbsyen
b)teierreerss clitic -ec/-oc
Distribution.","[77, 78]"
"2.1.3.3.1.presenceCc:Aspect is
a category marked on the verb and is defined
as
different
ways
of
viewing
the
internal
temporal
constituency of
a
situation
(Comrie 1976:3).
Aspect
is
marked formally on the verb only in the following cases:leave',a person's(379)
A:
Silom bil-i-a2.1.3.3. Aspect.‘toafter'tolie/be'conjugatedinija welemu-ig-en.tomorrow ls
already go-ls-fut.
‘Tomorrow I will have gone.'
Past-perfect in the future is not possible.",[117]
"‘He did what""That dog is boney/skinny. '
an impersonal
(3) A sentence with
possession than (1) and
(684)ITja wen
te—na.inalienableAlienable and inalienable possession are distinguished.
Alienable
possession
is
expressed
by
a possessive noun
phrase (see 1.2.5.1.) which comprises
a possessed
nominal
preceded
by
a possessive
postpositional
phrase.
The
postposition is na 'of' and this can follow either a pronoun
or a nominal if it is a name or kinship tern.lsCa.canand(691 )Ija co-nitefulThisAlienableInalienable possession is expressed by
a
closed
class
of
inalienably
possessed nouns which are mainly body parts and
kinship terms (see 2.1.1.4.7.1. for a full listing of
known
forms).
The
inalienably
possessed
noun
is suffixed for
person and number of the possessor and, in the case
of
the
kinship
nouns,
also
for singular and plural number of the
possessee.ls
knife have
‘I have a knife.'
(682)Ija culumen ca.
ls
problem have
‘I have a problem.'",[70]
"Barry
J.
1977.
Case
marking
in
languages.
Linguistic
Series
No. 23.
Australian Institute of Aboriginal Studies.
Brown, E.K. and J.E. Miller.
1980.
Syntax:
A
Introduction
to
Sentence
Structure.
Hutchinson.
Capell,
A.
1969.
A
Survey
of
New
Guinea
Sydney: University of Sydney Press.",[196]
"(579)*Ege ho-co-—mmn
lpis
be{c,a}foodcome-pred.-SS-lp‘We came-SSSS mustje-si-a.
eat-3d-tod.psab(578 )Ege h-u-me—b
lpthenate.'{a,b,c}
andIf first personhowever,merging of sets of participantseuj-i-me-sionlywomandana uga na danahwhoeu3a
food that eat-pred.-SS-3d man
3s
of friend that
uga caj-i
muo-lo-i.
3s
arise-pred. go-hab.p-3s
'They(2)
would
eat
that food and then that friend of
the man used to get up and go.’
The S/R system is essentially a syntactic referential system
coreferencing the grammatical subject NP across clauses.
It
is not
influenced, for example, by a change in the semantic
role across
clauses
of
one
of
the
participants
in the
subject set
of
the marking clause.
The following examples
show a
change of semantic role across clauses of one of the
subject set participants in the marking clause from agent to
297MorphologyMorphologyrecipient in
one
case and from
agent
to
experiencer
in
another
case.
Also
a
change
across
object
NP's
from
experiencer to
recipient
is
given but in all instances of
change of
semantic role it is the syntactic contents of the
subject NP
that
is
tracked
and
marked
for SS since the
subject of
the controlling clause is either identical to or
a subset
of
the
subject
of the marking clause.
The fact
that one
of
the
participants
of
the
subject set of the
marking clause
has changed semantic role in the controlling
clause does
not
trigger
a DS
marking and in fact sucha
marking would be ungrammatical.
Change of semantic
role
from
agent
to
recipient
across
clauses:(589 )Ele jo
1dna harme-uhousetohousetoit-—ag-a.2s1s-2s-tod.pcome-pred.-SS-ld_'We(2) came-SS to the house
(590)*Ele jo
na ho-co-hul
1dhina sab
food{a,b}‘We saw that house then he turned (the car)
us from there and put us in a small house.'
(597 )Fe-fe-si
duc
ew
ut-co.
sim.-see-3d-SSfoodcame-DSto the house3s{a,c}The
role:naeuf-i-me—bHoweverit will now be shown how the S/R system isdescribedin Longacre(1972:7-16)(1972),(1973),Davies(1981)and most extensively in FosterhascomeofsemanticWesttobe knownasreferential(marked)clausewill""clauseandThurman(1981).skipping""apparentlyskipover the
immediately
following
clause
and
coreference a
clause further
down the clause chain as same subject.
This
normally occurs
when
the
skipped
over
subject is either
inanimate or belongs to a grammatically subordinated clause.
The phenomenon
of clause skipping is diagrammed below [13].
In this construction clause 1 has a SS marking that does not
refer to
the immediately following clause, clause 2, but to
a more distant clause in the clause chain, clause 3, in this
case.
The subject coreferencing is therefore ""anomalous"" as
it stands
since
the
subject
NPj,
of
clause
2
is
not
identical
to
nor a subset of the subject NPj, of clause l.
If the coreferencing was in
strictly
linear
concatenation
(i.e. local)
then
clause
1
should
be
marked
DS
to be
grammatical.
The identical subject NP is in fact in clause
3.
The fact that the subject NP's of clause 2 and clause 3
are not.identical is indicated by the DS marker on clause 2.","[149, 150]"
"There are two ways of expressing
comparison.
In
me
case
the
verb
wol-doc
'to
surpass'
functions
in
the
comparative clause.
In the other case the particle
ca
can
be
postposed
to
the
adjective to express the comparativeform of the adjective (see also 1.8.).
(444)Uga cecela.
Uga ija wol-te—na.
3s
long
3s
1s _ surpass-ls-3s-pres.
‘He is taller than me.'
(445 )Uga cecela ga
ija wol-drgi-na.
3s
long
but ls_
surpass-3s-ls-pres.
‘I am taller than him.'",[47]
"Amele
is
a pro-drop language and it is not obligatory
to express free pronouns for the subject, direct
object
or
indirect
object
functions.
Each of these functions can be
expressed on the verb alone.it-ag-a.switch-reference system (see 2.1.3.6.7.).
system can distinguish a subject NP that
is2.1.2.1.1.1.dogThe
marking
of
referential
vs.
nonreferential
indefiniteness
does
not
occur.
Neither
is
genericmess
marked
in the NP.
Noun actors that are more important than
other noun actors can be distinguished by special use of thethatFree(271)Qa2.1.1.12-14. Marking of referentiality,
importance of actors.one2.1.2.1.1.pronouns.son-3s-pos. 2S
‘Naus' son, you come(266 )Leih ho-ig-a.
some come-3p-tod.p
""Some came.'",[103]
