Paragraph,Page number
"(C)=k?a ie often lost or changed to -r, but this varies from case to case,evenwithb&nohirhAny verbal participle(18)hainn-hirth > hfanhirh(i.c., any sentence)can be converted(‘where 44 happened') by the suffix -hfrih.",[8]
"I havenoexpianationfor thecomingandgoingof -y-neré:tirarcifin‘her brother’é:kinnasiteétrhishe‘Why are you
going,in these cases,nor for the other variationsxP36.",[130]
"(75)ehérhhaiva?occur‘moveto(ti?rib 'here';
here on sy shoulder’.
da ‘imperative 2nd aubject'; kits ‘top’;ti94 hiri? deke%ac ‘In thot case I'll est this’.
(ti? ‘this’; hiri? tin that case's ic ""Amporative
katnc eat"").(8h)torrikickatht:r&:{f:e‘old woman'}.ha:wa?'nlso';ki?is‘futurewe‘dativeobjectbinni?",[13]
"1970,Meaning end the Structure of Langunge,Univeraalatnt‘The Case for Cone.",[143]
"‘In that case, ait up
dakite’e:ki nackwirrtictfrih
(Analysis at 3-128.)
here on my shoulder.'!",[107]
"In the case of s...kionlyfirstelementoftheor Oxsorist,and “ka? acpithatevidencefor|the atatementof the event.",[15]
"Asubjectbemarked eitherwithbi?'non-third personmeaningplural’,‘sit’,Tarlkt'stand!,In the latter case,suchinit occursothervise,‘go,dual’isit could be wa?
boththese examplesimperfective(hi? hacthethesamerootsofaspovitiontheor‘dual!plushishaandperfectivejustfora {: beforeka:?thelatteranyof comiri:hia-?a‘pluralobject"",do not take
‘be dual’issoretineslooksdut wart‘go, imperfective',
lixeport-root with""be lying’for the dual:i=perfective,7a‘sit down"".it is prefixed to thetheInvari.ond %L:ktand *irtawi‘exit'nv -itiand two verbs have suppietiveObserveverb.regulnris‘quotative’):‘They (three or more) are going (separately)',
(t1 ‘indicative 3rd person’;
hishe ‘go, tmpr.'.)""They two are going’.o(hi?tak‘patientplural’;‘non-singular subject’;‘impf.'.)'go,dual';“They(threeor mre)hike :wari‘Tey(dunt) will062)hike*eckwari""We (duel exclusive} will go'.",[99]
"G.2Underlyingenclosure’;ka:""insidea closedspace';/i::/ is rare and overlong/a::/ig ovenrarer,In contrast,topless‘inakaids/6::/fe%e/ + While overlong/e/ is rare except in the combinationevquite cosmor.
Yheclustervowelonlyfer over 90% of the cases
wouldcasesa genuine consonantal /y/ by examiningeliminateThisleavesomemost of thecompositionthesurfacedescriptionofrwymostofthetime,ih?",[121]
"2.4.2.personlst subject ';h&:wa?binni? ke:thi:r&:f:ca young man, 5nd there was
was re
‘The
(to:rikic ‘young man'; kiya:eta:ki:?4corn’;‘fo?71 ‘be’; hirih ‘locstive').‘shoulder’kiya:s?a:ki:?ifirst'partioiplenacposition’;o sittingki? ‘Ist object’;
plural object'.)‘Yeech!!ofelementseoondnockwi:rvict{rihtekite?e:k2.4.3.oras(83)andareandhiri?wubject'; wiir?icInterjectionsSome of the Wichits interjectionsand‘in that case, getup
birt? 'in that cose’;
“4kadverbs.",[13]
"(Section 4.15.)cal
experientialetc.)stateSome statev—>of benefactive|uniformly(mh)
experiencerdative
beneficiaryintranei—becomewillobject(17)length,agentbenefactive'find',inflection,subjectrequirev
stateN‘win',Othersubjectbenefiolary
N~subject
beneficiaryof all intransitive
verbs.of transitiveobjectnas|(2.6)display what has been calledthe subjectsn “syntactic orgative"" case structure:
srev
action
“processverbsand non-thirdthey will both appear ts Objects,Prisesubject
patient.
nN
3rd person||
agent
bs
3rd personThird personsubject
exporiencer>af
experientialbyhi?inckssand process""be asleep’,face otructure.verbs,and te::74such os ak
""be lezy'aa‘long; tal1'; tam‘hance’,take subject pronounsThis 1a not true for the majority of process verbs1b1aboth third personbenefactivev
action
“processfromalike;beneficiary
Nfvagent
¥(13)displayare treatedand thus appear to be transitive|abject(m2)verbsConsequently,or processes,(r25)as in ""If is raining” or ""It is dark outside”.agent
Xvvorte are also either statesaa well 2s experiencernin the surface structure,involvusconstructionEnglishin theChafe (19701256) assertn thet this is the case in mostSince experientialthey have patientspersonthirdto haveappearcomparableThesubjects.pronominalsingularstructuresurfacetheinverbsAsbientasurface structure.apparently have subject statusin the sure(e.g.'fell',4.3h.2‘yurn’?,‘fly up','go to sleep’,(oe. g,""be Slecpr',""be greedy’,lattertheverbsBecausetheir ambivalentverbThetoo:The
agreementdeoignatedpatientxpérioncaNn""VvWrodtpossessionansverfull,The(Sectionas requiring on agent at rules4.3),hestothecame25 pousessedof'tbe'ispossessed,notthesubjectThereforesubject-patient.do vithfor powsessedmarkedaremitically nasgigned a subjectbefore‘fo correctject.","[76, 77]"
"3|Unknown(39)adjectives2indefiniteeeunknownroot726-7368 transform nouns,human2durative2humanpea ‘w)root—--activity
alt1 (teperfective),‘by allowing the root unknown to ccour with either verbs
rules|
vrootfor theseadverbs,snastinite1eoristLl and Le provide the underlying structurestransformspivsknawn J)”fohuman(37)tense.be 8 more literal translation.
Rulesalleee]{ecu}future“knov"" in these aen-‘unknown'#vroot-=—uskenownperfect1tense meaning,'I, you, he, she, we, they don't know’the samp Wichita translations.
insteadduraiveTheJ}.humanindleative
soristsentencotences, there is no Wichita marking of the English subject of ""know"".eo}attspeaker opinion(preverdsa, if any, occur between os and reiR)ccours with indefinite pronouns
If therepresentationroot""I don'tJ|hielateNiphgu.Bofoutputthe‘I don't know where he's cating it’.
ar&:ketacs?an?’a
(karsi:?,..?%ag% ‘indefinite place'; i 'durative 3ré4 person’; a,..ro:R ‘unknown’; ka?acke:ei:?","[88, 89]"
