Paragraph,Page number
"Grammar Outline * liii
Transitive verbs, on the other hand, take two core arguments. When encoding two
arguments by enclitic pronouns, the actor of the action is encoded by the =ko series pronouns
(ergative case), while the non-actor takes absolutive case (=ak series pronouns). All noun phrases
in these cases are given core case marking; all other nouns are peripheral and encoded in the
oblique.
nakita
Nakitanak.
Nakítanak ni Maria.
Nakita ti babài ti laláki iti madióngan.saw (transitive)
She saw me.
Maria saw me.
The girl saw the boy at the mahjong parlor.itéd
Intédko ti kuartá kenní Juan.
Intédko kadakuáda.give (transitive)
I gave the money to Juan.
I gave it to them.kinnán
Kinnán dagití babbái ti baradibód.ate (transitive)
The girls ate the sweet potato porridge.","[52, 53]"
"Who did you see? Who was your seeing? (patient)
Who saw you? (actor)
How many did you get? (patient)
What got swollen? (actor)
What did he use to slice it with? (instrument)Interrogatives can function as indefinite pronouns in embedded questions. They are
preceded by the complementizer no in this case:
Ammök no sinnö ti nagturpös.
I know who graduated.
Ammom no âpay a kasdiây?
Do you know why he is like that?",[78]
"The prefix ma- (perfective form na-) is also used to form involuntary or stative verbs (and
adjectives) that take only one core argument in the absolutive case.
maldaang
maüyong
malmes
/natnägto be sad
to be crazy
to drown
to fallWith the suffix -an, the prefix ma- indicates nonvolitional or abilitative agency. The
resulting verbs can be intransitive resultatives (in many cases where the agent is expressed in the
root) or transitive potentives, where the agent is expressed in the ergative case.
Intransitive verbs:
marabiiyan
mapudotan
maatälan
magasängan
iVaatälanak idi kalmän.
Afagasänganak.to be overtaken by the night
to be warmed up
to be run over
to be affected by spice
I was run over yesterday.
I was affected by the spice.",[65]
"3.2 Demonstratives
Ilocano demonstratives, like the articles, also inflect for plurality and case. There are no special
forms, however, to differentiate personal nouns from non-personal ones. Ilocano demonstratives
are traditionally classified with regard to three degrees of space and time.",[53]
"Certain affixes, however, such as -en and -an, encode transitive frames that may assign
two nominals in core case, an agent (actor) encoded in the ergative case, and a nonactor (patient,
location, recipient, benefactor, reason, or theme, etc.) encoded in the absolutive case. Since the
absolutive argument in focus for these verbs is a nonagent/actor, they are called ""goal focus
verbs"". Because these verbs can take two core nominals, they are grammatically transitive.
Nakitanakan.
'He already saw you'.",[61]
"Benefactive focus
The absolutive argument of benefactive verbs is usually the beneficiary of an action, but in some
cases the person encoded in the absolutive case can be seen as having the action of the verb done
in his/her place rather than for his/her benefit. It is formed with the circumfix i- -an (past: in -an),
morphologically a combination of a theme prefix and a directional suffix.
Root
dâit 'sew'
luto 'cook'
arâmid 'do, make'
âlaBenefactive verb
idaitan
ilutuân
yaramidan
yalâanEnglish gloss
to sew for someone
to cook for someone
to do, make for someone
to get something for someoneIndaitak ni Maria iti bado.
'I sewed a dress for Mary'.
No kayatmon ti mangan, ibagam ta idasarankan.
'If you want to eat already, say so and I'll set the table for you'InstrumentalfocusThe instrumental focus places the instrument or tool used to carry out the action in the absolutive
case. It is formed by the prefix pag- (past: pinag). Because of the semantic and pragmatic nature
of this particular focus, derived pag- words usually appear in discourse as non-predicative nouns.
Root
tugâw 'chair; sit'
surat 'write'
dâit 'sew'
bâut 'thrash'Instrumental verb
pagtugâw
pagsurat
pagdait
pagbâutPinagdâitna ti dâgum.
'He used the needle to sew'.",[64]
"Ilocano transitive verbs and possessed nouns may express both the actor and patient (or
possessor/possessed) pronominally with enclitics. In this case, the =ko pronouns express the
agent (or possessor) and the =ak pronouns express the patient (or possessed entity). Some of the
forms have fused together and are now portmanteau enclitics that neutralize certain combinations,
i.e. -mo/-na + -ak = -nak, -yo/-da + ak = -dak, -na + -ka = -naka, -da/-kami + -ka- -daka, etc.4
ACTOR i4<r-P A T I E N TsiaksikaisusiakREFL=ka=k(o)data
-sika=nakREFL=m(o)-isu=nak=nakaREFL/=nadata--dakami-datayodakamidatayodakayoisuda--=kayo=k(o) idâ=nakami--=m(o) ida=nata=nakami=natayo=nakayo=na idâ=taREFL---=ta idâ=daka=mi-REFL-=dakayo=mi idâ--=tayo--REFL-=tayo idâdakayo=dak-=yo=data=dakami-REFL=yo idâisuda=dak=daka=da=data=dakami=datayo=dakayoREFL/=da idâReflexive forms in this table are marked REFL. They are discussed in section 1.6.",[43]
"6. Verbs
An interesting feature about Ilocano (and other Philippine languages) is that every root in the
language that can act as a noun can also be transformed into a verb by means of syntactic placement or verbalizing morphology. Because the initial position is reserved for the predicate, any
noun in that position may take on a predicative function. Conversely, verbs may occur in nominal
functions (after articles or demonstratives). Ilocano does not have a copular (to be) verb:
kayo
Napan.
ti napantree; It is a tree.
He went,
the one who wentdaytoy kayo
Kayo daytoy.this tree
This is a tree.lalaki
Lalaki.boy.
He is a boy.",[60]
"Intransitive verbs may take an indefinite notional patient or object in the oblique case.
Nangának iti dinadaráan.
Nangán ti babai iti pariá.",[52]
"lxx * Grammar Outline
6.3.4 Habituals with sangkaThe prefix sangka- may be used to indicate habitual events. The actor of these formatives is
encoded in the ergative case.
Sangkasaonaka.
Sangkadamagnak.","[69, 70]"
"Verbs are thus classified in semantic terms, by the semantic relationship between the verb
and the role of the referent indicated by their absolutive argument. The following table illustrates
these classifications with a brief overview of their use.
Summary of Major Focus Types
Macro Role Semantic Role
Actor
Various, usually
actorGoal
(nonactor)Patient
Directional
Theme
Benefactive
Instrumental
ComitativeTransitivity
IntransitiveFocus Affix
ag-um-Detransitivemang-en
-an
ii- -anTransitivePaska-lxii * Grammar Outline
Actor focus
Actor focus verbs take at most one core argument in the absolutive case whose relationship to the
verb is that of 'actor' (semantic agent or experiencer). Actor focus verbs may be formed with the
prefixes ag- (durative), ma-lmaka- (stative or potentive), or the infix -um- (punctual or
inchoative). Transitive verbs may be detransitivized with mang- (distributive).
Naglütokami.
Naglüto dagiti ansisit
Naglaylây ti sâbong.
Ngimmisitkan!
Naglaylâyda.
Naglaylây ti sâbong.
Nangänakön.
Nangân diây balâsang.
Limmukmégdan!
Natûrogak idiây siléd ni Akong.","[61, 62]"
"6.2 Detransitivizing strategies for goal focus verbs
All goal focus (grammatically transitive) verbs in Ilocano can be changed into actor focus
(grammatically intransitive) verbs with detransitivizing affixes. This strategy is employed either
to form the antipassive, whereby an unindividuated patient (grammatical object) is put into the
oblique case and rendered indefinite, or it is used when the verb must be detransitivized as
required by the syntax, as in relative clause formation (see section 13.1). Note the differences
between the following sentences with transitive verbs and their detransitivized counterparts;
Kinnânko ti sabâ.
Nangânak iti sabâ.
Ginatângna ti sida.
Gimmâtang iti sida.",[66]
"Goal focusIt rained.
Lightning flashed.
It stormed.
It drizzled.
It flooded.distinctionsGoal focus verbs are classified by affix type on the basis of what semantic relationship the
argument in the absolutive case has with the verb.",[62]
"12. The Ligature (ng)a
The ligature (or linker) is a connective particle used in Philippine languages to connect various
syntactic parts of a sentence (heads and attributes). The Ilocano ligature has two written variants:
nga before vowels and a before consonants. However, in speaking, the ligature nga is usually
preferred regardless of phonetic environment.
Among the many uses of the ligature are the following: connect adjectives and nouns,
introduce complements or appositional constituents of all syntactic categories, separate the
negative particle saan from the verb in negative declarations, and separate repeated words in
emphatic constructions:
Sao a sao ni Kondring.
naimas a digo
Saankami a napan.
Nalaka a daiten.
ti kabsatko a lalaki
ti nuang a napigsaKondring is always talking.
delicious broth
We didn't go.
It is easy to sew it.
my brother
the strong water buffaloWhen the ligature (ng)a joins non-predicative syntactic elements, notice that the two
conjoined constituents do not predicate:
Naimas ti bibingka.
naimas a bibingkaThe rice cake is delicious,
delicious rice cakeNi Erlinda ti maestra.
ni Erlinda a maestraErlinda is the teacher.
Erlinda, the teacherGrammar Outline * lxxxi13. Clause Combining
Various processes are involved when Ilocano clauses are combined. In certain combinations, one
clause becomes a well-integrated (dependent) constituent of another. These include relative
clauses and complement clauses. Clauses may also combine where neither is the superordinate
clause; both may function independently. Such is the case with coordinate clauses. This section
will discuss the following clause types:
13.1
13.2
13.3
13.4Relative clauses
Complement clauses
Adverbial clauses
Coordination13.1 Relative clauses
A relative clause is a clause that modifies the head of the noun phrase (NP) to which it belongs; it
'relates' a piece of information to its head noun. Relative clauses are linked to their head noun in
Ilocano with the ligature (ng)a: NP = head noun + ligature (ng)a + relative clause.
ti tao a manakem
ti balasang nga agur-uray kaniak
ti al-alia a nakitanathe man that is wise
the maiden who is waiting for me
the ghost that he sawThe head noun taking a relative clause must be in the absolutive position with respect to
the predicate of the relative clause. A head noun that functions as an actor will take an actor
focus verb, a head noun that functions as a patient will take a patient focus verb, etc.
ti tao a nagsurat
ti mannala a sinuratanna
ti sarsuela a sinuratna
ti nagan nga insuratna
ti ubing a nagsangit
ti balasang a nakitak
ti al-alia a nakakita kaniak
ti tukak nga innalada
diay babai a kinasaok13.2the man who wrote (actor)
the dancer to whom he wrote (direction)
the opera he wrote (patient)
the name he wrote down (theme)
the child who cried (actor)
the maiden I saw (nonactor)
the ghost that saw me (actor)
the frog that they got (patient)
the girl with whom I spoke (comitative)Complement clausesComplement clauses are those that can be considered as embedded arguments of a matrix
predicate. Most complement clauses have the potential to stand alone as a complete phrase,
except those that are 'reduced', sharing a co-referential argument with the matrix clause that is
only overtly expressed in the matrix clause.
Kayatko nga agawidka.
Kayatko ti agawid.","[80, 81]"
"6.1 The categories of verbs
6.1.2 Focus (verbal orientation) and transitivity
One notable distinction present in every affixed verb is the encoding of what has been termed
'focus' in Philippine linguistics, referring to formal marking that reflects the privileged syntactic
status of the absolutive noun phrase. Ilocano verbs assign 'focus' to their absolutive nominal
(=ak pronoun NP), the nominal in the most syntactically privileged position in terms of the
semantic and grammatical relationship the nominal has with the verb. Simple intransitive verbs
such as ag-, -um- and mang- verbs, for instance, take at most one core nominal as the argument
whose semantic relationship to the verb is usually 'actor' or single-argument 'experiencer'.
Nagsangit ti balasang.
Timmugawda.
Nangankamin.
Agap-apada.
Ngimmisitdan.",[61]
