Paragraph,Page number
"If we were dealing with case, I wouldexpect pronominals co-occurring with -d: to belong to a same structural class (i.e. nominative. accusative.
or ergative). This is not the case —there is one form that indicatesthat the pronominalis in thenominative case and another that indicates accusative case and -d: co-occurs with both. The morpheme d: indicates the semantic role of a pronominal. theme. not its case. This fact indicates to me that the
transitivity morphemesare operating on thetarole assignment--hencethe label semanticrolemorphemes.",[130]
"Many languages that have a free constituent order also havemorphologically marked case. In such languages case markers are like English prepositions in that they assignsemantic roles. Thus. several authors prefer to label these elements as semantic role markers or semantic case
markers (e.g. Simpson 1983).",[88]
"A morpheme such as -d: can occur with a subject pronoun(nominative) in unaccusative clauses (310) or object pronoun (accusative) in transitive clauses (311). Allsubjects (i.e. subjects of transitive clauses (which only appear if the object is third-person). unergative
subjects, unaccusative subjects. and subjects of passives and reflexives) are in the nominative case in
Kadiwéu. Objects are marked by a different set of pronominals.",[130]
"One possible answerthat can be found within Government & Binding theory is that case licenses the presence of grammatical
arguments. Thus, the function of those morphemes could be assignment of structural case. But Kadiwéu
presents evidence against this interpretation.",[130]
"1995)interprets transitivity as the ability to assign theta-roles. Baker (1991, 1994) takes a different perspective:
according to Baker. verbs in pronominal argument languages have no case to assign to complements.",[119]
"(201)id:owetGatGaloko.
j-d:-owe-d-Ga-t+Ga-lokom
1pl.SUBJ-theme-take.care-atel-pl-rel + 2sg.CL-adessive
""We are taking care of you.’A single pronominal affix or clitic co-occurs with several different semantic case markers. Conversely. a
particular semantic case marker can co-occur with more than one pronominal prefix or enclitic. For instance. theenclitic +Ga co-occurs with -wa ‘dative’ in 198, with -dom 'benefactive' in 200, and with -/okom 'adessive' in 201.
Conversely, the semantic role marker -d: ‘theme’ co-occurs with the subject prefix j- in 195 and the object prefix
Ga-in196. These facts constitute evidencethat the semantic role markersand the pronominalmarkersareseparate morphemes.",[89]
"Although transitive verbs normally contain object markers. a third-person object is usually not marked. because
this is the lowest in the hierarchy. Therefore. when a transitive verb has a subject marker rather than an object
marker, one understands that the object is a third-person.
Since second person is higher than first person. a transitive verb whose subject is second person and whose
object is Isg can also be marked by a subject prefix rather than an object prefix. In this case, the subject marker
must be followed by the semantic case marker -d: 'theme’.",[61]
"In 308 they are notpresent and the stems function as a noun: that is, syntactic arguments cannot be added in spite of the fact
that the valency suffix -Gen: '[+become]' is present and in spite of the fact that a Kadiwéu speaker
understands that somebody is pierced. In 309, however. the semantic role -d: ‘theme’ is present and the
stems functions as a transitive clause; that is. there is a grammatical internal argument, Go-'Ipl.OBJ':(308)lapwaGen:ig:i.l:-apwa-Gen:-nig:i
3POSS-hole-[{ + become]-m.dim
""His bodyguard.’ (the one who becomes pierced)(309)God:apwaGeGo-d:-apwa-Gen:
1pl.OBJ-theme-hole-[ + become]
""We are challenged.’In section 4.3 the morphemes -d: 'theme'. -gi ‘goal’. -wa ~ -ma ‘dative’. -dom ~ -lo ~ -ma ""benefactive'.
-k ‘allative', and -lokom‘adessive' were introduced as semantic case suffixes, markingarguments. The function of these morphemes,the roles ofhowever, is actually more complex. They license thegrammatical internal arguments.",[129]
"One could question whether thesemantic role markers are attached to pronominals at the phonological level. If this were the case, Baker's
approach still could be maintained.",[90]
"Therefore.monosyllables are predicted to be non-existent in Noble Kadiwéu, which is quantity-insensitive. This is indeed the
case: monosyllabic words must be expanded into disyllables, as represented in 42.",[42]
"Kadiwéu fits this pattern. except that it is the pronominal clitics and affixes. ratherthan nouns, that co-occur with semantic case morphology.",[88]
