Paragraph,Page number
"9.5Case markingA nominal expression (NP) takes a grammatical case in an utterance. Grammatical
cases such as nominative, accusative, dative, static locative, dynamic locative, source,9 Grammatical structure327goal, instrument, and directional indicate the grammatical relation that a noun has visa-vis its predicate, another noun (in genitive, comitative, and connective cases), a
clause (in multiple nominative constructions), or a discourse (in the vocative case).
Cases are marked by case particles, which may often be omitted in various discourse
contexts. Nominative, accusative, dative, static locative, goal, and genitive particlesare frequently omitted in sentences, especially in colloquial speech, because these
cases are most easily predictable from the syntactic structure, word order, and the
nature of the predicate used. Thus, for instance, in Mia enni hak.kyo ka-ss-ta ‘Mia’solder sister went to school’, Mia is still in the genitive case, enni in the nominative
case, and hak.kyo in the goal case, despite their not being marked by any particle.
Cases may be divided into two groups: (1) those that mainly indicate syntactic
functionsof nominals,complement),accusativesuchas nominative(usually(usuallyfunctioningasfunctioningobject),andas subject
genitiveand(usuallyfunctioning as possessive), and (ii) those that mainly express semantic functions of
nominals such as dative, goal, locative, source, directional, instrument, and function.","[342, 343]"
"A nominalized clause is different from a relativeclause in that it does not have a head noun but only a nominalizer suffix (NOM) and
from a conjunctive or complement clause in that it functions as a grammatical case
suchas nominative,accusative,dative,locative,genitive,etc.",[335]
"For instance, in Alan.i ka hak.kyo eyse w-ass-e ‘Alan came from school’, Alan plays
the grammatical function of the subject of the sentence, whereas hak.kyo, marked by
the source particle eyse ‘from’, has the semantic function of indicating the location
from which Alan came. This dichotomy, however, does not preclude syntactic caseparticles from having some semantic functions as well and vice versa.
Among the particle slots of a noun phrase, nominative, accusative, and genitive
particles occupy the last slot, whereas the semantic particles occur in an inner slot
even before the delimiter slots, as in na man i (I only NM)‘only I’ (subject), nehanthey man ul (you to only AC) ‘only to you’ (object), and ape-nim kkey man uy
cinci (father-HT to only GN meal) ‘the meal only to father’ (genitive).
9.5.1Syntactic cases: nominative, accusative, and genitiveNominative,accusative,andgenitivecases,whichmaybetermedsyntactic(orstructural) cases in Korean fulfil the most productive grammatical functions. Since
they are, by and large, predictable from context, case particles are frequently omittedin colloquial speech if no emphasis, deference, or exclusiveness is intended. These
three particles (ka/i, (ul, and uy) cannot cooccur with a delimiter denoting topicality
such as (n)Jun ‘as for’, (i)ya ‘as only for’, and fo ‘also’ because all of them occupy the
last position in a noun phrase.",[343]
"Which one of a sequence of case particles becomes privileged depends on the
argument structure (or thematic roles) of the predicate. For instance, the copula ita
requires a theme subject, hence the nominative case in yeki eyse puthe ka must be
privileged in (136a). Similarly, in (136b), the predicate ponayta‘send’ requires adirectional role, hence the directional case in Kim sensayng eykey lo manul isprivileged. Dependence on the argument structure of a predicate can be more clearly
observed by comparing the two sentences in (137).
(137)a.tong-ccokulomanul —ka-ss-ta.east-side
DR only AC’
go-PST-DC
‘(He) went only to the east side.’
b.tong-ccokulomanylpo-ass-ta.east-sideDRonlyAC — see-PST-DC‘(He) looked only toward the east side.’In a sequence of cases which are equally case-relatable to the predicate, the last
one acquires priority in case privilege hierarchy over the preceding ones. Thus, in Kim
sensayng-nim eykey lo, both eykey ‘to/at’ and /o ‘towards’ can be relatable to ponayta9 Grammatical structure345‘send’, but /o is regarded as privileged and eykey is interpreted as a static human
locative ‘at’. As noticed in this example, there is a slight semantic difference in
certain semantic case particles between when the particle is used as a privileged one
and when it is used as a privative one. In a privative case, a goal particle (kkey, eykey,
ey) in a privileged case loses its goal meaning and functions as a static locative, and
the directional particle (uj/o also loses its directional meaning ‘toward’ and denotes a
general direction, as in hak.kyo lo puthe w-ass-ta ‘(He) came from the direction of
school.’ The ablative puthe means ‘from’ in a privileged case as in hak.kyo lo puthe
w-ass-ta, but ‘starting from, beginning with’ in a privative case as in (136a),
9.6Delimiter constructionsWhile case particles mark syntactic relations amongmajor constituents, delimiterparticles delimit the meaning of the cooccurring element with little syntactic function.
Many case particles including the nominative ka/i, accusative (J)ul, ablative puthe, anddirectional (ujlo behave like delimiters with their own semantic content, especially
when they become privative case particles as observed in 9.5.8. Delimiters appearmost productively in noun phrases but also with adverbs, complement clauses, and
even main sentences. Due to their syntactic and semantic properties, delimiters can be
classified into two types, constituent and sentential (or discoursal) delimiters, the
former occurring in noun phrases (including nominalized clauses) and with adverbs
and complement clauses, and the latter occurring at the end of a sentence and/or after
any major constituent.
9.6.1
MostConstituent delimiters
of the importantconstituentdelimiter particles weregivenin 8.1.9.","[360, 361]"
"Mikwuk
Americauy
GNSaiphan
Saipankwa uy
with GNcencayng
war‘America’s war against Japan in Saipan’
In (136a), three case particles occur in sequence. While the locative and ablative
cases, marked respectively by eyse ‘at, in’ and puthe ‘from’, are inert in that they are
not associated with the predicate (the copula in this case), only the nominative case,344The Korean languagemarked by the particle ka, is related to the copula as its subject. The two inert caseparticles simply contribute their semantic content to the subject noun phrase. In this
respect they are like delimiters. In contrast to such inert cases, the case which
maintains its syntactic relation with the predicate may be called the ‘privileged’ case.
Thus, in (136a) the nominative case is the privileged case, while the locative and
ablative case particles are privative.
In (136b), the three case particles eykey, lo, and ul are flanked by a delimiter (man
‘only’). Here, the directional /o is the privileged case and is related to the predicateponayta ‘send’, whereas the particle eykey ‘to’ and the accusative particle u/ become
privative andfunction as delimiters. In (136c), the source particle eyse and theconnective particles wa ‘and’ and na ‘or’ all function as privileged, in that the former
is related to the predicate and the latter two connect two noun phrases.","[359, 360]"
"As shown in the above examples, Korean reflexives occur in the direct or indirectobject position, copular complement position, and possessive and other case positions.
Unlike in English, Korean reflexives may also occur as the subject of an embedded
clause as in (240a) and (241a). In such cases, Korean reflexives usually correspond toEnglish personal pronouns. For more on anaphoric phenomena in Korean, see W.C.M.
Kim 1976, S.H. Park 1985, B.M. Kang 1988, S. Kang 1990, J.O. Choi 1992, H. Lee
1993, W.H. Kim 1994, and K. Lim 1998.",[423]
"9 Grammatical structure9.2.8293Word orderAs an SOV language, Korean has the basic and neutral word order of subject, object,
and verb/adjective. This order holds in both main and embedded clauses. Due to the
basic SOV order, all modifiers including determiners, genitive constructions, relativeand complement clauses, and conjunctive clauses precede their head elements. Case
and delimiter particles always follow the nominals they are associated with, These
orders are fixed and do not allow any variation. Amongnoun phrases that carryvarious cases, however, there seems to be a preferred or neutral word order. Roughly,
the order in (49) appears to obtain. Note that case markers are optionally or
obligatorily deleted in certain syntactic collocations.
(49)Order of casesCase marking particlesa.","[308, 309]"
"9.3Syntactic relationsSyntactic relations among various constituents in simplex and complex sentences may
be observed in terms of the overall syntactic structure. The relations between an
embedded clause and its head are expressed by various clause enders, each of which
consists of one or more inflectional suffixes, and certain connective particles (e.g.,quotative particle ko), while the relations among nominals or between a nominal andits clause-mate predicate (verb or adjective) are represented by particles that carry
various case functions (e¢.g., nominative, accusative, dative, locative, ablative, source,goal, instrument, and directional). Clause embedding will be discussed in 9.4, and
case relations in 9.5. The syntactic structure of Korean may be represented in terms of
traditional grammatical categories as in the following set of constituent structure rules.
These rules are not exhaustive, but they do cover most of the essential constituents of
Korean sentences.",[313]
"Notice that semantic case particles such as comitative and dynamic locative in this
example are intact, cooccurring with uy. Only the other syntactic case particles
(nominative and accusative) are obligatorily omitted before the genitive uy, hence
*Mikwuk i uy and *Mikwuk ul uy are ungrammatical.
Whena nominalin the genitive case contains case or delimiter particles, thegenitive particle also must occur. Thus, in Sewul lo puthe uy phyenci (Seoul DR from
GN) ‘a letter from Seoul’, uy must occur. Similarly, when a noun phrase in the
genitive case consists of conjoined nominals as in ne wa na uy chai-cem ‘differences
between you and me’ or a clause with a sentence ender as in cwuk-nu-nya sa-nu-nya
uy cencayng ‘a war of whether to live or die’, uy cannot be deleted.",[349]
"In genitive constructions such as (136d, e), the privileged syntactic case is always
the genitive(markedby the particle uy) whichgenitively to the head nominal.occurbeforethe genitivecase.relates the cooccurringnominalIn addition, one or more semantic cases may alsoIn (136d),the privilegedsemanticcaseis thedirectional marked by /o which semantically relates its cooccurring nominal Kimsensayng eykey to the head verbal noun Aoysin. Here, the static locative case marked
by eykey is privative. In (136e), the dynamic locative case marked by eyse and the
comitative case marked by Awa are privileged.",[360]
