Paragraph,Page number
"(010main map20milesKayah Li AreaXXVillD.Solnit 1997Part IGrammarChapter 1
Typological OutlineThe purpose of this chapter is to provide an overview of
the Kayah Li language before launching into detailed description. In doing so I will make use of both standard typological
parameters,suchas word-order,andof moretraditional cate-gories such as ‘tonal’, hoping to situate the languagein theSoutheast Asian areal context as well as among human languages
in general. A more practical consideration is to familiarize the
reader with basic Kayah Li sentence structure and with a short
list of high-frequency morphemes, which should ease comprehension of the upcoming example sentences and expressions. For
example, since virtually every clause contains at least one pronoun, I give a list of pronouns here so that the reader does not
need to hunt out the chapter (6) on Nouns and the NP, where the
pronoun system is discussed.
Note that the use of familiar terms like Noun, Verb, Indirect Object, Prepositional Phrase, and so on, should not be takento meanthat the KayahLi phenomenaare identical in everyrespect to their counterparts of these names in familiar languageslike English. They are similar enough that the familiar terms canPart I: GrammarTypological Outlineprovide an entry into understanding the item in question, but indissimilation in prefixes. Word formation is predominantly byevery case the full description should be consulted for the pointscompounding.on which the Kayah Li phenomenon is unlike any other phenomenon with the same name.","[14, 15, 16, 17]"
"This meansspecification for co-Occurrence with the ‘core’ grammatical relations Subject, Object
and Indirect Object (for specifics of these grammatical relations57Part I: GrammarThe Verb Complexsee Chapter 5). This specification is said to LICENSE the occurrence of these relations; it is a feature of every verb, and of a few
VPtc’s as well. Besides the three core grammatical relations,to each other. I will use Foley and Van Valin’s terms, Actor for
the role with the most Proto-Agent properties and Undergoer for
the role with the most Proto-Patient properties; Foley & Van
Valin call these ‘macroroles’. With Dowty, I assume that thethere are also a few cases in which it makes sense to recognize
specification for certain oblique grammatical relations, but these
will concern us more in Chapter 5 than in this one. Most generally useful is a classification of verbs into Vj, V, and V4, taking
one,twoandthreegrammaticalrelationsrespectively.assignment of a given role type to the macroroles is not fixed
across verbs; that is, a type such as Patient may be Undergoer
with a verb like fry as in Next you fry the onions, but Actor with
a verb like strike in The arrow struck the target. In the latter case,Thethe arrow argument has no Actor property but movement, but that
is enough for it to outrank the stationary target argument. With allvalence of the head verb may interact with that of other morphemes in the VC, including both non-head verbs and certain
VPtc’s, this interaction producing a valence for the VC as a unit.
3. Semantic participant roles (theta-roles, thematic roles,three authors, I assume that the Actor/Undergoer distinction is
not neutralized with one-argument verbs: we will have occasiondeep Case), also known as arguments. Argument specifications
of verbs are said to be realized by grammatical relations in theto divide one-argument verbs into those taking Actor and those
taking Undergoer.clause.
I will use familiar terms such as Agent, Patient (not dis-The following are features of constructions rather than
individual items.","[43, 44]"
"In the following examples, theMaximal NP is enclosed in brackets, and the position of du ‘big’illustrates the nossible positions of (Sj):179Part I: Grammar(6-1)[?iswithéjacurry_pig-flesh_at:Utopodydu]?oone-pot bigexistThe Nounvé phd?e pahenurna1sthatcookyesterdayI take the OrdN dipo ‘pot’ to be the head of the entire NP.
Although this is the usual analysis, it is not fully obvious thattoutesuch an NP is not headed by the CIfP instead. Consider (6-1),where??iswi théja . . . na topo ‘that pot of pork curry’; certainly in the
English translation the head is ‘pot’ rather than ‘curry’. And is it
the ordinary N (dipo ‘pot’ in the example) that determines whichWhere is that big pot of pork curry that I cooked yesterday? (31.1)(6-2)phja [dips du d¥ ?a kod5 kudi ?0
take(6-3)potPhrasebig at:U3lidtohandle exist NEGsdmé(*du)|three C:largebigClf(s) can occur, or vice versa? Also, if the OrdNP is head, the
position of the modifying CIfP violates the default rule that nom-[Pll] take three pots with lids that don’t have handles.
(31.1)head, the default pre-head position of nominal modifiers is pre-?iswinabéeld duserved. Cf. Thompson’s analysis of Vietnamese noun+tclassifiercurrybowlconstructions: in such examples as mét con ch6 ‘one-CLF-dog’twobigtwo big bowls of curryinal modifiers precede their heads (6.3 below). If the CIfP isand ba céi ghé ‘three-CLF-chairs’, the classifier is considered toI assume the following structure, using (6-2) as example:be the head, and the noun is analyzed as ‘descriptive complement(6-4)to [the] classifier’ (Thompson 1965, 192-3).
Recall that when a CIfP and an associated OrdNPNP(i.e. theNP naming the thing that the CIfP counts) occur in a single
Clause, the two usually are syntactically independent, with theNPClfP occupying the Extent position (5.5.1). When an OrdNP
VANClfP|
dipsObject is directly followed by a ClfP, we have the appearence of|
duSingle maximal NP, as phrekhii sf nA ‘two men’ in:(6-5)
Cif
Pd¥SANZNQ20 toSofa kod5kidi180phremd méthaphrekhii sfnAwomanmantwo_ look-see_C:humanSome women saw two men. (4.xii)
CifImeBut Object NP and the CIfP are actually separate constituents of
the Verb Phrase; for example, Locative PP can always be inserted
between the two, without affecting the semantic relations181Part I: Grammarbetween them: phremd métha phrekhii d¥ klébe si nA ‘Some
women saw two men at the market’.
The rarity of maximal NP’s in natural speech is undoubt-edly not due to a rule of Kayah Li grammar, but is a consequence
of facts about discourse and cognition, of the same order as thepreter semagarremg soperaecreneeThe Noun(6-6)Phrase?amdphréphremd taphrekadv¥ khjaold.personwomango:THat:U= one-C:humanbackOne old woman came behind. (167.5)(the situation is of a woman watching a large number of villagers
returning, hoping to see her son among them; this old woman isfactors working against occurrence of full NP’s in two or moreone of the returning group). It seems also possible to interpretmajor sentenceEnglishthis relatively rare type of expression as something like apposi-tends not to include sentences like the farmer killed the ducklingtion, or nonrestrictive modification: in the above example, an oldthat had big feet for his daughter on Thursday). One way ofwoman, one of them, or in example (1) above, the pork curry, that
big potful I cooked yesterday.constituents(the reasons that spokendescribing these factors is to recognize two different tasks for
items in discourse: establishing a category, and individuating the
category (I leave these terms undefined on purpose). The formerFor convenience, I will divide the following discussion by
the subtypes OrdNP, CIfP and LzP. But first, some notes on twois the job of OrdN’s (and other things including the extralinguis-special types of Ordinary N: pronouns and names.tic context); the latter is the job of Classifiers. Just as it is unusual
to both establish a new topic and add information about it in a
single clause, so it is unusual to both establish a category and
individuate it in a single NP.
Wheredo suchmaximalNP’sactuallyoccur? A few6.26.2.1PronounsThe Pronoun System
The pronouns are:answers are suggestive. One situation is in response to elicitation
concerning the proper Clf to be associated with a given noun,thus dibé so nA be ‘two wooden bowls’, cited above. While thisOne of the very few maximal NP’s recorded in sponta-SgPl1vépe2nesi3is at best a highly marked form of discourse, such expressions areprobably legitimate nominal sentences (8.1).and NamesUnmarkedjesi?a, li, 20The third person plural form jesi is rare. The more common thirdPerson pronouns?a, li, and?ii, are unmarkedfor number.neous, unelicited speech is the following sentence, which intro-Briefly (see also 5.3 above), the two alternate within a clause asduces a new discourse participant:‘ way of keeping track of two third-person protagonists. 10
‘ppears only if 2a or some other non-coreferential third-person
NP appess182*>""-->it in the clause. More183generally, successiveThe Noun PhrasePart I: Grammarthird-personnon-coreferentialNP’srequireanalternationbetween ?a and lu.lated as
°4 is indefinite, backgrounded, often to be trans
hé na, standard
‘other people’ or ‘they’ as in ‘they say’ (?70
. It means ‘who?’
expression in legendary narratives; see 8.3.3)
(cf. 7.2, 7.3). It may
when the sentence ends in the particle pe
un: this is the only
also be used as a humilific first-person prono
istic marking of stainstance I know of in which Kayah has lingulanguages of the
tus, something that is usually not found in thethe elaborate statushill cultures in Southeast Asia (compare
marking apparatus of Thai).
un, is also
si, besides being the second-person plural prono
rest, and things like
a bound noun meaning roughly ‘and thelar to Mandarin
that’, e.g. 2amo si ‘Amaw and that group’ (simi, Zhangsan and that
Zhangsan tamen ‘Zhangsan and his group
sort of thing’, and:
lot’), thwi k5 si ‘the lime-box and all that(6-7)sA ré
dietogood NEGmaha90tasAthAbe.solike3ifalldie waterkajé liht (33.4) ‘we Kayah Li’, although here it is unclear
whether pe is modified by kajé lihti or the reverse (or neither, if
we allow a relation of apposition).
)
. Kayah Li has no reflexive or reciprocal pronouns. These
meanings are covered by the following morphemes:
Reciprocal.li, a rA-classVerbParticle,for whichsee43.5.
Reflexive. né, a Bound OrdN meaning ‘body’. It is generally modified by a pronoun, as in vé metha vé né ‘I see myself’.","[104, 105, 106, 107]"
"Particles (4.2): they freely occur before the khwe-classVPtc’s whereas the true members of that class occur with eachchild(201.5)fective irrealis’ described above: conditionality and irrealis are7.3.2véThe Thais asked for some land. (202.6)This ke is probably related to the Subclass B SPtc ke ‘per-VerbmaMi’a is my father! (266.1)the meaning ‘if’:3:na(name)These morphemes appear between Subject and VC, with(7-36) ?u da dAMiaPaka?e153eatuse.up 30BVgo:THlunaThey came and ate them all up. (206.2)
(7-41)Nominalizer/Complementizertheme ?iché tdascenddofeararrive3both syntactically and semantically, perhaps in large part becauseat:Uhouse wallit is nearly always optional rather than required. Assuming the[He] went up and frightened Mi’u’s namesake in the
house. (242.6)Particle.insideN@namesakehimarker and what I have been calling the nominalizing Sentencena(name) 3dycan be distinguished, both of them extremely common: a topic-ki?a mwiThe syllable na is variegated and elusive in its function,distal demonstrative na ‘that’ to be unrelated, two particles nAd5?a midWith non-autonomous clauses:(7-42)dd pékAatokha jana tophregive TRNCOM3°muntjacmeatone-C:humthe person that you gave muntjac meat to
238Sentence Types and Sentence ParticlesPart I: Grammar(7-43)d¥ve jib6naAnd we would expect to find nominalized clauses in otheratU1sriceN@functions as well, such as object (of verbs like know, believe, see)threshor subject (e.g. That he arrived late annoys me; For Johnwhen I was threshing (183.6)
(7-44)by?aphaforANAatV3grandmotherexistRON@arrive late would be surprising). Clausal subjects seem not to
occur in Kayah Li, and while clauses do occur as Direct Objects
(see 8.3), they also do not require na:where the grandmother lived (209.2)
Andin locativeexpressionsconsisting of Preposition+Direc-(7-48)tional Verb+na, such as d¥ the na ‘up there’ (the ‘ascend’), d¥
nonaclauses, nominalizedby na and functioningnihd?a26md?éhearcallmothercall father NEG3phéto[ We] don’t hear him call his mother and father. (249.6)verbs here are one-word‘enter’). The‘in there’ (ndtoSetting aside for the moment the question of the nominal-as object of thepreposition (see also 8.1.2).izing function of na, let us examine some of its sentence-finalThis nominalizing function of na is not very salient.
While non-autonomous clauses with na do indeed have the noun
characteristics of modifying following Clif’ and of acting as
objects of Prepositions, na is optional in both cases. There areuses. It is especially common in narratives, in which the follow-ing uses can be distinguished:
1. After reported speech or thought, in ?a hé na ‘s/he
said’, ?a ne na ‘s/he thought’, where any pronoun may substitute for ?a (see also 8.3.3). Legendary narratives are sprinkledsome examples that show what looks like nominalization in the
classical sense of ‘that which S', but they are better interpreted aswith 270 hé na ‘they say’, with the indefinite/backgrounded third-Topics marked by na:person pronoun; it is often reduced to hé na. Similarly in all sorts(7-45)[cha la
fightna]maeach.otherof narrative, sentences may be followed by (?a) me na ‘they did?upéit’, perhaps better rendered as ‘that’s what they did’, or ‘that’s
what happened’.be.so whoWho was it who was fighting? (227.4)(7-46)YachA na thwa
3.clearrut?a kod6become silver 3muddynathwathé2. Asserting
example:becomegold(7-49)The clear one [container of water] turned to silver, themuddy one turned to gold. (40.5)
(7-47)[poathe?iswdtitfdght.in.law go.up teachna]maconstantly?A tophrebe.so this one-C:humko
PRMPTThis is the one you go teach all the time, huh? (220.1)
240occurrenceof anandphjd dA ?améstiba //3takehempordergive 3-wifefamé ra phja siba dA ?avé
3-wifeR@takehempanticipatedevent.","[134, 135]"
"(4-185)3The rice is cold.di chwi A(4-182)(4-184)dile is not. The sentence (186b) gives the grammatical equivalent
of the ungrammatical (186a): as a predicator, le must be in construction with some preceding verb. Comparing (183) with (187)
and (184) with (188) shows the close similarity of the two mor-oneself up’), and modifying a preceding noun:(4-183)?amele3phemes, consider the following examples featuring the semantically complementarywarmHe warms up the rice.argument.
demonstratehotThe rice is warm.verbs, and that they cannot be interpreted as taking more than one
Tolericethat we have discussed as the derived argument structure for
Resultative V-V’s: the participant bearing the Undergoer role of
V; (in this case di ‘rice’) is interpreted as being associated with
the Patient role of the second morpheme:the rice becomes warm(for the concept of roles specified by a non-verb cf. 3.2.4). The[np di chwf ]
cold [cooked] rice(4-186a) *diceding verb (and hence to the rest of the sentence) in the mannerSimilarity is also syntactic, in that nothing can intervene betweenlethdAthe two morphemes in either case, and the two-morpheme con‘tructions act as a unit in relation to other VC constituents; e.g.warmfinishNSthey May act as V> in a Directive construction:The rice is warm.",[84]
"AtrC is considered to be nominalized, preserving the generaliza-Clause structure is:This illustrates the requirement that the nominal modified by thetion that nominal modifiers precede their heads.
Si’.
ANPVPthe linguistic area composedof mainlandSoutheast Asia andhigh correlation betweenthe syllable and the morpheme,thepresence of classifiers as a grammatical category, and the promi-2NPThe foregoing mentions many characteristics typical of
southern China. Among them are lexically contrastive tone, theVv’ PP Cif’VC1.5 Areal CharacteristicsNPPPnence of verb serialization. The picture is very much that of the
traditional ‘isolating’ language. Semantically the elaboration ofThe two NP daughters of V' are Indirect Object followed by
Direct Object. Note the preferred position of Clf' (Quantifier +terms for cutting and carrying is typical.
We may also list some negative characteristics. There is7Typological OutlinePart I: Grammarno marking of nouns for case, number or gender. There is noSome common verbs:inflection of verbs for tense, person-number agreement, voice, orcwa gothe ascenddA give; allowanything else. In fact there is no inflectional morphology of anyme dota fallnd use; commandkind; the few affixes and other processes (tone change, redupli-hé say
?e eat
ré goodtho finish
phja take
du bigka go towards home, return
hé go away from home
20 exist, havecation) have derivational functions, of low productivity.
1.6 Useful and CommonWordsDemonstratives:Pronouns:2A this
SgPl1vepe2nesi3——number unmarkedQuantifiers:
fa, lu, ?tThe third-person pronouns are all unmarked for number. lt is
noncoreferential with a NP that precedes it in the clause; ?ti is
backgroundedna thatta- onelwi fourna twoné fivesO threepwa everyClassifiers:and indefinite. There is also a rare third-personphre ~ si humansplural form jesi.do animalsWords for rice:b6 growing and unhusked rice; e.g. b6 md ‘rice plant’; bé tu
‘rice-sheaf’; bé?emé larger semiregular shapes (houses, internal organs, drumsrice after threshing, grains separatedfrom stalks but still in husketc.)
na dayho rice after pounding to remove husks; ‘h.rice’ in interlinear
glossesna year
Other common grammatical words:di cooked rice; ‘c.rice’ in glossesd¥ unmarked preposition: ‘at’, ‘when’Other nouns:mo mother
phé father
po younger siblingbe faceted/winged things (birds, fish, leaves, edged tools, etc.)né Preposition marking backgrounded participant, often trans-thwi dog
cha chicken
pu oxrui silver, money
?ithoo knife
hi houselated as ‘and’ or ‘with’
to negative, clause-finalPart I: GrammarAVerb Particle marking change of state, new situation; glossedChapter 2‘NS?rA Verb Particle marking presence of obliquely involved
participantPhonologykA Verb Particle marking presence of comitative participant;
glossed ‘COM’
The meaning‘to have’ is expressed using the verb ?0“exist, be located’, the pattern being [[possessor] [possessed] ?o].
For example,(1-5)vé rui
1s_?0sdbaKayah Li phonology is best treated in terms of two typessilver exist three bahtof unit, full syllables and prefixes. Full syllables mayI have three baht. (literally, my money exists three baht)occuralone, while prefixes must precede a full syllable. The possible
constituents of prefixes, both segmental and tonal, are a subset of
the inventory of possible constituents of full syllables. Lexical
items may consist of various combinations of full syllables and
prefixes: se ‘fruit’ (full syllable), pané ‘buffalo’ (prefix + full syl-lable), s4ra ‘teacher’ (full syllable + full syllable), tarecui ‘regularly, all the time’ (prefix + full syllable + full syllable), mélaké
‘pineapple’ (full syllable + prefix + full syllable), hdsoph5 ‘airplane’ (three full syllables), Tokeluphé[name] (prefix + threefull syllables).
A ‘prefix’ here is defined phonologically, and is not nec-essarily a morpheme, as in the example poné ‘buffalo’, which is
a single morpheme. Some prefixes are indeed autonomous morphemes, e.g. to- ‘one’ in numeral-classifier constructions such as
todd ‘one (animal)’. There are also two elements that are analyzed as suffixes but they are of relatively minor importance (see2.4, 3.3.3).
1011PhonologyPart I: Grammar2.1Syllable Structure
Setting aside combinations of full syllables, the maximalC,C,V,CGV,initial syllables, which would be simply V, there being no GVphonological shape of lexical items can be represented as follows:syllables.","[18, 19, 20, 21]"
"Undoubtedly many other Kayah Li affixes are relic forms
as well. This is a common situation in Tibeto-Burman, as is cyclical prefixation: as old prefixes are lost or fuse with initials, newones arise (see Matisoff 1978, 1.122 on the ‘compounding/prefixation cycle’). E.g. the th- of Kayah thé ‘pig’, thé ‘bear’ andthwi ‘dog’ is in origin an old prefix, the Tibeto-Burman roots
being something like *wak, *wam, and *kwiy (in the last case
the initial *k- was reanalyzed as a prefix, then dropped beforeFinal Remarks on Affixationcally dependentA good example of the latter can be seen in ?fbe ‘speak’,addition of the new prefix t(h)- ). Even by proto-Karen times this
*th- was assimilated into the initial consonant system; however,
it is possible that the Kayahto- in animal names (3.3.3.4) is aregeneration of the older dental-stop animal prefix.
Proto-Tibeto-Burman prefixes may be grouped into five
types: fricative *s-, liquid *r-, stop *b-d-g-, nasal *m-, and *(?)a(cf. Benedict 1972). Of these the two prefix types of Kayah Li are
faithful reflections of the third and fifth, whether direct reflexes47Morphemes, Word Formation, Grammatical CategoriesPart I: Grammaror latter-day re-creations. What we seem to have is the persis-TO_tence of affixation as a system, combined with rapid obsoles-chi na chi sébe early (in the day)day, SE night; both are classifiers)?a roother, anotherOther Alternations3.4.1classifier for morningschi na chi sé (both:) all day and all night (nAcence of individual items in the system.
3.4TO.r0__particle denoting plural action byanimates (4.3.7)Tone ChangeNote the additional alternation of initial in tocé ‘a trap’/ché ‘toThere exist pairs of morphemesthat have the look ofbeing derivationally related by tone change, although the seem-trap’; this type of alternation is not common in Karen.
The numeral ‘ten’ also exhibits this pattern: in the numer-cases. Many,als 10-19 it is chA, while in 20-99 it is cha (see 6.3.4 for details;though by no means all, of this type include the high tone as onenote the parallel with English ten, which has -teen for the formerof the pair, suggesting a former derivational function for thatand -ty for the latter). The etymologically regular form is cha (cf.tone. Examples:Pa-O tachi, tone A1), indicating that here also the high tone ising relation is no doubt a coincidencethdenclosure, containerbdkléblinkin somethd cover as with a blanket
bdkhriclose the eyes
leggings* (khe leg)secondary.
The following possible grouping includes both low-level
and mid as well as high tone:boclassifier for lengthskhe b6CUwilling, obey (V)cul according to (V)dédé to spreaddodéhold out, offerthé k16_ pig troughsedéform, as fruit (Se to fruit)tacé a bird trapché to trapdé to sprout (dé plu a sprout)dudul6AThele démattha k16ditchbigbe older of siblings16. corpse16 inter (bury a corpse)phopho cif for timesS1lf for places
2nd person plural pronounsi clf for humans (6.4.3)ma _ steady, fixedra maletalé downwardsdescendwrite downput, placeexpressiveuse of the high and high-falling tones(2.6.4) also qualifies as tone change.","[38, 39]"
"Modal and Quasi-modal Particles
Like the Modal verbs, these include some meanings thatare truly modal in referring to obligation or probability, and somemeanings having to do with attitude of the Agent.
Modal Particles
Xe)ought (by duty)kléshould be the case (epistemic); possibly related to a word meaning ‘tousually co-occur with the rA-classPost-Verbal Particle pa ‘durative, etc.’ (4.3.6). 1&k16 may possi-té ja ltthis one-morning go.and make.meritparticles, the rA-class particles(4.3.2, 4.3.6).tu(4-101)require as ingredients’thi_probab'v is the case [analysis uncertain]101Part I: GrammarThe Verb ComplexQuasi-modal Particlesaspect-like notions, some relate to the presence of certain partic-siwant to Vipant roles in the clause (e.g. an NP with a Benefactive role), buttorigo ahead and V, feel free to Vmany have meanings that cannot be easily gathered under a sin-1aV intrusively, rashlygle rubric. This class resembles the khwe-class Particles in itsFor examples of the last, cf. 14 hé to interrupt (hé ‘say’); 14 ka?3
hé to guess; and
(4-103) phré na 14 limé na
ShanN@smartN@inclusion of aspectual meanings.
In the list that follows, the rA-class Particles are listed inthe general order in which they occur. At the end of the list we
group them into order-classes; membersThe Shans were smart [to our detriment].of an order-class areeither mutually exclusive in that position or may occur in any
order with respect to each other.khja4.3.4 ja, a ‘Sequential’ Particle
ja is like a worn-down, grammaticalized first verb in a
Sequential V-V. It has lost the literal sense of motion, perhapsmorphemes:(4-104)koavé ke j4sk boa1sand.thenifdie| ka
go:TH3EXCLgobury at:V_thisboth may occur in a single VC: ?0 k6 rA k6a Ju resta bitHe (went ahead and) went (even though I told him not
to)! (10/29)
4.3.5temporarily, V instead for a bit. This is obviously relatedto the Descriptive Particle k6 ‘temporarily’ (4.3.6); butenough grammatically that the two may co-occur:topavaPost-verbal Particles: r4-classfirst (for rA see Descriptive Ptc, 4.3.6; for lw see below,
this section).poadditionally. Tends not to occur with V;’s denoting states,compare pa below. Examples: ?e pd di eat more rice; 270 po
sé tana pa stay one more day.
penew negative situation, not after all, will turn out that not
X; ‘turn.out’ in glosses. Must co-occur with the negativeClause Ptc to. E.g. ?a | pu c® pé | to it turned out that he didn't
know how to catch (fish) after all (putt ‘catch’, cé “know how to Vv’);These VPtc’s occupy the final positions in the VC, and
have quite a variety of meanings. Some have to do with aspect or
102‘back’ (6.5), kokhja2KIt is most likely cognate to the full verb cw4 ‘go’, but is distinct?a ja cwaékhja10 b¥If I (‘go and’) die, come bury me here. (217.5)(4-105)Localizer noun‘backwards’ (Bound Directional).similar to go in colloquial English Now you’ve gone and done it.
For example:back again, over again; commonly occurs together with sé
(listed below). E.g. dA khja sé ‘give stg back’. Related103The Verb ComplexPart I: Grammar(4-106)décho sinjé pé panemd
2smother tellDURknow(4-109)pacéweedmaybe.not IRRYour mother told you but you don’t seem to under-stand. (137.5)
séagain,inreaction,completinghalfof a cycle,?ichi kA laf phé1s go:FH chopyet fatherkhru_tofirewoodNEGobject. Evidence is provided by numerous examples such as (iii)
above, with items intervening between the two; in this case the
intervening material is the VPtc laf ‘yet’. Very often kA seems tocwama15ru, fe posé sé, P7omA po sé séI haven’t yet gone out with Father to cut firewood. (5/7)addvirtuallynothingto themeaningof thesentence,eitherGoing takes money, and there’s food and lodging onbecause (i) the additional argument has already been licensed by
some other valence-increaser such as the Descriptive Particlestop of that. (for reduplication cf. 3.4.3)cwa ‘help’ and bébuii ‘show the way to’, or (ii) kA only indicates_be.so exhaust silver eat additionallysleep_ additionallyemphatic or unexpected negative; ‘at.all’ in glosses. Musta vague relevance of the event to either some NP participant inaren'tthe discourse or to some human participant in the speech event.you going to school? (130.4); vé | cwa né | to I'm NOT going.","[65, 66, 67]"
"6.4 Clf-headed NP’sFor a different case, consider té thé ‘a kind of eel-like fish’. This
fish’; another way to look at it is to say that both so and thé func-Classifiers are a type of noun. Their special grammatical
feature is the requirement that they occur with a Quantifier (they
are thus bound morphemes) to form a Clf'. The usual order is Q-tion as disambiguating prefixes (‘the thé that is wood’, ‘the théCif; see 6.4.4 for expressions with the order Clf-Q.",[110]
"6.4.3.1 Types of Classifier
Classifiers can be divided into the following types:
A. Time. Includes:Clf""’s with modifiers can also be the object of a Preposition, e.g:1. Units of time such as nA ‘day’, na ‘year’, vé “Clf for
seasons’.(6-14) d¥ the
ascendattokja2. Classifiers counting instances of an action, e.g. phd‘a time’ (the general Clf for instances of action), mui ‘Clf forone-C:sideabove, up there (see 9.1.2)strokes, blows,The above examples have presented a mixture of Cif’ and
CIfP. Clf' alone is required in the Extent position, penultimate in
the clause, as has been discussed in 5.5.1 above.utterances’(relatedto homophonousverb;cf.below).
B. Measure. Mostly names of containers, plus a few conventional units of length, volume, etc. Examples: pé ‘bottle, Clf
for liquids’, khri ‘packbasket; Clf for anything carried in a pack-6.4.3Classifiers as a Lexical SystemThe choice of classifier relates in various ways to what is
being counted. In the case that is perhaps prototypical (or most
familiar to students of classifier languages), Common Nouns are
associated lexically with one or more General classifiers:basket’, plé ‘cubit (length from elbow to fingertip)’, tha “measureof volume (about 20 liters) for husked rice’.
C. General, further divided into:NounClassifier1. Animate, with only two members: do ‘CIf for animals’, phre~si Pd ‘Clf for humans’ (suppletive, see 6.4.4).
2. Configurational. Include some notion of the shape ortaple ‘cabbage’toother physical characteristics of the thing counted. E.g. plo ‘Cif?aple ‘crack’, kada ‘door’kuthud ‘bird’, bé 15 ‘cup’beso ‘plant’md (smaller plants)3. Miscellaneous. Something of a leftovers category.
Examples: cy ‘Clf for kinds, types’, mé ‘Clf for larger semireg-""bo (trees)ular shapes’, ko ‘general Cif’.",[112]
