Paragraph,Page number
"4.1.2.6. The adjective suffix -s
The positive and comparative take the suffix -s when the adjective follows wat
something’, neat ‘nothing’, wat foar ‘what kind of’, and some other words:
wat dlds
neat nijers
wat foar raars is der no bard?hast neat betters te fertellen?“something old’
‘nothing newer’
‘what kind of awful thing happened
now?’
‘have you nothing better to tell?’Except for the plural ending, nouns in Frisian are essentially undeclined. There
are a few isolated holdovers from an earlier case system, but these are insignificant in the language today. Hence, as is true for English and Dutch also, the
function of a noun in a sentence is indicated not by its case, but by its position
in the sentence.",[32]
"Used substantively, soks occurs in the meaning ‘such a thing, something like
that’; sa’nen or sa’n(en) ien in the sense ‘one like that’ or ‘one such as that’; and
sokken with the meaning ‘some of that kind, those’:
sokken hoech ik net ‘I don’t need that kind (of things)’yn ’e tin‘in the garden’oan ’e kant‘on the side’When stressed, however, the full form always appears.
Certain relics of a more elaborate case system in the articles have survived into
the modern language. These tend to be preserved in phrases like op ’en doer
‘eventually’; mei der tiid ‘in time’; des Heare ‘of the Lord’; te’n ein ‘finished,
to the end’.
Another relic of this nature is the use of de for the dative case of it in a few
established contexts, as in it ’e hits ‘out of the house’; yn ’e Ais ‘in the house’
(cf. it his). The utilization of de in this sense is restricted almost entirely to
prepositional phrases of location, most frequently with h@s or midden as the
object of the preposition.
Expressions of time withfan present another peculiarity in the use of thearticle. The phrase fan 't jier, for example, means ‘this year’. Yet the seasons,though not neuter, sometimes take fan ’t as well, despite the fact that fan de (orfan ’e) would be expected: fan ’t winter ‘this winter’; fan ’t hjerst ‘this autumn’;
fan ’t maitiid ‘this spring’; and fan ’t simmer ‘this summer’. Other expressions
of time do not share this aberration: fan ’e moarn ‘this morning’; fan ’e wike
‘this week’.ik wol sa’nen ien hawwe ‘I want one like that’
soks liket my hielendal net aardich ta ‘that kind of thing doesn’t look nice
to me at all’
NOTE: Sa’n is a shortened form of sa in ‘soa’, corresponding to hoe’n from hoe in ‘how a’.
An adjective following in takes the ending -en when it stands alone or before ien (as in grienenien, sec. 4.1.2.3), which is thus a likely source for the ‘extra’ -en in sa’nen ien and hoe’nen
ien.",[29]
"5.3.3.2. Gerunds
Under gerunds are understood any verb forms which consist of an infinitive with
the ending -n. Infinitives which already terminate in n (stean ‘stand’, gean ‘go’
etc.) do not add another suffix. Such gerunds may function as verbs (with or
without a preceding te), in which event they are very similar to infinitives; or as
nouns, in which case they are true gerunds.
5.3.3.2.1. Gerunds as nouns
Any verb in the gerund form may function as a noun:
silen is moai wurk ‘sailing is nice work’
sizzen is neat, mar dwaan is in ding
“saying is nothing, but doing is something’
ik hald fan fiskjen ‘I like fishing’115nei it melken binne we klear ‘after the milking we are finished’
it jaan fan in earmban oan syn mem wie in hiele ferrassing
‘the giving of a bracelet to his mother was quite a surprise’
it briiken fan fergif is hjir ferbean ‘the use of poison is forbidden here’
This type of gerund may have an object standing directly before it, creating a
noun-plus-verb compound: it tsiisiten ‘the eating of cheese’; it weinmeitsjen
‘wagonmaking’. More often, the object is expressed in a fan phrase: it meitsjen
fan tsiis ‘the making of cheese’, etc.
NOTE: Apart from ‘external’ arguments, which take the form of a post-nominal prepositional
phrase (e.g. it sjongen fan ferskes troch de famkes ‘the singing of songs by the girls’), gerunds
may have ‘internal’ arguments (and adverbial modifiers), provided that they are introduced
by a determiner (e.g. dat lid ferskes sjongen ‘that loud song-singing’). Instead of a gerund,
a bare infinitive can sometimes be used as a noun (e.g. sjongen/sjonge hdld ik net fan). For
full discussion of the properties of the various types of nominal infinitives, see de Haan (1986,
1992), Visser (1989), and Looyenga (1992). Noun incorporation in Frisian (as in fuotfeie(n)
‘wip(ing) one’s feet’, etc.) is discussed in much detail in Dyk (1998).",[65]
"4.1.4.4. Reflexive pronouns and sels
In many cases there is no special marker for the reflexive
in Frisian; instead, the
regular object forms of the personal pronouns are used:
ik skamje my
se wasket har
hy stiek him yn ’e finger
heit skeart him twa kear deis‘I’m embarrassed’ (lit.: ‘I shame myself’)
“she washes herself”
‘he stuck himself in the finger’
‘father shaves (himself) twice a day’When there is ambiguity possible, and/or the speaker
wishes to emphasize that
the action is reflexive, -sels is suffixed to the pronoun:
se wasket harsels
heit skeart himsels‘she washes herself’‘father shaves himselfIt may be more accurate to state that the plain pronoun
is preferred with verbs
which are grammatically reflexive (skamje ‘shame’ , for
instance, which must havean object which refers back to the subject) or with
verbs which are most oftenreflexive (skeare ‘shave’, an action normally, but not
always, done to oneself).
In other cases, pronouns with -sels are preferred
and sometimes virtually obligatory, since with non-reflexive verbs the expected
interpretation of a sentence
like hy sjocht him yn ’e spegel is the non-reflexive
‘he sees him in the mirror’,
despite the fact that the interpretation ‘he sees himself
in the mirror’ is logically
just as possible. Even in the first person, where
absolutely no ambiguity js61Morphologyconceivable,’e spegelthe form with -sels is often preferred: ik sjoch mysels yn‘I see myself in the mirror
s the fact that
Sels as a free morpheme following a noun or a pronounat expresse
the
person
in question
th:
i alone or emp hasizes
performed an action
on
himself’:
‘John
or
myself’
I
‘
wishes 3 involved, similar to English
sels
ini
seach de minister
ik
Durk sels hat yn tsjerke west‘I saw the minister himself’
Durk himself was in churchDurk hat sels yn tsjerke west (as above)gIn the above sentences, stress is always heavier on sels than it is on the precedinthe word to which it refers, with lesser stress on sels,
""When the sels precedes
:
it carries the meaning ‘even’:Sels Diirk hat yn tsjerke west
Durk hat sels yn tsjérke west‘even Durk was in church’‘Durk was even in church’To better see the contrast between these two varieties of sels, compare:
ik ha har séls sjoenik ha har sels sj6én‘I saw her myself’
‘I even saw her’iomc,;.4.5. Reciprocal pronounsand elkoar [elkwar] or [alkoor], translated into English as‘eachare
other’ or ‘one another’, are the reciprocal pronouns in Frisian. The two forms
wholly interchangeable:
i
wy troffen inoar yn Snits
Snits
yn
elkoar
or: wy troffen‘ we met one another inin Snits’‘
‘
aus
‘
th
The reciprocal pronouns may be fused with prepositions, with stress on
preposition:
meiinoar
uitelkoaropinoaropelkoar‘with one another’
‘out of each other, away from each
other’
‘on top of each other
(as above)such
These prepositional phrases can function as adverbs or verbal particles; as
prefixes:
e
separabl
like
much
they behavelitinoargean‘to separate’ (lit.: ‘to go out of each
other’)wannear binne se titinoargien?
opelkoarsteapelje;‘when did they split up? ;
‘pile on top of each other=Frisian Reference GrammarAuke steapele de doazen opelkoarMorphology‘Auke piled the boxes on top of eachother’4.1.4.6. Relative pronouns
The relative pronoun dy’t occurs following common nouns
and dat after neuter
nouns. Dér’t is used to designate a place: de pleats
dér’t wy wenje ‘the farm
where we live’. When an entire sentence is relativized,
wat is used. Examples of
all of the above are in sec. 5.3.4.
When a relative clause is preceded by an unspecified
head, as in the English
expressions that which or he who, an article or demonstrativ
e pronoun with the
suffix -jinge occurs: dejinge, itjinge, ditjinge, datjinge,
and the plurals dejingen
and dyjingen. Examples:datjinge dat my muoit
dyjingen dy’t meidwaan sille‘that which bothers me’
‘those who will participate’i“it°jo miene ‘you think’
ha mient ‘she thinks
wy miene ‘we think _
jimme miene ‘you think
hja miene ‘they thinkjo rfike ‘you smell’ik miende ‘I thought’ik rikte;sp. fam.
2sg. : pol.
i
2 L
3plFrisian verbs can be divided into those whose preteri
te and past participle
formation is determined by rule (and are hence regular) and
those whose principal
parts are not regularly derived. The former are traditionally
known as weak verbs
and the latter are mostly (but not always in today’s langua
ge) strong. The weak
verbs are further subcategorized into class I and class Il,
remnants of an original
Germanic classification of weak verbs into four categor
ies. Class I weak verbs
are characterized by an infinitive which ends in -é, while
class II infinitives end
in -je.
The ensuing three subsections will discuss the formation
of the past tense and
past participle (the principal parts) of each of these three
classes of verbs, plus
giving the conjugations of the various tenses. Sectio
n 4.2.4 contains a list of
irregular verbs, and in section 4.2.5 the formation of
complex tenses like the
future tense, the past perfect, and the passive are discus
sed.
4.2.1. Class I weak verbsritke ‘to smell’
ik rik ‘I smell’
do riikst ‘you smell’-e
-2
-st-e
-e°‘I smelled’a2-“desva leddo et;
:
=en
jo a
. ‘yout hought’
mi
jojo mienden
*s
rikte
hja
thought
‘he
miende
hy
wy rikten we smelled ~
mienden ‘we thought’
jimme mienden ‘you thought’ jimme rakten you emer
—_hja ritkten they sme
hja mienden ‘they thought’thinking’f:mien ‘think’riikend(e) ‘smelling’-end(e)rikt ‘smelled’-day 6
’
rik smell-Oook
Class I verbs are completely regular. Given any verb pa belongs
ae
saa
‘
5
*
ed
compos
be
category, all the relevant forms can
= 3 ade
Characteristic for this class is that the preterite is marked y
oe
however,
Notice,
endings.
personal
which are attached the
—
in
present
the
of
those
from
differ
miende
stem
suff ed to the preterite
pl.
the
that
in
and
,
preterite
the
in
suffix
no
but
present
the
in
oe te a -t suffix
_
-en in the past.
is -e i
ing
ry _ i
agen
of
type
(a
-te
ised
iis
aruesi
O
ee
ae
h ws =
pa
directly follows a stem with “a borne Lene Wena
to p, t, k, f, s, or ch. This is illustrat edWeak verbs which belong to class I have infinitives
ending in -e, and are
indistinguishable in the infinitive from strong verbs.
There are only two tenses
in Frisian - the present tense and the preterite - which
are formed by inflecting
the verb. The rest are formed by the use of auxiliary verbs.
The present and past
tense forms for two class I weak verbs, miene ‘think,
be of the opinion’ and rake
‘smell’, followed by the relevant inflection in isolati
on, are given below:-t
-e;jimme rake ‘you smell
hja rfike ‘they smell’Past Participle:
;
miend ‘thoughtImperative:-ehy raikt ‘he smells’
wy rike ‘we smell’do miendest ‘you thought’Present oe4.2. The verbPresent tense:
inf.
miene ‘to think’
Isg.
ik mien ‘T think’
2sg. fam. do mienst ‘you think’2sg. pol.
ee. .
Ipl.
2pl.
3pl.","[38, 39]"
"46There is further the possibility for a normally inflected adjective to be uninflected
in certain collocations. This occurs in two main situations:(1) Before the word man and occupations which refer to a trade or profession:in fingewoan man ‘an unusual man’; in grut skriuwer ‘a great writer’. This
occurs only after the article in.
(2) When the adjectives ld ‘old’, jong ‘young’, lyts ‘little’, and grut ‘large,
great’ and some others precede nouns with which they enter into a close
relationship semantically: de did feint ‘the old fellow’ ; dat nij his ‘that new
house’; dy ald skuorre ‘that old shed’; de jongfaam ‘the young woman’ ; dat
grou fanke ‘that big girl’. These collocations are very much like compounds,
including how they are stressed, and are sometimes indeed written as one
word. Ald feint has stress on the latter element, as ina compound, while aide
feint stresses both elements. In every case the inflected adjective may also be
utilized: de jonge faam is every bit as grammatical as de jongfaam, but the
relationship between the two words is more intimate in the latter phrase,
giving it more the sense of referring to a specific, known person, a connotation
which the former phrase lacks.
NOTE: The inflection of adjectives ending in -en is further discussed by Dykstra (1984) andabana
‘
wi
;
dsuperlatives take similar types of inflections to positives,
i
superlative
bersvith et oueat emer One is that before any noun, the
be either
can
always takes the -e inflection. As predicate it is preceded by it and
with or without -e:it Gldste hiis
har jongste famke
se is it Gldst(e)‘the oldest house’‘her youngest girl’
‘she is the oldest’similar to the neuter
NOTE: The element it in predicative superlatives, which is formallye particle. Notedefinite article from which it derives historically, is synchronically a superlativgender (cf. dit
that the superlative particle is it, even when the subject noun is: common
e should
mipecialiy
e
boek/dizze film is it moaist(e) ‘this book/film is the nicest’). The predicativbook is the
be distinguished from the superlative in sentences like dit boek is it moaiste thiswhere it is used subnicest one’ and dizze film is de moaiste ‘this film is the nicest one’,
noun and the
subject
the
with
agrees
stantively. In this case the definite article always
-e.
superlative adjective gets an obligatory endingIf not preceded by a determiner, a comparative modifying a singular noun remains
uninflected:Dyk (1996).","[30, 31]"
"2.1.2.6. Breaking
The phenomenon known as breaking involves
(unbroken) and rising (broken) diphthongs:falling diphthong[ie]
[ra]therising diphthong[ju][je]alternationof fallingFrisian Reference Grammar18[ua]
[oa]PronunciationOnly one ‘regular’ verb, sliepe ‘sleep’, has breaking in its conjugation. The
relevant forms for this verb are:[wo]
[wa]There are some isolated cases of breaking of [ya] to [j@] - the related words
sluere and sljurkje, both meaning ‘(to) slide’ exhibit this, along with one or two
other examples. This is so rare that it will not be considered further.
As with shortening, to which it bears a certain resemblance, breaking is most
common in nouns, where the falling diphthong in the noun singular is replaced by
the corresponding rising diphthong in the diminutive or the plural:
doar[door]‘door’—hier{hior]‘hair’>foet[fust]‘foot?","[16, 17]"
"Notice that with all of these sentences the inflected verb is in second position and5.1.9. Adverbial order in simple sentencesIn place of an actual passive, Frisians often prefer to use impersonal active
constructions: se ite hjir in soad tsiis ‘they eat a lot of cheese here’.
Unlike English, sentences with an intransitive active verb and a human logical
subject (which need not be expressed) may also be passivized. In that case, der
generally occurs as a dummy in subject position:Most of the conditions on word order pertaining to nouns, adjectives, and verbs
are outlined in other sections. What concerns us here is the positions that adverbs
may occupy in the sentence. Since many prepositional phrases have an adverbial
function, they will be included in this discussion on adverbs.
It is useful to categorize adverbs into groups of those relating to time, manner,
and place. Below are examples of those (and prepositional phrases) belonging
to each group:all other verbs come at the end of the clause (i.e., the normal word order for
declarative sentences).der wurdt moarn meand ‘mowing will be done tomorrow’
der waard hjir altyd diinse ‘there was always dancing done here’
der wurdt hjoed wrotten ‘hard work is being done today’
In many ways these may be regarded as passive equivalents of sentences with the
indefinite pronoun jen ‘one, a person’ or se ‘they’: the indefinite se hawwe hiel
wat opiten ‘they ate quite a bit’ is quite similar semantically to der is hiel wat
opiten ‘there was quite a bit eaten’.
An important restriction on these impersonal passives is that they must co-occur
with verbs which can take an agent, although the agent is understood. For
instance, miene ‘think, be of the opinion’ is not a verb whose subject may be an
agent; therefore, *hjir wurdt wakker miend ‘much thinking is done here’ is not
a grammatical sentence.
Similar to the above are passive sentences which have existential der in subject
position, but which may also contain a subject (logical patient), indirect object,
or troch clause:der waarden twa minsken troch de soldaten deasketten
‘there were two people shot to death by the soldiers’
der sil moarn in hynder ferkocht wurde
‘there will be a horse sold tomorrow’
der binne trije skiep skeard (wurden)
‘three sheep have been shorn’
As usual in existential sentences (see sec. 5.1.2), the verb agrees with the surface
subject (the logical patient).
Various elements in this type of sentence may be preposed (sec. 5.1.3). When
this occurs, the preposed element displaces der, which is placed behind the verb.
The der may then sometimes be deleted: moarn wurdt (der) in hynder ferkocht,
etc., lock’: nei
‘
.
a
‘
‘
:
*
;n
‘today’;ey moarn ‘tomorrow’; om tsien oere ‘at ten o’c
hjoed
1) time:
in hiel skoft ‘after a long time’; sa njonkelytsen ‘after a while’ ; fuortendaliks
‘right away’.(2) manner: sa ‘thus’; op dizze manier ‘in this way’; tegearre ‘the two of
us/you/them, together’; mei ts allen ‘all of us, together’; diidlik ‘clearly’;
foarsichtich ‘carefully’.
(3) place: hjir ‘here’; nei Snits ta ‘to Snits’; yn Terherne ‘in Terherne’; this ‘athome’; oan ’e sleatswal ‘on the side of the ditch’; by és ‘at our house’.
The above scheme does not include all adverbs, omitting, for instance, thosewhich modify adjectives. Perhaps a simple way of determining which adverbs are
which is to note that those in (1) answer the question when, those in (2) the
question how, while those in (3) tell where.",[58]
"Like my, the objective form dy is generally pronouncedgraach_
pleasemeigean
_go-alongiskriuwe
writeletter
redy’tst [dist] kenst
hi
=
eeee
ene
in Frisian linguistics on the status of -sto, -Ste,
-st. The clitic
ee
- °
is also defended by Van der Meer (1991). Visser
(1988b) and
aac
(1989a, 1989b), on the other hand, analyse these
elements as the verbal
ig
» its reduced variant [do] or its zero variant, In their
analysis, conjunctions with
these el ements show inflecti
i
ion, a phenomenon that is well known from other
Germanic
dialects. For an evaluation of both analyses,
see De Haan (1994)at[dei], or [di] in theboy)In each of these cases, Sytse, hy, heit, or dokter could also have been translated
as ‘you’, which is how it would normally be expressed in English. Note that this
is used not only with relationship terms, but that names and titles may be
converted to forms of address as well.
degree of intimacy,
NOTE: Addressing someone in the third person seems to involve some‘does
especially when a person’s name is used instead of a title; wol Gerke ek meikommea relationship term
Gerke want to come along’ might be said toa child. When combined with
the polite jo.
of
coldness
the
bridging
while
or title (heit, mem, dokter) it shows respect
the familiar
with
addressed
is
God
where
English,
older
and
As opposed to usage in Germany, is
du or thou, respectively, God is spoken to with jo in Frisian. The form jo, incidentallfallen out of use. Its
derived from the object form of the older 2pl. pronoun ji, which has
form of the old 2pl.
development is thus quite parallel to that of English you, the objective
of respect in
ye, a cognate form to Fri. ji. The use of the second person plural as the pronoun
was
originally
the singular is well attested in European languages - compare Fr. vous, which
well.
as
‘you’
of
form
only a second person plural, but later came to be used for the politeThe 3sg. masculine pronoun hy has the object form him [him], which may be
reduced to [am] when not stressed. Hy has the clitic er, which occurs, like -sto,
following verbs and subordinating conjunctions:
ik seach dat er fuort wie
hoe let komt er this?",[36]
"5,3.4. Relative clausesa
5.3.4.1. Relativization of nouns
it refers. Placed directly
which
to
noun
the
modifies
or
Arelative clause describes
by a relative pronoun
d
introduce
is
clause
the
modifies,
it
behind the noun that
neuter:
is
it
if
dat
common,
is
noun
— dy’t if the
ee,
;
lpi
in frou dy’t ik ken is skilderes ‘a woman whom I know is a pain
it pene dat siik is moat ferkocht wurde ‘the horse which is sick must be
sold’
kinne jo de beam dy’t giele bléden hat sjen? ‘can you see the tree that has
yellow leaves?’
Sometimes the relative clause does not appear directly behind the noun that it
modifies, but rather following the V2:
kinne jo de beam sjen dy’t giele bléden hat?
ik wol in koekje ite dat krekt tt ’e oven komt
‘I want to eat a cookie that has just come out of the ovenThis may also happen when one relative clause is embedded within aati ays
jo de beam dy’t de giele bléden dy’t der offallen binne hie sjen? ‘can you s
the tree that had yellow leaves which have fallen off” is changed by this peeves
to kinne jo de beam sjen dy’t de giele bléden hie dy’t der offallen binne It is sometimes assumed that a sentence like ik sjoch de man dy’t op 'e re rint
‘I see the man who is walking on the road’ comes from the two under me
“i
sentences ik sjoch de man (S1) and dy man rint op ’e dyk (S2). The noun a
""=
which must be coreferential to the noun being modified in Sl, is delet
dat,
replaced by the relative pronoun (and subordinating conjunction) dy’t or
may
case
any
of
which must stand at the beginning of a relative clause. Nouns
be relativized, as the dative it famke - in dér is it famke dat ik in blom joech
;
irl (to) whom I gave a flower’.
i
—esmay be the antecedent for, or be modified by, a relative122Frisian Reference Grammarclause. In that event, wat is used as a relative pronoun: se hat wurk fiin yn ’t
heger tinderwiis, wat tsjintwurdich grif net tafalt ‘she found work in higher
education, which is certainly not easy these days’.
5.3.4.2. Relativization of adverbials
When what is being relativized is an adverb of place (or a prepositional phrase
functioning as an adverbial), the relative pronoun is dér’t: oer dy brége leit de
pleats dér’t wy wenje ‘over that bridge lies the farm where we live’. The relative
pronoun represents the entire prepositional phrase yn dy pleats. Like where in
English, dér’t introduces only relative clauses that modify adverbials of place,
not nouns of place. Compare ver dy brége leit de pleats dy’t wy bewenje ‘over
that bridge lies the farm which we live in’, where the relative clause dy’t wy
bewenje modifies the noun phrase de pleats.
Relative clauses which modify adverbials of time are introduced by doe’t or
dat: dat wie in simmer doe’t/dat wy in soad rein hiene ‘that was a summer that
we had a lot of rain’.","[68, 69]"
"Geart
Auke‘grin porscwnat
‘trot somewhat
‘be boating
‘stroke softlyi morpheme -k has been abstracted, , whiwhich is
From verbs like these a semantically empty link
often added to verbs formed by conversion. Compare:indicate the diminuted, or smaller, size of an object.
The diminutive ofbeam ‘tree’ is beamke, meaning ‘small tree’. Beyond
signifying smaller size,
diminutives are used at times to express affection: popke
‘small doll’ or wyfke
‘little lady’ are commonly heard in this sense in reference
to babies or small girls.
Diminutives are also quite common with personal names,
where many male
names have female equivalents which are essentially derive
d from the diminutive
of the male form of the name:gnyskje
drafkje
farkje
aikje—
—
—
—>‘grin’
‘trot’
‘to sail’
‘stroke’and Hoekstra (1998).
More information on k-verbs can be found in Van der Meer (1988a)4.1.4. Pronounsal pronouns
where no distinctions between subject and object are evident
sae
ie seer
in the morphology, there are separate pronouns for the different cases:
objectsubject‘ipik
do
?by
‘you (thou)
hagmy
dy
_a
Peoesy/hja
it‘she’
‘ithar
it‘her
it
‘’Ipl.wy
jimme‘we’
we
‘youus
a
jimme‘y3‘hin‘they’har(ren)‘themIsg.
2sg.
2sg.familiar
_— politey1.asamenThe 1sg. pronoun ik has the emphatic form ikke. It may also be pees ee
conversation to [k], as in ’k wit net [kvut aait olLeas calles)i
the
I’. Myisi generally pronounced [mei],i], but: is [mi] in Dee
pronounced [mi] in all dialects. As is so t
lly
it i,dy ce
ay,Sohunieds similar dialectal differences in pronunciation, my and ae aacmt may be written mij, hij, dij, and wij when pronounced with [ei].",[35]
