Paragraph,Page number
"I n thi s case , t h es en t e n c e r e q ui re s two v e rb s , one de s c r i b i ng t h e ac t i on and t he o t h e r
de s c ri b i ng t h e unus ua l c i rc ums tance s .",[61]
"The c l a s s marker i n e a ch case p r e c e de s t he noun as fo l l ows :12(i)awa p re c e de s nouns denoti ng any ani mal or i ns ec t w hi c h may b ec o ns i d ered t o b e edib l e .
e .g.snakeawa m a l afi s ha w a wa k k a rr e d ka ngar o oawa ma n a r r k
a w a wam a n g k a n
a wa p a t p a twa l labyg ras s h oppera wa i s in fact a n o un meani ng mea t .
(ii )y l I i p r e c e de s nouns d e no t i n g t oo l s , we ap ons and a l l w o od e ni ns t rumen t s .
e .g .y i I i w l n y i n g k i ny
y i Iit awa ry I l i m a kuI p ab oom erangd ig g i ng s ti o k
nu Z Za n u Z Zat y i n t a s p e a r d o e s n o t however b e l o ng t o t hi s c l as s , b ut i s a memb e r o f
c l a s s IV t o b e e�p l ai ne d b e low .
(iii )
e .g .y i I i i s a n oun m e ani ng s ti o k .m i y a p r ec e de s nouns deno t i ng vege t ab l e f o o d o f a ny type .
l o ng yamm i y a w a r k uy aro und yamm i ya m i m iwa t e r y a mm i y a m i t a nawa t e r lHym i ya p e r i y am i y a i s a noun meani ng v eg e ta b l e fo o d .
( iv )The fourth no un c las s , c omp ri s i ng p ar t s of t h e b o d y , k i ns hi pt e rms and na t ur a l p he nomena i s not ma rke d b y the p r es enc e o f a c l a s s
no un .
e .g.s unkiyikfo o tk um p us t onek a r a lo.'a laaxememmeIn Mara nungk u nouns do not change f or s i ngu l a r a nd p lural .","[21, 22]"
"THE B E N E FA C T I V E
The b e ne fa c t i ve i n Maranungku may take t w o forms , d e p e n d i ng o nwhe th e r t h e b e ne f i c i ary i s a noun or pronoun .(a)Pronomi n a l Bene f i c i ar i e sW i t h p r onomi n a l b e ne f i c i ar i e s the forms are as fo l l ows :
ngen i - l a
n i mpe- l e
na- l a
nga - l afor mefo r y o u s i ngu lar
for h i mfor h e r66
for us p lural i n c l us i vek i nya - I afor u s p lural e x c l us ivenge r i ny a - I afo r y o u p luraln i nya- I afor t h em p luralw i nya - I afo r u s dual i n c l u s i ve .ngangka- I aThe s e forms are di-morp h em i c , b e i ng c omp o s e d o f t h e ob j e c t pronoun
p lu s t he s u f f i x - I a .","[75, 76]"
"I s ha l l g i v e y o u a s p e a r .(b )I f the i n d i re c t ob j e c t i s a noun , the f o l low i ng i s theword orde r :
± S+IO ( i )+ DO + AU + IO ( i i )+ VS ± Verbal aux i l iariesIn this c as e , the i nd i re c t ob j e c t is repre s e n t e d twi ce , first as a
noun , and a l s o as a pronoun .
Examp l e :
ka n t u
many uwathatty i ntaspearkanga-nawu the ( N F ) h i m g i v eHe g a v e t h e s p e a r to t h a t man .ay i
pas t aux .",[80]
"""The S t ruct ure o f Aus t ra l i an Language s "" , O c e a ni a ,19378/1 ,2 7- 6 1 .
1940"" The C l as s i fi c at i on of Language s i n North and North-We s t
A u s t r a l i a "" , O c eania ,1 0 / 3 , 2 4 1- 7 2 , and 1 0 / 4 , 4 0 4 - 3 3 .",[121]
"1968""The Daly River Language s : A Survey "" , Paci 6 i c L i ng ui6 tic6 ,
S e r i e s A , O c c a s i onal Papers , No .",[121]
"704.9I N V I R E CT O B J E C T
The . p o s i t i on i ng o f the i n d i r e c t ob j e c t in Maranungku depends onwhe th e r the i n d i r e c t ob j e c t i s a noun or pronoun .
(a)I f the i n d i re c t ob j e c t i s a p ronoun , the f o l l owing i s theword orde r :
± S + DO + AU + 1 0 + VS ± Verbal aux i l iariesI n t h i s c as e , the p ronomi nal i n d i r e c t ob j e c t o c curs b e tween the a f f i x
uni t a n d t h e verb s tem .
Examp l e s :
tya l tyarawuny e s t e rdaykeng i -nat o b a ccowu tI ( NF ) h imgiveay i
p a s t aux .","[79, 80]"
"I f t h e ob j e c t of the verb is a s i ngular noun d e n ot i n g a human b e in g ,
t he p r o nomi nal form o f t h e noun i s of t e n droppe d , g iv i ng t w o p o s s ib l e
s en t en c e s s uc h a s :
pol oo ld mannga r r k a t a n -natuwe p l . ( F ) s ee h i mf u t . au x .",[59]
"He s t o le t h e m o n e y from me .y o u fromngen i rame fromWhe n the head o f the p r i v a t i v e phrase i s a noun , t h e noun i s
f o l l ow e d b y n a n g a r a i n the s ame way a s t h e b e n e f ac t i ve e q u i v a l e n t i s
f o l l owe d b y n a l a .
E x amp l e :
ka rawa l amoney4.4w i n tya ra
s te a lkengamenI ge t ( NF )ayika n t umanp a s t aux .",[77]
"I n Pre s sThe C l as s i fi c at i on o f A u s t r a l i an Language s ,C ur rent Trendsi n Li ngui s t i c s , V o l . 8 , Lingui s t i c s i n O c e an i a .",[121]
""" The Daly Language Fami ly : A S t ru c t ural Surve y "" i n T � e n d6 i nA U6 t�atian L i ng ui6 tic6 , E d . D . C . Lay c o ck , A . I . A . S .
( Lingui s t i c S e r i e s 9 ) .
WURM ,S .A .",[121]
When used in conjunction with the normal Class I I Iaffix units it means t o r u n away .,[32]
