Paragraph,Page number
"Thedifference between the manipulation of case and lexical compounding is thatthe former allows for an oblique argument to appear in the case position that
would normally be occupied by the incorporated noun.",[414]
"Thepredicate ‘eat’ in (186b) is marked for a subject in absolutive case indicating that
the noun ‘bread’ is not an independent object.",[413]
"402
While there are similarities between Type I and Type II noun incorporation,
Mithun (p.859) states that “Type II goes further than Type I [...] in having an
effect beyond the V itself. Instead of simply reducing the valence of the V by
one, it permits another argument of the clause to occupy the case role vacated by
the IN. The result is a lexical device for manipulating case relations within
clauses.”
Mithun’s Type III noun incorporation is referred to as the manipulation ofdiscourse structure and is “used to background known or incidental information
within portions of discourse”(p.859).","[414, 415]"
"Examples(79) and (80) illustrate fronted nouns, (81) a fronted noun marked for possession,
(82) an emphatic pronoun, (83) a personal noun, and (84) and (85) determiner
phrases.
Wh-questions are always in the form of some kind of fronting.",[116]
"This is also noted byAnderson (1992:82), who uses diminutive formation in Fula (Niger-Congo) andEnglish as a comparative example; the diminutive category is considered to be
inflectional in Fula, while in English diminutive forms are viewed as derivational.
Cases like this where one category can appear at different ends of a
spectrum depending on the language, involve more than just a distinction as to
where the operation actually takes place (i.e. the lexicon vs. syntax).",[66]
"This is not the case, however.",[342]
"She writes (1998:159),“[t]he morphosyntactic category as I am defining it includes morphemes that
reflect what are traditionally considered to be inflectional properties such as case,
number, gender, and aspect, but also includes morphemes that play some part in
determining or reflecting the syntactic frame or the argument structure of a Root.
In other words any entity that plays a role in the syntax is morphosyntactic,
whether that role is inflectional or functional”.",[43]
"405
A direct result of the MVC is that only pro can be generated in case-marked
positions, hence the fact that all polysynthetic languages show pro-drop for both
subject and direct object.","[417, 418]"
"This type ofnoun incorporation is like lexical compounding in that the incorporated noun is
not marked for definiteness, number or case. The noun is no longer a syntactic
argument in the clause, but instead qualifies the verb with which it combines.",[414]
"In each of the above examples the agent functions as the subject of the clause.
This is evidenced by the fact that it is the overt agent NP in (141) and (142) that is
in direct case, as opposed to the patient which is oblique.",[177]
"Clearly, however, theyplay a role in the elaborate voice system found in Nxa?amxcin.
The properties of indefinite object voice are summarized below:
(170)Properties of Nxa?amxcin Indefinite Object Voicefunctionmarks goal as non-topicalmorphological
markerone of the two suffixes -xax or -xixstem typesappears on bivalent stems, but unlike other voice operations,
indefinite object marking realized before any transitivizing
morphologysyntactic status
of arguments* agent is subject and in direct case
* patient (if present) is object and in direct case
* goal is suppressed or realized as an adjunctrestrictionsgoal is 3rd person6.2.2Semantic Voice
Coming under a different sub-domain within the category voice issemantic voice.",[183]
"In this case, the suffix [or] is added to the stem.",[33]
I have also taken the liberty in some cases toseparate certain constituents in accordance with my analysis.,[17]
