Paragraph,Page number
"ZUNOMINALCASEMORPHOLOGY2. Accusative: 0, -ez, -jez, -iz ~ -ti, -e/-es(23)2.1 The accusative is the case of the direct object of transitive verbs. The accusative without a
suffix is used, if the object is indefinite, whereas the other the suffixes -ez, -jez, -iz ~ -ti appear,
if the object is definite. According to the common definition the following constituents are
definite: personal names, personal pronouns, nouns with a PX, all constituents nominalized by
the suffix identical with PX 3SG and nouns with appropriate attributes (demonstrative
pronouns, adjectives, numerals, marked with DEF); the context, too, can determine the definite-ness of a constituent. In principle this definition is valid for pluralic direct objects too, but
definiteness is not as clear-cut as for singular constituents. As a rule the unmarked accusativemonknigalid3-iIbook(-ACC)read-PRET/1SGmon(ta)khiga-jezDEMbook-ACC(20)Istreet-ELmaliciousdog-ACC/nice house(-ACC)see-PRET/1SGis used if the object itself is focused, whereastheunmarked is employed if the action itself bears the logical accent.
2.2 Adjunets of time, distance etc. appear in ther accusative too; in such cases the verb need not
be transitive:
mon
(24)
I(25)read-PRET/ISGtakar-inbidesarnaDEMtown-IN-wholeyear(-ACC)ul-i
_ live-PRET/1SGpi-jeztaso-lenDEM.he/she-GEN — son-3SG‘This is his/her son’sajkitSuresust-i-zvil’—_ulon-ePNclearway(-ACC)open-PRET-3SGnew _life-ILL‘Lenin opened a bright way into a new life for the youth’(19)ad3-i3.1 The genitive serves primarily as the case of adnominal modifiers expressing possession in
a wider sense. In this case the governing constituent bears a corresponding PX:Lenin jegit-jos-li
young-PL-DATpuni-jez/ceber korkaIn other words, the marked accusative‘I have read this book’ or ‘the book (about which we just talked)’(18)[ek3. Genitive: -/enlid3-i
_urami§‘I lived in this town for a whole year’‘T read a book’(17)mon‘I saw a malicious dog/a nice house on/in the street’object takes the position to the right of the verb. Some examples:(16)21pi-jen-iz(26) _ so-lenson-INSTR-3SGhis/her-GEN“He gave an answer to someone who asked’‘with his/her son’.
As mentioned above (see nominative) even the mere nominative serves as a possessive modifier. The difference between the possessive modifier in the NOM and in the GEN is that by the
help of the former a general relation is expressed whereas with the latter a concrete object isval-m-eshulesk-imeant:horse-1PL-ACCforest-ILL leave-PRET-1PLjua-§-ez-liotvetask-PART-NOMIN-DATanswer(-ACC)Sot-i-z
_ give-PRET-3SG— lez-i-mi‘We have sent our horse into the forest’
However, there are cases in which definiteness in the narrow sense does not explain the use of
the marked accusative. Definiteness seems to be connected with other semantic categories like(27) — nilderemgirldressvs(27°)nil-lenderem-ezgirl-GENdress-3SG‘a (concrete) dress of a (concrete) girl’‘girl’s dress’resultativity, totality or animacy (Konaparsepa 2000):If in the so-called habeo-construction - like most Finno-Ugric languages Udmurt has no verb
with the meaning ‘to have’ - the possessor is explicitly expressed, this adnominal constituent(21)also appears in the genitive:mon
I= juk/guk-ezSi-iporridge(-ACC)/-ACC__ eat-PRET/1SG(28)‘I have eaten (the) porridge’(22)gitazemonin the evening Idori§
houseud/ud-ezlesti-sa—_puk-iwork(-ACC)/-ACC
do-GER _ sit-PRET/ISG
“In the evening I sat and did some/the whole house work’evel?kin-len—ud-ezwho-GENwork-3SG NEX“Who has no work?’
In certain constructions the agent usually appears only in the form of PX agglutinated to
nominal verb forms. If the possessor is explicitly expressed (for contrastive reasons), this
constituent is used in the genitive, too:22(29)NOMINALminam Si-jem-eCASEMORPHOLOGYpot-eI-GEN eat-PART-1SG(36)_ leave-PRS/3SGee Zit(-ges)litr-le§¥
liter-ABL‘I want to eat’23little(-COMP)‘less than one liter’3.2 In possessive relations the nominal predicate occurs in the genitive as well. In this case the4.6. There is one postposition governing an ablative object: az/o ‘before (temporal)’, z. B. ta-le§governing noun bears no PX:aélo ‘before’ (lit. ‘before this’).","[11, 12, 13]"
"Morphologically the suffixes are either simple (that is not compounded; they are historically6) The use of the instrumentals in -in is restricted to a limited number of nouns (especiallyprimary) or compounded (historically secondary). To the latter group belong all the suffixesdesignations for parts of the body and kinship terms) like Ai-in ‘with the hand(s)’.formed with the coaffixe / (genitive, ablative, dative, approximative) as well as the egressive7) The illative in -i and the instrumental in -in (identical with the inessive) are used after theand the adverbial.plural marker -os/-jos. The variants of the plural accusative are in free variation in the literary
Case suffixes’Distribution-V-korkaMogatules(k-)— ki-PL-~PX-CaseNominative0Accusative0, -ezGenitive-lenAblative-lesDative-liCaritive-tekAdverbialjaInstrumental-en0,-iz ~-ti-jez-e/-esstandard (-iz is characteristic of the southern, -ti of the northern dialect). The suffix of the
transitive appears without the initial vowel after the plural marker ( but cf. before the pluralic
suffixes of possession).
8) After PX denoting a single possessor the suffix of the accusative is -e (pid-d-e ‘your leg’),
after such denoting more than one possessor -es (gurt-m-es ‘our village’).
There are several more variants for the pronouns (cf. 2.3.2).~jen3 The variants of the pronouns remain unconsidered.-in-in-eni-18NUMLNALCASEMUKFPNULUUYDeclension paradigmsCase functions:Singular1. Nominative: 0Consonant stemVowel stemNominativekar ‘town’busi ‘field’Accusativekar; karezbusi; busijezGenitivekarlenbusilenAblativekarlesbusilesDativekarlibusiliCaritivekartekbusitekAdverbialkarjabusija1.2 The nominal predicate appears in the nominative:Instrumentalkarenbusijen(10)sodisetisApproximativekarlanbusilanhe/sheteacher(-NOM)karinbusiin‘He/she is a teacher’InessivebusijeIllative19Elative
Egressive1.1 The nominative is the case of the subject:
skamja
puk-e
kisnomurt
(8)
h(-NOM)
benc
3SG_
OM)
PRS/
n(-N
sit_
woma
(9)vuevelwater(-NOM)NEX‘There is no water’1.3 Nouns in the nominative case function as possessive and non-possessive modifiers (see
below - genitive - too):
(11) — kalikkuarabusijetivoice(-NOM)Terminativebusioz‘the voice of the people’(12)
Plural
NominativebusiosAccusativekarjos; karjosiz, karjostibusios; busiosiz, busiostiGenitivePOSTP‘The woman is sitting on the bench’Transitivekarjosvilinpeople(-NOM)korkaeshouse(-NOM)door(-NOM)‘the door of the house, front door’(13)ovuvedrakarjoslenbusioslenwater(-NOM)bucket(-NOM)Ablativekarjoslesbusiosles‘bucket’DativekarjoslibusiosliCaritivekarjostekbusiostekAdverbialkarjosjabusiosjaInstrumentalkarjosinbusiosinApproximativekarjoslanbusioslan‘gold ring, ring of gold’
1.4 The overwhelming majority of the postpositions governs an object in the nominative; cf. (1)
and:Inessivekarjosinbusiosin(15)IllativekarjosibusiosiElativekarjosi§Egressivekarjosisenbusiosis
busiosisenTransitivekarjostibusiostiTerminativekarjosozbus iosoz(14)zarnizundesgold(-NOM) _ ring(-NOM)midor-inwe(-NOM) _side-IN“near us, at our home’
1.5 The nominative is used in addressforms. There is no vocative.","[10, 11]"
"Definiteness can be marked morphologically in Udmurt. Strictly speaking it is a kind of con-2.3.2.1 Personal pronounstrastive emphasis whose background need not be expressed explicitly in the context.
The domain of this category are the primarily attributively used parts of speech, i. e. cases like:The deviations mentioned above concern the personal pronouns of the 1SG/PL and 2SG/PL,
1) Stem variants: in the singular mon- ~ min-, ton- ~ tin- (the last one in the genitive, ablative
and dative), in the plural mi- ~ mil'- and ti- ~ til’- (the latter in the accusative und instrumental
too);gurt-jos-inbadzim-es-jos-az(84)namely:large-PL-PL-DEF/IN _ village-PL-IN
‘in the large villages’
In the field of the accusative object the ending is traditionally classified as a case suffix (see2) other case suffixes: accusative 0 or -ez vs -e (cf. accusative of nouns with PX); ablative -lesabove):vs -e5t-, besides the suffixes of genitive and dative fused with the PX;(85)mon(ta)IDEMlid§-i— khiga-jez
book-ACC _read-PRET/ISG‘I have read this book’ or ‘the book (about which we just talked)’
Examples of the use in the field of the subject:(86)ceberguzdorvilinturin-ezmeadow(-NOM)ongrass-DEF beautiful‘On the meadow the grass is beautiful’
(87)kalik-eztrozpeople-DEFmuch‘(there is) a lot of people’
The last example reveals another function of the definite suffix, namely a kind of partitive;
literally ‘of the people much’.
The declension of nouns with the definite suffix is identical with that of nouns + PX 3SG exceptthe following cases: elative (here -ez-i¥ vs -isti-z), egressive (here -ez-iSen vs -iSeni-z) and3) Additional PX appear in the accusative, ablative, dative (PL) and instrumental (PL and SG
only in the southern dialects), fused with the CX in the genitive, dative (SG, PL only in the
northern dialects).",[18]
"‘Such stupids didn’t understand it’
3) The suffix of the comparative is also found in connection with substantives and verbs, partly
with different function (cf. 2.3.4.1):(5)the border is not always exact, cf. vilin ‘at the top (adverb); on (postposition)’ or bere ‘after
(postposition); when (conjunction)’.al'imonno __ visi-Sko-ges
nowItoo _ beill-PRS/ISG-COMP
2.3 Nominal morphology‘Now I too am a little bit ill’(6)Some adverbs and postpositions can be inflected for case and number, partly for possession.
Subgroups within this third group can be classified only by syntactical or semantic criteria and_ brat-ed-li-ges-ez
Brother-2SG-DAT-COMP-NOMINSekitval2.3.1 NounsheavyCOP/PRETUdmurt nouns distinguish the following categories: Number, case, possession and definiteness.
There are no grammatical categories of gender, class or animacy. Natural gender is expressed‘That, which belonged more/exactly to your brother, was heavy’
Lexemes belonging to the inflexional parts of speech can be divided into vowel and consonantlexically (ataj ‘father’ - anaj ‘mother’, kart ‘man’ - kino ‘woman’, atas ‘cock’ - kureg
‘chicken’).stems, which is, with regard to the inflexion, of no importance. The stems are mostly invariable
(but cf. 1.5.1 and 1.5.2), the suffixes are agglutinated without changing the stem. There are onlyThe order of the categories is the following: (stem) - number - case - possession (or possession -some nouns which have two stems (cf. 1.5.2), In Russian loanwords ending in -ia or -ije (for
example NOM/SG konferencija, sobranije ‘meeting’) inflexional suffixes are agglutinated tocase). With regard to the two last-mentioned categories the order depends on the case.
The suffixes are agglutinated to the NOM SG, which is the lemma in the dictionaries.the stem without -ja/-je, as for example konferenci-in ‘in the conference’. Exceptions are perso-Nouns function as complements, adjuncts, possessive and non-possessive modifiers and finite
predicates.nal nouns like Estonija or Marija: Estonija-in ‘in Estonia’.
Apart from word stems and affixes there are some clitics like -a (marker of yes/no-questions).
The order of stem and affixes is the following: (prefix) - stem - derivational suffix(es) - inflexional suffix(es) - clitic. Suffixes of the same type (case, number, possession) can occur in a morpheme sequence even twice, namely on the one hand in certain constructions - either pleonastically (for example til-e-d-li ‘you (PL; DAT)’ with e and /i marking the dative) or of a
different kind (for example ul-lan-e ‘downwards’, with /ari marking the approximative and e the
illative) - or on the other hand depending on contextual conditions (cf. 2.4.4.4 und 2.3.5).
On the whole, Udmurt is highly synthetic, the existence of analytical expressions is very limited.
2.2 Parts of speech
Udmurt nouns and verbs usually differ from each other (but cf. 2.1), as do the corresponding
derivational and inflexional (except possessive suffixes and personal suffixes, which are almost
identical) suffixes. Cases like mertéem ‘splinter; it went into [PERF]; has gone into [PART]’ are2.3.1.1 NumberUdmurt has two numbers, singular and plural. The singular has no own marker, that of the plural
is jos ~ os, the first after consonants, the second after vowels, gurt-jos ‘villages’, gurez-jos
‘hills’, w-jos ‘nights’ and korka-os ‘houses’, kidil'i-os ‘stars’2
The plural often remains unexpressed, if it is deducible from the context, as(7)pi-jezvanson-3SGEX/PRS‘She has a son/sons’
After numerals and quantifiers the singular is used as well, vit’ ad’ami ‘five men’, tros pol
“many times’; sometimes the plural occurs in such cases, which might be a young phenomenon
(perhaps due to Russian influence).
There are no pluralia tantum in Udmurt, but singularia tantum like vej ‘butter’, Zuzdala ‘height’
or expressions for paired things like Sin ‘eye, eyes’, kuas ‘ski, skies’; if the single thing has to bevery sporadic.",[9]
"-'-la-n
-latm)Approximative
Inessivemyexpressed, pal ‘half’ must be used: pal Sin ‘one eye’ (lit. ‘halfeye’). The use of the plural in such
cases (bamjos ‘cheeks’) is caused by Russian influence.-la-§
-la-Sen
-jeti-ti-titransitive (along where?), terminative (to which point?) and egressive (from which point?) - are2) The suffixes with initial j (accusative, instrumental, illative and transitive) occur - in contrastused to express specific local or directional relations. The remaining 8 cases are nominative,
genitive, accusative, dative as well as ablative, caritive, instrumental and the so called adverbial.to the suffix of the plural - after a vowel resp. vowel stem (historically: hiatus blocker): busi-je
‘into the field’. Exceptions are vowel stems with e and u as well as monosyllabic words with aNouns denoting animate referents are inflected only for the grammatical cases. Because the localfinal -j: ti-e ‘into the lake’, je-e ‘into the ice’, gu-e ‘into the pit’.cases partly have abstract functions, too, and some nouns denote a duty or a job, local cases also3) The suffixes of the local cases without a vowel are used, when nouns denoting a locality endoccur agglutinated to those nouns, cf. disetis-in uZani ‘to work as a teacher’. Specific local orin -a, ef. korka-n ‘in the house’, korka ‘into the house’, korka-§ ‘out of the house’.directional relations are otherwise expressed by a postpositional structure, as for example anaje
puskin (~ Sulmaz ~ ketaz) ‘in my mother’ (lit. ‘my mother in the inside ~ in the heart ~ in the4) The coaffixe -/a with the local case suffixes is used for local names ending in -ja, -ga, -ka, ra and -/a (historically tribal names).stomach’).",[10]
"2. MORPHOLOGYand MORPHOSYNTAX2.1 Preliminary remarks
can easily
The morphological structure of the Udmurt language is strongly agglutinative. Words
clear-cut;
be divided into a linear sequence of distinct morphemes, the boundaries are usually
quantitative and qualitative assimilations appear rarely (cf. 1.5.3).
s, which have
The overwhelming majority of affixes are suffixes; there are some prefixe
stress).
exclusively word-forming, never transmutational function (but, as a rule, attractThe suffixes mostly have a single shape and a single function, cf. vera-ski-li-Sko-di (REFL)
FREQ-PRS-2PL) ‘you talk often to each other’ or 'wk-et-jos- iz-tek (DER-PL-3SG-CAR ‘without its parts’. There are some exceptions:
a) Suffix variants, for example (1SG) e3-e ‘my friend’, ket-i ‘my stomach’, 7 irSi-je ‘my hair’ or
(2PL) val-di ‘your horse’, gurt-ti ‘your village’.
b) Homonymy of suffixes, for example gurt-ez (a) ‘village (ACC.)’ und (b) ‘his/her village
(NOM/38G)’; vera-lo (a) ‘they say (PRS/3PL)’ and (b) ‘I will say (FUT/1SG)’ or -jos
functioning as a plural marker or a collective suffix.
c) Portmanteau-suffixes, i. e. a suffix has more than one function at the same time: min-o (FUT/
1SG) ‘I shall go’, min-i (PRET/1SG) ‘I went’ or particularly the PX/3SG.
d) Zero morphemes: A category is expressed by the form of the word itself (i. e. without a
separate suffix), for example the nominative in general, the accusative of the indefinite object,
the dative of the personal pronouns (1SG minim ‘to me’ can only historically be analysed into
the stem min- and a PX/1SG) or the preterite of the stems ending in a.
The parts of speech usually have their own suffixes. There are however some suffixes occurring
in more than one part of speech, for example:
1) The PX/3SG -()ez is a nominalizer too. Almost every form of a word can be transformed into
a noun with the help of this suffix (cf. Alatyrev 1970), for example(1)tonponna-jezyoubecause of/POSTP-/NOMIN‘who/which is because of you’(2)vuza-no-jez
sell-PART-NOMIN‘which is to be sold’
‘
2) The plural marker -(j)os occurs outside the area of the nouns, namely with postpositions and
particles as, for example, kad” ‘like’:RE en ee Aa“:(3)ee ONEne ee eee eeeeeseren-joston-enyou-INSTRWithin the area of the nouns the boundary is not as clear. Simple words can be substantives,_ because of/POSTP-PLadjectives and adverbs and only the concrete syntactical behaviour or the context clarifies the‘those because of you’(4)vigtem kad-jos — ¢-z
stupidlike-PLNV/PRET-3PLvala-les0-jedifference: pes ‘hot; heat; hotly’. Because Udmurt has only one declension, this can be the case
with inflected forms too.verstehen-NF/PRETDEM-ACCThe boundary between the nominal parts of speech and the so-called particles is unclear as well.","[8, 9]"
"The person and number of possessors are inflexionally realized through the use of possessiveThe order of CXand PX is not always the same in Udmurt (different from Finnish oraffixes. These two categories form a unit and they are not separable from each other. TheHungarian), depending on the age of development of the cases and on secondary anlogicalpossessive suffixes are mostly identical with the verbal personal suffixes.tendencies. The distribution of the two orders is the following:Possessive suffixesDistribution-V-vel.CketObl. Cases-PL-Person/NumberACCININSTR-m-= -(jjam-im-d/t-z/s--(j)ad-mi-m-2. Plural-di3. Plural“zi-d/t-z/s--(j)ami
-(j)adi
-(j)azi1. Singular-e-je2. Singular-ed-jed3.Singular-ez-jez1. Plural-i-i-(j)az1.CX-PX:Instrumental, inessive, illative, elative, transitive, egressive;2.PX-CX:Accusative, genitive, ablative, dative, caritive, adverbial, approximative (therefore all cases formed with the coaffixe -/-);3.PX-CXorCX-PX:Both are possible in the terminative. In the case of CX - PX the PX
variants typical for the inessive resp. illative are used.",[16]
"Otherwise the PX is added to the noun:
(83)nilpi-os-i
child-PL-1SGponna3) In some cases a pleonastic PX forms a unit with the CX.forThe pronouns have different functions, they are pro-nouns, pro-adjectives and pro-adverbs. As
a rule they are inflected, as pro-nouns generally and as pro-adjectives (that is in attributive‘for my children’
2.3.1.4 Definitenessfunction) only if they bear DEF.",[18]
"3.2.2.1 Non-possessive noun phrases2) As mentioned above (2.3.1.2., 2) in the area of the direct object there exists an opposition(193)monnulesk-inyal-ez/valad3-iThere is no agreement between the modifier(s) - pronouns, numerals, adjectives and participles -I(-NOM)forest-INhorse-ACC/0see-PRET/1SGand their head except for those with DEF (see 2.3.1.4) and the adjectives with regard to number;
cf. 2.3.4 and:
:‘I saw the/a horse in the forest’
The infinitive can function as a direct object, too:(198)so
DEMvit
fivebadgim
large— korka-n‘in those five large houses’house-INSSee|eee VS ee eyNouns as modifiers can appear in uninflected (= NOM)or declined form. If the modifier isuninflected, it expresses the material, like
(199) zarni
zundesOEPX is clear (in the Ist and 2nd persons of PX), and then it is used for emphasizing:
(208) (minam)
pi-je‘gold ring, ring of gold’I-GENvuvedra
bucket(-NOM)(209)Examples of declined nouns in adnominal position:
pinal-jos-tek
ulon
tuZ
—mezmit
child-PL-CAR life(-NOM)verysadPN-GENdiseti§‘The daughter of Ondi’Udmurt_teacher(-NOM)—language-ADVL(211)Izkar-i§universitetPN-EL__university(-NOM)
piosmurtpot-i-zkorka-§glasses-INSTRmanleave-PRET-3SGhouse-ELso-lenlid§-onokhiga-jezhe/she-GENread-PARTbook-DEF——_ bert-emtown-ELso-lenuz-ezhe/she-GENwork-3SG NEXevelpi-je-lenkigno-jez-lenvin-iz
in-ison-1SG-GEN wife-3SG-GEN _ brother-3SGocki-jenkar-i§daughter-3SG‘He/she has no work’
(212)‘The brother of the wife of my son’
The ablative is used if the head itself stands in the accusative resp. function as a direct object:
(213)kolkhos-ABLhouse(-NOM)PN—_ busi-z-efield-3SG-ACCvoimat-i-z
show-PRET-3SGdoor(-NOM)‘the door of the house, front door’‘Oleksan, who returned from the town’3.2.3. Verb phraseesdorinsil-i§ad'amidoor(-NOM)atstand-PARTmanIn the verbal phrase the position of the finite verbal element is not fixed in the sense that it
always appears for example in the last position. The finite element is positioned in front of the
infinite in the following cases:‘the man who stands at the door’
Postpositional syntagmas as adnominalkolchoz-le&he/sheA special case of a possessive noun phrase is the one modified by a undeclined noun (in NOM):
(214) korka
esOleksanreturn-PARTso‘He/she showed the field of the kolkhos’‘The book which will be read by him/her’(207)van
EX/PRSUdmurt — kil-ja‘The man with the glasses came out of the house’
Examples of relative clauses, realized by a participle:(206)pinal-e
child-ISG‘Life without children is very sad’‘University of Izevsk’(205)kik
twoThis constituent is obligatory, if the reference marked by the PX is unclear:
(210) Ondi-len
nil-iz‘teacher of Udmurt language’(204)(min-am)
I-GEN‘I have two children’(201)(203)son-1SG‘my son’‘bucket’(202)fat3,2.2.2 Possessive noun phrasesor the purpose:
water(-NOM)_pveAs a rule possessive noun phrases consist of a PX added to the head and a partly obligatory,
partly optional constituent in GEN resp. ABL. This constituent is optional, if the reference of thegold(-NOM) | ring(-NOM)(200)Ub Olymodifiers always demand ainfinite verb: es dorinad ami is either inacceptable or es dorin functions as an adverb of place.","[36, 37]"
"(217)Id,°.
luoz’;
a) in all tenses and moods formed with the infinite elements val resp. vilem and
e (if there
imperativ
negative
b) in negative forms built with a negative verb; exceptions are the
an
is any finite element, than the following main verb) and the negative conditional formed with
some
example
for
(like
infinite negative verb.'5 The negative verbs bear the stress of the phrase(218)_fall-PRS/3SGGerej— Lad'ok pudo_voimaPNprefixes too).
Intol
vu-e
no,
limi
winter come-PRS/3SG
and
snow
‘The winter comes and the snow falls’
skalkisk-e,
cow(-ACC) milk-PRS/3SGnoSuS-ebutPNcattlelook after (-PRS/3SG)‘Gerej milks the cow, but Lad’ok looks after the lifestock’phrase.
all other cases the finite verb stands behind all other parts of the verb(219)makari-nj e-ztodi:ologek~—Serinikobject consists
In unmarked discourse contexts the word order is SOV. Even if, for example, the
by an interrogative pronoun,
ofa sentence embedded with or without a conjunction or is realizedwhatdo_know(-NF)eithertablebehindpuk-onoolo sult-onothe order is kept in this way. See 3.3.2.1.2 and:
a
.
,
kij
so-Je
murt
215) odigsit-PARTor3.2.4 Word orderone(216)manhe-ACC _snake§ui-sa malpa-zbite-PRET/3SGthatstand-PART“He did not know, what to do: to sit at the table or stand’believe-PRET/3SG3.3.2. SubordinationOne can distinguish three types of subordinative structures:‘The man believes that the snake has bitten (him)’
Su-o-z?
mar
anaj-atajsay-FUT-3SG
mother-father what
.
.
.
say?’
parents
the
‘What will
the predicate is relatively
The position of the object and the adjuncts between the subject and
eeNV/PRET-3SG_they do not seem to be unSOV order is even used in non-narrative sentences, but theremarked. There are two reasons for deviate word orders:
1. discourse or context conditions and
2. the influence of Russian (especially in contemporary language).
The general rule is that the modifier precedes the modified (see above).a) those with a finite verb and a subordinative conjunction resp. relative pronoun,
b) those with a finite verb and without a subordinative conjunction resp. relative
pronoun and
c) those with an infinite verbal form and without a conjunction.
Both types without conjunction resp. relative pronoun seem to be the older ones, as
is generally
the case in the Uralic languages. This is reflected in the relatively small number of subordinat
ive
conjunctions, in the possibility of replacing them (especially structures with relative pronouns)
by infinite verbal structures and in the fact, that the foreign pattern (Turkic and Russian)
of such
structures is clearly discernible.
There is no principal difference in word order between an subordinated and a non-subor
dinated
clause.
3.3.2.1 Finite clauses
3.3.2.1.1 Syndeton3.3. Complex sentences
3.3.1 Coordination_'by conjunctions is the rule,
For the coordinative conjunctions see 2.5.4. Coordinating clauses
mere juxtaposition seldom appears. Some examples:'4 Meant are cases like
125)
=tunne Zad-i-d
ton
tire-PRET-2SG
today
you
‘You are probably tired today’;
u-0-2
get, become-FUT-3SGor infinite the negative verbal
'S Apart from the question of which elemen t is finite
exception is the preterite II
only
The
ver!
b.
main
the
before
element is nearly always positioned
(1SG: minam min-em-e evel).","[37, 38]"
