Paragraph,Page number
"
               NoG
   (13.37)     a.     d-úú-ŋ̩-kááχ-ákʼw
                      AFF-3PL.INTR-PL-encircle- HEAD                      kámá-ʃ-úú-kʼw-ân        gwaanɟá
                      PURP-kill-3PL.TR-HEAD-SS? dikdik                      ‘They formed a circle in order to kill the dikdik.’
                      (i.e. they surrounded the dikdik in order to kill it.)               b.     * dúúŋk̩ ááχákʼw gwaanɟá kámáʃúúkʼwân
               c.     * dúúŋkááχákʼw
                              ̩         kámáʃúúkʼw gwaanɟá
                                            445
               NoG
   (13.38)     d-úú-ŋ-̩ kááχ-ákʼw              kámá-ʃá-kʼó-má       gwaanɟá
               AFF-3PL.INTR-PL-encircle- HEAD PURP-die- HEAD-IPːO dikdik
               ‘They formed a circle in order to kill the dikdik.’
               (i.e. they surrounded the dikdik in order to kill it.)       Lastly, two finite transitive same-subject purpose clauses can share an object if
the order of the clauses is V Object V. Again the same-subject finite purpose clauses
must be marked with the /-(â)n/ suffix (13.39).","[474, 475]"
"
5.1    The Noun Phrase
       The noun phrase (NP) in Gumuz can be comprised of a head noun, whether
independent or part of the Associative or Attributive Constructions (described in Chapter
VII), a numeral, a relative clause, a genitive noun/ noun phrase, a prepositional phrase
and/or a demonstrative adjective. While the NP tends to be left-headed, the order of
constituents within the phrase is fairly free. The only constituents with a fixed word
order are those that occur within the Attributive and/or Associative Constructions. This
section also describes the respective categories and inflectional/derivational morphology
of the various non-head constituents of the NP.",[159]
"               ‘They formed a circle in order to kill and get the dikdik.’13.6.2 Different-Subject Purpose Clauses
       Different-subject purpose clauses in Gumuz have the same structure as finite
same-subject purpose clauses. The finite purpose clause in SoG is marked as a
‘dependent’ clause (13.41). When the object of the matrix verb is the same as that of the
purpose clause in NoG, the /-(â)n/ suffix is not marked on the purpose clause regardless
of whether the subject of the matrix is the same as (13.35), or different from (13.40), the
purpose clause.",[475]
"
                                                   358
construction. This latter object complement form varies in finiteness depending on the
matrix verb and on whether the verb of the complement clause has the same subject or
different subject from the matrix verb. By “finite” I mean that the verb can be inflected
with bound subject pronominals (found in finite verbs), and the relative order of verbal
morphemes (both inflectional and derivational) follows that of finite main clause verbs
(Chapter VII).","[387, 388]"
"                                           473
Payne, Doris L. 1990. The pragmatics of word order: Typological dimensions of verb
       initial languages. Berlin: Mouton de Gruyter.","[502, 503]"
"
          SoG
   (5.62) cá-má ...     bádala ...b-íí-ɓaŋg-aká
          seed-3SG.POSS millet AFF-3PL.TR-find-NFUT           ná=tʃéŋá ná=alá-cicá ná=áŋa
           LOC=field LOC=GEN-new LOC=MED
           ‘They find its seed...millet seed... in this new field.’          NoG
   (5.63) ká=mátsʼá ká=létá ká=m̩ báándá tsʼá-kwa
          DAT=house DAT=DIST DAT=two      go-1PL.INTR
          ‘Let’s go to those two houses.’
                                             148
           SoG
    (5.64) ka=ma-n-táb-atsá          lorága ka=ʔáŋ
           COM=NMLZ-PL-be.thick- BODY book COM=MED             b-a-taaʔ-ág-éa
             AFF-3SG.TR-take-NFUT-TWRD
             ‘He brought (it) with those thick books.’It appears as though one marks the constituents of dependent noun phrases in Gumuz in
order to clarify which elements are constituents of the particular noun phrase and which
are not. This is especially true when the word order is non-canonical. Thus, if each
constituent in the dative prepositional phrase ‘to those two houses’ in example (5.63)
were not marked with the dative preposition, the numeral ‘two’, which atypically follows
the demonstrative adjective in (5.63), would be reinterpreted as the S argument — as in
(5.65). Thus, ‘two’ no longer refers to ‘houses’ but stands as the subject of the
intransitive clause.","[177, 178]"
"                   SoG
       (11.31)     b-a-gaŋ-gá=ŋg̩ ó        [ma-ko-ó
                   AFF-3SG.TR-know-NFUT=NEG NMLZ-NEG.AUX2-NM:ASSOC                   [ma-kâr-kʼo-má]      ] al-âm
                   NMLZ-finish- HEAD-IP:O GEN-1SG.POSS                   ‘He doesn’t know that I didn’t finish it.’
                   lit: ‘He doesn’t know my not finishing it.’11.1.2.3. Finite ma- Complements as Objects
           In SoG, a finite form of the ma- construction is used for different-subject
   complement clauses. These complements are finite in that they take bound subject
   pronominals which indicate transitivity by their tonal melodies. The relative order of
   morphemes following the verb root in this construction (both inflectional and derivational)
   is the same as for future tense main clause verbs (see Chapter VII). This complement
   construction may be limited to complements of the verb ‘want’. The majority of
   examples of different subject complements in the corpus include a /ká-/ prefix as part of
   the construction.",[395]
"
                                                   444
               NoG
   (13.34)     ɓaga d-úú-a-n-táá-é                  kʼósá-ɟá
               people AFF-3PL.TR-RECP-PL-bring-TWRD CL:tooth-tree               kám-ʔíí-úu-ʃ-ân
               PURP-be-3PL.INTR-HIP-LOC               ‘The people each brought a log in order to sit on.’               NoG
   (13.35)     d-árá-ampoχ-áts          meʔa kám-ɗakʼ-órá-ʃ
               AFF-1SG.TR-jump- BODY goat PURP-catch-1SG.TR-HIP
                                 0
               ‘I jumped the goat in order to catch it.’               SoG
   (13.36)     má-d-árá         madádá má-tʃʼ-árâ-n          lamáána
               PURP-do-1SG.TR work        PURP-have-1SG.TR-DEP money
               ‘I will work in order to have money.’       However, there exist a few examples in NoG in which the same-subject purpose
clause is marked with the suffix /-(â)n/. In these instances, the O argument of the purpose
clause must follow the verb of the purpose clause; no other order is acceptable regardless
of the presence or non-presence of the /-(â)n/ suffix (13.37). Furthermore, the same-
subject complement can also be expressed as a non-finite complement (13.38).","[473, 474]"
"               SoG
   (10.70)     b-á-an-dagona-gá                        gó-m-ʔíí-a             ba
               AFF-3SG.INTR-VBLZ-beautiful-NFUT PLACE-NMLZ-live-NM PROX               ná=gúŋ-ámá
               LOC=all-IP
               ‘This place to live is the prettiest of all.’
10.7. Case Marking Alignment in Simple Clauses
       Transitive constituent order in Gumuz tends to vary between AVP and APV.
However, other constituent orders are also possible depending on the discourse context.
Likewise, constituent order in intransitives varies between SV and VS.
       Core arguments in Gumuz remain unmarked for case unless the A/S argument
follows the verb, in which situation the A/S is marked with a nominative case marker /á-/
and the P remains unmarked. According to König (2006: 658), such a pattern of
alignment is a type 1 marked nominative language with a split system. A language is
considered to have a marked nominative system if it exhibits a nominative-accusative
pattern (the coding of A and S is the same) and the nominative (A/S) is marked for case
while the accusative (P) remains unmarked (Comrie 1989). The Gumuz marked
nominative system is ‘split’ in that the nominative is marked only under special
circumstances (i.e postverbal A/S but not preverbal A/S, and for emphasis). Examples
(10.71)-(10.83) below demonstrate various attested constituent orders in both NoG and
SoG. The transitive orders are: AVP, APV, PVA, VAP, and VPA. The intransitive
orders are SV and VS. Case marking is obligatory when the A/S argument is post-verbal.
                                              354
          NoG
          A      V               P
(10.71)   dua    d-a-lígít         tʃogwá-arabía
          child AFF-3SG.TR-roll foot-Arab
          ‘The child rolled the tire (‘Arab foot’).’          SoG
          A        V                  P
(10.72)   dogwaaŋá b-a-sa-gá            gazíá
          donkey    AFF-3SG.TR-eat-NFUT grass
          ‘The donkey ate the grass.’          NoG
          A P      V
(10.73)   áχó sáŋâ d-a-gam
          3SG salt AFF-3SG.TR-find
          ‘He found salt.’          SoG
          A      P               V
(10.74)   ŋ́gafa duu-má         b-a-fag-agá-kʼw
          woman child-3SG.POSS AFF-3SG.TR-rise-NFUT-HEAD
          ‘The woman raised her child.’          NoG
          P       V                      A
(10.75)   mátsʼá d-a-sá-kʼʷ              á-manɟa
          house AFF-3SG.TR-eat-CL1:HEAD NOM-fire
          ‘The fire consumed the house.’          SoG
          P V                            A
(10.76)   ɟá b-a-tsʼii-gá-kʼw             á-ziba
          tree AFF-3SG.TR-break-NFUT-HEAD NOM-wind
          ‘The wind broke the tree.’          NoG
          V                       A      P
(10.77)   d-a-ŋar-ákʼw=gwê         á-mááχó duú-ma
          AFF-3SG.TR-CL1:HEAD=CONJ NOM-3PL child-1SG.POSS
          ‘And he took my child.","[383, 384]"
"                                                   256
        SoG
        (8.29) a.         kwóɗ-ílúkʼw hosa
                          skin-head      cow
                          ‘Skin (the/a) cow’s head’                  b.      kóɗ ílúkʼ-ósa
                          skin head-cow
                           ‘Skin the cow’s head’        (8.30) a.         ma-kóɗ-ílúkʼo=ŋgó           hosa
                          NMLZ-skin-head=NEG cow
                          ‘Don’t skin (the/a) cow’s head’                  b.      ma-kóɗ-oŋgó          ílúkʼ-ósa
                          NMLZ-skin-NEG head-cow
                          ‘Don’t skin the cow’s head.’
        Other syntactic evidence for incorporation in Gumuz can be found in both word
order and nominalization. As demonstrated in Chapter X, various word orders are
attested in Gumuz. That is, the O argument is not required to follow the verb. However,
the IN must follow the verb root (and be phonologically reduced, if applicable) in order
for each clause to convey the same meaning. In (8.31) versus (8.32) below, the meaning
of the sentence changes if the noun is uttered before the verb or if it is uttered in its non-
reduced form.
        (8.31) ɗamb-ác
               try-eye/seed
               ‘Try a little (water).’        (8.32) cá-má              ɗamb ~            ɗamb cá-má
                               15
               seed-3SG.POSS try                    try seed-3SG.POSS
               ‘Try/taste the seed(s).’
15
  The lexical item cá ‘seed’ requires an inherent possession marker in northern Gumuz dialects when used
as an independent noun (see Chapter III). However, in the southern dialects, cá ‘seed, eye’ can be uttered
as an independent noun without the possessive marker.","[285, 286]"
