Paragraph,Page number
"                      15.1. Constituent Order within the ClauseThe most basic Yuki clause can contain just a verb. Clauses can also optionally contain
agent, patient, and dative arguments, adverbs, and obliques. This section describes
constituent order within the clause254. Yuki clauses tend to be verb-final255, but some
variation in word order does occur. (1) - (3) are examples of elicited clauses showing
verb-final word order. Verbs are given in bold in each example clause.",[421]
"(7)         Coyote and the World: 24, RM
            są́ˀey
            są=ˀi
            SAME=HSY1            [yím      y ą:híšti]
             yim      y ąh-s-t
             fire     b laze-CONT-INTR            [nn ąwímil    hulk’óˀi]
             n ąw=mil     hulk’oˀi
             see=FIN      Coyote
            ‘And Coyote s aw the fire b lazing up.’  Non-final verb word order is also seen following adverbial phrases256. In (8) and (9)
the adverbial phrase is underlined and the verb in the main clause is given in bold. In
256
      A non-final verb word order is not obligatory for these. See, for example, Origins: 62.
                                                Clause Structure                                       397both examples the verb in the main clause occurs immediately following the adverbial
phrase, rather than at the end of the main clause.","[424, 425]"
"                            8.1. Attributive AdjectivesAttributive adjectives are independent words and can either precede or follow the
noun within the noun phrase. The pragmatics of these two word orders are not
apparent from elicited examples or examples found in the texts.",[340]
"                   8.1.1. Word Order within the Noun Phrase(1) and (2) are elicited examples. In (1), the adjective hoṭ ‘large’ follows the noun t’um
‘rain’.",[340]
"(1)     Siniard 1967a: 61, MF
        sum         moˀos     m u:šakwičk
        sum         moˀos     muš-ąk-wičk
        yesterday 2PL.AGT l augh-SEM-PST2
        ‘you fellows l aughed yesterday’
253
    Argument structure is discussed in §5.2.
254
     For constituent order within noun phrases see §5.7. Determiners are the other main type of
constituent that occur within noun phrases generally precede nouns within the noun phrase. Numerals
show more variation in position. See §9.3 for further discussion. Attributive adjectives can precede or
follow nouns, as discussed in §8.1.1.
255
     The hearsay evidential ˀi is sometimes encliticized to an entire clause with the verb as the
morphological host, and therefore can be found following the verb in connected speech. Such cases are
counted as verb-final in this discussion.",[421]
"(1)   Sawyer and Schlichter 1984: 30, AA
      t’u:m ho:ṭ         ki   t’u:mek
      t’um hoṭ           kiˀ   t’um=k
      r ain large DST rain=DECL
      ‘it’s raining b ig drops’   In (2), both noun-adjective word orders are given as possible alternatives of each
other.",[340]
"                                            7.1. OverviewYuki verbs are root-initial and, with the exception of the body prefixes discussed in
§2.2.1.1 and §7.3.2, all inflectional and derivational verb morphology takes the form of
suffixes or enclitics. The boundaries between morphemes in the verb are generally
fairly clear phonologically, though some assimilation and allomorphy is present157.
   Verbs are suffixed with a rich collection of morphology indicating tense, aspect,
mood, transitivity, negation, questions, evidentiality, and dependent clauses. The Yuki
verb has a templatic structure: suffixes are attached to the root in a particular order
relative to each other. Yuki shows no argument marking on the verb itself158. Instead,
arguments are referenced using switch-reference markers159 and/or with actual noun
or pronoun arguments.
                                   7.2. Verb TemplateThe Yuki verb template is shown in Table 17. The template shows the order that verb
morphology takes within a verb. All verb morphology, except for the body prefixes,
follows the verb root and takes the form of either suffixes or enclitics. No verbs exist
with all positions filled on the template. Most verbs have only a few slots filled on the
template. Within serial verb constructions160, verbs can occur as bare roots without any
additional verb morphology.",[247]
"                                       15.9.5.1. HuchnomTo the extent that it is understood, negation in Huchnom appears to function in much
the same way as in Yuki. A negative morpheme -t̯al is added to the verb in order to
negate it. The Huchnom negative -t̯ǝl appears similar in form to the Yuki negatives -ṭan
and ṭal-.
  Contrast the negative sentences in (77) and (78) with the affirmative clause in (79).",[446]
"(1)    Kroeber 1901a:6, RM
       mólm’a míli      ‘three deer, (not molmi)’
       ˀop’á pu:lam     ‘two cottontail rabbits (not ˀop’i)’
       ˀíwis ˀop’a      ‘two men’
       ˀíwis mólma      ‘three men’
       ˀíwis ˀom’ahą́ta ‘four men’  (2) shows an example of ˀómahą:t ‘four’ describing an animate noun hąwwhóˀoṭam
‘whale(s)’. This example demonstrates that =(ˀ)a(ˀ) is not obligatory for numerals235
    Kroeber’s note: “in counting beads, for every 100 a stick is put out”
236
    Kroeber’s note: “al = stick”
237
    See §5.7 for additional discussion of numeral and noun word order within noun phrases.
336                       University of California Publications in Linguisticsoccurring with animate nouns. Compare this with ˀíwis ˀom’ahą́ta ‘four men’ in (1) where
ˀom’ahą́t ‘four’ occurs with an animate noun ˀíwis ‘men’ and does end in =(ˀ)a(ˀ).","[363, 364]"
"
                                                         367
368                               University of California Publications in Linguistics            San [są] indicates that the subject of the sentence which it opens is the same
            as the subject of the preceding sentence. Si indicates a corresponding change
            of subject…-k, forming si-k, san-k [są-k], si-k-ii, san-k-ii [są-k-ii], is about
            equivalent to “and,” implying that the action of the verb in the sentence
            which it introduces is contemporanous with the action of the verb in the
            preceding sentence. -m, forming si-m-ii, etc., may be translated “and
            finally”… -kiṭ, forming si-kiṭ, san-kiṭ-ii [są-kiṭ-ii], etc., is equivalent to “and
            then”… -kan [-ką], forming si-kan [si-ką], etc. can often be translated as
            “thereupon”…A stem so- is also used as a base for forming several
            connectives. The words derived from it seem to indicate the relation of the
            ideas in two adjacent sentences, rather than the identity or difference of
            their subjects as expressed by san and si. So-p is translatable as “and,” also “on
            account of that.” So-n is “but.” So-m is also found. There are a number of
            other connectives such as kop-han, san-kop [są-kop], si-mo-n, si-mo-p, si-k-on,
            whose meaning is not yet clear.","[395, 396]"
