Paragraph,Page number
"           A brief examination of data from Apinajé, Suyá, Kayapó and Timbira may reveal the many differences (e.g. prenasalized stops, nominative case-marking in independent clauses) and similarities (e.g. simple morphology, SOV word order, ergative marking in subordinate clauses) existing among them. Panará, on the other hand, is dramatically distinct from the other languages of the branch. It displays a more polysynthetic morphological typology, with agent, patient and tense/aspect/modality (TAM) marking on the verb; ergative marking in independent clauses and SVO word order, among other things.18
16
     The area is known in Brazil as “Bico do Papagaio” (‘the parrot’s beak’).
17
   In an interview on this subject, an Apinajé speaker declared his total lack of familiarity with the latter
terms. Most interesting in this case would be to check on the word for ‘tip, corner’ in any of the Timbira
languages.
18
 Data examined are from Alves (2002), Timbira Apanjekrá; Reis Silva (2003) and Salanova (2001),
Mebengokre Kayapó; Santos (2004), Suyá; and Dourado (2001), Panará.
                                                                                            28
       The Apinajé are considered, in the anthropological literature, a Western divisionof the Timbira, living west of the Tocantins. Eastern Timbira peoples are thosedistributed at various locations in the States of Maranhão and Tocantins, east of the river(Nimuendajú 1983; Da Matta 1982). In linguistic classifications, on the other hand, it isnot uncommon for an Apinajé-Kayapó grouping to be contrasted with the Timbiradialectal cluster (Davis 1966; 1968). Be that as it may, the conclusion in both fields isthat the Apinajé constitute an autonomous group and language, distinct from bothKayapó and Timbira.","[41, 42]"
"       In the analysis of Apinajé, I share Matthew Dryer’s view that the grammaticalrelations of a language are specific to that language and may be defined according tolanguage internal criteria. In section 3.3 I have pointed out how distinct systems ofalignment interact in Apinajé. Thus, coding patterns and control properties relevant forthe establishment of grammatical relations in Apinajé include:(82) Relevant criteria for the establishment of grammatical relations in Apinajé   (a) word order
   (b) person prefixes
   (c) independent pronouns
   (d) person inflection in imperative clauses
   (e) the use of reflexives
   (f) the occurrence of the realis marker in noun phrase coordination
   (g) switch-reference strategies
   (h) valency-changing operations
   (i) ergative marking in subordinate clauses
   (j) equi-deletion in complementation
   (k) coreferential deletion in coordination
       The SOV word order (criterion (a)) is fairly rigid in Apinajé and serves as a usefulcriterion of the identification of A and O. The use of person prefixes (b) reveals a split-
                                                                                          255
intransitive system in simple main clauses, and an absolutive pattern in nonfinite clauses.","[268, 269]"
"
3.4.2. Equative predicates
                                                                                         244
Equative predicates functionally express a one-to-one identity relation between twospecific, referential entities, as in “I am Sam” or “I am your sister.” A structuraldifference between the juxtaposition construction employed here and the one expressingproper inclusion is that here a personal prefix on the predicate noun indicates thepossessor, and not the subject. The subject is encoded rather by a free pronoun, althoughits order relative to the mood marker remains reversed as compared to verbal clauses: thepronoun occurs clause-initially, and not in second position.(65) a. pa    na     a-prõ
       1      RLS    2-wife
       ‘I’m your wife.’
     b. ka    na    i-bje
        2     RLS   1-husband
       ‘You’re my husband.’
       Equative predicates by juxtaposition differ structurally from descriptive andverbal clauses primarily with respect to the relative order of the mood marker and thepronoun, and, specifically with respect to descriptives, because the prefix on thepredicator is not coreferential with the subject of the clause.","[257, 258]"
"Nonetheless, Apinajé morphology is more complex than it might seem at first, especiallywith respect to the major lexical categories of the language: Nouns, Verbs and
                                                                                             vPostpositions. These word classes, especially Nouns and Verbs, are characterizedmorphologically by the presence of formatives, which are recurrent morphs that are eithersemantically empty or of elusive meaning, but which subcategorize words in formal orsemantic terms. The categories of nonfiniteness, person, and syntactic constituencyconstitute the core of inflectional morphology, the last applying to nouns, postpositions,and verbs. Verbs are subcategorized morphosyntactically into transitives, intransitivesand descriptives, displaying a split intransitivity system with respect to verbal person-marking. Word order is predominantly SOV. Syntactically complex constructionsinclude verb serialization and clause subordination, with ergative case-marking acharacteristic of subordinate clauses.
                                                                                    vi
                              CURRICULUM VITAENAME OF AUTHOR: Christiane Cunha de OliveiraPLACE OF BIRTH: Goiânia, Goiás – BrazilDATE OF BIRTH: November 10, 1967
GRADUATE AND UNDERGRADUATE SCHOOLS ATTENDED:      University of Oregon
      Universidade Federal de Santa Catarina
      Universidade Federal de Goiás
DEGREES AWARDED:      Doctor of Philosophy in Linguistics, 2005, University of Oregon
      Master of Arts in Linguistics, 1993, Universidade Federal de Santa Catarina
      Bachelor of Arts in Portuguese and English Languages and Literatures,
         Universidade Federal de Goiás
AREAS OF SPECIAL INTEREST:      Language Description and Historical Linguistics
      South American Languages
PROFESSIONAL EXPERIENCE:      Research Associate, Setor de Etnolingüística do Museu Antropológico,
         Universidade Federal de Goiás, 2004-2005.","[4, 5, 6]"
"       The Apinajé grammatical word can be identified according to some of the criterialisted in Dixon and Aikhenvald (2002:19-25). First, the grammatical word is internallycohesive, both formally, since its components constitute a bound unit; and semantically,because that unit conveys a conventionalized meaning. Secondly, the component
                                                                                              92
morphemes of a grammatical word in Apinajé follow a particular order, with word cliticsalways occupying the outermost final position in the word, thus indicating the word finalboundary, and person prefixes appearing in first position, when applicable, thusindicating the word-initial boundary. Thirdly, speakers generally utter the word withoutinterruptions or pauses, except in case of hesitations, clarifications or factors of this sort,which are part of natural speech in any language. Finally, the Apinajé grammatical wordcan constitute a complete utterance by itself.","[105, 106]"
"Their list is as follows:
        A grammatical word consists of a number of grammatical elements which:
              (a) always occur together, rather than scattered through the clause (the
                  criterion of cohesiveness);
              (b) occur in a fixed order;
              (c) have a conventionalized coherence and meaning. (...)
              (d) Morphological processes involved in the formation of words tend to be
                  non-recursive. That is, one element will not appear twice in a word. (...)
              (e) There will be just one inflectional affix per word. (...)
              (f) A speaker may pause between words but not within a word. (...)
              (g) A word may constitute a complete utterance, all by itself (Dixon and
                  Aikhenvald 2002:19-25).",[102]
"       Distributional criteria include (a) the relative order of elements inside theconstituent and (b) the distribution of the constituent in the sentence, along with (c) thedistribution of overt indices of constituent internal cohesion and boundaries.",[212]
"
4.1. Person markingFirst, examples (83-84) illustrate the use of person prefixes. In finite verb forms O andsome S are morphologically marked in the verbal stem (83). In nonfinite verb forms, all Sand O participants are marked by prefixes (84).
(83) a. pi                                   ‘kill’
        ic-pi                                ‘kill me’
        a-pi                                 ‘kill you’
        ku-pi                                ‘kill it’     b. akr                                  ‘cold’
        i-j-akr                              ‘I’m cold’
        a-j-akr                              ‘you are cold’     c.     ca                               ‘stand’
            *ic-ca
            *a-ca
            *ku-ca
(84) a. pi-r                                 ‘kill.NF’
        ic-pir                               ‘kill.NF me’
        a-pir                                ‘kill.NF you’     b. akr                                  ‘cold.NF’
        i-j-akr                              ‘I cold.NF’
        a-j-akr                              ‘you cold.NF’
                                                                                           257       c. m                                ‘stand.NF’
          ic-c-m                          ‘I stand.NF’
          a-c-m                           ‘you stand.NF’         The use of independent pronouns, which express the S and A arguments of verbs,as well as the use of word order for the identification of A and O, are illustrated in section3.3.","[270, 271]"
"In order to receive routine medical assistance of this kind, dwellers of the youngersettlements must take a trip to the nearest Apinajé village. As a complement to this morebasic health service, a physician visits the villages every two weeks in order to providemore detailed medical examination. Patients suffering from serious illnesses are sent tourban centers for medical attention.",[36]
"Additionally, the definite marker ja must occur at the end boundary of the clause, beingoptionally preceded by the agent nominalizer cw, which occurs most often (though notstrictly) with verbs of action or activity. The order of elements remains basically thesame as in simple clauses.",[295]
