Paragraph,Page number
"(26)    Correspondences of KCh (and DjCh) affricate j
             KChDjCh      KS iGao)      gloss
            jii          jii            'butter'
                          zii           'swim' or 'push'
16 2 Overview     Third, KCh and DjCh show S-MAN-V-X constituent order (subject, mood-aspect-
negation, verb, other elements including direct object), while KS, HS, and the non-
Malian varieties show S-MAN-O-V-X order with the direct object preceding the verb.
In Greenbergian terms, Western Songhay is SVO while the other varieties are SOV,
though the latter are not verb-final languages in the fashion of Turkish and Japanese.
The SOV Songhay varieties also show a Transitive marker between the MAN complex
and a direct object NP (if present); there is no trace of this in KCh or DjCh.
     KCh and DjCh share Def di and PI yo in NPs. (These are also found in the Bamba
dialect of KS.) Mainstream KS and most other Songhay languages have different
DefSg and DefPl suffixes.
     DjCh differs from KCh on many counts. DjCh has seven phonemic vowel
qualities to five for KCh. DjCh favors in situ relativization and WH-interrogatives,
while KCh fronts the relative pronoun and the WH-interrogatives. Because of the many
lexical differences between DjCh and KCh, it is necessary to devote separate
dictionaries to them. For more details on DjCh grammar, see Appendix 2.","[31, 32]"
"
6.3 Compounds6.3.1 Noun-verb compoundsNoun-verb compounds are rare, but they are easy to spot on grounds of word order (N-
V) and semantic skewing. The examples I know of are in (214). The compounds
function syntactically as verbs.",[154]
"
5.9 Adpositions and case-marking
5.9.1 Unmarked case versus adpositionsThe distinction between subject and direct object is expressed by constituent order.
Subject NPs precede MAN morphemes and the verb, which is followed by direct
objects and PPs. When a direct object is fronted in the focalization construction it
precedes the subject NP and is normally followed by Foe morpheme na. Although
subject and direct-object NPs lack case markers, there is rarely any difficulty in
identifying these case functions. (135) is a simple transitive example.(135)         [har    di^]      o      guna      [woy        di]
              [man    Def]      Impf   see       [woman      Def]
              'The man sees the woman.'",[119]
"
5.3.2 Sequences of adjectivesSome examples of adjective sequences are given in (102). The literal glosses retain the
word order of the original.
88      5 Nominal inflection and NP syntax(102)           transcription                    literal gloss
           a.   cirow bibi beer                  'bird black big'
           b.   hay si woroo futu-nte            'dog fat vicious'
           c.   bar keyna woroo                  'man small fat'
           d.   huri kaan-o beer                 'knife sharp big'
           e.   tuuri-naa beer kokom-te          'tree big shaken'
           f.   derbe ciina tey-nte              'shirt little wet'    Judging from the variable location of the size adjectives beer 'big', keyna 'small',
and ciina 'small', it does not appear that the order of adjectives is rigidly
grammaticalized.","[103, 104]"
"
8.1.2 Subject focus constructionsThe na construction (preceding section) is used for focus on any NP, PP, or adverbial
that would ordinarily follow the verb. This includes all NPs other than the subject,
which alone of basic arguments always precedes the verb. When the subject NP is
focused, simple fronting of this NP (leaving a coindexed trace) would be string-
vacuous, (28la) being converted into (28Ib):(281)        a.   [NP] - MAN morphemes - verb - ...
             b.   [NP], - tx - MAN morphemes - verb    If the Foe morpheme na were added to (28Ib) in order to differentiate the subject-
focus construction (28Ib) from the simple (28la), there would be a serious risk of
ambiguity, since na is also the (perfective) Neg morpheme. A subject-focus
construction (282a), with null MAN marking (indicative perfective positive) would be
homophonous with a simple Neg sentence (282b).(282)        a.   [NP]X - na - tx - (null MAN marking) - verb -...
             b.   [NP] - na - verb -...
172 8 Discourse-functional constructions and relativization    Whether or not such language-specific functional considerations played the role of
evolutionary filter, preventing (28Ib) or (282a) from becoming established as the basic
subject-focus construction, Koyra Chiina has a quite different construction (283).","[187, 188]"
"
4.1.4 Subject and Object forms of pronominalsThe simplest type of NP is a bare personal pronoun. The basic forms are shown in
(58); variants and irregular allomorphs are commented on below.(58)    personal pronouns (S=subject, O=object)
                 category          S only      S=Q                   Ο only
                 ISg               ay                                ey
                 1P1                           yer
                 2Sg                           ni
                 2P1                           wor~ war
                 3Sg               a                                ga
                  3P1                /                               gi(-ji)
                  3SgF                           rjga ~ ga
                  3P1F                           ggi-yo (etc.)
                  Logo/3ReflSg                   rjgu ~ rju
                  Logo/3ReflPl                   qgu-yo ~ rjgi-yo (etc.)
58 4 Nouns, pronouns, and nominal derivation     On the optional reducation of 2SgS ni to n in some but not all morphosyntactic
positions, see §3.8.2. For irregular ISgS yc and 2SgS ma in certain combinations, see
§3.8.1-2. For numerous additional variants of rjgi-yoandrjgu-yo, see §3.8.8.
     (58) shows distinct subject and object forms for the ISg, 3Sg, and 3P1. The other
pronouns have a single, invariant form (shown in a central S=O column between the
S-only and O-only columns). In the case of ISg, the orthographic distinction reflects
what is arguably a subphonemic positional variation in the pronunciation of the
diphthong nucleus (§3.3.1). The only real subject-object variation is therefore in the
""3"" category, where the object form (which directly follows the verb) is 3Sg ga or 3P1
gi (sometimes palatalized to ji, §3.6.4). Some examples of the ISg, 3Sg, and 3P1 are
given in (59); the syntactic order is subject + verb + object as in English.","[73, 74]"
"
11.3 Perception     Perception predicates, as in English, have a subject NP representing the perceiver
and a direct object representing the perceived object or its sensory emanation. The
primary verbs, all transitive, are given in (710). mom normally means 'hear, listen,
understand (words, language)', but has the sense 'smell' in connection with an object
like hew 'wind, air, odor'. The verb maata is a more abstract stem meaning 'become
aware of, through unspecified sensory channels.
                                                   11.4 Emotion and personality        367(710)         verb          gloss
              guna          'see'
              maata         'become aware of (feel, sense, notice, hear)'
              mom           'hear, listen, understand (words); smell (odor); notice'
              mani          'smell (odor)'
              taba          'taste'      We might also mention bey 'know, notice, recognize', korosi 'notice', taameysa
'notice (as distinguishing sign of object)', honno 'catch sight of, espy (from afar)', and
700 'look back' [intr].
      Percept nouns include hew in the sense 'odor' and tembe 'taste'. Representative
phrases are a si mey tembe 'it has no taste' and a tembe di ci muso foo ? 'its taste
is like what?' For '(characteristic) voice or sound (of an entity)' the usual term is jinde
(core sense: 'neck').","[382, 383]"
"      Here there are not one but two pronominal postverbal constituents, direct object
ga and Dat war se. We may consider this to be an enclitic string, attached as a whole
to the verb bar. In such cases, the direct object enclitic obligatorily precedes any
cliticized PP.
      The cliticization analysis is useful in accounting for pronominal morphology as
well as constituent order. In (438) we have an instance of 3SgO ga, which differs in
form from a short 3Sg allomorph a. The longer ga is used in direct object function, in
which case it immediately follows the verb (for a 'give' construction with two such
object clitics, see the following section), ga is also the 3Sg form following the
preposition nda 'and, with'. The a variant is used in other functions including subject,
possessor of NP, and object of postposition. The 3P1 variants gi and i follow the same
pattern (§4.1.1). We could argue that the gV variants are required when the third person
pronominal is a) enclitic (to a verb or ndä), and b) is not bracketed with another
following morpheme (i.e., a postposition).
      Alternatively, we could limit enclitic status to direct-object pronouns, in which
case condition (b) could be dispensed with since PPs would not be covered. But a good
case can be made for taking certain pronominal PPs as clitics. First, the ordering of
pronominal PPs before nonpronominal complements, as in (437), seems to be
obligatory with certain postpositions; the rare counterexamples in texts probably
reflect clause-internal repairs and are not confirmed in elicitation. Second, irregular
forms for the ISg and 2Sg dative combinations, used only in postverbal position, are
best analysed as special enclitic forms. Consider (439).(439)    a.   a-a           jafa      yene         alhoor di
              3SgS-Impf carve         ISgDat limestone Def
              'He cuts the limestone for me.'
         b.   ay         bar      ga      mana
              ISgS       say      3SgO 2SgDat
              'Isaid it to you.'
         c.   [ni     se]      na ay         bar ga
              [2S g Dat] Foe ISgS say 3SgO
              'It was [to you] [focus] that I said it.'",[260]
"    The semantic scope appears to be over the following: the NP 'the people's
exaggeration' (392a), the instrumental phrase 'by yourself (392b), the NP
complement of the PP or perhaps (in spite of the syntax) the PP as a whole (392c,i),
222 8 Discourse-functional constructions and relativizationthe verb 'hear' excluding its clausal complement (392d), the matrix verb 'seek'
excluding its subjunctive complement (392e), the VP 'it comes to you' (392f), 'sits'
either as verb or as one-word VP (392g). In (392h), one could argue that Only' has a
higher-order pragmatic scope; in context we may expand the relevant portion as 'the
only consequence of your using a mixture of cheap odd-shaped limestone pieces and
mud-and-gravel cement, and of someone else's using expensive rectangular limestone
blocks, is that his house will have perfectly flat walls, while yours will be irregular.'
     In these examples, nin translates easily as Only' (or a near-synonym like
'merely', 'simply', 'just'). In some other textual examples, like (393), such a
translation would be forced.(393)         nda boro fatta [haya se] nin,
              if     person exit [thing Dat] only,
              ma            dam ga        [nda a       fondo di]
              2SgSSubju do        3SgO [with 3Sg path Def]
              'If one (=you) goes out (to the fields) for something x , you should do
               itx properly.'","[237, 238]"
"
5.2.2 Recursive possessionRecursion occurs when the first-order possessor NP itself contains a (second-order)
possessor. A simple example is (96).(96)          [[ay]       baaba        wane]       huu        di
              [[ISg]     father        Poss]       house      Def
              'my father's house'    When cumbersome full NPs are involved, such constructions become difficult to
process, but there is no syntactic restriction on them, as seen in (97).(97)    a.    [[har     di       wane] huu          di     wane] sooro    di
              [[man     Def Poss] house Def                Poss] upstairs Def
              'the upstairs of the man's house'
        b.    [[war        wane]        faaba-öere         di]  addeliil   di
              [[2P1       Poss]         help-friend        Def] motive     Def
              'the motive of your mutual help'
        c.    [[qgi-ye      ta]       tun           di]      alwakati      di
              [[3P1F        Top]      arising       Def]     time          Def
              'the time of their arising'
86 5 Nominal inflection and NP syntax     These examples show various combinations of presence or absence of postposition
wane. We get wane after both possessors in (97a), after the rightmost only in (96),
after the leftmost only in (97b), and after neither in (97c).","[101, 102]"
