Paragraph,Page number
"   Where there is more than one third person referent on stage at a time in a discourse, the
subjects and objects are made explicit more often, to ensure that the hearer can keep track of
the referents of the clauses. (As is often the case, folk stories show less explicit reference to
the participants, because everyone knows who does what in the story, and it is not necessary
to be as explicit. Everyone knows, that is, except the linguist from another culture!). Text (d)
in §2.4 provides an example of a text with more than one third person referent on stage at a
time. It is by the same author as the fishing story referred to above. The topic of the text is a
savage dog, which is introduced and named in clause l a, then referred to with third person
singular verb parts in clause 1 b. The author disclaims responsibility in sentence 2 ,
introducing himself with a pronoun, and using the word 'dog' in sentence 3 . H e names the
culprit, his brother Nkal, with a noun, and uses the word 'dog' again in sentence 4. Nkal ' s
name is repeated i n sentence 5, but this time the other third person referent i s understood to
be the dog, without specific reference. The dog is mentioned again specifically in the next
sentence, number 6. It remains the topic of the rest of that paragraph, sentences 7 to 9, being
referred to only pronominally. Sentence 1 0 begins a narrative episode, in which Mepe and
his son Yidika are introduced by name. In this episode each sentence uses a noun to refer to
one of these actors, as the initiative moves from one third person referent to another in quick
succession. The result of the incident comes in sentence 1 7, but the dog is not mentioned
specifically - it is just the third person singular referent of the verb. The text ends with a
specific reference to a safe road for people to follow.
(2) Order of items in the clause   Apart from the subject and object of the clause, other items can be included at will when
their semantic content is to be made explicit, up to a limit of five items in any one clause,
including the predicate. The histogram in Table 2. 1 .8 . 1 shows the proportion of transitive
and intransitive clauses having each number of items. The histogram is based on a sample of
667 clauses all from texts or conversation.",[66]
"                    TABLE 2. 1 . 8. 1 : NUMBER OF ITEMS PER CLAUSE, BY
                                          CLAUSE TYPE
                           %               Transitive          Intransitive
                         90 - 99
                         80 - 89
                         70 - 79
                         60 - 69
                         50 - 59
                         40 - 49                               . .
                         30 - 39          x                    x x
                         20 - 29          x x .                x x
                         10 - 19          x x x                x x .
                          0- 9            x x x x              x x x
                      items/clause        1 2 3 4 5            1 2 3 4 5
                      clauses/type            347                  320   The histogram shows the predominance of clauses with only one or two items, including
the predicate.
                                                                                               59   The predominant order of items in verbal clauses is as follows:       ±absolute Time ±Subject ±(Source/GoallInstrumentiAccompaniment) ±Object
       ±(LocationlManner) ;t(Source/Goal/FactitivelExperiencer/Accompaniment)
       ±relative Time ±Numeral component of Object +Predicate
   Examples ( 1 28) and ( 1 29) illustrate this order in longer clauses.
   ( 1 28)     [U moo         nge] E [dy:aamandilJ A [mwiyel T dpi                     y:oo.
              her husband E      shell. coin big   first      PCT. HA B . 3 . SB give
              Her husband pays the definitive-bridewealth-coin first.
   ( 1 29)    [Sister nge] E [ tepe]A [PyolO] M    [u kWO]G de                  y:oo.
              Sister E       injection three.times his to   PI.IM.PST . 3 . S B give
              Sister gave him three injections.","[66, 67]"
"                  TABLE 1.2. 8: FREQUENCIES OF CONSONANTAL SOUNDS
                  Bilabial    Dental     (+SBC)       Post-alv. (+SBC)       Velar     (+SBC) NREL                                                 [tn]       [fpnm]       [kr.J]   [Kplfm]
                                                      0. 03      0. 1 8       0. 69    0. 69
  + [Y]                                               [tnY]      [fpn�mY]
                                                      0. 60      0. 2 4
Nasals            [m]         [U]        [fm]         [n]        [n � m ]    [IJ]      [IJm
                                                                                          � ]
                  7. 85       1. 2 9     0. 0 6       6. 08      0.5 1       2. 4 4    0. 60
 + [Y]            [mY]                                [nY]
                  0. 27                               1.02
 + [W]            [mW]                                                       [IJW]
                  1. 1 4                                                     0. 15
 + [YW]           [mYW]
                  0. 27
Semi vowels       [w]                                 [j]
                  5. 15                               5. 45
Other                                                 [1]        [fJ3]       [y]
                                                      5. 87      0. 36       2. 23
 + [Y]            [13Y]                               [1Y]
                  1. 87                               0. 36   Combined with the 38 contrastively different vowel sounds outlined above, this gives a
grand total of 94 contrastively different sounds in the language.
   Traditional phonemic principles call for the interpretation of 'ambivalent' sequences of
consonants, to decide whether they should be regarded as consonant clusters or complex
consonants. Normally one would look for clusters of heterorganic consonants on which to
base a cluster solution when interpreting prenasalised stops, stops with nasal release,
palatalisation and labialisation, but there are no sequences of consonants that do not involve
one or more of these features. Simultaneous bilabial closure involves two articulations, but
they occur simultaneously, and act as a multiplier, covering the prenasalisation or nasal
release of a stop as well as the stop itself. Clearly the 'unambivalent cluster' criterion must be
relaxed, or the sum total of consonant phonemes could approach the possible maximim of
56!
  The sequences [pY], [kY] and [mY] cited in Tables 1. 2. 6 and 1.2.7 above are heterorganic,
even though they involve palatalisation. They provide the basis for recognising consonant -
semivowel clusters. [Y] and [W] can then be regarded as allophones of y and w respectively.
Turning now to prenasalisation and nasal release, it is observed that they constitute a reverse
sequence, stop-nasal and nasal-stop, so those clusters are allowed on that basis.
   Following traditional phonemic principles, the consonants with simultaneous bilabial
closure would be set apart as separate phonemes, adding
   tp        dp      kp
   rim       nm      ngmand Iv
12to the thirteen basic phonemes illustrated in Table 1.2.1, making a total of 20 basic
consonantal phonemes.
   In this analysis a consonant would have the formula C1(C2)S, where if Cl and C2 are
both manifested, they are homorganic in the order nasal-stop or stop-nasal. The order stop­
nasal only occurs with post-alveolar and velar consonants. With bilabial consonants, S can
be manifested by yand w simultaneously.
   Non-nasal continuants are a special case, with the formula C(y), where yoccurs only with
1 and v.","[19, 20]"
"TABLE 2. 1 .7.7. 1 : PORTMANTEAU MANIFESTATIONS OF CONTRAFACTUAL M ORPHEMES
TMA and SP                        indicative              protasis             apodosis
PCT . near.PST.3PL.SB             @ lee dmi              wo lee dmi          pi lee dmi
PCT . near.PST. l SG . S B       ni Ie @                w:aa Ie @          p:aa Ie @
PCT.IM.PST. I PL . SB           dpi lee dmi            wudu lee dmi       pudu lee dmi
c.near.PST. I PL . S B         nmJ lepi te             wunu 1epi te       punu 1epi te
C . I M . PST.2PL.SB          nmyi lepi te              w:ee lepi te       p:ee 1epi te
2. 1 . 8 ORDER OF ITEM S WITlllN THE CLAUSE
   This section deals with the order of items in clauses manifesting verbal predications.
§2. 1 .9 deals with non-verbal predications.",[65]
"
                                                    1 08
                                              INDEXAbsolutive, 1 5                                        Equative clause, 60
accompaniment morpheme, 62                             Ergative-Absolutive system, 1 5
ADDITION, 77                                           first person imperatives, 37
adjective modifying a noun, 73                         Firth, 1, 1 2
Adjectives, 76                                         followed root, 29
Adverbs, 76                                            follower-sensitive verbs, 29
re vowel, 2                                           Fore, 23
affricate, 9                                           Forms of the negative used in Equative
afterthought, 59                                          clauses, 6 1
agreement, 6 1                                        Free pronouns, 34
agreement, in Equative clauses, 60                    Gahuku, 39
agreement, restricted in reported speech, 87           ' give ' , roots for, 33
agreement, with Accompaniment, 68                     Goal incorporated in the verb, 27
animateness, 62                                       Goal, 63
anomalous set of predicate postnuclei, 1 8            Goldsmith, 1 2
apodosis, 57                                          Grimes, 1 2
aspect, 1 4                                           habitual events, 1 9
associated kin term. , 73                             habitual mood, 1 9
autosegmental phonology, 1 2                          habitual use of future tense, 2 1
a wede, 8 1                                           Haiman, 40
basic phonemes, 1 2                                   human status terms, 70
Beekman, 77, 79                                       imperatives, 1 5
Bena-bena, 39                                         imperatives, negation of, 56
Bickerton, 1 5                                        imperfective, 1 6
causative morpheme, 1 2                               inception of a continuous event, 1 7
certainty prefix, 48                                  indefinite status, 1 5
clusters, 1 1                                         indicative mood, 1 9
co-ordination, 77                                     intention, 8 1
Comment, 60                                           intransitive verbs, 1 5
compound noun, 70                                     invitation, 88
Comrie, 1 6                                           juxtaposition of clauses, 79
consonants, 6                                         k:omo tpile, 83
content questions, 1 9                                <leno-mom€>, 82
continuous, 1 6                                       knowledge, 69
d:ee 'write something' , 3 1                          kweli, 84
definiteness ( w-), 49                                labialisation, 4, 9, 1 0
Deibler, 39                                           length o f words, 5
Dependent pronouns, 7 1                               length, vowel, 3, 1 2
derivation of word classes, 76                        locative use of Source/Goal, 63
desire, 88                                            Longacre, 23
dialect variation, 4                                  mb:ane, 1 7
dini ghi n:ii nge, 84                                 Mithun, 26, 27
distal tenses, 24                                     mood, 1 4
distributive reference, 70                            m u kopu u dJy:o, 8 3
Dixon, 40                                             n:ii, 84
duration and transitivity, interaction                nasal release, 7
   between, 3 1                                       nasalisation, 2, 1 2
duration, effect on verb root selection, 28           Near past tense, 22
Eastern New Guinea Highlands Stock, 40                necessity, 89
                                               1 09
1 10negative habitual, 82                          punctual-nonpunctual, 1 5
negative, forms in Equative clauses, 60        Questions, 1 8
nge, cases marked with, 64                     quote formulae, 87
ngmene, 80                                     reduplication, 5, 14, 28, 29
nominalisation of adjectives, 76               reported speech, 87
Nominative-Accusative system, 6 1              request, 88
noun incorporation, 63                         Schane, 1 2
Number of items per clause, by clause          second person singular dependent
  type, 58                                        pronominal form, 7 1
numeral 'one ' , 42                            secondary phonemes, 1 2
numeral placement, 59                          semivowels, 4 , 6 , 1 1
objects as Goal, 63                            simultaneous bilabial closure, 7 , 1 3
obligatory marking with a 'close ' , 54        singular agreement, 62, 74
order of items in verbal clauses, 59           singular agreement, forced by numeral, 59
palatalisation, 4, 9, 1 0                      specific events, 19
Palmer, 1                                      specificity, 1 8
paranoid verbs, 29                             specified form of nouns, 72
participant identification, 57                 speech act, 1 8
'perfect' use of immediate past tense, 22      statements, 1 9
perfective-imperfective, 1 6                   stress, 5
permission, 88, 89                             strong transitive verbs, 39
Pike, 1 , 1 2                                  strong verbs, 30, 37
polyfocal, 39                                  subordination, 77
Portmanteau manifestations of contrafactual    suppletive forms, 1 4
  morphemes, 57                                suprasegmentals, 1 2
Portmanteau manifestations of daa 'not',       syllabic nasal, 7
  55                                           temporal use of locative postpositions, 75
Portmanteau manifestations of mye 'also',      Tense distinctions maintained in each
  43                                              mood, 26
Portmanteau manifestations of yi               tense change with negation, 55
   'mentioned' , 54                            tense shift, 23
portmanteau morphemes, 8                       tense, 14
portmanteau orthography, 8                     tiers, 1 2
possessive pronouns, 7 1                       TMA and SP, 55
possibility, 88                                topic hierarchy, 40
postnuclei used with intransitive events, 36   Topic, 60
postpositions, 69                              Transitive predicate postnuclei, 37
practical orthography, 6                       transitive verbs, 14
practical orthography, nasalisation in, 3      transitivity and duration, interaction
prenasalisation, 6, 7                             between, 3 1
prenuclear component of the verb, 34           transitivity, 36
prenuclear forms used with continuous          u 1:ee dJy:o 'on account of , 8 1
  events, 35                                   Van der Hulst, 1 2
prenuclear forms used with punctiliar          verb root variations, summary of, 33
  events, 35                                   vowel sequences, 4
primer, 1 2, 1 3                               vowels, 1
Pronominal forms of Experiencer, 65            vowels, close, 3
Pronominal forms of Source/Goal, 63            Waffa, 23
pronouns, 34                                   Weak transitive verbs, 39
'prosody ' , 1 2                               weak verbs, 37
protasis, 57                                   written material, 59
proximal tenses, 23                            written style, 86
punctiliar root used for continuous event,     Yes-no questions, 1 9
   18                                          Young, 39, 40
punctiliar, 1 6
punctiliariser, mb:ane, 1 7
","[116, 117, 118]"
"   It is interesting that knowledge is expressed in Yele with the noun lama as a Location.
   (20 1 )        [Ndende nge] M IJl 1amal L            de-noo                    ya.
                  true      M        his knowledge NEG-CI . REM. 1 SG .SB sitting
                  He really didn' t know me. (lit. I really wasn' t sitting in his knowledge.)
   (202)          [Post Office]A [a 1amal L      daa                      kwo.
                  Post Office    my knowledge C I . PRES . 3 . S B . NEG standing
                  I don't know where the Post Office is. (lit. The Post Office isn ' t standing in
                  my knowledge.)
With verbs that imply motion away from the current location, the Location expresses the
destination, while with verb stems implying motion towards the current location, it expresses
the point of departure.
   (203)          [Njinj6pul L dnye                       lee knf.
                  Njinj6pu    PI.IM . PST. 1 DU . S B go IT.PI. PRX . D U . S B
                  W e (dual) went t o Njinj6pu.
   (204) a.       [A1otaul L da                          nde,
                  Alotau      PI.IM . PST . 3 . S B .CLS come. from
             b.   [Q,:QlL a           1epf.
                  home CI.PRES going
                  He has come from Alotau,
                  and is going home.
   Yele has a number of postpositions which are used to express the Location more
explicitly:
   (205)          [Xi gg       k:oolL dpf                    eM ngme.
                  their basket inside PCT. HAB . 3 . S B put T . PCT.HAB . 3 S G .O.PF
                  They (habitually) put it in their baskets.
   (206)          [Pwepe mbemelL a -nm:uu                            ye de.
                  support on          FUT-basic. 1 PL.SB .MOT put T.IND.PRX. 3 DU . O.MF
                  We' l l go and put them (dual) on the supports.
  The postpositions are discussed more fully in §2.2.3.
702.2.2 NOUN PHRA SES
   The Head of a noun phrase consists of one or more nouns. The Head can be preceded by
a Possessor or a Specifier, and followed by a Modifier or a Quantifier.     (207)          nee
                    canoe
                    the canoe                                             (Head: single noun)
     (208)          nee    paa
                    canoe body
                    the canoe hull                                   (Head: compound noun)     (209)          [Njimi Ghaapwe Kaawa m�]A                                (multiple nouns)
                    Jim      Ghaapwe Kaawa I
                    [yap wo tede] L kudu                   lee dmi.
                    bum     place CT.PI.IM.PST. 1 PL.SB go IT.PI.PRX .PL.SB
                    Jim, Ghaapwe, Kaawa and I went to the garden.
  Where a number of people are referred to in one phrase, as in example (209), the most
important person is placed first, and the speaker places himself last.
     As can be expected, there are pairs of words which have a required order of occurrence.
     (2 1 0) a.     u     tide   mbw6 yoo
                    his sister brother PL
                    his brothers and sisters
               b.   Niye M:aa
                    Mum Dad
                    Mum and Dad
   A number of nouns can form the Head of the phrase, with distributive reference, where
each item is associated with a different person.
     (21 1 )        [NmJ p:aa        � p:aa    �1 L mill            lee dniye.
                    our village part village part PI.REM . I PL.SB go IT.PI.REM.PL.SB
                    We went to our own parts of the village.","[77, 78]"
"                  PACIFIC LINGUISTICS                        Series B - 112
     PHONOLOGY AND GRAMMAR OF YELE,
              PAPUA NEW GUINEA
                      James Henderson
""
 ,
                  Department of Linguistics
         Research School of Pacific and Asian Studies
        THE AUSTRALIAN NATIONAL UNIVERSITY
Pacific Linguistics specialises in publishing linguistic material relating to languages of East
Asia, Southeast Asia and the Pacific. Linguistic and anthropological manuscripts related to
other areas, and to general theoretical issues, are also considered on a case by case basis.
Manuscripts are published in one of four series:
SERIES A:      Occasional Papers                  SERIES C:     Books
SERIES B:      Monographs                         SERIES D:     Special Publications
FOUNDING EDITOR: S . A . Wurm
EDITORIAL BOARD: T.E. Dutton (Managing Editor), A.K. Pawley, M.D. Ross, D.T. Tryon
EDITORIAL ADVISERS:
B.W. Bender                                       K.A. McElhanon
   University of Hawaii                               Summer Institute of Linguistics
David Bradley                                     H.P. McKaughan
   La Trobe University                                University of Hawaii
Michael G. Clyne                                  P. Miihlhiiusler
   Monash University                                  University of Adelaide
S.H. Elbert                                       G.N. O'Grady
    University of Hawaii                              University of Victoria, B.C.
KJ. Franklin                                      K.L. Pike
    Summer Institute of Linguistics                   Summer Institute of Linguistics
W.W. Glover                                       E.C. Polome
    Summer Institute of Linguistics                   University of Texas
G.W. Grace                                        Gillian Sankoff
    University of Hawaii                              University of Pennsylvania
M.A.K. Halliday                                   W.A.L. Stokhof
    University of Sydney                              University of Leiden
E. Haugen                                         B.K. T'sou
    Harvard University                                City Polytechnic of Hong Kong
A. Healey                                         E.M. Uhlenbeck
    Summer Institute of Linguistics                   University of Leiden
L.A. Hercus                                       J.W.M. Verhaar
    Australian National University                    University of Leiden
John Lynch                                        C.L. Voorhoeve
    University of the South Pacific                   University of LeidenThe editors are indebted to the Australian National University for assistance in the production
of this series.
All correspondence concerning Pacific Linguistics, including orders and subscriptions,
should be addressed to:
                        PACIFIC LINGmSTICS
                        Department of Linguistics
                        Research School of Pacific and Asian Studies
                        The Australian National University
                        Canberra, ACT 0200
                        AustraliaCopyright © The author                           First published 1995
Copyedited by Basil Wilson                       Typeset by Anne Rees
                                                                                            ,-
Printed by AND Printing Service                  Bound by F & M Perfect Bookbinding
                                                                                           /
This publication was made possible by an initial grant from the Hunter Douglas Fu,9-tU.
No royalties are paid on this or any other Pacific Linguistics publication.","[1, 2]"
"                TABLE 2.1.3. 4: TENSE DISTINCTIONS MAINTAINED IN EACH MOOD
                                                   M O O D
                                   Indicative       Habitual         Imperative
           Tense                   C       PCT     C      PCT        C      PCT
           future                  I        1      0         0       1        1
           immediate future        1         0
           present                 1                1        1                1
           immediate past          1        1                        0        0
           near past               1        1
           remote past             1        1       12.1. 4 THE PREDICATE NUCLEUS
     The predicate nucleus consists of the verb root and sometimes an incorporated noun.
( 1 ) Noun incorporation
   Noun incorporation is a flexible and ongoing process in Yele, and is used to refer to an
action affecting a generic noun in the role of Patient or Goal. The noun incorporated must be
non- specific, and the resulting predicate is intransitive and continuous. As Mithun
(1984: 849) has pointed out, the noun cannot co-occur with deictics or numerals. Noun
incorporation in Yele matches her type 1.1 classification, composition by juxtaposition:
       ... a V and its direct object are simply juxtaposed to form an especially tight
       bond. The V and N remain separate words phonologically; but as in all
       compounding, the N loses its syntactic status as an argument of the sentence,
       and the VN unit functions as an intransitive predicate.",[34]
"
2.1 PREDICAnON  Yele verbs move through a multidimensional array of:
        indicative, imperative and habitual moods, doubled by
        continuous and punctiliar aspect, and multiplied by
        six tenses:
           future, immediate future, present,
           immediate past, near past and remote past.
   The verbs also agree with the person and number of the subject and object. The
morphemes marking all these parameters are merged into portmanteau forms which defy
simple analysis, and contribute to the reputation Yele has of being impossible to learn,
whether by Papua New Guinean or by foreigner.
   The morphemes appended to the verb root - prefixes and suffixes in many languages -
are in Yele separated from the verb root on phonological grounds. Thus a predicate consists
of a prenuclear component, verb root and postnuclear component, each written as a separate
word. Many verb roots vary in form to express the mood, aspect and tense by using
suppletive forms or reduplication. (Some irregular verbs have as many as five different
roots. See §2.1.4 for the details.)
   The verbal prenucleus also expresses the mood, aspect and tense, along with the person
and number of the subject of the predication. (I am using the term 'aspect' in the 'catch-all'
sense, so 'aspect' in this chapter includes more than duration. It also includes the items
elaborated in §2.1.7, such as indefiniteness, commonality and repetition.) It is in the
prenucleus that a number of deictics can be incorporated. (See §2.l.S and §2.1.7).
   With transitive verbs the postnucleus expresses the person and number of the object, but
also reflects the mood, aspect and tense, and often monitors the person and number of the
subject as well. (See §2.1.6).
                                             14
                                                                                                   15   With intransitive verbs, the postnucleus expresses the duration, mood and tense of the
verb, and then the number of the subject. In imperatives, the postnucleus also monitors the
person of the subject. (See Tables 2. 1. 6.1 and 2. 1. 6. 2.)
  The following examples illustrate the Ergative-Absolutive system operating in the clause.
The Ergative referent is marked with <ngb, while the Absolutive referent is unmarked.
   (1)      a.   [Kaawa �] E de                     m:uu teo
                 Kaawa SG.E PLIM.PST.3.SB see               T.PI.PRX.3PL.O.MF
                 Kaawa saw them.                                    (transitive, implicit object)
           b.    [M:aa �] E [Kaawa] A de                         m:uu.
                 Dad SG.E Kaawa          PLIM. PST.3.SB see
                 Dad saw Kaawa.                                          (transitive, explicit object)
  ( 2)           [Kaawa]A [ wune] T de                    dpJ.
                 Kaawa    already PLIM. PST.3.SB fall.asleep
                 Kaawa has already fallen asleep.                                       (intransitive)
   The Ergative-Absolutive system is also illustrated by the way in which indefinite status
(in Chafe' s terms (1976: 38- 43)) is marked. The numeral ngme 'one' is used to mark an
indefinite item in Yele. When the subject of a transitive verb (the Ergative referent) is
indefinite, ngme is added to the noun phrase:
  (3)            [ U dpodo pyu          ngme   nge] E a          nuwo.
                 his work performer INDEF SG.E CLS took. REM
                 One of his workers brought it.
  When the Absolutive referent of the clause is indefinite, this is signalled by prefixing
ngme- or a form derived from it to the predicate prenucleus. Example (4) illustrates this
phenomenon, for an indefinite object, the saw blade:
   (4)           [Saw nt:u] A ngme-nJ                     nuwo.
                 saw body INDEF-PI.REM. l SG.SB took. REM
                 I took a (circular) saw blade.
   If the (Absolutive) subject of an intransitive verb is indefinite, this also causes the
predicate prenucleus to be marked with ngme or a form derived from it:
  (5)            [ Yell PllA     [k.·ook ngme-doo                        dpodo.
                 Rossel person inside INDEF-CI.REM.3SG.SB working
                 There was a Rossel man working on board.
  The morpheme ngme and the forms derived from it are dealt with in more detail in
§2.1. 7. 1.","[22, 23]"
"
1. 3 SECONDARY PHONEMES
   The founder of prosodic analysis, J.R. Firth (1948:4), rejected the ""tendency to use one
magic phoneme principle within a monosystemic hypothesis"" and applied the term 'prosody'
to a feature extending over more than one segment, such as the voicelessness of the [st]
sequence in English. Grimes (1969: 85-88) outlines the principle of regarding as a
simultaneous prosody any features which pertain to a larger unit than a single segment. In the
transformational mould, Goldsmith (1979) has proposed autosegmental phonology, in
which phonological entities are effective in separate tiers. For example, tones would be in a
separate tier from that covering the consonantal and vocalic segments of utterances. Other
scholars have applied autosegmental phonology to further phenomena, such as complex
segments, vowel harmony and nasalisation, as reported by Van der Hulst and Smith (1982).
I have followed these departures from monosystemic analysis and set up a distinction
between basic phonemes and secondary phonemes. My secondary phonemes are contrastive
modifications which can be handled most economically in a second system, and which can
extend over more than one segmental phoneme. They are analogous to the suprasegmentals
of traditional Phonemics, to Firth's and Grimes' prosodies and to the tiers of autosegmental
phonology. I use the term 'secondary phoneme' rather than 'prosody' as the latter term is the
equivalent in Generative Phonology of the traditional term 'suprasegmentals' (Schane
1973:14). Granting a second system of phonemes opens the door for a simpler and more
concise analysis, and leads naturally to an economical and effective arrangement of the
material to be covered in the primer with which speakers of Yele can learn to read their own
language (Henderson and Henderson 1978). The more basic phonemes are introduced first,
and then the secondary phonemes quickly expand the readers' capabilities.
   Turning now to the secondary phonemes of the Yele language, the eleven basic vowel
phonemes displayed in Table 1.1.1 are augmented by two secondary phonemes, length and
nasalisation. Length is readily accepted as a suprasegmental phoneme along with pitch and
stress in traditional Phonemics. Schane (1973: 14f) lists these three as prosodies. Pike
(1947: 63) regards only these three as suprasegmentals under the premise that only
""quantitative characteristics ... may serve as suprasegmental phonemes"". He also refers in a
bibliographical section to the work of many linguists, from those who regard various other
features as suprasegmentals to those who deny any structurally relevant distinction between
segmental and suprasegmental phonemes (Pike 1960/3:53). Thus length would be regarded
by most linguists as a suprasegmental or as a prosody, so I automatically count it with the
secondary phonemes in Yele. I also regard nasalisation as a secondary phoneme, as it can be
applied to eight of the basic vowel phonemes, and it constitutes alone a causative morpheme:
     [ta y�i]        it fell down
     [ta y�]         he made it fall
                                                                                             13   [ta pWi:]         it came out
   [ta pWJ::]        he made it come out
The secondary phoneme of nasalisation removes the need for a series of eight nasalised
vowels, and nasalisation is taught successfully in a single lesson in the Yele primer
(Henderson and Henderson 1 978: 22- 26).
   If simultaneous bilabial closure can be regarded as a secondary phoneme of consonants
analogous to length and nasalisation of vowels, then the seven simultaneous stops and
continuants demonstrated in Table 1. 2. 4 can be represented as the corresponding non-bilabial
consonants uttered with simultaneous bilabial closure. When prenasalised stops or those with
nasal release are uttered with sirniltaneous bilabial closure, the bilabial closure affects both
the stop and the nasal, as illustrated in Table 1. 2.5.
                                         CHAPTER 2                                        GRAMMAR   Unlike so many Papuan languages in Papua New Guinea, Yele does not have a switch
reference system. Verbs move in a bewildering array of modes and tenses, doubled by an all­
pervasive distinction in duration, and elaborated by the incorporation of deictics into the
verb. Analysis proves difficult, because many of these distinctions are expressed in
portmanteau morphemes, rather than by agglutination. Yele also shows the
monofocallpolyfocal distinction found in some New Guinea Highland languages.
   The order of terms in the clause is SOV. Within the predicate, a modified norninative­
accusative system operates, but the items predicated in the clause follow ergative marking.
The ergative marker used with singular Agents, nge, is homophonous with the Instrument
marker, as in a number of Huon Peninsula languages.","[20, 21, 22]"
