Paragraph,Page number
"4.3.5.7 The relative sentence head in the matrix clause
The relative sentence’s head can function either as the subject or as non-subject
argument (i.e. object or complement) in the matrix clause. (135), showing the
appropriate bracketing, is a sentence in which the head functions as the subject. The
constituent order in this sentence as a whole conforms to the basic SOV word order.",[336]
"
6.1 Basic constituent order
The basic constituent order in a clause in Makalero is SOV. This overall order holds
for both kinds of verb-phrase-internal arguments. Thus, O has to be understood here
as a cover term for both object and complement arguments as introduced in § 5.2
                                                  THE CLAUSE                                      387
(p. 319). For illustration, (12) shows a clause with a semantically intransitive verb
with SV order, and (13) one with a transitive verb, with SOV order.","[411, 412]"
"
9.2.1 Non-canonical word orders
Non-canonical word orders are overall relatively rare; the overwhelming majority of
clauses found in natural discourse conform to the unmarked SOV word order.
In sentences with non-canonical word orders, a constituent is generally left-
dislocated. The syntactic position involved in left-dislocation is the LDP, discussed
in detail in § 7.6.1 (p. 427). Note that this position is on sentence-level, rather than
clause-level; as such, left-dislocated constituents can be separated from the clause
they belong to by an intervening adverbial or other clause.",[520]
"
1.6.5 The verb phrase
Most of the complexity of Makalero grammar is found in the domain of the verb
phrase, which is strictly head-final. The main characteristic feature of the verb
phrase is that there are two distinct positions for the verb phrase-internal argument
(see § 5.2, p. 319). The first of these positions, termed object position, is the leftmost
element of the VP. It is followed by the aspect and negation markers as well as verb-
phrase-internal adverbials. The second position, labelled complement position,
immediately precedes the verb and in fact forms a morphosyntactic unit with it. This
unit may be overtly marked by the use of a reduced form of the complement or a
bound form of the verb, or both. The two argument positions are mutually exclusive.
Either of them fills the verb’s single non-subject argument position. While the object
position holds only undergoer NPs, the complement position can contain either
nominal or verbal constituents. The nominal constituents express either undergoers
or locations and goals. Verbal complements, which are fully-fledged VPs except for
the fact that the verb may be in a dependent form, generally convey locative or
manner information. This construction type is also used in forming causatives,
comparatives, modal modifications, directionality, and the like (§ 5.2.2.5, p. 339).
There is some degree of flexibility between the object position and the complement
position for nominal arguments. This holds particularly for pronominal undergoers,
the position of which varies considerably. In many instances, it is a lexical property
of a given verb whether a nominal argument is realised as an object or as a
complement.
Any ditransitive verb, even those which are semantically intransitive and thus not
associated with an undergoer participant, is compatible with a verbal complement
expressing location or manner. If such adverbial information is expressed in the
complement position, the undergoer (if one is associated with the verb in question)
can no longer stand in the same predication, but must be expressed in a separate
predication with the help of the light verb mei ‘take’. The complement thus fills the
verb’s argument position. The fact that even semantically intransitive verbs are
compatible with a complement shows that any verb is syntactically divalent.
Verbal modifiers include an aspect marker hai, expressing the beginning of a new
situation, a negator nomo as well as a variety of VP-internal adverbials. § 3.2.3.3.1
(p. 159) analyses these as a subclass of full verbs which can alternatively be used as
modifiers within the VP.
24                                    CHAPTER 1
1.6.6 The clause
The unmarked word order in the clause is SOV. The subject argument generally has
little repercussion on the rest of the clause. With a number of verbs which inflect for
subject number, the number of the subject (whether overtly marked or not)
determines the form of the verb. Apart from this, the use of the reflexive pronoun ni
marks coreferentiality with the subject. Furthermore, the NP clitic =ini, analysed in
§ 9.2.3.1 (p. 501) as a contrastive marker, appears to be developing into a subject
marker, which is used whenever a speaker considers word order alone not to be
enough to clarify the subject referent. This may be the case in sentences with non-
canonical word order, or if the subject argument is considerably lower on the topic-
worthiness hierarchy than the second argument.
As mentioned in § 5.2 (p. 319), the non-subject argument can syntactically be
realised in two ways, namely either as an object or as a complement. Either of these
is a possible filler of the verb’s syntactic argument position. Any additional
arguments need to be expressed in a separate clause. Such multi-clause units are
termed ‘sentences’ and discussed in § 7 (p. 401).
Operators (as defined by Van Valin and LaPolla 1997: 40) that work on clause-level
in Makalero are aspect, negation and status.","[48, 49]"
"(33)     Asa nama-la'a=ni                uari mei=ni      ate-ata-nini
         bird upwards:RED-move=LNK1 nest take=LNK1 tree-contact:RED-do:BD         uai=ni=po          nomohaka na'u riparipa-ate=ni k-ata-nini.
         CLS=LNK1=ADVR CLS.NEG           just   any-tree=CTR     3:UND-contact:RED-do:BD
         ‘This bird nests in particular trees only.’                       (elic185)Thus, illustrated on (32) above, the first contrastive subject, kiloo (3s), translates as
‘it is her’ if seen as the nominal predicate in a minimal clause of its own. This is
followed by the predicate tu ‘go first’; the clause combination of kiloo=ni tu would
thus translate as ‘it was her (and she) went first’. Similarly, ani (1s) in the second
sentence as a nominal predicate translates as ‘it is me’. It is followed by the
predicate sofit ‘go behind’, and the two combine as something like ‘it is me (and I)
                                     DISCOURSE STRUCTURE                                 503
went behind’. Note how these literal translations resemble English cleft
constructions.
It has been elaborated in § 6.2.1 (p. 389) that =ini appears to be evolving into a
subject marker. As such, it is found frequently in sentences with non-canonical word
order. Particularly in cases where the object is left-dislocated and the grammatical
roles are not clarified by other criteria (such as world knowledge or the topic-
worthiness hierarchy, see § 6.2.1, p. 389), it is important to mark the subject
participant as such, since both an SOV sentence as well as a sentence with OSV
order look superficially identical, namely NP – NP – V. In such cases, it is the
marker =ini which ensures the correct interpretation of the sentence. Examples
where the object precedes a subject marked as such by =ini are given in (34) and
(35).","[527, 528]"
"
1.6.9 Discourse structure
Since Makalero has no case marking and no verbal agreement, and allows for the
left-dislocation of participants, the correct interpretation of grammatical roles is
potentially problematic. However, there are several devices aiding the hearer in this
respect. An important indicator helping reference tracking across the text are the
clause linkers =ini and =isi. As noted in § 8.1.1 (p. 457), the former is commonly
associated with topic (or subject) continuity, while the use of the latter normally
coincides with a topic change. Another grammatical item that contributes to
reference tracking is the reflexive pronoun ni, which, both as an NP on its own as
well as in adnominal use, denotes coreference with the subject participant. As such,
any NP containing this pronoun is necessarily a non-subject. Furthermore, the
contrastive marker =ini appears to be developing into a subject marker that is used to
clarify subject reference in sentences with non-canonical word order or cases where
the subject argument is much lower on the topic-worthiness hierarchy than the
second argument. Also, the NP clitic =haka, which serves to mark the contradiction
to a presupposition, occurs on subject arguments only. As such, it has a secondary
subject-marking function.
The majority of sentences in Makalero follows the unmarked SOV word order.
However, either argument may be placed in the left-detached position. These left-
dislocated arguments may be both topics and foci. Most foci in the LDP are
relatively long and may be taken up in situ by a pronoun. As such, § 9.2.1.2 (p. 498)
concludes that the issue in those cases is the length of the constituent in question
rather than its focality. Consequently, the main function of the LDP is to hold topics.
§ 9.2.2 (p. 500) discusses an explicit focus construction in which a clause with an
empty position is followed by the same or a very similar clause with that position
filled. This focus construction quite nicely implements the common definition of
focus as the part of a proposition by which the assertion differs from the
presupposition.
Makalero disposes of a number of clitic or adverbial markers which have to do with
information structure. The most important of these is the contrastive clitic =ini. This
                                         INTRODUCTION                                       27
is found on both topical and focal participants. It is likely an extension of the clause
linker =ini and appears to separate the contrastive argument from the rest of the
clause. As such, these constructions display a high degree of similarity to cleft
constructions. The clitic =haka marks the contradiction of a presupposition. Na’a-
muni, which is predicative in status, equivalent to avalent adverbial predicates,
appears to mark the beginning of a new scene or event. The clitic =oo ‘too’ is a
frequently used concessive linker. However, it also occurs in a variety of cases,
often in pairs, where this translation does not make sense. As such, it appears to
have some information structuring use, which requires further research.
On a higher level of text organisation, it is noticeable that narratives are normally
introduced by a sentence stating the content of the text. These sentences are very
frequently associated with a particular word order. Texts are normally concluded by
a closing sentence, which states that the speaker is finished.
A conspicuous feature of Makalero narratives is the use of tail-head linkage. A
feature characteristic of ritual speech, lexical parallelism, has in some expressions
also found its way into everyday speech.","[51, 52]"
"Heine, B. 2008. ‘Contact-induced word order change without word order change’.
In: P. Siemund and N. Kintana (eds.). Language contact and contact languages.
Amsterdam: John Benjamins. 33-60.",[682]
"(28)     [Mata-niki tafi-tafi hau rial]=ini             nomo manan.
         child-PL      RDL-true all      many.HUM=CTR NEG     win
         ‘Very many children indeed didn’t pass (the test).’               (elic1573)(29)     … [ki-noko                   hau noko          uere]=ni ma’u=ni      lolo...
            3:POSS-younger.sibling all     younger.sibling 2DET=CTR come=LNK1 say
         ‘… her youngest brother came and said…’                           (69-061)
                                        THE CLAUSE                                     391
Lastly, the subject marker =ini is vital for the correct interpretation of sentences
which deviate from the usual SOV constituent order, as in (30). § 9.2.1 (p. 495)
gives a more detailed discussion of non-canonical word orders.","[415, 416]"
"(12)     [Uru-uatu ere]SUBJ [tafi hau pere]PRED…
         moon-sun     1DEM         true     all        big.SG
         ‘The lord is truly great…’                                                   (33-33)(13)     ... [asi-pada       Timor]SUBJ [ani]OBJ [pase]PRED...
            1s:POSS-friend T.                     1s            beat
         ‘… my fellow Timorese beat me…’                                              (101-037)With very limited morphology to clarify a given NP’s function in the sentence and
its relation to the verb, word order is the main device to indicate the grammatical
role of an NP. While such word order changes as dislocation of a constituent into the
left-detached position are possible (see § 9.2.1, p. 495), they are in fact rarely used,
overall.",[412]
"(137)    [Uerla=ua nonton ere]OBJ [polisi]SUBJ [kiloraa]OBJ [pada]V=si uai=taa
         3p=REL             watch   1DEM    police        3p          order=LNK2      CLS=PURP         hai rau la’a=na’a.
         NSIT good      move=INT
         ‘The onlookers (lit. they who were watching) were ordered by the police to
         leave.’                                                     (elic464)However, the left-dislocated object is not in all cases repeated in the matrix clause;
two examples, with the empty object position marked by Ø, are given in (138) and
(139).(138)    ... [ei-faarda ei-ropa ere          ei=ua k-utu-k-utu=ni
               2s-uniform     2s-clothes 1DEM 2s=REL RDL-3:UND-wear=LNK1         iskola-isi-la’a=ee] OBJ [ei]SUBJ ØOBJ [mei] V mu’aini….
         school-at:RED-move=DEF 2s                      take   give.to.who
         ‘… to whom did you give your uniform and the clothes you used to wear to
         go to school?’                                            (73-27)(139)    [Lolo-ini=ua pada loloi ere] OBJ=ni [ani]SUBJ ØOBJ nomo [ma’en]V.
         say-NML=REL          friend two   1DEM=CTR 1s                 NEG     know
        ‘I don’t know the difference between these two words.’                  (elic1233)
        (lit. I don’t know these two different words).",[337]
