Paragraph,Page number
"
5.4.1 Word order in clauses
Typologically, word order in clauses means the order of subject, object and verb.",[222]
"The order of these three elements determines the ordering of other pairs ofelements in the language. For example, if a language is SOV, there is a greaterchance that the language will have postpositions. Thus the order of subject,object, and verb may determine the order of noun and adposition.",[222]
"
5.4 Word order typology of Jarawa
Though the term “word order typology” was in use for a long time, it wasGreenberg who brought the discipline to the forefront. Greenberg (1963) refers tolinguistic typology as a field which discusses the linguistic patterns of languagevis-à-vis some attributes. For instance, if a language is VSO, it will have                                                                                     203
204
prepositions. These kinds of attributes are discussed in length in Greenberg(1963). Basically, linguistic patterns were discussed with features like thecanonical pattern of subject, verb and object with reference to adpositions, noun-adjective relations, noun-genitive relations, and noun-numeral relations. Thissection focuses on word order in clauses, the position of the adposition, order ofnoun-adjective, noun-genitive, noun-numeral, adjective-intensifier, verb-adverb,and so on. This section will also investigate syntactic and morphological featurescorrelating with the word order as proposed by Greenberg (1963).","[221, 222]"
"Dryer, M. S. 1992. The Greenbergian Word Order Correlations. Language 68: 81-138.",[260]
"
The order of A and ditransitive verbs is fixed. A precedes the O (IO and DO) andthe ditransitive verb follows the O, as in transitive clauses. However, the order ofthe objects is not fixed. The IO can follow the DO or precede it. Nonetheless, theposition of ɖi is fixed. Since ɖi is employed to specify the Object NP, it moveswith the direct object. The clausal structure of a ditransitive construction is givenin (4.44). The example (4.45) demonstrates the ordering of A, O, and verb inditransitive clauses.",[178]
"
Unlike the verb which follows the object, this copula precedes the nominalpredicates or adjectival predicates. Jarawa is an SOV language. The expectedword order is noun, then nominal predicate or adjectival predicate, followed bycopula. However, the copula is used between the subject and the nominalpredicate or adjectival predicate.          This copula may be inflected formodality/evidentiality, but we have few examples which demonstrate this.",[152]
"Dryer, M. S. 2007. Word Order. In Shopen, T. (ed.) Language Typology andSyntactic Description I. Cambridge: Cambridge University Press.",[260]
"                                                                              187
188
4.9.1   Grammatical relations
Different grammatical roles and the relations between them can be expressed byvarious means at the syntactic level. Some languages employ case marking todifferentiate the different roles of the core arguments; some languages resort thefixed word order for the same purpose. In the case of Jarawa, grammaticalrelations between arguments are expressed through referential marking.","[205, 206]"
"
Jarawa is an SOV language: the subject precedes the object and the objectprecedes the verb. This occurs in simple sentences which have a subject, a sigleobject, and a verb. But when a simple sentence has two objects, the pattern maybe subject, direct object, indirect object, and verb. Or it may be subject, indirectobject, direct object, and verb. The difference between the two is that when thedirect object is moved to the position immediately after the subject, the verbcontains the information that there is a direct object inside the clause (for thedifference in representation of direct and indirect object, see § 4.3.4). Let usconsider the following examples.",[222]
"Hawkins, J. A. 1983. Word Order Universals. New York: Academic Press.",[264]
"
Jarawa makes use of verifiable evidential, assertive mood, and hypotheticalmood. We have noticed a word order phenomenon in this language, where thecopula precedes the nominal predicates or adjectival predicates.",[160]
