Paragraph,Page number
"However, there is in Tiriy6 a more likely cognate for the Kari’na and Tamanaku words:péeto ‘servant, subject’ (as e.g. the inhabitants of a village, with respect to the chief).°
11.3.2. Color terms. In order to identify Tiriyé color terms, five different speakers (fourmales and one female; one from Miss4o Tiriés, in Brazil, two from Kwamalasamutu andtwo from Tepoe, in Surinam)          were consulted. With the help of the computer programPaintbrush (a simple drawing software that comes as part of the accessories folder inmost versions of Windows for PCs), 24 different colored squares, each of which occupiesthe whole screen, were prepared; these were shown to the speakers, who                   named themwith Tirty6 color words. Afterwards, the list of all terms was read to the same speakers;for each word, the speakers were asked to give names of animals,                 artifacts or naturalobjects that had the corresponding color. Table 11.2 lists the terms which had the mostconsistent uses, which are assumed to be more ‘basic’; the remaining words are in Table11.3. These results are admittedly preliminary and subject to revision.",[611]
"
5.4.3.1. The -se forms. This subgroup includes the Supine (or ‘Purpose-of-motion’), theHabitual        Past,        the     Remote   Past,    and   the   negative    forms.   All   of them      are    formallycharacterized           by     the    presence      of a suffix    -se, which    has    the   following    idiosyncraticallomorphic pattern (the illustrative examples are in the Supine form, except for the finalexample,        in the negative form;               notice that t-adding verbs occur in their t-form                [113],1130]):
          -se                with CV- and I-reducing stems (which occur in their length grade; 113a-g)          -je                with NV-reducing stems (which occur in their coda grade; 113h-j),                             with non-I-reducing i-final stems (112k), and with the stem [t]éu (1121);          -e                 with vowel-final stems, if the final vowel is not e (112m-p)          length             with e-final stems (unrealized word-finally; 113q)
                                                                                                                   328
 (112a) ahké(té)     ‘cut O”’                                     ahkéé-se      ‘in order to cut O’
 (b)   — enno(ki)    ‘command O’                                  ennoo-se      ‘in order to command O’
                                         bhiddllldbllisicd
 (c)     anné(pi)    ‘fill’ (So)                                  annéé-se      ‘in order to fill’
 (d)     ja(t)       ‘burn’ (So)                                  jaa-se        ‘in order to burn’
 (e)     enmi(ti)    ‘dive’ (So)                                  enmii-se      ‘in order to dive’
(f)      enu(ru)     ‘be bom’                                     enuu-se       ‘in order to be born’
(g)    — apa(i)      ‘catch O’                                    apéé-se       ‘in order to catch O’
(h)       aoki(mi)   ‘hug O”                                      aokin-je      ‘in order to hug O’
(i)      kéhtu(mu)   ‘shout’ (So)                                 i-kéhtun-je   ‘in order to shout’
GQ)      émé(mi)     ‘enter’ (Sa)                                 émén-je       ‘in order to enter’
(k)      moi         ‘obey QO’                                    i-moi-je      ‘in order to obey O’
¢3)      [t]éu       ‘take O out’                                 t-éu-je       ‘in order to take O out’
(m)      eerana      ‘laugh’ (So)                                 eerana-e      ‘in order to laugh’
(n)      etahpaka    “sit down’ (Sa)                              etahpaka-e    ‘in order to sit down’
(0)      [t]éné      “eat O (meat)’                               t-éné-e       ‘in order to eat O (meat)’
(Pp)     amo         ‘mourn O’                                    amo-e         ‘in order to mourn O’
(q)     ene          ‘see 0’                                      ene           “in order to see O’
                                             (cf. in-enee-wa                    ‘not seeing O’)        There are some irregular forms. Some verb stems change their final vowels: non-reducing stems ending in -ru undergo u > é; the stem eku ‘have sex with O’ undergoes u >o; the i-final monosyllabic stems [t]pi ‘bathe O’, [t]ri ‘do, make O’, and [t]ki ‘grate O’undergo i> é.(113a) apuru         ‘close, lock O’                                  apuré-e      ‘in order to close/lock O”
(b)     éturu        ‘talk’                                           éturé-e      ‘in order to talk’
                                                         bliddd
(c)     eku          ‘have sex with O’                                eko-e        ‘in order to have sex with O’
(d)     —[€]pi       ‘bathe OQ’                                       ti-pé-e      ‘in order to bathe (O)’
(e)     [t)}ri       ‘do, make O’                                     ti-ré-e      ‘in order to make (O)’
(f)     [t]ki        ‘grate Q’                                        ti-ké-e      ‘in order to grate (O)’
        Synchronically, the suffix -se is not a semantically consistent morpheme; it is bestseen as part of complex morphemes           (-se ‘supine’, ‘habitual past’, -sewa ‘negative’, t- -se
                                                                                                               329    ‘remote past’). Diachronically, however, it is quite possible that -se was an adverbializer (or    “Participial’; cf. Gildea 1998:140ff).","[348, 349, 350]"
"Verbs have, in addition, a rich system of tense-aspect-mood markers. Nouns, on the otherhand,    take    a number       of derivational       suffixes    that        further    elaborate   their     meanings(diminutive, augmentative, predilective, etc.).               A further class of adverbs (which includesadjectival      stems,    not differentiable    from    other adverbs)            does     not inflect,      but can     benominalized. In fact, verbs, adverbs, and postpositions can all be nominalized in differentways,    with     different semantic     results.     Nouns      can     be     verbalized,      again    with   severaldifferent affixes resulting in different semantics, but members of other classes must benominalized before they can be verbalized. In addition, there is a class of particles whichcomprises all uninflectables (including, besides more ‘grammatical’ particles, also sound-symbolic words and interjections). A cross-cutting category of interrogatives, comprisingnouns and adverbs, can also be established.
                                                                                                                    23           Tirly6 syntax is also probably typical of its family, though the lack of studies onCariban syntax makes this claim difficult to assess. Recognizable constituents include anOV      verb phrase, a (possessor-possessed) genitive phrase, and a postpositional phrase;groups of appositional nouns can sometimes                     have phrase-like properties. In the simplesentence, the ordering of constituents is pragmatically determined, with topical elementstending to occur in initial position. Several kinds of dependent sentences occur, mostly(but not all) non-finite. Case marking depends on the sentence type: in most cases, it is(superficially) split-S, but there are also ergative and nominative sentence types. The twostrongest semantic roles are Agent and Patient, with good arguments in favor of Dative aswell;    all non-Dative        obliques      can be seen       as one broad        type    of Circumstantials       orPeripheral Participants. Grammatical relations (subject, object) are not really useful toolsfor the description of Tiriy6 syntax.","[43, 44]"
"
5.4.3.1.1. Supine and Habitual Past. The Supine and Habitual Past have almost exactlythe same form.*° Both are made by simply adding the suffix -se to the verb stem (takinginto account the allomorphic pattern of -se, as described above). With transitive stems, theO participant can be indicated with an O-marking prefix; a collective O is indicated withthe marker -:ne. For the Supine form, it is further possible to mark the absence of anydefinite O participant by choosing the back grade form of the stem (cf. 2.6.1                          on Tiriyéablaut);*’ it is not known whether or not this possibility exists for the Habitual Past. WithSa stems, no further prefix is necessary; with So stems, a ‘generic’ prefix i- is added toconsonant-initial stems. (114) exemplifies the forms with the transitive stem pono(pi) ‘tellabout O’; (115a-e) has Sa stems, and (115f-k) shows So stems.(114)        pono(pi) ‘tell O”                          Non-collective                                       Collective 1          ji-ponoo-se    in order to tell about me
2            €-ponoo-se    in order to tell about you      &-ponoo-see-ne      in order to tell about you all
 142        ki-ponoo-se    inorder totell aboutus         ki-ponoo-see-ne      in order to tell about us all
3            i-ponoo-se    in order to tell about O        i-ponoo-see-ne      in order to tell about them all
0              ponoo-se    in order to tell (stories)
“6 This surprising similarity is a strong indication of a diachronic connection. Cf. Meira 1998a:130ff for the
idea that the Habitual Past may have come from an earlier construction involving the Supine.
‘7 Presumably, t-adding stems (cf. 5.1.3) should occur in their t(i) form in the ‘indefinite O° Supine (as well as
in the ‘indefinite O’ negative; cf. 5.4.3.1.3), but the relevant data is unfortunately missing.
                                                                                                                                 330
 (115a)   epr               ‘bathe’ (Sa)                                          epé-e              ‘in order to bathe’
(b)       etahpaka          ‘sit down’ (Sa)                                       etahpaka-e
                                                                 blldlidiudd
                                                                                                     ‘in order to sit down’
 (c)      éewe(ti)          ‘eat’ (Sa)                                            éewee-se           ‘in order to eat’
 (d)      éiwa              ‘hunt’ (Sa)                                           éiwa-e             ‘in order to hunt’
(e)       emo(ki)           “move away’ (Sa)                                      emoo-se            ‘in order to move away’
(f)       potina            ‘whistle’ (So)                                        i-potina-e         ‘in order to whistle’
(g)       wanpa(mi)         ‘sing hymns’ (So)                                     i-wanpan-je        “in order to sing hymns’
(i)       audmu)            “stand up’ (So)                                       aun-je             “in order to stand up’
@)        enmi(ti)          ‘dive’ (So)                                           enmii-se           ‘in order to dive’
(k)       ta(ti)            “get lost’ (So)                                                          “in order to get lost’          T-adding       verbs    have    the extra t(i)- in the Supine                            and Habitual    Past form.     Asmentioned in 5.1.3, there is some variation as to whether a preceding overt O nominal canco-occur with the extra t(i)- or not (116m). Notice that, in the forms without the t(i)-, theycannot    take the (optional)            third-person marker i-, unlike other consonant-initial                                stems(116m).(116a)    [t]é(ku)        ‘eat O (flour)’                                      t-€é-se          ‘in order to eat O (flour)’
(b)       [t]éné          ‘eat O (meat)’                                       t-éné-e          ‘in order to eat O (meat)’
                                                blblbllllldddd
(c)       [t]éu           ‘take O out’                                         t-éu-je          ‘in order to take O out’
(d)       [t]uré          ‘light O (fire)’                                     t-uré-e          ‘in order to light O (fire)’
(e)       {t]ka(pi)       ‘weave O’                                            ti-kaa-se        ‘in order to weave O’
3)        [t]ki           ‘grate O”                                            ti-ké-e          “in order to grate O’
(g)       {t]papo         ‘throw O out’                                        ti-papo-e        ‘in order to throw O    out’
(h)       {t]pé(ti)       ‘gather O (fruit)’                                   ti-péé-se        ‘in order to gather O (fruit)’
(i)       [t]pi           “bathe OQ’                                           ti-pé-e          “in order   to bathe O’
qj)       [t]ri           ‘do, make O’                                         ti-ré-e          ‘in order   to do/make O’
(k)       {t]wé           ‘shoot O’                                            ti-wé-e          ‘in order   to shoot O’
(1)       [tlje           ‘cook O’                                             ti-je            ‘in order   to cook O’(m)       [t]wé       ‘shoot O’          =      taripi ti-wé-e ‘in order to shoot a/the monkey’
                                                taripi wé-e                              “in order to shoot a/the monkey’
                                                                                                               331        The   stems     ihté   ‘go    down’    and         oeka     ‘defecate’   occur   with   the    stem-initialconsonants p- and k-, respectively, in the Supine and Habitual Past form.(117a) thté      ‘godown’            —~       pihté-e         ‘in order to go down’
(b)    oeka      ‘defecate’          ~        koeka-e         ‘in order to defecate’
       The    Supine    is used as a subordinate form to indicate the purpose                         of a motionpredicate. Most cases involve the verb stems té[mi] ‘go’ and ée[pi] ‘come’; the hortativemotion particle npa is also not infrequent. A different construction is used to mark purposein non-motion cases (cf. 10.4.1.3.3 on -too_me).(118a) epé-e           wi-té-e                       (b)          pahko     n-ee-ja-n            é-ene
       bathe-Sup       1S,-go:Prs.Ipf-Cty                         I:father 3S,4-come-Prs.Ipf-Dbt 2-see:Sup
       ‘Iam going (to the river) to bathe.                        ‘My father is coming to see you.’(c)    méré_pona        wi-té-e                      i-wanpan-je
       3InMd_Dir    1S,-go:Prs.Ipf-Cty i-sing-hymn-Sup
       ‘Lam going over there to sing hymns.’(d)    sen_pona     n-ee-ja-n              karakuri                    apéé-se
       3InPx_Dir 3S,a-come-Prs.Ipf-Dbt money                           30O:get-Sup
       ‘S/he is coming here to get money.’(e)    npa epé-e !
       Hort bathe-Sup
       “Let’s go bathe!’       The Habitual Past form is used to describe habitual or repetitive events that do nottake place any longer (cf. the English          ‘used to’). Note that (119c) has the t-adding verbstem [t]wé ‘shoot O’. Note also that the verb té[mii], which never occurred in the Supine
                                                                                                          332(probably for semantic reasons: ‘I went there in order to go” sounds rather odd), has té-e asits Habitual Past (119d). For the nominative syntax of Habitual Past sentences, cf. 10.3.4.(119a) pena      ahtao, ji-tuuka-e émé
       long.ago when    1QO-hit-Hab 2
       ‘Long ago, you used to hit me.’(b)     ‘tiwaaré eh-ké’,           ka-e     manko wija
         careful Cop-Imper         say-Hab 1:mother 1:Dat
        ““Be careful’, my mother used to tell me.’(c)     iré     apo pahko     fti-wé-e,     mure_me_nkéré_wi ahtao
        3InAna like  1:father t-shoot-Hab child_Attr_Still_1        when
        ‘That’s how my father used to shoot, when I was still a child.’(d)    pena_maré     koeri_me té-e      anja pata      wararé
       long.ago_too stroll_Attr go-Hab 1+3     village every
       ‘Long ago, we used to go walking around, (to visit) every village.’       In today’s    Tiriy6,    the Habitual    Past    has   all but    replaced    the   -(ja)ké(me)   PastImperfective. In several occasions, a Past Imperfective form was explained by speakerswith its Habitual Past equivalent, because it was             ‘easier’ or ‘simpler’. An older speakerclaimed that ‘young people don’t speak like this anymore’ (referring to a Past Imperfectiveform). Although further sociolinguistic research would certainly be necessary, a preliminaryimpression    is that the Past Imperfective       in Tiriyé has         a status    similar to that of theSubjunctive   in English,      or the passé    simple    in spoken       French:     it is recognized    andunderstood, but not really used.
                                                                                                                333 5.4.3.1.2. Remote Past. In addition to the suffix -se, the Remote Past form has a prefix which basically has the form t- with vowel-initial stems                     and ti- with consonant-initial stems, with the following additional details:
          —     transitive and So stems must occur in their back grade if there is one (whichimplies the changes e > €, aCé > €Cé, and aCo > oCo; cf. 2.6.1 for Tiriy6 ablaut);         — Sa stems take the class-marking prefix w- before the prefix t-. On &-initial stems,the result is the sequence ti-w- (120m-n); on e-initial stems, the result is t- + lengthening ofthe initial e (1200-p; notice that this is idiosyncratic to combinations                     with the t- prefix,since the w- occurs as such on nominalizations without t- [cf. 4.2.2.1]). The two consonant-initial non-detransitivized stems ka ‘say’ and té[mil] ‘go’ take a ‘lengthened’ prefix tii- (cf.122q-r); the length can be seen as another realization of the class marker w-.*® The irregularstems ihté ‘go down’ and oeka / weka ‘defecate’, which take irregular initial consonants incertain forms (cf. 5.4.1.1.2), do not have them in the Remote Past (120s-t)(120a) aminé(pi)              “steal O”               —       t-aminéé-se           “stole; stolen’
(b)      aité                 ‘push OQ’               —       t-aité-e              ‘pushed’
(c)      apé(i)               ‘catch O’               —       t-épéé-se             ‘caught’
(d)      akoroka             “sweep QO’               —       t-okoroka-e           ‘swept’
(e)      ema                 ‘throw O’                —       t-éma-e               ‘threw; thrown’
(f)      ona(mi)             ‘hide O’                 —       t-onan-je             ‘hid; hidden’
(g)      moi                 ‘obey O’                 —       ti-moi-je             ‘obeyed’
(h)      konka               ‘pierce O”’              —       ti-konka-e            ‘pierced’
(i)      apée(pi)            “get tired’ (So)         —      t-épéé-se              ‘got tired’
G)       enta                ‘wake up’ (So)           —       t-énta-e              “woke up; awake’
(k)      htéinkapa(mi)       ‘forget’ (So)            —       ti-htéinkapan-je ‘forgot; forgotten’
48 Tt was never clear whether or not the stem wa   ‘dance’ had a long fin the Remote Past (i.e. if it was tit-wa-e
or ti-wa-e). This may be a part of the oscillation in the treatment of this stem as S, or So (cf. 5.2.2, 5.4.1.1.2).
                                                                                                          334
 (dl)   munta                ‘bleed’ (So)             —     fi-munta-e          ‘bled’
 (m)    éturu                ‘talk’ (Sa)              —     ti-w-éturé-e        ‘talked’
 (n)    ééni(ki)             ‘sleep’ (Sa)             —    -w-é@énii-se         ‘slept’
(0)     etainka              ‘run’ (Sa)              —       t-eetainka-e       ‘ran; run’
(p)     emokr                ‘move away’ (Sa)’        > ___ t-eemoo-se          ‘moved away’
(q)     ka                   ‘say’ (Sa)              —       fil-ka-e           ‘said’
(r)     té[mi]               “go’ (Sa)               —       ti-té-e            ‘went; gone’
(s)     ihté                 ‘go down’ (Sa)          —       ti-w-ihté-e        ‘went, gone down’
(t)     oeka/weka            ‘defecate’ (Sa)         —       ti-weka-e          ‘defecated’        The prefix t- has the same allomorphic pattern as the prefix found on t-adverbs (cf.6.2.1.1); in fact, the original meaning            of the remote past form probably was           that of an‘adverbial participle’ (cf. Gildea 1998: 140ff). The t- -se(mi) nominalizer (cf. 4.2.2.1.2-3) isprobably a nominalized form of this older t- -se participle. It is still possible to find rareoccasional occurrences of the remote past form used as an adverbial (121); its meaning isthen quite compatible with that of t- -se(mi) nominalizations. Note that the A participant ismarked by the postposition _:ja (i.e. the t- -se form has ergative syntax; cf. 10.3.3).(121la) wéri        ni-tén         ti-pakoro-h_ta            _t-ééka-e          ékéi_ja
        woman       3S,-go:Prs.Prf 3R-house-Pos_Ill          Prtcp-bite-Prtcp   snake_by
        ‘The woman; went into her; house bitten by a snake.’(b)     apéi_n-ai             t-ee-pahka-e
        3:seat_3Sa-Cop Prtcp-S,:Detr-break-Prtcp
        ‘His/her seat is broken.’        However, the overwhelming majority of instances of the Remote Past are narrativetexts, especially    those   that deal      with   mythological   events;   (122a-d)      are representativeexamples. The best characterization of this situation seems to be that the Remote Pastmarks a past event which is as removed as possible from the present, with which it has little
                                                                                                                335 or no connection.        It is the    ‘mythological        tense’ par excellence,     describing events        that happened in a ‘distant, far-away past’, in illo tempore. Note, in (122c), that the verb in thequotation is in the Perfective Past (it was said by one of the main characters of a narrativetext, for whom, obviously, the events of the story would not be remote), while the quotativeverb ka ‘say’ is in the Remote Past. “”(122a) kaikui t-éntahka-e             akuri_ja
       jaguar Rm.Pst-fool-Rm.Pst agouti_Agt
       “The agouti fooled the jaguar.’(b)       wéeé-pini-npé                  t-épinéé-se                      nirii_ja
          shoot:N-Priv.Nzr-Pst         Rm.Pst-medicate-Rm.Pst           cricket_Agt
          “The cricket medicated the bad shooter.’(c)      iré_mao_pa          ti-w-ée-se                              Jaraware
         3InAna_Temp_Rpt Rm.Pst-S,-come-Rm.Pst                       Jaraware
         ‘At that moment, Yarawaré came back.’(d)      ‘ji-amuku m-ene-ne ?’ _ tii-ka-e               Taru
          l-son:Pos 2A-see-Pst.Prf Rm.Pst:S,-say-Rm.Pst Taru
         “Have you seen my son?’ Taru said.","[350, 351, 352, 353, 354, 355, 356]"
"                                                Table 10.5
                                       Main tendencies in word order.
      Clause Type                      Total of                         Attested orders
                            2-participant clauses
Habitual past                             14            OVA:    10 (71.4%)       AOV:     3.   AVO:1
Remote past                              49             OVA: 33 (67.3%)          AOV:     8    AVO:4
                                                                                 OAV:2         VOA:2
Conjugated (Set I                        45             AOV:   14 (31.1%)        OVA:     11   AVO:6
                                                                                 OAV:5         VAO:5
                                                                                 VOA: 4
i1. LEXICON AND LEXICAL SEMANTICS.","[603, 604]"
"
3.2.1.2. The    case of n(i)- ‘3A0’.          One    of the verbal person     markers,   n(i)- (used ontransitive verbs when both participants are third persons), has the syntactic peculiarity ofbeing in complementary distribution with an overt preverbal object (cf. 5.4.1.1.1, 10.2.2).(16a-c) illustrate this fact:            A        n-V                  O                            A           O          Vv
(16a)   pahko        n-eta              ji-pawana               (b)   pahko    ji-pawana      eta
        1:father 3AO-hear:Prs.Prf 1-friend                            l:father 1-friend   _hear:Prs.Prf
        ‘My father heard my friend.’                                  “My father heard my friend.’        This fact is interpreted as an indication that n(i)- occupies the same syntactic slotas a preceding object (forming a single constituent with the verb; cf. 10.2.2 for the OVphrase). Such behavior is reminiscent of e.g. French pronominal clitics such as il ‘him/it’,which is obligatory as a subject marker, but cannot co-occur with an overt subject (unlessa pause is inserted between the subject and the verb):
                                                                                                                                         124
(17a)    Pierre est parti.                      (b)        Test parti.                         (c)          *Pierre il est parti.
         ‘Peter is gone.’                                  “He is gone.”                                    *Peter he is gone.","[144, 145]"
"
3.4.4. Postpositions. Postpositions can inflect for person (with the same markers used toindicate the possessor on nouns, the object on transitive verbs, and the subject on onesubgroup of intransitive verbs; cf. 3.3.1); they also have a reciprocal form (with a prefixalso found on     verbs    and on some      nouns;         cf. 3.3.1.4). They    can be morphologicallydistinguished from nouns and verbs in that they do not take typical noun or verb affixesother   than   person     markers;    moreover,      the     collective    number    of   the   object   of     apostposition is indicated with the suffix -:ne (instead of -ko(mo), used on nouns, or -ti(i),-té, -hki(i), used on verbs). Like adverbs, postpositions can take the nominalizing suffixes-(no) and (more rarely) -to.(34a)   k-éwe              ‘inside of us (=me and you)’
(b)     k-éwéé-ne          ‘inside of us (=all of us)’                     (collective marker -:ne)
(c)     k-éwé-n            “something inside of us’                        (nominalizer -(no))
(d)     ki-waaré           ‘known to us (=me and you)’
(e)     ki-waaré-to        ‘something known to us’                         (nominalizer -to)
                                                                                                  148        Syntactically, postpositions must always form a postpositional phrase, either bytaking prefixes or an overt nominal object. Postpositional phrases behave like adverbs;therefore, they cannot be subjects or objects of verbs, or of other postpositions, withoutbeing nominalized.(35)    * j-epiné_pée
          l-under_Abl
          (from under me)
3.4.5. Interrogatives. The most obvious          morphosyntactic property of interrogatives         istheir occurrence in wh-questions (which could be called a-questions in Tiriyé, since mostinterrogatives start with a; cf. (36a-b)). In addition, they are the only words than can beaffected by the particle _hpe ‘Indefinite’ (36c-d).(36a)   aki    n-éturu-ja-n?                       (b)    aja    kin-tén?
        wh:An 3S,-talk-Prs.Ipf-Dbt                        wh:Dir 3Pst.Prf-go
        ‘Who is talking?’                                 “Where did s/he go?’(c)     aki_hpe                                    (d)    aja_hpe
        wh:An_Indef                                       wh:Dir_Indef
        “Whoever, I don’t know.’                          ‘Wherever, I don’t know.’
        Some   interrogatives   have   nominal   properties   (ati ‘what   (Inanimate)’,   aki   ‘who(Animate)’, aano     ‘which’); these are the interrogative pronouns. Others have adverbialproperties (aja ‘where to’, anpo ‘where’, eeke ‘how’, atitoome ‘why’, etc.); these are theinterrogative adverbs.
                                                                                                          1493.4.6. Particles. This          class includes    all words    which     take part in no       morphologicalprocesses, either inflectional or derivational: they do not inflect for person or number, andcannot be nominalized, verbalized, or adverbialized.","[168, 169, 170]"
"
(A) Morphology: adverbs          (a) do not inflect for person, number, or tense-aspect-modality;          (b) take the nominalizers -(no), -to (also found on postpositions), and -(mi);(B) Syntax/Semantics: adverbs          (a) tend to modify the verb, or to add circumstantial (time, place) information;          (b) fail nominal tests:            —— they cannot be the possessor nor the possessed in possessive constructions;            — they cannot be subjects or objects of verbs, nor objects of postpositions;            — they cannot occupy the O slot in the OV phrase (i.e. they can immediately                precede a transitive verb with the third-person prefix n-).",[363]
"The main formal units (phrases, clauses, sentences, etc.) are dealt with in 10.2-3, while themain semantic units (roles and grammatical relations) are treated in 10.4. A description ofphrase types is given in 10.2, followed by a presentation of the main clause and sentencetypes in 10.3 and of complex           sentences and subordination in 10.4. A first approach athigher-level problems (coordination, topic, rhneme, and word order) are addressed in 10.4.2and 10.5.",[513]
"10.2.1.1. Possessive Noun Phrases. These phrases occur in the order possessor-possessedwith the possessed word in its third-person form (i.e. with a prefix i- on consonant-initial> A similar argument can be used in favor of a ‘Causee” participant: just as the Dative participant correlates
with object nominalizations of -nté/-hté (beneficiative) verbs, causees correlate with transitive verbs
causativized with the suffix -po (cf. 10.6.2.3), in the sense that the immediate interpretation of a _: ja-phrase
co-occurring with a causativized verb is that of a causee. Notice, however, that there are no ‘Causee-oriented
nominalizations’, either from the postposition _:ja or from causativized verb stems, which weakens the claim
for a Causee   participant.    It seems   simpler to say that the ‘causee reading’   of _:ja-phrases      in transitive
sentences with causativized verb stems is a question of context, not unlike a ‘preferred directional (allative)
reading’ of _:ja-phrases co-occurring with verbs of motion (18a-b).
                                                                                                            516 words   and      @-    on   vowel-initial   ones;   cf.   4.3.1.2),   thus   generating   a   ‘John-his-house’ sequence. One example, [pahko i-pawana] ‘my father’s friend’, has already been shown tohave all the characteristics of a phrase: its elements have an obligatory order (1c-d), theycannot be separated by pauses (2c-d) or by any other word (3a-b), and they can be followedby a second-position particle (Se-f, 6e-f). (22) below has equivalent examples for [pahkoeki] ‘my father’s pet’, with a vowel-initial possessed noun.
(22a)    pahko eki                                           (b)   ? eki       pahko
         1:father 3:pet:Pos                                          3:pet:Pos 1:father
         “My father’s pet’                                           “My father is his/her pet.’ (!)(c)      pahko ekr          ni-tén                          (d)    pahko, eki         ni-tén
         l:father 3:pet:Pos 3S,-go:Prs.Prf                         1:father 3:pet:Pos 3S,4-go:Prs.Prf
         “My father’s pet has gone.’                               “Father! His/her pet has gone.’(e)      * pahko         nitén   eki(f)      pahko         eki_mo          w-ene-i                g)   *pahko_mo        eki    w-ene-i
         father        l:pet:Pos_Irr   1A-see-Hyp
         ‘I would see / have seen my father’s pet.’
         Possessive noun phrases with one and two levels (23a-b) were freely produced andaccepted without problems;             phrases with three levels (23c) were accepted and repeatedwithout problems, but never spontaneously produced. Further nesting resulted in awkwardphrases that elicited ambiguous reactions from the speakers.
(23a)    ji-pawana_    i-nmuku                             (bo)    ji-pawana    i-nmuku i-pi
         l-friend:Pos 3-son:Pos                                    1-friend:Pos 3-son:Pos 3-wife
         “My friend’s son.’                                        ‘My friend’s son’s wife.’(c)      ji-pawana      i-nmuku i-pi_—   eki
         l-friend:Pos 3-son:Pos 3-wife 3:pet:Pos
         ‘My friend’s son’s wife’s pet.’
                                                                                                               517           A pronoun can occur as the possessor in a possessive noun phrase with an emphatic value; in this case, the possessed word. does not occur in its third-person form, but rather agrees with the possessor in person. (24a)     émé é-nmuku, rupeimé kin-aré
            2     2-son:Pos lizard.sp 3Pst.Prf-take
           ‘As for your son, the rupeimé lizard took him away.’(b)        menjaaré       wi j-eemi,            wa_ken
           now        1 1-daughter:Pos Neg_Cont
           “Now, my daughter, she’s gone.’           There are cases of possessive noun phrases in which the possessed word is not in itsthird-person form. The label ‘N-N possessive phrase’ is used here to distinguish them fromthe regular (or “N i-N’) possessive phrases. (25) has an example. Notice that [wikapaupata] ‘the deer’s village’ is not a simple sequence of nouns (cf. 10.2.1.3) since, as (25b-c)show, its constituent order is inflexible, and it has the semantics of possession (‘the deer’svillage’, with        ‘deer’ being one of the characters          in a folk tale, not ‘a village which is(called)    deer’);    speakers    agree   in considering       [wikapau      pata]    and   [wikapau     i-pata]synonyms.      Furthermore,       the   possessive   suffix    -(ri)   (cf. 4.3.1.5)   can   occur   in the   N-Npossessive phrase (25d).(25a)      ma, ti-tunta-e,           mée,             wikapau pata_pona
           Attn Rm.Pst-arrive-Rm.Pst 3AnPx            deer.sp_ village_Dir
           “Well, he arrived, this one, at the deer’s village.’(b)        wikapau pata_pona                             (c)       * pata wikapau_pona
           deer    village_Dir
           “‘to(ward) deer’s village’
                                                                                                                   518 (d)     ma,     iré-npé_pée-no-npé              _ti-ponoo-se             Ariki papa-ri_ja
         Attn 3InAna-Pst_Abl-Nzr-Pst Rm.Pst-tell-Rm.Pst Ariki 3:father-Pos_Agt
         “Well, after all that, Ariki’s father told it (=the story in question).’         Certain      cases   show   an   even    higher    degree     of formal        integration    between      thepossessor and the possessed words than N-N possessive phrases, to the point that the resultapproaches single word status:(26a)    ji-jaramata i-pun                                 (b)     ji-jaramata pun
         1-chin:Pos 1-flesh                                         l-chin:Pos flesh
         “The flesh of my chin.’                                    ‘The flesh of my chin.’(c)      ki-jaramataa-kon pun                              (d)       ki-jaramata-pun-kon
         1+2-chin:Pos-P.Col flesh                                   1+2-chin-flesh-P.Col
         ‘The flesh of our chins.’                                  ‘The flesh of our chins.’(e)     ki-nka                 (     ki-nka-pun-kon                           (g)       *ki-nka-kon pun
         1+2-back                    1+2-back-flesh-P.Col
         “Our back(s)’               ‘The flesh of our backs.’(h)      *ki-nma               (i)   ki-nmapun-kon                            G)         *ki-nma-kon pun
                                     1+2-buttocks-P.Col
                                     ‘Our buttocks.’
        (26a) contains a regular N i-N possessive phrase, while (26b-c) have N-N phrases.(26d), however, suggests compounding: jaramata-pun looks like a single word for ‘chinflesh’. For this particular combination, the compound and the phrase options are bothavailable; in (26e-g), however, nka-pu(nu)                 ‘back flesh’ has only the compound option.®(26h-j) show a case of full lexicalization: not only is the N-N phrase option for nmapu(nu)impossible,     but     the   original    stem     *nma,         presumably         ‘behind’,   does    not      existsynchronically. That it must have existed can be deduced not only from a comparison with
$ Unfortunatley, it is not known whether the ‘regular’ phrase option—ki-nka-kon i-pun—exists.
                                                                                                          519the other examples in (26), but also from cases of incorporation such as nma-piimo                      ‘spankO’, from piimo ‘hit O’ (cf. 5.3.2).","[536, 537, 538, 539, 540]"
