Paragraph,Page number
"
Ik exhibits a strict VSO constituent order in basic unmarked main clauses.
This puts it in a ‘word-order’ typological category with Ancient Egyptian, a
few Chadic languages, much of Eastern Sudanic (notably Eastern Nilotic),
and possibly some Berber and other Afroasiatic languages (Creissels
2000:252). It distinguishes it from other regional languages like Dhaasanac
(SOV) and Dime (SOV). Though Teso-Turkana languages are classified as
VSO, a VOS order is also common (Dimmendaal 1983:68). But VOS is not
attested in Ik. Like some of the controversially analyzed VSO languages in
Africa, Ik exhibits both VSO and SVO constituent orders. However, in Ik,
SVO is restricted to subordinate clauses, which are described below in §9.4.",[511]
"
These two sentences illustrates that even with accusative marking, the order
of subject and object cannot be reversed. At least synchronically, constituent
order is fixed enough to prevent any hypothetical ambiguity arising from
case ‘defectiveness’. So the split-accusativity of Ik cannot be based only on a
need to make up for a failure in subject cross-referencing on the verb.",[306]
"
As noted in the Case Overview (§6.1), Ik is classified as a split-accusative
language due to this type of number-based differential object marking.
While this is the descriptive fact, can any explanation be offered for it?
Some attempts can be made, though none are conclusive. König suggests
that accusative marking comes into play when cross-referencing ‘fails’ on
the verb (2008:85). That is, if the subject is not cross-referenced on the
verb, case is needed to show grammatical relations. But this explanation
falls short on two accounts: 1) First, clausal constituent order is not flexible
enough to admit the kind of ambiguity implied by König’s analysis. 2) The
‘failure’ of cross-reference (i.e. a zero morpheme) is in itself cross-reference.
274
Even if a 3SG subject is not cross-referenced—or is so with zero marking—
constituent order would tell a speaker what the subject and object were:
(128)   Cea ama idemek.
        cɛ-a            ám-á             ídeme-kᵃ
        kill-REAL       person- NOM      snake- ACC
        A person kills a snake.","[305, 306]"
"
A ‘basic clause’ is defined here is a simple, declarative statement with a 3SG
subject, realis modality, and positive polarity—in other words, functionally
and semantically unmarked. As noted above, the order of core constituents
480
in an Ik basic clause is VSO, or more precisely, VS in intransitive clauses and
VAO in transitive clauses. In (30) below, the noun ŋókᵃ ‘dog’ is functioning
as the subject of the intransitive predicate ep- ‘sleep’. And in (31), the same
noun is acting as the subject of the transitive predicate átsʼ- ‘gnaw’ with ɔká-
‘bone’ as its object. Note how the subject follows the verb in each example,
and how the object follows the subject in (31):
(30)    Epa ŋok.
        ep-aV          ŋók-ᵃS             Intransitive=VS
        sleep-REAL dog-NOM
        The dog is asleep.","[511, 512]"
"
The basic, unmarked constituent order of Ik main clauses is VSO (VS/VAO),
but SVO is attested in subordinate clauses. In a main clause, the verb comes
first, followed by a tense clitic (if present) and then the subject and object(s)
if explicitly mentioned (both subjects and objects may be left implicit in Ik.)
Peripheral arguments come next, followed by any adverbs.",[52]
"
The constituent order within the relative clauses themselves also departs
from that of unmarked main clauses. After the relative pronoun, then comes
the subject (if mentioned) and the verb followed by any other overtly
mentioned core arguments, peripheral arguments, adverbs, etc., making the
RC constituent orders as follows: (rel)(S)V for intransitive clauses and
(rel)(A)V(O) for transitive clauses.",[534]
"
Apart from ones with sequential verbs like in (75), all other subordinate
clauses in Ik have an SVO consituent order—SV for intransitive and AVO for
transitive. This SVO order recalls the Surmic language Tennet which also
has a VSO order in main clauses but SV in intransitive subordinate clauses
(Dimmendaal 2010:33). And like in Dhaasanac (Tosco 2001:14) and Teso-
Turkana languages, many subordinate clauses in Ik have the structure of a
relative clause, with the subordinating conjunction being based on relative
pronouns. For example, in the next two sentences, the conjunction noo
introducing them is identical to the remote past relative pronoun. Note the
respective constituent orders in these two temporal dependent clauses:
494
(76)    Noo ŋokia epad,...
        [noo         ŋókí-aS        ep-á=dᵉV]TEMP…               INTRANSITIVE =SV        CONJ.PST3    dog-ACC        sleep-REAL=DP
        When the dog was sleeping,…","[525, 526]"
"
Ik’s VSO constituent order along with its total lack of synchronically
functional prefixes is one of its ‘remarkable’ typological properties (Heine &
König 1996:123). This property, along with the subordinate clause SVO
contituent order, suggests that VSO may be a wholesale syntactic structure
replicated from the historically influential Eastern Nilotic languages.",[511]
"
9.5.1 Auxiliary verbs proper
The auxiliary verbs ‘proper’ are lexical verbs in their own right but also
double as aspectual auxiliaries. In the Ik auxiliary verb construction, the
aspectual auxiliary fills the slot for the main verb and is the only verb
marked for subject-agreement, tense, and polarity. The semantic main verb
follows in a morphologically defective form. If the clause subject is overt, it
comes between the auxiliary and the main verb, making the constituent
order of auxiliarized clauses Aux-S-V or Aux-A-V-O, the same order found in
                                                                                  485
subordinate clauses. The only inflection found on the main verb in an
auxiliary construction is the realis suffix {-a}. It remains thus, regardless of
the various inflectional suffixes the auxiliary verb may take.","[516, 517]"
"
The sentence in (98) is a version of (99) below in which the subject has
been put into special focus for pragmatic or stylistic reasons. (99) represents
the unmarked constituent order for the same proposition.",[534]
