Paragraph,Page number
"6.4     Grammatical Relations
The term ‘grammatical relations’ refers to the functional relationships between
the verb and the noun phrase(s) in the clause. Grammatical relations marked
in Pévé include subject, direct object and indirect object. Like a number of
Chadic languages of all branches, the Pévé pronoun system does not distin-
guish between the direct object and the indirect object (see chapter 6 and
elsewhere). The means of marking this distinction and other grammatical rela-
tions include linear order; the position of the noun phrase with respect to
another noun phrase; the adposition ne, derived from the verb ne ‘to give’; and
the associative preposition kə. Means of marking the relationship between a
pronoun and the verb include the form of the pronoun, which may be con-
fined to a specific grammatical relation, and the position of a pronoun with
                                                                      Erin Shay - 978-90-04-41005-3
14                                                                     chapter 1respect to another pronoun or noun phrase. There is no coding of grammatical
relations on the verb itself or on the noun stem, and pronouns do not serve as
prefixes, infixes, or suffixes. A third-person singular inanimate object that has
been previously mentioned is usually not overtly marked in the clause, since
the role of the entity can be deduced from the nature of the verb and the roles
of other participants in the clause. If a third-person pronoun is used to refer to
a previously mentioned inanimate entity, this places the object in contrastive
focus.
   A very important and unusual characteristic of Pévé is that the coding of
grammatical relations is inseparable from the coding of tense, aspect, and
mood. Different linear orders and different pronominal forms are used in dif-
ferent tenses, aspects, and moods (see below), and in some cases the choice
of pronoun form and/or the linear order of constituents is the only means of
coding tense, aspect, or mood (see chapters 8 and 9).","[29, 30]"
"         Chapter 6: Coding Grammatical Relations         AbstractThis chapter describes the means of coding the grammatical relations of subject,
object, and indirect object in perfective and non-perfective simple sentences. Because
there is no distinction between direct object pronouns and indirect object pronouns in
Pévé, the terms ‘direct object’ and ‘indirect object’ refer here to the grammatical rela-
tions between the verb and its arguments rather than to the form of the pronoun that
represents an argument. An important feature of Pévé is that the coding of grammati-
cal relations is inseparable from the coding of tense, aspect, and mood. Different linear
orders and different pronoun forms are used in different tenses, aspects, and moods,
and in some cases the choice of pronoun form and/or the linear order of constituents
is the only means of coding tense, aspect, or mood.",[377]
"
                                                                    Erin Shay - 978-90-04-41005-3
         chapter 6Coding Grammatical Relations1        IntroductionThe term ‘grammatical relations’ refers here to the functional relations between
the verb and the noun phrase(s) in a clause. These relations include the sub-
ject, the object, and the indirect object, as defined in sections below. As stated
in chapter 1, in the pronoun set there is no distinction between direct object
pronouns and indirect object pronouns. The terms ‘direct object’ and ‘indirect
object’, as used in the present chapter, thus refer to the grammatical relations
between the verb and its arguments rather than to the form of the pronoun that
represents an argument. Because there is no direct vs. indirect object distinc-
tion within the pronoun system, a pronoun that may represent either a direct
object or an indirect object is referred to simply as an object pronoun, glossed
as O for ‘Object’.
    In addition to subject vs. object pronoun distinctions, the grammatical rela-
tionship between a given noun phrase and the verb can be coded by one or
more of the following means: the position of the noun phrase with respect to
the verb; the position of the noun phrase with respect to another noun phrase;
the indirect object marker ne (glossed ‘ADP’ for ‘adposition’), derived from the
verb ‘to give’; the associative preposition kə; a pronoun coding a specific gram-
matical relation; and the position of a pronoun with respect to another noun
phrase or pronoun. Pronouns are neither prefixes nor suffixes, and there is no
coding of grammatical relations on the verb itself or on the noun stem. Pévé
also has an impersonal pronoun, na, whose functions in the domains of ref-
erence and complementation resemble the functions of ‘that’, ‘it’ and certain
other forms in English. The form na and its functions are discussed in chapters
11 and 19.
    An important feature of Pévé is that the coding of grammatical relations
is inseparable from the coding of tense, aspect, and mood. Different linear
orders and different pronoun forms are used in different tenses, aspects, and
moods, and in some cases the choice of pronoun form and/or the linear order
of constituents is the only means of coding tense, aspect, or mood (see chap-
ters 8–10). With respect to the subject argument, the primary distinction is
between the indicative mood and the subjunctive mood. With respect to all
other arguments, the primary distinction is between the perfective aspect and
the subjunctive mood on the one hand and all other tenses, aspects, and moods
© koninklijke brill nv, leiden, 2020 | doi:10.1163/9789004410053_007   Erin Shay - 978-90-04-41005-3
104                                                                    chapter 6on the other. For convenience, this distinction is referred to as ‘perfective’ vs.
‘non-perfective’. The interaction of grammatical relations with other means of
coding tense, aspect, and mood is explored further in later chapters.
   This chapter describes the means of coding the grammatical relations sub-
ject, object, and indirect object in perfective and non-perfective simple sen-
tences. The interaction of grammatical relations and mood is further discussed
in chapter 9. The coding of grammatical relations in negative clauses is ad-
dressed in chapter 14, and the coding of grammatical relations in complex
sentences is addressed in chapter 19.","[118, 119, 120]"
"4.2.1       Perfective Set
A clause that is marked for perfective aspect or subjunctive mood and contains
a pronominal indirect object has two possible word orders: S V (ne) IO O and S V
O (ne) IO. The form S V O (ne) IO appears to be the more common or colloquial
form:(66) nambà gi      soko ne ni           si
     1PL    make thank ADP 2PL.O ASSERT
     ‘We thank you.’ (lit. ‘we make thanks for you’)(67) ta ɓá     só     ne nàn-a
     3F clean house ADP 1SG.O-FV
     ‘she cleaned the house/room for me’(68) bambi        tsóɓ kavà ne mbà si
     grandfather buy hoe ADP 1PL.O ASSERT
     ‘grandfather bought us a hoe’                                                                   Erin Shay - 978-90-04-41005-3
120                                                                    chapter 6The marker ne can be omitted, resulting in the structure S V IO O:(69) mum táʔ nàn kwá
     3M show 1SG.O thing
     ‘he taught me something’When the main verb in the construction is the verb né ‘to give’ and the direct
object pronoun immediately follows the verb, the indirect object pronoun must
be marked by the adposition ne (S V O ne IO):(70) mum né ʒyè          ne nàn-a
     3M give peanuts ADP 1SG.O-FV
     ‘he gave me peanuts’In what appears to be a more formal construction, the indirect object pronoun
may immediately follow the verb and precede the direct object, without the
adposition ne (S V IO O). The evidence that né in the next example represents
the verb ‘give’ rather than the adposition ne is provided by high tone on the
verb, which codes the perfective aspect. The more formal version may reflect
an aversion to use of the verb né and the adposition ne in the same clause:(71) mum né nàn ʒyè
     3M give 1SG.O peanuts
     ‘he gave me peanuts’All attested examples in the subjunctive mood, as coded either by the absence
of a subject pronoun or by the use of a subject pronoun from the subjunctive
set, have the form S V O ne IO:(72) à          tsoɓ kwáti               ne nàn riʔ-i
     2M.SBJV buy food (lit. ‘thing eat’) ADP 1SG.O already-FV
     ‘you’d better buy me something to eat!’(73) à          də̀ il         mbì ne mbà riʔ-i
     2M.SBJV go scoop out water ADP 1PL.O already-FV
     ‘go fetch us some water!’If the perfective or subjunctive clause does not contain an overt direct object,
the pronominal indirect object must be marked by ne even when it occurs in
the position after the verb, resulting in the structure S V ne IO:
                                                                     Erin Shay - 978-90-04-41005-3
coding grammatical relations                                                      121(74) na dàn ne nù kum-u
     1SG say ADP 2M.O yesterday-FV
     ‘I advised/told you (that) yesterday’(75) na ín ne nù
     1SG say ADP 2M.O
     ‘I read (it) for you’The role of the indirect object can thus be coded by the position immediately
after the verb (i.e., without ne) if and only if the clause also contains a direct
object. What all examples involving an indirect object in the perfective aspect
or the subjunctive mood have in common is this: When the marker ne is used,
it precedes the indirect object noun or pronoun, regardless of the relative order
of other constituents in the clause. The importance of this is shown in the next
section.","[135, 136, 137]"
"
                                                                                   Erin Shay - 978-90-04-41005-3
124                                                                                  chapter 6table 11       Summary of coding means for grammatical relations                                      Order of constituentsParticipants involved*                Perfective/subjunctive               Non-perfectiveS, ON                                 SVO                                  S (T/A) V O
S, OPRO                               SVO                                  S (T/A) O V
S, ION/PRO                            S V ne IO                            S (T/A) V IO ne
S, ON/PRO, IO PRO                     S V O ne IO,                         S (T/A) V O IO ne,
                                      S V ne IO O,                         S (T/A) IO V O
                                      S V IO O
S, ON/PRO, ION                        S V O ne kə IO                       S (T/A) V O kə IO*     The marker N indicates that the constituent order applies only if the argument is represented
      by a full noun; the marker PRO indicates that the order applies only if the argument is rep-
      resented by a pronoun; and the marker N/PRO indicates that the order applies whether the
      argument is a noun or a pronoun.","[139, 140]"
"   In a clause containing a subject, an object, and an indirect object, the means
of distinguishing the direct object from the indirect object depends on the
aspect and mood of the clause and on whether the argument is represented
by a noun or a pronoun. The basics are outlined in Table 11. ‘N’ represents a
noun; ‘PRO’ represents a pronoun; ‘T/A’ represents a marker of tense or aspect;
ne is an adposition whose role is confined to marking the indirect object;
and kə is the associative preposition. The nominal or pronominal status of
the subject, or even the absence of a subject, has no impact on other coding
means. Because there are no Tense/Aspect markers in any perfective/subjunc-
tive clauses, and because Tense/Aspect markers can often be omitted from
non-perfective clauses, pronoun forms and constituent order are often the only
means of coding tense and aspect.
   The following generalizations can be made about the preceding chart:
1. In the perfective clause, ne precedes the indirect object
2. In the non-perfective clause, ne follows the indirect object
3. In the perfective clause, the indirect object can be marked by position
      alone, provided it immediately follows the verb and is immediately fol-
      lowed by a nominal direct object.
4. The position between subject and verb serves as a coding means in two
      circumstances:
      (a) in the non-perfective clause with a pronominal direct object and no
            indirect object (S O V); and
                                                                                   Erin Shay - 978-90-04-41005-3
coding grammatical relations                                                       125       (b) in the non-perfective clause with a nominal or pronominal indirect
             object and a nominal direct object, the order S (Tense/Aspect) IO V
             O alternates with S (Tense/Aspect) V IO ne.
As noted in earlier sections, there can be alternative constructions for the same
set of participants. The evidence that this is not a function of the choice of lex-
ical items is that a clause with the same verb and the same participants may
have different forms. For example, the perfective forms S V O ne IO, S V ne IO
O, and S (Tense/Aspect) IO V O are all attested involving the verbs ‘to sell’ and
‘to give’, with the same participants. The non-perfective forms S (Tense/Aspect)
V O IO ne and S (Tense/Aspect) IO V O are both attested with the verb ‘to sell’
and the same participants.","[140, 141]"
"6.6      Tense and Aspect
As mentioned above, a key feature of Pévé is that the coding of tense and
aspect interacts with the coding of grammatical relations. Grammatical rela-
tions in perfective clauses on the one hand, and in all other tenses and aspects
                                                                     Erin Shay - 978-90-04-41005-3
the pévé language                                                                  15(‘non-perfective’) on the other hand, are coded by different pronoun forms and
different linear orders of various constituents. Although the language has mark-
ers whose function is to mark tense or aspect, these markers are often omitted,
leaving the order of constituents and/or the choice of pronouns as the only
means of coding tense or aspect.
    Pévé codes only one tense, the future tense, which is marked by the pre-
verbal marker də̀ (derived from the verb də̀ ‘go, travel’) followed by the verb
with its underlying tone. The marker də̀ occurs after the subject noun or pro-
noun and before the verb. A distinguishing feature of Pévé is that a clause
that is not marked for future tense is not marked specifically for any other
tense, resulting in the sole temporal contrast between future and non-future.
Unlike in many Chadic languages, a marker of tense may occur with a marker
of aspect in the same clause. The only examples of the co-occurrence of tense
and aspect involve the future tense and the imperfective aspect (see chap-
ter 8).
    With respect to aspect, the system can be divided into the perfective aspect,
marked by high tone on the verb stem, and all other aspects (non-perfective),
marked by underlying tone (high, mid or low) on the verb stem. Some, but not
all, non-perfective aspects are marked by preverbal markers. Non-perfective
aspects include the imperfective aspect, marked by the preverbal marker wə́;
progressive aspect, marked by the preverbal marker ké; and the unmarked
tense/aspect, coded by use of the unmarked (non-perfective) verb stem with-
out any markers of tense or aspect. The interpretation of the unmarked aspect
is determined by setting and context, temporal adverbials used in the clause,
and the mutual understanding or shared knowledge of the speaker and hearer.
    The perfective/non-perfective aspectual distinction does not pertain only to
preverbal markers and tone on the main verb. Pévé has two sets of direct/indi-
rect object pronouns, one used in the perfective aspect and the other used
in all other aspects (non-perfective). The existence of two distinct pronoun
systems allows for the coding of the perfective/non-perfective distinction with-
out any other means, such as tonal changes or dedicated aspectual markers.
Because subject pronouns do not distinguish between perfective aspect and
non-perfective aspect, the coding of aspect via the choice of pronoun can occur
only in a clause that contains at least one non-subject argument.","[30, 31]"
"         Chapter 8: Tense and Aspect         AbstractAn important feature of Pévé is that the coding of grammatical relations is insepara-
ble from the coding of tense, aspect, and mood. Different linear orders and different
pronoun forms are used in different tenses, aspects, and moods, and in some cases the
choice of pronoun form and/or the linear order of constituents is the only means of
coding tense, aspect, or mood. Pévé codes only one tense, namely the future tense.
The language codes a number of aspectual distinctions, including perfective aspect,
imperfective aspect, progressive aspect, and the unmarked tense/aspect, whose inter-
pretation depends on context. This chapter describes the grammatical means of coding
tense and aspect and the interaction of those means with the coding of grammatical
relations.",[378]
"
                                                                     Erin Shay - 978-90-04-41005-3
the pévé language                                                                    3The Pévé culture is historically semi-nomadic, with the population circling
through the Pévé regions in both Cameroon and Chad according to the season.
Most Pévé people support themselves through hunting, farming, and ranch-
ing. Much hunting is conducted in the Réserve Forestiére et Animaliére de
la Bouba-Ndjida, a forest and animal preserve in the Northern province of
Cameroon, bordering on Chad. According to Wambadang, the areas of Chad
and Cameroon where Pévé is spoken can be divided into three zones: The Pévé
zone, to the north and west of the Bouba-Njida reserve and encompassing parts
of both Cameroon and Chad; the Dzəbao zone, to the south and east of the
reserve and also extending into both Cameroon and Chad; and the Herdé zone,
to the northeast of the reserve and within the borders of Chad (see section
2.3). The Pévé zone is the most populated of the three zones in Chad. Speakers
throughout the three zones have long been in contact with the unrelated lan-
guages Mundang (Niger-Congo), Fulfulde (Niger-Congo; also called Fula, Fulbe
or Fulani), and French (via Mundang). Herdé, identified by Ethnologue as a
Pévé dialect, is in Wambadang’s view a pidgin variety of Pévé, as is Dzəbao. The
other component of the pidgins is Mesmé, like Pévé a member of the Masa
branch of Chadic, which is chiefly spoken to the east of the Pévé zone (see Fis-
cher 1980). Wambadang identifies Gumadji (the name of a village in Chad, also
known as Gumaji or Goumadji) as a dialect similar to both Herdé and Dzəbao.
The village where Gumadji is spoken is close to Herdé, and Dzəbao tends to be
confused with both dialects (see further discussion below).
   Wambadang considers Pévé, Dari, and Doué to be mutually comprehensible
dialects of the same language. The differences between Dari and Pévé lie pri-
marily in tone, and even child speakers of the two dialects can understand each
other. The Dari dialect, named after the Dari village in southwestern Chad, is
spoken in the villages of Sinassi and Vaimba in North Cameroon, which neigh-
bor on the Bouba-Ndjida reserve and are not far from the village of Djibao, the
site of Sachnine’s research. The Dari village in Chad is the dwelling place of the
traditional and administrative chief of the Canton Dari, itself a member of the
sub-prefecture of Lamé. Lamé is both a town name and the name of the most
widely spoken language in the area. One point of confusion is that the town of
Lamé also happens to be the center of Pévé leadership (chefferie), whose leader
(chef superieur) lives in Lamé and speaks Pévé.
   Cooper 1984, an adaptation of Sachnine 1982, volume 2, that focuses on the
Dari dialect, shows considerable overlap between the Dari and Pévé lexicons.
The most significant difference between the two dialects is that tone in Dari
carries a variety of grammatical functions, such as future tense, imperfective
aspect, the locative function and the modifying function, while the same func-
tions in Pévé are marked by free grammatical morphemes and the relative order
                                                                     Erin Shay - 978-90-04-41005-3
4                                                                       chapter 1of constituents. The two dialects remain mutually understandable, with the
chief difference being the functions of tone.
   A further complication in the nomenclature is that Pévé is not just the name
of a language and a tribe but is also the name of a clan within the Pévé tribe. Cer-
tain clans are excluded from the Pévé tribe even though the clan members are
speakers of Pévé. There are five major Pévé clans: daw wãy (‘children of Wãy’),
to which Wambadang belongs; daw tau (‘children of Tau’); daw kəɗa (‘children
of Kəɗa’); daw djudjoa (‘children of Djudjoa’), the family of the current grand
chief; and daw fəta (‘children of Fəta’). Jwə Lawtu, the chief of the clan daw
djudjoa, died in February 2016, and his son has since been chosen as chief. The
chiefdom cycles from one clan to the next in the order shown above, depend-
ing on the chief’s performance and the availability of a successor. If a chief is
found to be irresponsible, the chiefdom may be passed to the next clan in line.
Clan membership is handed down through the paternal line, and no woman
can serve as a chief. If a chief is deemed to be a good leader, the next chiefdom
will be handed down to his son. If the deceased chief does not have a grown
son or any son at all, the chiefdom will go to the chief’s brother. Members of
clans outside of the five listed above have no chance at being chief, but they
are allowed to perform Pévé cultural practices such as circumcision (see below)
and may also serve as courtiers to the chief. For more on the history of the Pévé
chiefdom in Lamé, see Lami 1930–1940.
   The primary cultural distinctions among Pévé and other clans, as well as
other tribes, include whether or not circumcision is required, whether or not
polygamy is allowed, and whether or not there is intermarriage between clans
and tribes. Circumcision is an important part of the Pévé culture, which holds
the belief that without circumcision a man is impure. The Pévé also practice
polygamy, with no limit to the number of wives a man may have. Tradition-
ally, the more wives a man has the more important he is, but this is starting to
change, in part because the required dowry or ‘bride price’ has risen over time.
In the old days a bride could be purchased with five or six cattle, but with the
advent of European influence and wider commerce the price is much higher
and is paid with more cattle, cash, goats, food, and beer.
   As stated above, Lamé is classified in Ethnologue as a dialect of Pévé. The
term Lamé likely has its origin in the unrelated Fulfulde language, spoken
by the nomadic Fulani people from the Middle-East and North Africa who
helped spread Islam throughout western and parts of central Africa from 900
to 1900A.D. According to oral history shared by Pévé elders and confirmed in
Abdoullaye and Eldridge 1979, the word Lamé is derived from the word laami,
the past-tense form of the Fulfulde verb laamugo ‘reign, be in the throne’. The
Fulani people are said to have used the term ɓe laami ‘they already have a chief-
                                                                      Erin Shay - 978-90-04-41005-3
the pévé language                                                                     5dom’ upon arriving in the Pévé area, indicating that they found the Pévé chief-
dom to be well structured. This would explain why the capital of the Pévé area
now bears the name Lamé, though it was once called Pévé. It is said that at one
time there were only two chiefdoms in the area: the chiefdom of Pévé in Lamé
and the Fulani chiefdom of Yola, now part of the Adamawa state in Nigeria. It
is possible that other chiefdoms existed but were less structured than those of
the Pévé and Fulani peoples, and it is also possible that the notion of only two
chiefdoms was promoted by the Fulani who came from Yola along with Islam.
In the past, the Pévé people, called Lamé by the Fulani, viewed themselves as
more independent than other communities because of their well-organized
chiefdom and the practice of circumcision.
   Despite the lack of a genetic linguistic relationship, the Pévé and Mundang
peoples have many things in common, including shared clans and shared chiefs
as well as intermarriage between Pévé and Mundang (Wambadang’s wife is
Mundang). Pévé and Mundang also share some linguistic features, probably
due to centuries of language contact. These features include many lexical items
and the use of high tone on the verb as a means of coding perfective aspect.
   Pévé also shares lexical items with related Chadic languages spoken near the
Pévé region. For example, Pévé and Masa have a number of similar basic lexi-
cal items, e.g. ku ‘fire’ in Pévé vs. kuda in Masa (transcribed as kù in Melis 1999:
178); and fun ‘food, boule’ (a common type of bread in Africa) in Pévé vs. funa
‘boule’ in Masa (transcribed as fù in Melis 1999: 101). However, speakers of the
two languages are culturally distant and intermarriage is rare. In Wambadang’s
view the Pévé dialects Herdé and Dzəbao are closer to Mesmé than to Pévé.
   According to recent surveys conducted by Wambadang and colleagues, the
current number of Pévé speakers in Chad and Cameroon is 80,000 or more.
While many Pévé have crossed the border from Chad into Cameroon since
the 1980s due to the war in Chad and the development of cotton cultivation
in Cameroon, the Pévé population in both countries is thriving. The border
between Chad and Cameroon is open, and efforts by Wambadang and others to
unite Pévé speakers from both countries continue to be successful (see below).
   In oral history the name ‘Pévé’ is said to stem from the noun pé ‘valley’, pos-
sibly referring to the Marrakesh valley of Morocco, and the Pévé verb ve, which
has the meaning ‘to take, to grab’ and also the meaning ‘to convene, to get along
well’. One possible historical account is that the Pévé people were long ago
chased away from the Nile region, where the Pévé culture may have originated,
and forced to emigrate to Marrakesh, where they were taken in by the Fulani
people because the two cultures got along very well. Another account is that the
Pévé people ‘grabbed’ (vé) some of the Fulani people of Marrakesh and brought
them back to the Pévé region.","[18, 19, 20, 21]"
"
                                                                           Erin Shay - 978-90-04-41005-3
362                                                                          abstracts         Chapter 7: Coding Semantic Relations         AbstractIn Pévé, semantic relations within a clause depend on inherent properties of the pred-
icate and the arguments, linear order of constituents, use of serial verb constructions,
presence or absence of other arguments, use of prepositions, and use of adjuncts. The
semantic role of the subject in a construction may be controlling or non-controlling,
affected or unaffected, while the semantic role of a direct object may be that of the
affected object or the object of perception. Semantic roles of the indirect object include
recipient, beneficiary, malefactive, addressee, and others.","[377, 378]"
