Paragraph,Page number
"
The order of the suffixes is, as a rule : 1. suffix indicating the category;
2. suffix indicating the object ; 3, suffix indicating the subject.
The suffix indicating the subject only occurs before the suffix indicating
the object, in farm 2.",[97]
"Subject suffixes:
1. -ow
2, -owuj; when the modal suffix is zerol: -wthj
3. -GI4
4, -ar, alternating with -a
5. -asinPrefixes : a- ; ~ - / m l Y p-/p
                            - ~ V-,
Here, the same rules of clistribution apply as for the prefixes in series A
of the imperative category. Here, also, forms occur without a prefix;
before a cotre having one vowel, lioweverJ there is always a prefix:
         ~ t the cases noted this was a-.
in m o ~ of
122
As with the imperative forms, I did not find here a difference in
meaning between f o m s with and without a prefix, and between the
forms which each have a prdix.
The holrtative f o m s express an exhortation :
   amds aj-dw-car!        let us scrape out sago !
   sago /let us scrape it out !,/   inim ~ - ~ ? z - c o w â‚¬!
                          ! it np!
   /this way $/eat it!/                    t it !
   w$-dn-cu! let us a
   atbw p-&-car! let us play !
   play /let us !/   mb-jirpur-ivz both of you cross now (to the other s'ide of the river).
                               THE ASMAT LANGUAGE
    123
    I n the next ategories to be dealt with, categories 10 to 24, inclusive,
    there is a division into 3 object-categories, and a division into 6 or 7
    subject-categories.
    The chject-categoa-ies are thoise mentioned in 8 115.
    The subject-categories are as follows :
        1st. pers. sing
        2nd. pers. ,,
        3rd. pms. ,,
        1st. p s . plural
        2nd. p a s . ,,
        3rd. p a s . ,,
        3rd. pers. dual
    The 3rd. pas. dual occurs only in categories 14 and 16.
    The object- and subject-categories Qccur in t h,e following combinations :
   subj. cat,     obj. cat.   no.1st. pws. s.                        I - hirny them, etc.>or : absence oi object
                                    1 - you, y m (pl.)
2nd. prs. s.                        you - him, them, etc., or : absence of object
                                    you - me
                                    you - us
3rd. pas. 5.                        he - him, them, etc., ar : absence of object
                                    lie - me, you, you (pl.)
                                    he - us
1st. pas. pl.                       we - him, them, etc., or: absence of object
                                    we - you, you (pl.)
2nd. pas. pl.                       you - him, them, etc., or: absence oi object
                                    yOL1   - 1ne
                                    you - us
3rd- pers. pl.                      they - himy tl~em,etc., or : absence of object
                                    they - you, you (pl.), me
                                    they - us
3rd. pers. dual                     b'ofthof them - himy them, etc., or: absence
                                                    of object
                                            WORD-CLASSES                       85     In the paradigms, the verbal forms will be given in the order as
above.12124
The suffixes that characterize the subject- and object categories display
great uniformity in a11 the categories which follow. For the description
of these suffixes, we will take as a basis the standard list given below
and only the deviations from the list in each category will be given.
A survey of these deviations will be found at the b'ack of the book.","[95, 96, 97]"
"
  For the final a in all these examples see
lob                                            8 34.
                                     WORD-CLASSES
    116
    Paradigms of the imperative forms : 11
       an  to eat                tetam to give
       por to look at            iwi to shootI. a.            an-ic/i         tetam-iic                 give it
     b.          an-cej          tetam-cej                 you should give it to' him
11.              an-cen/cin      tetam-cen/cin             give it to me
111.             511-caw6j       tet Am-cawUj              give it to us                     zero, a-, rn-/mV-, p-/pV-             direct imperative
-
             !                 mom-/porn-
                                                       I
                                                           postponed imperative
                                                                                   1
I. a.            iwi-c           por-ic/i                  look !
    b.           iwi-cej         pOr-cej                   you should look at it
11.              iwi-cen/cin     p6r-cen/cin/en/in         look at me
111.             iwi-cawhj       pOr-cawUj/awu j           look at us
                                                           postponed imperative
 If a comparison is made between the forms vw'i-c, vwi-cen, and iwi-
 cawhj, it will be seen that the object categories I1 and 111 are
 characterized by the suffixes -en and -awuj, respectively, but that a 1x The following should be noted       regarding the arrangement of the paradigms :
          the verbal forms in the paradigms are shown without any prefixes. When
          prefixes do occur, they are given separately below the paradigms;
          in the forms, only the junction between the core and the peripheral part
          is shown: in the usual manner, by a dash. The morpheme structure of the
          peripheral part can be deduced by comparing the different forms and from
          the discussion on the formal characteristics of the categories which will
          be given immediately after the paradigms;
          when the phonological structure of the core influences the form of the
          suffixes following the core, the paradigms of the different verbs will be
          given in order to demonstrate this influence;
          in general, a translation will only be given of one of the series of forms.
          This translation will always be of the forms with prefixes given in A.
80                        THE ASMAT LANGUAGE
similar suffix is absent in the form of the object category I. Object
category I is here characterized by the absence of an element of form
which is correlated with the categorical meaning. In a case such as this,
we can say that the object category is characterized by zero.
If we compare the form an-; with the other forms of the paradigm,
then we see that here the modal suffix c is absent: the imperative is
therefore characterized by zero. Besides an-i, the form with modal
suffix -c, a d c then occurs: here, the modal suffix -c alternates
with zero.","[90, 91, 92]"
"The following' combinations were found :
  of or-     +(re)duplication : 6.si.si.m.tdm again to push
   (different objects) towards someone.
  ofor-      +
             em/ow-           : 6 r . e m . h again to stand up
  em/om- -f- o/om/ot/oc-: 6m.o.p to sit down by, withA relative order could be determined for the following suffixed
formatives :     R -m/Vm, - k w h , -tarn, -par,                       , -aw&/e&/ew'ir/a
                                             -it / n t
Here, the following sequences of formatives were noted :
                              t5.m.p~ to try to make
                             h . e s to make something at night
                             jik.tam.ph- to try to tie up something
                                           for someone
                             otdw.por.u'wer continually to try to
                                              exhort someone
                             jisin ak.itzhr.aw~r to! gather coconuts
                                                   all afternoon
                             sa.ku&awbr        to be dried up all
                             nd.kwzh.por to try to eat up everything
                             b.m.tam.p& to try to make for someone.",[70]
"328
In Screw - the news that the sago palms on the coast didn't contain
any meal had spread like wildfire around the regions of the Mec -
[in Ser&w] there were two men, Pisim and Wasi, blood kinsmen of
people in JepGm; they were great warriors. ""Pisim and Wasi, they
carry [the dead] of your family like firewood! It's said they die of
hunger because of the famine,"" the people said. - S i s n h was a very
beautiful woman living at the mouth of the Sakan. She had as much
tes as a man "" ! - In the morning, Pisim and Wasi started out. They
went from the Aw - o r was it the Ninim? They both had paddles
decorated with white cockatoo's feathers. Wailing they entered the
Jom6t. In the village the sound of lime throwing rang out '. Jepem was
astir, [the people were] packing their baggage as though someone had
given the order: ""Pack the baggage in readiness to move."" Wailing,
they walked round. I n the evening, people began to sing for them; the
whole evening they sang and danced to honour them. Meanwhile, the
268                         THE ASMAT LANGUAGE
am, Kajk at etin-i nak nim, a r b kukuku Aniamser in. Mow am aram,
Ewer Suru, Majit Jinit, Per, Uwhs at etAm nak nim, ar6m jiwis
po- kukuku aniamser in. Jbmo't, ajiser in. Mani nat akipuamar nat,
Sirkc asier in. Mow am, Mow samht 2 rnanmak win manmak win
jisk5puamAr nat, mu pakknakap in. Jkpem wun, Asewgc apkjser in.
Kaj& wun Asewkc apAjser in. whn Unir ar in, whn Pomuc ar in.
wun M o ~ ar     c Amorkp apkjser in, Ac apiijser in, Miwar a g j s e r
              ~ in.
in, Esin apajser in, Amisu apAjser in Jbw apAjser in. Kawkt, Cowew,in. memAp ow opkk in.  isemEr6s ;   somot; used everywhere in place of samcit.
  tes: a quality that can be present in certain objects and in man. In men it
  manifests itself as success in war, in being successful in hunting pigs and in
  having a dominant personality; in women,in being beautiful (see 5 324, note c )
  and in having a dominant personality. An insufficiency of tes can he augmented
  by taking the head of an enemy at a head-hunting raid arranged for the purpose.
"" Lime is thrown in order to avert a calamity, or to neutralize the tes of an
  enemy. In a crisis such as that described here, not only is the lime thrown
  but the bamboo lime containers are also smashed: this is the sound referred to.
  A new canoe is 'fired' before it takes to the water. Burning torches, made of
  sago palm leaves are held under its bottom until a layer of charcoal, approxi-
  mately 1/8 in. thick has formed. This is then scraped off with shells. Canoes
  that have been in the water for a long time are also subjected to this process
  in order to remove the growth of weed. Canoes are also fired before a long
  journey. According to the Asmat people, firing makes a canoe light and fast.","[279, 280]"
"Postpositions1. Emphasizing words
245
ardw/ara/ar': a r h and ard appear to alternate freely, except in the
following cases :
a r h always occurs before the postpositions a d e n , in/un/n, and man.
ard     always occurs before the negation pak, and before new ($ 255).
ar145 always occurs before the postposition am2.
ardw/ard/ar' can be used to make a statement about an existing
situation, and is then translatable by: (there) is, (there) are.
Often, however, ardw/uva/ar' only places a slight emphasis on the
word or the word-group preceding it.arh/ard/ar'       can be linked with :  In order to distinguish the postposition ar from the directional pronoun or,
  the first one will be written d.
                              WORD-CLASSES
verbs :
   ajinIwni1n&sard there they are, all coming back.
   atawfh a r b you said it.","[180, 181]"
"
NegationsOnly the following forms of the verb can precede negations :
1. the m-/mV- and the m-/mV-@ forms :
2. the tense and tense-aspect categories of verbs of which the core
contains the formative por == to wish, to try to. These verbal forms
only occur in combination with @k/pak, opO~s.l/powand @nakdw/
pZnakhw. These negations then express a contrariness which can be
translated by : but no, but in vain.opdk/pak    not, without
ufidk and pak alternate freely, except after verbs with the formative
for, where opik always occurs. pak was usually found after the m-/mV-
and the m-/wtV-dji forms of the verb; in other cases op6k was usually
found.opdk/pak can form groups with :
the m-fmV- forms of the verb: m@or pdk embf            I did not see it;
                                  see not /did   I/
substantives :       a d s ojdk there is no sago
adjectives :         akdt opdk it is not good
personal possessive pronouns : or pdk not you
cowdk one, all :     up& cowdk absolutely not
mt much, many : opdk wut by no means
flak not:            opdk fiak really ! positively !
                     not not
Cases in which opdk is preceded by the verbal forms mentioned in
 239, 2. are:
166                          THE ASMAT LANGUAGE
    Serkw matowoj un arewfdjporamdr ophk iba
    /people of Serew / in order to kill/ pp /they assembled/ not pp
   the people of Screw gathered to kill her, but in vain ($ 338).
    ""manic"" ajipor opdk eat it, he said, but in vain.
   /eat it / he said/ not
opow/pow      not, without
The distribution of o    m and pow is parallel to that of opdk and pak.
I could not find a distinct difference in meaning between o$hk/pak and
o p h / p o w . I got the impression from the examples to hand that the
relationship between opdk/pak and opow/pow is parallel to that
between the non-mood and the mood forms of the verb. opow/pow
was only found in direct speech, in sentences in which the speaker
gives expression to varying moods.op6w/pow was found linked to :
the m-/mV- forms of the verb:
   Sujit masetdj powd       Sajit has not arrived !
   Sajit arrived not !substantives :
   amds of&       there is no sago!personal possessive pronouns :
   no op6w I am not there!","[177, 178]"
"                 '
47 For the postpositions en/an, op&/pen, am, ew, aw, and in/un/'n a relative
   order could be determined ; this order is :
       en/an
       opkn/pen     - ew - aw - in/un/'n.
       am        \
                                    WORD-CLASSES                                 177      6, a r h a , Miwirpic / j & h tivwseif ardw new in, ci napi
      hey, upstream Miwirpic /who moved away / it is/ perhaps pp canoe white      6 niw-dr araw th,e j6 $24 /mu jdn/ ash~+zo~imdr
      there /comes downstream/ pp pp there river on current /it follows downstream/
      a r m hn
      PP PP
      ""Hey, they say that there upstream - perhaps its Miwirpic who
      moved away - a white canoe conies floating down, it follows the
      current there in the middle of the river !"" (8 301).
An abundance of cases can be found in the texts.","[188, 189]"
"Sequences of formutives
I only found sequences of prefixed formatives preceding the first root
of a core, and sequences of suffixed formatives following the last root
of a core. Between two roots, sequences of two forrnatives do occur,
but the sequence consists always of a suffixed formative followed by
a prefixed formative. In these cases, the suffixed formative is always
-m/Vm; the prefixed formative is o/owz/at/oc- or, a (re)duplication:       R-ff-R        kd.m.o.ni to tear away and take downstream
     f-R-ff-R-fR     si.si.m.ka.kami.m.tiw to wash ashore many objects.3a   A survey of these categories can be found in Â 104, 105.
58                            THE ASMAT LANGUAGE
Only a few different combinations of prefixed formatives were found;
for some of these a relative order could be tentatively fixed:
    ofor-, em/om-, o/om/ot/oc-, Root, or:
    d o r - , (re)duplication, Root.
(Re)duplication was not found with roots with which em/om- and
o/om/ot/oc- occur ($ 80).","[69, 70]"
"67
   Secondly: among the remaining morphemes that were not found as
cores, a number can be distinguished which have the character of
affixes. These are morphemes that conform to the following criteria:
1. they occur in a series of forms;
2. their position in relation to the root is constant: they are either
   always placed before it, or always behind it;
3. they add to the core a specific semantic element ;
4. they do not occur in combination with each other as a core;
5. there can be established a relative order in which they occur in
   relation to the root.",[56]
