Paragraph,Page number
"
                     5.3 Simple Clauses
                             Nxa?amxcin falls under the traditional classification of ‘polysynthetic’.
                     Words in polysynthetic languages are typically long and morphologically
                     complex, with a single word being able to express the full semantic content of a
                     complete sentence in a non-polysynthetic language.            As seems to be the case
                     with polysynthetic languages in general, Nxa?amxcin has obligatory pro-drop
                     for both subject and object position.       Thus, no subject or object pronouns are
                     overtly expressed, as shown in the following examples:8
                            8Views on clause structure in Salish languages are mainly divided into two
                     camps. The first supports the Pronominal Argument Hypothesis (e.g. Jelinek
                     1984, Jelinek and Demers 1994) according to which subject and object arguments
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                94                     (52)    ?amcinn
                             ?om-t-si-nn
                             feed-TR-2s0-1ss
                             I feed you.                                                                  90.N206
                     (53)    c’altt          kn
                             stand      +    Iss
                             I stood up.                                                                 W.4.9.167
                     In the transitive construction in (52), the 2nd person sg. object is marked by the
                     suffix -si and the Ist sg. subject by the suffix -nn. No overt pronouns are present
                     to indicate these grammatical categories.        In example (53), the Ist person sg.
                     subject is marked by the intransitive clitic kn. Again, there is no overt intransitive
                      subject pronoun.
                             When overt noun phrases are expressed, the basic transitive word order is
                     VOS, although there is some flexibility of word order as shown in the following
                     examples:
                             vos
                     (54)    t’dq’s               wa__       ttw’it Pani     kiy’ana?
                             t’aq’-nt-s
                             Slap-TR-(3AB)-3ER WA            boy     DET     girl
                             The girl slapped the boy.                                                      91.121
                             VSO
                     (55)    t’dqvs               fani       kiy’dna?        wa__    ttw’it
                             t’aq’-nt-s
                             Slap-TR-(3AB)-3ER DET           girl            WA      boy
                             The girl slapped the boy.
                     are realized as pronominal elements on the predicate.          Overt noun phrases are
                     syntactic adjuncts coindexed with these pronominal elements. As adjuncts, these
                     noun phrases are able to maintain some freedom of word order. In the other camp
                     are researchers who support a configurational approach in which noun phrases
                     are themselves arguments coindexed with agreement morphology on the
                     predicate (e.g. Gardiner 1993, H. Davis 1999). I assume the latter analysis in this
                     work, although neither theoretical approach is crucial to the descriptive goals
                     pursued here.","[106, 107]"
"
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                  95                     Both examples (54) and (55) have the same translation, but the ordering of the
                     NPs is reversed.     In (54) the direct object ttw’it ‘boy’ appears immediately
                      following the predicate and the subject kiy’dna? ‘girl’ is in final position. This
                     represents the unmarked word order VOS.             In (55) the same subject appears
                      adjacent to the predicate and the direct object is in final position.        This VSO
                      ordering is not as frequent as VOS, but is possible nonetheless.
                              One might think that such variations on word order would lead to
                      ambiguity, but this is not the case. The particle wa, which surfaces in both (54)
                      and (55), serves as a disambiguating device.             Czaykowska-Higgins (1996,
                      1998:160) and Willett (1996) analyze this particle as a third person absolutive
                      marker which surfaces with 3rd person transitive objects and 3rd person
                      intransitive subjects.   In both (54) and (55) it precedes ttw’it ‘boy’ making it clear
                      that ttw’it is the object in these constructions.         I address the particle wa in detail
                      in section 5.6.
                              Unmarked intransitive word order is VS, as shown in (56) to (57):
                      (56)    tot’          ?axd?       ?apsn
                              wet-(3AB)     DET         towel
                              This towel is wet.
                      (57)    x*dy’m                  wa         ?inxxx’cin
                                                                ?in-xXxA’cin
                              run away-(3AB)          WA        I sPs-dog
                              My dog ran away.","[107, 108]"
"
                     8.4.4.2 Bound Stem Constructions vs. Syntactic Noun Incorporation
                             Nxa?amxcin is certainly a possible candidate as a noun incorporating
                     language within Baker’s (1996) model since it has both features Baker claims are
                     common to all noun incorporating languages.           First, Nxa?amxcin is a head-
                     marking language as all direct arguments have morphological representation on
                     the verb.   This property is evident in the following examples where both the
                     person and number features of the subject and direct object are marked on the
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                  407                     predicate in the transitive construction in (199), and the person and number
                     features of the subject are realized as a clitic in the intransitive construction in
                     (200):                     (199)    ?dc’xnelp
                              ?ac’x-nt-sal-p
                              look at-TR-1s0-2ps
                              [You people looked at me.]                                       Kinkade 19826:51
                     (200) ?itn      k*
                              eat + 2ss
                              You ate.                                                                            92.2
                              Baker also claims that noun incorporating languages are
                     nonconfigurational26 in that NPs representing direct arguments are not
                     constrained to one position in a clause since they surface as adjuncts.             Hence,
                     they should exhibit some freedom of word order. This is certainly true of
                     Nxa?amxcin which can have the following combinations, even though VOS
                     appears to be the unmarked order in the language:
                     (199)    t’dqs                wa        ttw’it Pani     kiy’dna?
                              t’oq¥-nt-s
                              Slap-TR-(30)-3S      WA        boy     DET     girl
                              The girl slapped the boy.                                                       91.121
                     (200)    t’3q¥s               fani      kiy’d4na?       wa _    ttw’it
                              t’aq’-nt-s
                              slap-TR-(30)-3s      DET       girl            WA      boy
                              The girl slapped the boy.","[419, 420]"
"
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                  118                      5.7 Summary
                               In this chapter I presented a brief introduction to the syntax of
                     Nxa?amxcin. | first outlined the parts of speech, touching briefly on the
                      controversy surrounding lexical categories in Salish languages where some
                      scholars recognize a noun-verb distinction while others do not.            Adopting the
                     views of the former, I then moved on to a discussion of the noun phrase.                I
                     introduced the four determiners and three demonstratives that have been
                     identified for Nxa?amxcin, and then looked at oblique and locative prepositions.
                     In the final section on noun phrases, I reviewed the syntax of genitive phrases.
                               I then turned to the syntax of various types of clauses. I illustrated that
                      simple clauses have VS word order for intransitive, and the unmarked VOS for
                     transitive clauses, noting that there is some freedom of word order as VSO
                      constructions are also possible.     Relative clauses were examined with the data
                     illustrating that the relative clause head could either precede or follow the relative
                     clause.    In addition, relative clauses can be headless in Nxa?amxcin.             I then
                     looked at fronting constructions which involve the fronting of a NP/PP to pre-
                     predicate position. There are three types of fronting:         (i) unmarked; (ii) quasi-
                     clefting (the fronted argument is followed by a subordinating particle and the
                     residue has the surface form of a relative clause as it is preceded by an oblique
                     marker); and (iii) clefting (identical in structure to quasi-clefting except there is a
                     deteminer in lieu of a subordinating particle).
                               Finally, I looked at the properties and distribution of the particle wa, which
                     is prevalent throughout the Nxa?amxcin data.            On the surface it appears to mark
                     (optionally) absolutive arguments; however it is linked with the transitive subject
                     in topical object constructions.     Its position in fronting constructions is curious in
                     that when absolutive arguments (or subjects of topical object constructions) are
                     fronted, wa appears to mark the residue as opposed to the fronted NP.
                               Having looked at how Nxa?amxcin clause constructions are formed, in the
                     next three chapters I examine numerous processes involved in forming
                     Nxaramxcin words.        I start in the following chapter by discussing operations that
                     take place at the derivational stem level.","[130, 131]"
"                     Davis, Henry (1999) “Word order and configurationality in St’at’imcets”, Papers
                            for the 34th International Conference on Salish and Neighbouring
                            Languages, Kamloops BC: Secwepemc Cultural Education Society/Simon
                             Fraser University, 61-82.",[436]
"
                     3.3.1.3, Morphemes in Unusual Positions
                             While there is some freedom of word order in Nxa?amxcin syntax, there is
                     a rigid order for morphological spelling operations.         The speaker does not have                             11The Thompson form is taken from Thompson and Thompson 1996:393.
                             12This Proto-Salish form is taken from Kuipers 1981:81.
                             13] have marked =ay’ as a bound stem because Kinkade (n.d.) includes it
                     in his list of lexical suffixes (which I am labelling bound stems in this work). The
                     semantics of this stem is no longer recoverable.",[51]
"                      Greenberg, Joseph (1963) “Some universals of language with particular reference
                             to the order of meaningful elements”, in Joseph Greenberg, ed., Universals
                             of Language, Cambridge MA: MIT Press, 58-90.",[440]
"                     Rice, Keren (2000) Morpheme Order and Semantic Scope, Cambridge:
                            Cambridge University Press.",[450]
"
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                                  29                     3.1.2   Morphological Structure
                             With respect to the morphological structure in (2), Czaykowska-Higgins
                     presents arguments to support her analysis of a morphological root, stem and
                      word level.   She claims that the morphological root can be isolated as an
                      independent level based on the fact that certain affixes target the root only.         In
                      addition to the morphological root, Czaykowska-Higgins argues for the existence
                      of two more constituents:       the morphological stem and the morphological word.
                      She claims (1998:171) that the morphological stem “consists of all morphology
                      which is not relevant to the syntax and which represents the lexical content of a
                      Columbian word”.       The morphological stem contains the locative prefixes,
                      reduplicative affixes, primary affixes, and the nonreferential uses of lexical
                      suffixes.   Czaykowska-Higgins considers all of these morphemes to be lexical,
                      stating (1998:159-160) that “[l]exical morphemes are those which are not in any
                      way directly relevant to the syntax; this class includes some morphology that is
                      often referred to as derivational”.     The morphological word, on the other hand,
                      contains morphemes that are of syntactic relevance.           These include the aspectual
                      affixes, object and subject markers, transitive and intransitive suffixes, and the
                      referential uses of lexical suffixes.
                              The division between the morphological stem and the morphological word
                      marks a contrast between two separate uses of lexical suffixes:           nonreferential
                      and referential respectively.     For the first type, which appears inside the
                      morphological stem domain, the lexical suffixes “play no role in the syntax but
                      instead serve to specify or extend the lexical meaning of the Root to which they
                      are affixed” (1998:164).     The referential lexical suffixes, which appear outside the
                      morphological stem, are considered to “function as morphosyntactic objects” in
                      that they “seem to satisfy an internal argument of the root and to have meanings
                      which are fairly concrete or referential” (1998:164).
                              Czaykowska-Higgins points out that the two functions of lexical suffixes
                      suggest that a lexical vs. grammatical (or morphosyntactic) distinction may be
                      more relevant in an analysis of the morphological structure of Nxa?amxcin
Reproduced with
Reproduced with permission
                permission of
                           of the
                              the copyright
                                  copyright owner.
                                            owner. Further
                                                   Further reproduction
                                                           reproduction prohibited
                                                                        prohibited without
                                                                                   without permission.
                                                                                                               30                     words, as opposed to a derivational vs. inflectional distinction.4 The division
                     between lexical and grammatical/morphosyntactic morphemes in word formation
                      marks the boundary between the morphological stem and the morphological
                      word in the structure in (2). Czaykowska-Higgins defines morphosyntactic and
                      lexical morphemes as follows:
                      (3)     Morphosyntactic morphemes
                                     are relevant to the syntax; that is, they
                                             i.     exhibit inflectional (configurational, agreement,
                                                    inherent, or phrasal) properties
                                     or      il.    reflect the syntactic frame or argument structure of a
                                                      stem
                              Lexical morphemes
                                     change or extend the lexical meaning of a stem
                                                                                Czaykowska-Higgins       1998:159
                      Czaykowska-Higgins makes it clear that her use of the term “morphosyntactic”
                      has much broader scope than that of “inflectional”.          She writes (1998:159),
                      “[t]he morphosyntactic category as I am defining it includes morphemes that
                      reflect what are traditionally considered to be inflectional properties such as case,
                      number, gender, and aspect, but also includes morphemes that play some part in
                      determining or reflecting the syntactic frame or the argument structure of a Root.
                      In other words any entity that plays a role in the syntax is morphosyntactic,
                      whether that role is inflectional or functional”.       In effect, Czaykowska-Higgins
                      argues that a derivational-inflectional distinction like that defined in Anderson
                      1982, 1988 cannot account for the dual behaviour of the lexical suffixes, thus, a
                      lexical-grammatical distinction has more explanatory value in this case.5
                              4Czaykowska-Higgins notes that the order of morphemes also supports a
                      lexical vs. grammatical/morphosyntactic distinction.
                              5Rice (2000) also takes an alternate view in her morphological analysis of
                      Athapaskan verbs. Instead of a derivational vs. inflectional distinction, Rice
                      distinguishes between lexical items and functional items. The former covers items
                      that are usually labelled derivational, while the latter includes some items that
                      have been considered derivational and others that have been viewed as
                      inflectional.","[41, 42, 43]"
"                     Kinkade, M. Dale (1999) “Positional prefixes and variant prefix order in Moses-
                            Columbian Salish”, Papers for the 34th International Conference on
                            Salish and Neighbouring Languages, Kamloops BC: Secwepeme Cultural
                            Education Society/Simon Fraser University, 96-111.",[444]
