Paragraph,Page number
"What is the order of words in a
postpositional phrase in English?",[239]
"C. The instructor reads the Omaha
names aloud, noting their meanings.
The students repeat the names aloud
as a class. The instructor then goes
through the names randomly, asking• A series of verbs can sometimes be
chained together. When this occurs,
one verb is the head verb. The head verb
applies to the subject immediately. Other
verbs modify the head verb by describing
or limiting the domain of its action.
• In English the head verb comes first, and
any modifying verbs follow it in a chain.
In Omaha, the order is reversed. The
head verb comes last, and any modifying
verbs precede it in the reverse of the
order they would appear in an English
sentence.
• In English the modifying verbs in the
chain are usually introduced by the littleExpressions and Word Orderword “to,” as in “to walk,” “to hear,” and
so forth. In Omaha, there is no “to” word.
The basic verbs are simply placed one
after another.","[391, 392]"
"Demands and AblautHow to Construct an English SentenceHow to Construct an Omaha SentenceThe English method relies on permutations of
classes of concept words and is extremely complicated. The Omaha method is to use a special word for each type of demand and is quite
simple.
Note that in Omaha, verbs always come after
their nouns, whether these are subject or object.
This is entirely different than in English, where
object nouns normally come after their verb.
Thus in English [The cat (subject noun)] [caught
(transitive verb)] [the mouse (object noun)], but
in Omaha [The cat (subject noun)] [the mouse
(object noun)] [caught (transitive verb)].","[407, 408]"
"7. She may order him to speak
English.",[405]
"• The possessive prefix gi-­before a
transitive verb implies that the verb
affects an object that is the possession of
the subject. Thus the subject is acting on
his or her own thing or relative.",[574]
"7. She may order him to speak English:
Wāx̌ e īe tʰe ié āgazhi tte.",[595]
"8. Since I have become an old
man, I’m going to put my affairs in
order.
9. I don’t like that boy because
he’s boastful.",[579]
"299and these take a definite order. Only two
consonants can be in a cluster. A fricative
comes before a stop, n, or a ledh. A stop
comes before a ledh.",[370]
"8. Since I have become an old man, I’m
going to put my affairs in order: Iⁿshˀáge
ahí tʰe egóⁿ, agígthiwagazu tta miⁿkʰe.",[646]
"• A word that tells what someone is doing
is called a verb.
• In Omaha a verb can stand alone as a
complete sentence, without needing a
subject in front of it as in English. The
subject is implied. This is the Omaha
way of saying that he, she or it is doing
something.",[375]
