Paragraph,Page number
"7.1. Basic word order in simple clauses
The three basic types of simple clause all share in common the constituent
order subject—predicate. The subject in Supyire is typical from a cross-linguistic point of view, and has the most common subject properties noted in
Hopper and Thompson (1980). From a pragmatic point of view, it is the unmarked topic of the clause (see Giv6n 1984: 139). From a semantic point of
view, it is for the most part the participant which is highest on the scales of
animacy and control. From a syntactic point of view, apart from the obvious
word order criterion (which in the context of this section would be a circular
identification), it is the noun phrase which controls reflexivization (chapter
10, section 10.4), ""equi-NP"" deletion in complements of modality verbs (see
chapter 11, section 11.2), switch reference (see chapter 15, section 15.3),
and the ""logophoric"" alternation between anaphoric and emphatic pronouns
in complements of verbs of speech (see chapter 11, section 11.5.1). All these
are typical syntactic properties of subjects cross-linguistically. In addition,
the subject is the only syntactic role in Supyire which requires a resumptive
pronoun when fronted for focus (see chapter 12, section 12.1.1). Following
are examples of each of the three major clause types, illustrating the order
subject—predicate.
(1) a. identificational:
Mi) wl
I
it.is(GlS)
'It's me.'",[260]
"1.2. The language
Supyire belongs to the Senufo group of the Gur family of Niger-Congo. Although no systematic reconstruction has yet been done, preliminary evidence
indicates that the Senufo languages can be divided into northern, central, and
southern branches. Supyire is the southernmost member of the northern
group, which also includes Minyanka (spoken in Mali to the north of Supyire), Nanerge, and Sucite (spoken in Burkina Faso). All of these languages
are quite closely related to each other. Supyire is separated from the central
Senufo languages to the south by a narrow band of Mande-speaking people.
The Kampwo dialect described in this grammar is only one of several. At
this point little is known of the degree to which the dialects diverge from
each other. Within the Kampwo area the speech is fairly homogenous, and I
had no difficulty in communicating with people 30 kilometers to the south or2Chapter 1: Introduction20 kilometers to the north of Farakala. Further afield, however, there are notable differences which call for investigation.
The Senufo languages are like other Gur languages in having a suffixal
noun class system. They are atypical, however, in having a word order like
that of Mande languages, to which they are geographically contiguous. The
chief peculiarity of this word order is the placement of the direct object before the verb, but of all indirect objects after the verb. This order is an areal
phenomenon, being also shared by Songai to the north, and, to some extent,
by the Kru languages to the south.
The Senufo languages resemble the Mande languages in numerous other
ways besides word order. Many of these similarities are noted in this grammar, and many more would doubtless come to light if the matter were
studied systematically. It is fairly clear that there has been a long history of
bilingualism in Bambara (or its diaspora Jula) among the Supyire. Many
lexical items and quite a few grammatical ones have been borrowed from
Bambara, and it is probable that several grammatical constructions are
caiques on the corresponding Bambara constructions. An effort has been
made to indicate Bambara borrowings in the examples. The Bambara forms
given are taken from Bailleul (1981), though it should be borne in mind that
the dialect recorded there is standard Bambara, whereas the source dialects
for Supyire loans are normally Gana and Sikasso Jula.","[24, 25]"
"1.6. Typological characteristics
Given the typological aims of this grammar, it may be helpful at the outset
to mention some ways in which Supyire may be interesting. In the
phonology, the complications of the tonal system are certainly worthy of
note, in particular the system of four phonemic tones within a three-level
register. In syntax, the word order (with direct object preceding the verb but
all indirect objects following it) alluded to in section 1.2 above is of interest.
Another point of interest is the extensive use of serial verb constructions in
many parts of the grammar.
In complex constructions, the rarity of true embedding is of note. Complement clauses and relative clauses are placed alongside the ""main"" clause in
a nearly paratactic way. The beginnings of embedding can be detected in
both cases, showing that Supyire is at an interesting stage of syntactic
development. Finally, clause chaining is used in connected discourse,
especially narrative, with a system of switch-reference conjunctions unique
to Senufo languages.",[28]
"The absence of any copula in the affirmative, and the absence of any
relative clause morphology or syntax, makes the ""cleft"" look very much
like Y-movement. The construction seems in fact to cover the pragmatic
functions of both clefts and Y-movement (i.e. both strong and somewhat
weaker contrast). I have chosen to label it cleft because of the use of a
copular element in the negative, and because of the use of a place-holding pronoun when the subject is focused. As pointed out by Givön
(1990, chapter 16), in a subject initial language (like English or Supyire) a true Y-movement construction should not be able to code focus on
the subject, since it is already in initial position.
On the face of it this contradicts some predictions based on the
""accessibility hierarchy"" (see Keenan and Comrie 1977, Keenan 1985).
Pronoun retention is typically lower on the hierarchy than gapping.
Supyire is thus unusual in using pronoun retention with subject, which
is the highest point on the hierarchy, and gapping with direct object,
which is lower. Because of the peculiar word order of the Senufo lan-Notes: Chapter 123.","[753, 754]"
"References
1985
1987
19901992
Cauvin, Jean
1980
Cissέ, N ' D o
19851986
Clamens, G.
1952
Clark, Eve
1978739""Grammaticalized
verbs
in
Supyire"",
in:
Scott
DeLancey—Russell Tomlin (eds.), 18—53.
""Narrative connectives in Supyire"", in: Russell Tomlin (ed.),
1-19.
""Grammaticalization of postpositions and word order in
Senufo languages"", in: Elizabeth Closs Traugott—Bernd
Heine (eds.), Vol. 2: 2 0 1 - 2 2 3 .
""Narrative, subjunctive, and finiteness"", Journal of African
Languages and Linguistics, 13: 59—85.
L 'image, la langue et la pen säe: l'exemple
Augustin: Anthropos Institut.des proverbes.","[761, 762]"
"7.1. Basic word order in simple clauses237Chapter 7
Simple clauses
In this chapter the structure of simple (non-complex) clauses will be described. Simple clauses fall into three basic categories based on the type of
predicate they have: those with pronominal predicates (identifier pronouns),
those with copular predicates, and those with verbal predicates. Aside from
this basic categorization, verbal clauses can further be subclassified according to the semantic and pragmatic nominal roles (""cases"") that they have.
After an initial section dealing with the order of constituents in a simple
clause, each of the above categories will be described in turn. The final
category (verbal clauses) comprises by far the greatest variety of subtypes,
and will consequently occupy the bulk of this chapter. The chapter concludes with a section on optional nominal case roles and another on adverbs.","[259, 260]"
"740ReferencesCroft, William
1991
Syntactic categories and grammatical relations. Chicago:
University of Chicago Press.
Dahl, Osten
1985
Tense and aspect systems. Oxford: Basil Blackwell.
DeLancey, Scott
1987
""Transitivity in grammar and cognition"", in: Russel Tomlin
(ed.), 53-68.
DeLancey, Scott—Russell Tomlin (eds.)
1985
Proceedings of the First Annual Meeting of the Pacific
Linguistics Conference. Eugene: University of Oregon.
1986
Proceedings of the Second Annual Meeting of the Pacific
Linguistics Conference. Eugene: University of Oregon.
Denny, J. Peter—Chet A. Creider
1986
""The semantics of noun classes in proto Bantu"", in Colette
Craig (ed.), Noun classes and categorization (Typological
studies in language 7). Amsterdam: John Benjamins, 217—
240.
de Vries, Lourens
1985
""Topic and focus in Wambon discourse"", in: A. M.
Bolkestein—C. de Groot—J. L. Mackenzie (eds.), Syntax
and pragmatics in Functional Grammar. Dordrecht: Foris
Publications, 155-180.
Foley, William—Robert Van Valin
1984
Functional syntax and universal grammar. Cambridge:
Cambridge University Press.
Frajzyngier, Zygmunt
1986
""Grammaticalization through analysis: a case of switchreference"", in: Scott DeLancey—Russell Tomlin (eds.), 125—
140.
Garber, Anne
1987
A tonal analysis of Senufo: SucitS dialect. [Unpublished
Ph.D. dissertation, University of Illinois.]
1991
""The phonological structure of the Senufo word (Sicite)"",
Journal of West African Languages 21.2: 3—20.
Gerdel, Florence L.—Marianna Slocum
1976
""Paez discourse, paragraph and sentence structure"", in:
Robert Longacre (ed.), Discourse grammar: studies in
indigenous languages of Columbia, Panama, and Ecuador.
Dallas: Summer Institute of Linguistics, 67—102.
Givön, Τ.
1971
""Some historical changes in the noun-class system of Bantu,
their possible causes and wider implications"", in: Chin-WuReferences1975
1979
1984
1989
1990a
1990b741Kim—Herbert Stahlke (eds.), Papers in African linguistics.
Champaign: Linguistic Research, 31—54.
""Serial verbs and syntactic change: Niger-Congo"", in:
Charles Li (ed.), Word order and word order change. Austin:
University of Texas Press, 47—112.
On understanding grammar. New York: Academic Press.
Syntax: a functional-typological
introduction, Vol. I.
Amsterdam: John Benjamins.
Mind\ code and context: essays in pragmatics. Hillsdale:
Lawrence Erlbaum Associates.
Syntax: a functional-typological introduction, Vol. II.
Amsterdam: John Benjamins.
""The evolution of dependant clause morpho-syntax in
Biblical Hebrew"", in: Bernd Heine—Elizabeth Traugott
(eds.), Vol. 2: 257-310.","[762, 763, 764]"
"12.1.1. The cleft focusconstructionThe "" c l e f t "" construction in Supyire differs from the construction so labeled
in other languages (e.g. English) in that it has none of the specific trappings
of relative clause syntax, and does not appear to be derived from it in any
way. Indeed, as will be shown in chapter 13, the influence seems to have
been in the opposite direction. The label is justified on two grounds, however. Firstly, the function of the Supyire construction approximates that of
clefts in other languages. Secondly, the Supyire construction shares certain
syntactic characteristics with clefts in other languages, characteristics quite
separate from anything specifically related to relative clauses.
The cleft in Supyire, like that in other languages, functions primarily to
code strong focus on one item in the proposition. As noted in the preceding
section, a speaker may choose to put an item of information under strong focus for a variety of reasons. The focused item may or may not be new information, but the ""out of focus"" part of the construction is typically presupposed (in a pragmatic if not strictly logical sense).
From the coding point of view, the Supyire cleft is like other clefts in the
following ways: the focused noun phrase is placed first, followed, without a
pause, by the rest of the clause containing the presupposed information. The
focused item receives heavy stress, and the rest of the clause is correspondingly relatively unstressed. In the affirmative, no copula or other verbal element marks the focused noun phrase: 1
(1) Sig6
e υ
a
kard.
bush.DEF to s/he PERF go
'It is to the bush that s/he has gone.'
In the negative, the negative identifier bä 'it is not' is placed after the focused noun phrase.
(2) Sig6
e bä
u
a
Jcärd mi.
bush.DEF to it.it.not s/he PERF go
NEG
'It isn't to the bush that s/he has gone.'
The three elements of fronting the focused item, heavy intonational stress
on the focused item, and use of a quasi-copula (at least in the negative) are
all elements shared by typical clefts cross-linguistically. The absence of any
relative clause morphology and syntax (specifically the absence of relative12.1. Focus constructions469pronouns and of the clause final relative marker) is typical of strong focus
constructions in West African languages (see Creissels 1978 for a survey of
twenty languages).
The presupposed, ""out of focus"" clause which follows the focused item is
not marked in any special way in Supyire with one exception. If the tenseaspect is present progressive (with the auxiliary na), the copula pye is inserted before the auxiliary:
(3) Na
mu /
m)i pye na
yu.
with you with I
be PROG speak.IMPFV
'It is with you that I ' m speaking.'
This admittedly restricted marking of the presupposed part of the proposition
is also found in questions and relative clauses, and forms part of the marking
of negation in progressive clauses (see chapter 9, section 9.4.1.2).
When word order is exploited for pragmatic purposes, its function of coding syntactic roles is disrupted. The cleft construction thus creates a ""caserecoverability"" problem: how does the speaker let the addressee know what
the syntactic case role of the focused item is? With a focused direct object, a
simple gap is used. If the verb is transitive, the absence of a direct object between the tense-aspect auxiliary and the verb is a clue to the hearer that this
is where the focused item belongs. Note that when the direct object is removed from its normal position, the intransitive prefix appears on the verb.
(4)a. unfocused direct object
Pi na
kuru
pirjke
pyi
'bogo'.
they PROG this(EMPH) drum.DEF call bogo
'They call this drum ' b o g o ' . '
b. focused direct object
Kuru
plyke
pi
pye na
0
this(EMPH) drum.DEF they be PROG
'It is this drum which they call ' b o g o ' . 'm-pyi
'bogo'.
IP-call bogoWhen the focused item is the subject, it is immediately followed by a
coreferential anaphoric pronoun. Without this pronoun, the focus construction would be morphologically indistinguishable from an ordinary clause,
since the subject normally comes first in such clauses. The strong stress on
the subject would of course provide an intonational clue, but this is evidently
not sufficient. The pronoun, which like ordinary subjects is unstressed, is an
unmistakable indication that the construction is marked for focus. 2 When the
focused item is a first or second person pronoun, the resumptive pronoun is
third person, gender 1. In the following examples, context has been included
where possible to get a feel for the nature of the focus involved.","[491, 492]"
"4Chapter I:IntroductionThe first assumption is that a language is most insightfully described in
functional terms. Language behavior (like most human and indeed animal
behavior) is for the most part goal directed and purposeful. The forms of a
language (its lexical items and syntactic structures) are analogous to tools.
Accordingly, this description frequently employs the verb 'use'. Speakers
are said to use such and such a construction in order to express such and
such a meaning. More than convention is involved in the linking of a given
form with a certain range of functions. Just as flint is a better material for
cutting than a vine, while a vine is a better material for tying something than
flint, so a given linguistic structure is better suited for some jobs than for
others.
In line with the functional approach is the conceptualization of language as
""code"". In a basic sense the forms of a language exist for the sake of what
they are used to express and not vice versa. The use of the concept of
""code"" can be misleading, however, if it conjures up the idea of an arbitrary
link. The language code, far from being arbitrary, is pervasively shaped by
what it is coding. This shaping results in the essentially iconic nature of
syntax.
Within a code as complex as a natural language, subparts are linked in
subsystems in highly complex ways. Another basic assumption guiding this
description is that it is useful to compare different languages to see how the
subparts interact with each other. It is essential to this typological approach
to describe phenomena in comparable terms. While like any language
Supyire has particularities which require special treatment, a concerted
effort has been made to use generally accepted terminology which will
facilitate cross-linguistic comparison.
A final guiding assumption is that the current state in a language cannot be
understood apart from its history. To return to the tool analogy: in order to
accomplish a novel task, a tool user will select and perhaps modify some
tool whose form is appropriate for the new task. In general, one does not
create a totally new tool from scratch. Thus I may use a screwdriver to pry
off a lid, but would be unlikely to try to perform the same task with a plastic
bag. The plastic bag, however, might come in handy to cover a hole in my
thatch, where a screwdriver would be useless. Neither of these tools was
originally designed for the purpose to which I put them, but their forms
(dictated by their original functions) lend themselves to ""metaphorical""
extension to perform other functions. In a similar way, speakers use the
forms of their language to perform novel tasks.
In order to patch my roof well, I may split open the plastic bag and spread
it out. Although I have modified its form to adapt it to its new function, it
still retains many of the basic characteristics and limitations of its original
form. Historical change in language is analogous. Though a given form may
take on a new function, and be modified in the process, it often continues to1.6. Typological characteristics5retain many of its original characteristics long after the original function is
forgotten.
The historical study of Senufo languages is in its infancy. All too often information which might elucidate peculiarities of Supyire grammar is simply
unavailable. Every effort has been made to indicate etymologies where possible, and quite a bit of speculation about historical antecedents is included.
Much of this will doubtless be superseded, and all speculations should be
treated as such.","[26, 27, 28]"
"Identificational clauses have no further constituents (see following section
for a description). As can be seen from the examples above, however, copular and verbal clauses can and usually do consist of more than simply a subject followed by a copula or verb. Except in the case of existential clauses,
copular clauses have something following the copula, either a predicate
nominal, as in the above example, or an adpositional phrase functioning as a
locative or dative, or an adverb:
(2) a. with locative phrase
U pye bag£
e.
she be house .DEF in
'She's in the house.'
b. with dative phrase
Ku pye m)i ά.
it
be me to
'It's mine (lit. it is to me).'
c. with adverb
U pye ani.
she be there
'She's there.'
The basic structure of copular clauses can thus be summarized as follows:
(3)SUBJECTCOPULAPREDICATE NOMINAL
LOCATIVE OR DATIVE PHRASE
ADVERBVerbal clauses have many more possible constituents. Except in very limited cases, verbal clauses require one or more tense-aspect-modality (ΤΑΜ)
auxiliaries, which immediately follow the subject, and are frequently phonologically cliticized to it. Like copular clauses, verbal clauses may also
have adpositional phrases (functioning as indirect objects with various se-7.2. Ideatificatioaal clauses239mantic roles), a predicate nominal, and adverbs, all of which follow the
verb, as they do the copula:
(4) a. with indirect object
Uakärdsig6e.she PERF go
bush.DEF to
'She went to the bush.'
b. with predicate nominal
Uasiceewe.she PERF be.born woman
'She was born a girl.'
c. with adverb
Usim-paηύτηέ.she FUT FP-come now
'She will come now/
In addition, transitive verbs may take a direct object, which is placed between the auxiliary and the verb:
(5) with direct object
Unmha suroshwoho.she HAB mush cook
'She cooks mush.'
The basic structure of verbal clauses is thus:
(6) SUBJECT ΤΑΜ (DO) VERB (PN) (INDIR OBJS) (ADVERB)
The relative order of the postverbal elements is variable, and a single clause
may have more than one indirect object.
It should be pointed out that any nominal and many adverbs in a copular or
verbal clause may be moved to the beginning of the clause for focus purposes. See chapter 12 for a discussion of this construction. Note that this
means that the subject must be defined (in structural terms) not as the first
nominal of the clause, but as the nominal which immediately precedes the
copula or the auxiliary.","[261, 262]"
