Paragraph,Page number
"( 1 ) Although sub j ects never bear case marking, there are other nouns that may
occur in the c lause that never bear case marking e i ther ( c f . 6 . 1 and 5 . 4 ) .
( 2 ) Obj ect marking is obl i gatory on some di rect obj ects and optional on others
(cf. 6 . 2 ) .
( 3 ) Although indirect obj ects always bear obj ect marking , certain direct
obj ects do so too ( c f . 6 . 2 ) .
Furthermore , a lthough Awtuw ' s basic word order is readily identifiable as verb
fina l , indeed as 50V, as order and other permutations are far too common to
allow word order to be of any value in ident ifying grammatical relations .
It is possibl e , nevertheless , to i solate the three relations on the basis of a
more complicated s tatement of their case marking properties in combination with
other criteria . It is important to be able to identi fy grammatical relations
on formal grounds. and without re ference to verb semantics because the
classif icat ion of verbs in section 5 . 2 relies on the ir abi lity to co-occur with
NPs in various grammatical relations .",[93]
"CHAPTER 7STRUCTURE OF THE NOUN PHRASEAwtuw word order is , on the whole , very free . Where the constraints are most
rigid is within the Noun Phras e . This chapter describes the constituents of
the NP , their possibilities of co-occurrence , their orde r , and the permis sible
permutations of canonical orde r .","[121, 122]"
"2.2Mo rphophono l o gyThis section presents a number of ordered rules which together produce most o f
the phonetic forms of Awtuw words from strings of morphemes .
On the whole , the rules apply to verb forms , but where other types of words
meet the environmental criteri a , these rules affect them as wel l . The only
cases o f such rules are one of the vowel harmony rules ( 2 . 2 . 10) , which changes
the canonical lei of the past , future , and obj ect suf f ixes to lrJ or [�J, and
the pre-rhotic stop insertion rule in 2 . 2 . 18 .",[22]
"6. 1Unmarked c a s eThe Sub j ect of the clause , as identi fied above in section 5 . 1 , is always
unmarked .
(1)rev d- ey- e
3SG FA-come-p
he came107108
(2)eywe
m- a l w0
ancestor go-descend-p
the ancestor descendedPredicate NPs are a l so unmarked .
(3)M i y t i y yene t u k re rame , rev wokak rame vapo r
Miytiy NEG short man
3MS tal l man very
Miytiy isn ' t a short man, he 's a very tal l manAs we saw in Chapter 5 , any Obj ect , including the recipient of a bitransitive
verb or the bene fic iary of a verb with benefactive · marking , may accept Object
mark ing . This section will examine under what circumstances Object marking is
obl igatory , and under what circumstances it is optional .
I n order to describe the relative tendencies of NPs to bear Object marking , we
must first develop an Empathy hierarchy . NPs conforming to the type s to the
left are higher in empathy than those to the right . Object NPs of the highest
empathy a lways take Obj ect marking . Tho se of the lowest empathy ra re ly take
Obj ect marking , and those in between have a greater or lesser propensity to
take i t . This depends particularly upon whether o r not the object N P is
de finite , and the relative empathy of the object and the sub j ect . The
conditions under which obj ect NPs take Object marking are di scussed in de tai l
in section 6 . 2 .
[ PRO ] > [ prN ] > [ +HUMAN ] > [ +ANIMATE ] > [ -ANIMATE ]F i g u re 6 . 1
The Object of a clause is optiona lly marked when it is lower in empathy than
the Subj ect ( c f . 6 . 2 ) . Consequently , low-empathy Common noun Objects are
frequently unmarked .","[113, 114]"
"I)aye
I)amey
lam
yaye
napre
eywe
yren
yenankeyke
waway
mame
elne
ene
tamyren
yawyren
vapor
talet
rer
yretkrelne
trepiyne
yenan
ayram
walne-+--+-+--+-+--+-+--+-+--+-+--+�
�
-+--+-+--+-+--+-+--+-+--+-+--++--+
+--+
-+--++--+
+--+
+--+
+--+
-+--+-then X calls Ego :yren
yren
yaye
lam
napre
yenankeyke
f)amey, f)aye, mame, ene
eywe
yawyren
yren
elne
yren
tamyren
waway
talet
vapor
rer
yretkrelne
trepiyne
I)a ye , I)amey
ayram
walne1 1 . 1 . 6 The birth order o f chi ldren can be specified by four compounds with
The se are not , strictly speaking , part of the system o f k inship terminology .
They are only used in enumerating one ' s children or in spe c i fying the birth
order of a particular group of sibl ings .watik+yren
takle+yren
l uwk+yren
palmo+yren(sprout+childJ
(middle+childJfirst child
second chi ld
middle chi ld
last childyren.",[189]
"I NDEX
case marking 3 2 , 4 2 , 5 1 , 87 , 1071 5 , 116 , 1 3 3 - 4 , 156-60 , 165
causative verbs 99
cause-result construction 1 5 2 ,
163-4 , 1 7 1
ceremony 7
children ' s speech 9 , 11
classification of lexemes 26-39
classi fication of kinship sys tem
182
classif icatory predication 138
clause constituent 1 1 6 , 1 3 1
clause co-ordination 1 5 2 , 168-70
cle fts 150
CMML 5
cognition 103-4 , 157 , 160 , 163 , 1 7 1
colour terminology 3 5 , 185 - 7
comitative 7 2 - 3 , 1 1 3
common nouns 29-3 1 , 116-7 , 1 1 9 , 1 2 9
comparative construction 169 , 1 7 1
comparative predication 1 3 6 - 7
complement-taking verbs 97 -8 , 100-1
complement-taking predications 140
complements 89 , 97-8 , 100- 1 , 1 1 2 ,
156-63 , 1 7 1
componential analysis of kinship
terminology 172-5
compound roots 7 5 - 80
compound seriali sation 1 5 2 - 3 , 1 7 1
compounding 46-9
conditional suffix 58-9 , 63-5
conditional clauses 1 5 2 , 168 , 1 7 1
conj ugation classes 80-3
consecutive action 1 5 2 , 171
consecutive suffixes 7 5 - 6 , 7 9-80
consonant clusters 14-15
consonant inventory 11
continuous aspect 60 , 1 5 3 -4
co-occurrence restric tions 52-7 0 ,
116 , 120
co-ordination 1 5 2 , 168-71
co-reference 87-9 1 , 1 3 1 -3 , 158
counting 189
cousin terms 182abbreviations i i i
abi lity 57
accessibility hierarchy 164
addre s s 196
adj ective 34 , 116 , 118 , 130
adjective derivation 29- 3 0 , 3 5 ,
49-50 , 185-6
adj ective phrase 116 , 127-8
adverb 34-6 , 4 5 , 189
adverb derivation 50-1
adverbial clauses 152 , 166-7 , 1 7 1
adverbial prefixes 74-6 , 167
adverbial suffixes 7 5-6 , 79 , 167
allomorph 10
'
al lophones 11-13
alternative particle 36-7 , 142-4
alternative questions 143
anaphora 88-9 , 158
apposition 1 3 2 - 3
ascriptive predication 1 36-7
aspect 60 , 65 , 91- 3 , 153 -5 , 168
aspect-marking 2 7-8 , 59-6 1 , 65
aspectual suffixes 7 5 -8
assimilation rules 18- 2 2 , 24
assumptions , theoretical 1- 2
Au language 4 , 6 , 8
' auxiliary ' suffixes 75-7
� � �� y 8 5 , 104 - 6
Awtuw speaking communities 3 , 4
benefactive 7 5-7 , 102 , 1 1 1 - 1 2
Bible 6
birth order 183
bitransitive verbs 9 1- 2 , 100-1
bodily function verbs 94 - 5
botanical terminology 192
Bouye language 4 , 8
brackets 17
calling animals 1 96
calling people 195-6
cardinal bitransitive verbs 100-1
cardinal transitive verbs 95-8
case 9 1-4 , 107-15222223
dffin i 124- 5 , 188
days 190
debitive 19 , 54-6 , 60-3
definiteness 124-5 , 138
deletion rules 17 , 2 0 , 2 1 , 23
demonstrative pronoun 3 2 , 45-6 ,
1 1 7 , 1 2 1-6
derivation 49-5 1 , 185-6
description , linguistic 2
des iderative suffix 63
determiner 29, 116 , 1 2 0- 7 , 1 3 2 - 3 ,
164
dialects 7 , 9 , 1 1 , 1 2
diminuiive suffix 4 3
direct obj ect deletion verbs 100-1
direct obj ects 87 , 9 1 , 95-103 ,
107-12
direct perception 89 , 159 , 1 7 1
direct quotation 169 , 1 7 1
direction prefixes 74-5
direction verbs 93-4 , 97 , 1 5 2 - 4
dislocat:i,on 150
distributive adverbs 189
dual prefix 66 , 7 1- 3
dual suffix 30
durative aspect 60elision 14 ; 17 , 20, 2 1
empathy 108-11 , 1 2 9
emphatic pronouns 89-90 , 147-8 , 1 7 0
epenthe sis 2 2 , 2 3
equative predications 1 3 8
event verbs 94-5
exhortation 61-2
existence 104-6
extension o f kinship terms 176
factive 58-9
factive pref ix 23
feature specifications 1 3
features 2 , 17 , 26-7 , 61-70
fictive kin 185
foc i o f kinship terms 172-3
focus 148-51
focus particle 3 7
formal properties of nouns 40-1
frustrative form 63
future complement construction
1 5 7 -8
future suffix 16 , 2 1 - 2 2
future tense 57-9 , 6 1 , 63-4 , 160 ,
166Galgatu 3-6
gapping 169
gardens 6 , 7
geminate reduction 24
gender agreement 1 2 3 , 150
generative theory 2
generic suffix 116 , 118 , 1 2 1- 2
gestures 189 , 196
glides 10 , 1 1
goal 1 5 3 - 4
grammatical relations 8 7 - 9 1
greetings 1 9 4
grunts 1 96
Gutaiye 3-5 , 7
head noun 164-6 , 1 7 1
hortative 54-5
houses 6 , 7
hunting 6 , 7
idiomatic composite predicates
103-4 , 140
i �i y 85
i l locutionary force 54-6 , 6 1
imperative 1 9 , 5 5 , 60-2
imperfective aspect 60- 5 , 8 0- 3 ,
156 , 164 , 1 5 9-60
imperfective complement construction
1 5 2 , 1 5 9-60 , 1 7 1
imperfective suffix 1 9
indirect di scourse 160- 2 , 1 7 1
indirect obj ect deletion verbs
100-1
indirect obj ects 87 , 9 1 , 100- 2 ,
110-12
inferential perception 160
instrumental/comitative case 97 ,
1 1 3 , 166
intensi fiers 3 4 , 116 , 120-7 , 1 3 0
interclausal relations 1 5 2 - 7 1
interdependent clause construction
1 5 2 , 164 , 1 7 1
interpredicate relations 1 5 2 - 7 1
interrogative adverbs 3 6 , 4 5
interrogative pronouns 3 2 , 1 1 7 ,
144-5
intonation 1 2 7 , 1 4 2 , 149 , 1 54-6
intransitive verbs 91-95
irregular verbs 8 3 - 5
iterative aspect 60224
Kamnum 1 , 3-9
Karawa 4, 5, 8
- ke 3 2 , 4 2 , 5 1
kinship terms 3 0 , 116-7 , 1 2 0 , 1 7 2 -8 5
Knight 5
- kwo 3 5 , 50-1 , 170 , 185-6nouns 29-3 1 , 40-1
number agreement 3 1 , 7 1- 3 , 1 2 3 ,
150
number marking 3 0 , 5 1 , 66 , 1 1 6 ,
126
numerals 188laterals 1 1
Laycock 5
' lexical ' adverbs 36
lexical classes 26-39
location prefixes 74-5
location verbs 94-5
location/direction suffix 1 0 , 3 2 ,
42 , 51
location/direction case 91-4 , 114-5
location particles 135
locative predications 1 3 5
Lumi 4 , 5 , 8obj ect case 108- 1 2 , 160
obj ect deletion verbs 100
obj ect suffix 16 , 2 1-2
obj ects 87 , 91 , 95-103 , 107-12
obligation 56
obliviative pronouns 3 2 , 44 , 1 1 7
obstructive suffixes 7 5 -6 , 80
010 language 4 , 5, 8Macgregor 5
manner adverbs 35-6
manner clause 169- 7 1
markedness 2
Missions 5-6
modality marking 54-8 , 61
morphophonology 16-25
morphophonological rules 52 , 58
motion prefixes 19 , 2 3 , 74-5
motion verbs 94 , 153-4
multil ingualism 8
name taboo 17 2 , 184-5
names o f dogs and pigs 196
nasal assimilation 18 , 19
nasals 11
necessity 54, 56 , 61
negation 55- 8 , 61-3 , 66 , 145-7
negative particle 37 , 146-7
negative prefix 145-7
neknek 140-1
ne nam 140-1
- neney 29- 3 0 , 3 5 , 49-50 , 1 3 2 , 140-1
nicknames 195
nominal constituent 116- 2 6 , 1 3 1-3
nominal serialisation 130-3
nominalisation 152 , 1 56-66 , 1 7 1
non-restrictive relative clause
1 3 2 , 166
nonfactive prefix 58-9 , 6 1 , 63-5
nonpresent 61 , 63-5
nonsubstantives 34-9
noun phrase 2 7
noun phrase structure 116-34particles 36-7 , 1 3 5 , 142-9
parts-of-speech 26-39
parts-o f-speech identi fication
26-7
parts-of-speech names 27
past tense 63 , 160-6
past tense suffix 16 , 2 1 - 2
perception 159 , 162 , 1 7 1
perfect aspect 60 , 6 5 , 1 6 1
perfect aspect suffix 20- 1 , 2 7 - 8
permi ssion 56-7
person 162
person agreement 88
personal names 117 , 120 , 1 2 2
personal names 3 0 , 89-90
personal pronouns 3 2 , 4 1-4 , 89- 9 1 ,
117 , 12 1-4 , 1 26
phonotactic constraints 14-15
phrase-structure rules 116
physical state verbs 94-5
place names 30, 117 , 122
plural number 66, 7 1 - 3
plural suffix 5 1
plurals of kinship terms 1 7 3
- po 37 , 148-9
po ssession 104-6 , 107
possessive case 107 , 1 1 2 - 3 , 156-9 ,
163-5
posses sive NP 1 16 , 12 5-7 , 1 3 3 -4
possess ive predication 136-7
possessive suffix 5 1
poss ibility 56-7
posture verbs 94
potential 57 , 62-4
preference verbs 157
progress ive aspect 60
prohibitive 56
prohibitive pre fix 23225
pronouns 3 1 , 41-6 , 116-26 , 144-5 , 150
proper nouns 29-3 1 , 1 2 4
pseudoclefts 1 5 1
' psych-action ' complements 1 5 2 , 158 ,
171
purpose clause 158 , 1 7 1
quantifiers 29 , 89 , 116- 7 , 120- 1 , 1 2 4
quantitative predications 1 3 7 - 8
quantitative suffixes 7 5-6 , 78-9
questions 142-5
raising 163
Ram ' stock -level ' family 5
reciprocal 66-7
reciprocity of kinship terms 1 8 2 - 3
redundancy rules 6 1 , 62-4
reference 29-31
referenti a l i ty 124-5
re flexive marker 89-90 , 147
reflexive construction 147-8
relative clauses 1 16 , 118-9 , 1 3 2 ,
150-2 , 164-6 , 1 7 1
relative person 162
relative tense 1 56-66
repetition seriali sation 1 5 2 , 154 ,
171
resumptive pronoun 1 6 5
root compounds 1 5 2 - 3 , 1 7 1
rules 1 1 6
sago 6
Scorza 6
semivowel s 1 0 , 11
Sepik River 7
Sepik sub-phylum 5
sequence o f person 162
sequence of tenses 160-6
serialisation 94-5 , 1 5 2 -6
sex - gender agreement 1 2 3 , 150
shrugs 196
signals 194
simultaneity 1 5 2 , 160 , 1 7 1
source 9 3 -4 , 97 , 1 5 3
speed adverbs 3 4 - 5
stop insertion 16 , 2 5
stops 1 1
stres s 14-16 , 148
subj ect 87-91 , 95-10 2 , 107 , 109-11
subj ect complements 160 , 171
substantives 2 8 - 3 3
substitution test 87-8 , 90
suggestion 54taboo 7 , 17 2 , 184-5
tap 1 1 , 12
Taute village 5 , 6 , 8
temporal adverbs 190
temporal clauses 166-7 , 1 7 1
tense 58-9 , 61 , 6 3 - 5 , 1 5 2-69
theory , l inguistic 2
time of day 190
Tok Pisin language 3 , 8
topicalisation 149
Torrice l l i Mountains 3 , 7
Torrice lli phylum 5 , 8
transitive verbs 91-2 , 9 5 - 100
truncated verb seriali sation 1 5 2 -4 ,
167 , 1 7 1
Tubum vil lage 3 , 4 , 6 , 7 , 9
verb classification 91-102
verb complex structure 5 2 -4
verb concatenation 1 5 2 , 154-6 , 1 7 1
verb forms 16
verb phrase 5 7 , 9 1
verb phrase concatenation 94-5 , 1 5 2 ,
1 5 5 -6 , 1 7 1
verb serialisation 1 52-6 , 1 7 1
verbless predications 1 3 5 -4 1 , 1 50-1
verbs 28
vocative case 115 , 195
vowel gradation 17 , 2 5
vowel harmony 16- 2 2 , 2 4
vowe l inventory 12
vowe l reduction 25
-Wi£W 3 0 , 5 1
war 5
weather verbs 94
Whitehead 107
wi lkili vil lage 4 , 5 , 8
Wiup village 3 - 5 , 7 , 9
-wom 5 1
word order 87 , 116 , 1 2 9 -3 0 ,
1 3 9-40 , 147-5 1 , 156-7 , 163 , 167
Yi£n 46
-Yi£n i m 2 9 , 51 , 116 , 1 1 8 , 1 2 1 - 2
Yau language 4 , 8
ye l ow 147-8
yene 37 , 5 7 , 147-7
y i ma y 147-8
Yis language 4, 8
yok r i 36-7 , 142-4zoological terminology192-3PACIFIC LINGUISTICS - LIST OF PUBLICATIONSAfter each entry , I SBN numb e r s have been added . Whe r e the r e is mor e than one
numbe r , the f i r s t r e fe r s to the complete set of volumes and the second and/or
sub sequent numb e r s to ind iv idual volume s or par ts .
Note : the ear l iest wor k s we r e cal led LINGU ISTIC C I RCLE OF CANBERRA PUBLICATIONS ,
howeve r all now bear the name PAC I F I C LINGUISTICS .
A l l volumes a r e sof tbound unless otherwise ind icated .
Unma r k ed publicat ions which come unde r ' Languages for inter cultural communi­
cat ion in the Pac ific a r ea ' proj ect ar e : A- 5 4 , A- 5 7 , B - 2 6 , B - 6 1 , B - 7 3 , C- 3 4 ,
C- 4 0 , C- 5 2 , D- 3 , D- 5 , D- 1 2 , D- 2 3 , D- 2 9 ( note the change o f proj ect name ) .
SERIES A - OCCASIONAL PAPERSNo . 1 .
No . 2 .
No . 3 .","[227, 228, 229, 230, 231, 232, 233]"
"Refl e x i vesCertain verbs allow re flexiv isation to take place . Only patients , recipients ,
and benefactives may reflexivise . Possessors and commitatives may not . The
two re flexivisers y i ma y and ye l ow , must always fol low the reduplicated form of
a pronoun co-referential with the subj ect . They take Obj ect marking optionally .
The word order in re flexive clauses is rigidly S REFL ( 0 ) V .
( 32 )( 33 )( 34 )(alO s i y rev - rev y i ma y ( - re ) d - u pwo - ka
FA-see- PF
Osiy 3MS-3MS REFL- 0
Osiy has seen himse lf(b)O s i y rev- rev ye l ow ( - re ) d- upwo - ka
FA-see- PF
Osiy 3MS- 3MS REFL- 0
Osiy has seen himse lf(a)wan wa n -wa n y i may ( - re ) CIlye da- kow- ka
l SG lSG- 1SG REFL- 0
food FA-give-PF
I have given myself some food(b)wan wa n - wa n ye l ow ( - re ) CIlye da- kow- ka
lSG lSG- lSG REFL- 0
food FA-give-PF
I have given myse lf some food(a)N umoy rev - rev y i ma y ( - re ) tawkway d- i y p u d - kow- ka
Numoy 3MS- 3MS REFL- 0
tobacco FA ro l l- give-PF
Numoy has ro l led hims e lf a cigarette(b)N umoy rev - rev ye l ow ( - r e ) t awkway d- i ypud - kow- ka
Numoy 3MS-3MS REFL- 0
tobacco FA rol l- give PF
Numoy has ro l led hims e lf a cigarette( 35 ) ""' Numo y rev- rev y i ma y - ke neme t - te d u - p u y a - ka
Numoy 3MS- 3MS REFL- PS mother-o FA-hit- PF
Numoy has hit his own mother148
The ye l ow/y i ma y reflexive construction has a very low functional load - there
are no examples whatsoever in the corpus of narrative I have collecte d . This
is in part because in many of the cases where one might expect frequent
reflexivisation , for example with a verb l ike �QrY� wash , the reflexive is
lexical ised , in this ins tance by y i w l Y�� water bathe .
( 36 )( a ) *Wa yekaw t e y - tey y i may ( - re ) da -wa rya - k a
FA-wash- PF
Wayekaw 3FS-3FS REFL- 0
Wayekaw has washed herse lf
(b)d - i ywa - ka
Wayekaw y i w
Wayekaw water FA-bathe-PF
Wayekaw has bathedAnother factor contributing to the low frequency of such re flexives is that in
benefactive constructions where one could conceivably occur , the benefactive NP
is more l ikely to surface as a posse s sive .
[ 34 ]9.4N umoy rey- rey - ke tawkway d - i yp u d - ka
Numoy 3MS-3MS-PS tobacco FA-ro l l- PS
Numoy has ro l led his own cigaretteFoc u s i ngAlthough constituent order within a clause carries no information about the
case roles of the nomina l constituents , neither does it appear to bear
information about the relative focus of the various constituents . The two most
common methods of focusing a constituent are sentence stre ss and the particle
po , usually used in concert with each other .","[153, 154]"
"3 . 8 . 1 The suffix - neney i s enormous ly productive and regularly forms
apparently nonce express ions from any e l igible noun , i . e . any common noun .
Its basic meaning would appear to be to attribute the noun bearing the suffix
as a property or posses sion of the noun that the derived adj ective mod i f ie s .
The examples i n ( 3 8 ) illu strate these two meanings .
( 38 )(a)neknekneney
knowledge-y
c lever(b)ffiW re- neney
house-y
having a house(c)YffiY+ t i w- neney
skin+hair-y .
hairy(d)yen kay- neney
husband-y
married (of woman)Another important function of thi s suffix is to take up the s lack left by
Awtuw ' s closed class of adj ectives . Unl ike many other languages with closed
adj ective classes , many of the gaps in the inventory of basic adj ectival50
meanings are filled not by nouns or verbs ( cf . Schachter to appear p . 1S ) , but
rather by derived adj ectives with - n eney .
(39)(a)t a pwo- neney
fire- y
hot(b)n ampe t - neney
co ld- y
cold(c)y i w- neney ( c f . rey 1 e dry )
water-y
wet, fu l l of water3 . 8 . 2 As noted above , - kwo/-wo has a number of functions . The distribution of
the two a llomorphs appears to be lexically conditioned . Perhaps most important
among these is the derivation of colour terms . Section 1 1 . 2 contains further
discussion of colour terminology .
( 4 0)(a)t i p ra y - kwo
soot- like
b lack(b)reyp i y- kwo
b lood- like
red(c)nene 1 - wo
unripe- like
greenExamples ( 40a) and ( 40b) il lustrate the derivation of ad j ectives from nouns and
( 40c) il lustrate s the derivation of an adj ective from another adj ective .
Another important function of this suffix is to derive an extremely common
adj ective .
1 um-wo
fat- like
s low, easy(41)Thi s suffix may be added to any adj ective to fudge its meaning .
(42)(a)pa r p a r - kwo
sharp-like
kind of sharp(b)t u k re- 1 i ke
short- like
kind of shortI t has an important function in a type of comparative predication , discussed
in chapter S .
( 43 )yen-ke reymen wa n - ke - kwo
2SG-PS knife l S G-ps- like
your knife is like mine51
Finally , the same suffix productively derives adverbs from nouns ,
demonstratives , and other adverbs .
(44)(45)( 46)(a)p i y re n - kwo
doglike
like a dog(b)Po l i w- kwo
Po liw- like
like Po liw(a)topo r - kwo
that- like
thus(b)a d e r - kwo
this-like
thus(a)kwo
ya rowtomorrow-like
around tomorrow(b)tcey- wo
near- like
sort of near3 . 8 . 3 The number markers occur on human Common and Proper nouns in the case of
-wcew DUAL and -worn PLURAL and on Place names and most common nouns and
adj ectives in the case of ycen i rn GENERIC . All three of these have the pecu l iar
property of deriving a form with some of the morphological character istics of a
personal pronoun from a noun . Both the di stribution of the number markers and
the morphological properties of personal pronouns rece ive fuller discussion in
section 3 . 5 and 3 . 6 . But briefly , where nouns may not take the possessive
suffix - ke , nouns bearing the number markers may . Where a subclass of nouns
may take the locative suffix - a / - ka , nouns with number marking may not . And
where nouns take one of the allomorphs of the object marker beginning with a
consonant , number-marked nouns take the al lomorphs consisting of a vowe l alone .
-CHAPTER 4V E RBAL MORPHOSYNTAX4. 1Structure o f the verb compl exMany o f the aff ixes discussed in this chapter have already appeared in section
2 . 2 . There I was concerned with the changes phonemes undergo in the presence
of other spec i fied phonemes and boundaries in the verb complex and elsewhere .
Here , I descr ibe the formal morphological simi larities and differences among
verbs , the co-occurrence of affixes , and the meanings and functions of the
affixe s . I llustrative paradigms are to be found at the end of this chapter .
We can begin by examining a few highly expanded forms of typical verbs to
i l lustrate the overall structure of the verb complex and the order of the
elements that it compr ises . For the sake of intel ligibility , I wi l l f irst
display a table o f the slots i n the verb complex and the affixes that may f i l l
them , and then present the evidence for the analys i s . with the exception o f
slot +1 , the l i s t s o f affixes for each slot are exhaustive . I discuss the
aff ixes that occur in slot +1 fully in section 4 . 1 2 .
Co-occurrence restrictions make three examples neces sary to i l lus trate the
relative order of a f f ixes in all slots . I will discuss these in subsequent
section s .
Example ( 1 ) shows the relative order o f a f f ixes i n s lots -8 , - 7 , - 6 , - 5 , -4 ,
- 3 , 0 , +1 , +2 , and +5 .
(1)+1 +2 +5
- 8 - 7 - 6 - 5 -4
-3 0
ka - d - ma - t aw-ow ra - t - a k l a - kow- kay-e
NG-FA-MT-YET-AGN- Du-dig- BEN-PF- P
(two) hadn ' t gone and dug again for (someone ) yetExample ( 2 ) shows the relative order of a f f ixes in slots - 7 , 0 , +3 , +4 , + 5 ,
and +6 .
(2)-7 0
+3 +4 +5
+6
w- a k l a -m- ek- rere-m
NF-dig PL-CDL-DES- PL
(PL) wanted to dig> but didn ' t
-And example ( 3 ) shows the relative order of affixes i n slots - 3 , -2 , -1 , 0 ,
and + 2 .
(3)-3 -2 -1 0
+2
t - k - n i - puya-ey
DU - IP Rc- hit IP
(two) are hi tting each other
--5253Tab l e 4 . 1 : Structure o f the Awtuw verb compl ex
-8
MODALITY : k a - NG, n a - PT , pa - HT , k a n - IMP , w a n - DB , a p - PR , n i l - NDB
-7
REALITY : w- NF , d - FA-6
LOCATION/DIRECTION : ma - MT , wa - AB , l a m- DS , l om- DH , wam- UH , yam- US
-5
-4
ADVERBIAL : taw- YET , ow ra- AGN-3
DUAL : t -2
IMPERFECTIVE : k-1
REC IPROCAL : n i oROOT
+1
COMPOUND* : - kow BEN , see 4 . 1 2 ( 3 0 items)
+2
ASPECT : - i y I P , - ka y PF
+3
PLURAL : -m, - n em, - mem
+4
CONDITIONAL : - ( k ) ek
+5TENSE : - re re DES , - re FU , - e P
+6
PLURAL : - mExamples ( 4 ) and ( 5 ) illu strate that , again with the exception of s lot +1 ,
only one affix may occur in any given s lot .
(4)( a)+5
-8 -8 - 7 0
1'k a - n a -w- a l ow- re
NG-PT-NF-speak-FU
*can ' t speak54
Example ( 4a) provides the single most semantically plaus ible combination of
affixes from the same slot avai lable from the inventory . Neverthe less , it is
entirely unacceptable , the form with this meaning being :
(4)(b)+5
-8 -7 0
ka -w- a l ow- re
NG-NF-speak-Fu
can ' t/won ' t speakThe comb ination of slot -6 aff ixes in example ( 5 ) is again ungrammatical in
spite of its semantic plausibility .
(5)-8 -6 -6 0
+5
a p - ma -w- a l ow- re
PR-MT-AB-Speak-FU
*don ' t go and speak while [ someone is ] absentThe semantic bizarreness of other concatenations of affixes from the same slot
makes i llustration of the ir unacceptabil ity virtually unnecessary .
The examples below demonstrate that affixes from the various slots are not
permutable . Each example shows a single permutation of affixe s in an otherwise
wel l- formed and minimal verb complex .
(6)Example- 7 -8 0
+5
'''d - k a - puya-e
FA-NG-hit- P
*didn ' t hit
( 6)(7)shows that affixes from slots -8 and -7 are not permutable .-6 -7 0
+5
'''ma - d - puya-e
MT-FA-hit- P
*went and hitExample ( 7 ) demonstrates that aff ixes from slots -7 and -6 are not permutable .
A very large number of additional examples , which I hope the reader is wi l l i ng
to forego , would demonstrate the impermutabil ity of affixes in other slots and
of non-adj acent affixe s .","[55, 56, 57, 58, 59, 60]"
"9 . 4 . 2 Awtuw uses four other focusing strategie s , a l l o f them much rarer than
po . The simplest of the se is topicali sation , which entails e xtracting the
focused constituent with a pause between the extracted constituent and the rest
of the clause .
(42)(a)Ta k i y , t a d e r rew re d - u y kay
Takiy this house FA-bui ld-PF
Takiy, he 's bui lt this houseThe top icalised constituent may appear e i ther to the right or to the le ft of
the clause .
(b)t a d e r rew r e d - uy - ka y , Ta k i yTopicali sations may focus direct obj ects , recipients , instruments , or any other
nominal constituent .
( 43 )(44)(alyekne- re- k , Ke r i y rev taw d - uwk- 0
axe- 0- I Keriy 3MS tree FA-fe l l-p
with an axe, Keriy fe l led the tree(b)Ke r i y rev taw d - uwk-o , yekne - re - k(a)kow- 0
Kampo- re , wan rew re d - u y lSG house FA-build-give-p
Kampo-o
Kampo, I bui l t a house for(b)w a n rew r e d - uy - kow-o , Kampo- reNote that appositiona l intonation over the extracted constituent and the
associated pause , represented here by a comma , are necessary compone nts of thi s
construction . Without the m , the resulting permutation o f word order would have
no particular focusing e ffect .",[155]
"145
( 14 )(a)I)amey y i p e?
mommy where ?
where 's Mommy ?( b ) :"" y i p e I)amey
Othe rwise , constituents in a WH -que stion have the same freedom of order as they
do in other types of c lauses . In particular, there is no requirement , though
there may be a slight tendency , for the interrogative to occur clause initially .
( 15 )(a)yen yekak w - ay- r e re ?
2SG when NF-go- DES
when do you want to go ?(b)yeka k y e n w-iIly - r e r e ?(c)w-iIly - r e r e yen ye kak ?","[150, 151]"
