Paragraph,Page number
"2.4 Grammar
2.4.1 Word order (Ex. 29–30)
Most languages allow for some variation in the normal word order for specific reasons. In Kuna, the normal
word order is different from Spanish or English. Normal word order in the transitive sentence is subject, object,
predicate.
Example
Subject
Object
An
ogob
I
coconut
‗I want to eat coconut.‘Predicate
kumpi.
eat-want-toExercise 29. Word order -- object substitution drill
The teacher says Sentence 1 and the class repeats it. The teacher says Sentence 2 and the class repeats it, etc.
This exercise should be repeated several times.",[32]
"‗I do not know.‘7. Word order
The normal word order in Kuna is subject + object + predicate.
Example
Omedin we mol pakcha.
‗The woman bought that blouse.‘
―The woman‖ in the above example is not only the subject of the sentence, but also the topic of the conversation
as indicated by the topic-establishing suffix -din.
In another situation, it might be the blouse which is under discussion, and the speaker merely comments on the
fact that the woman bought it. In that case, the topic of conversation is the blouse and a Kuna speaker would
change the word order of the sentence by putting the topic (the blouse) first; i.e., topic (object) + subject +
predicate.
The topic is always first in a Kuna sentence (following any setting or conjunction), and usually occurs with a
topic-establishing suffix -din/-tin.
Example
‗That blouse was bought by the woman. (Lit.: As for
the blouse, the woman bought (it).)‘
In summary, it may be said that when the subject of the sentence is not the topic of conversation, the normal
word order is rearranged and the topic is positioned at the beginning of the main part of the sentence.
We moldin, ome pakcha.",[309]
"‗I would like you to be so kind as to help me.‘2) Additional information stated in the request
As stated above, a subject must be used when the word wis ‗a little‘ is used in the request command. The
subject precedes wis and the rest of the very polite command follows normal word order. Wis can be
repeated before the verb to make the request very polite: vocative + subject + wis + indirect object + direct
object + verb ( + -gwel/-kwel) ( + -o).
Example
Pedro, pe wis anka ina (wis) ukkwelo.",[213]
"‗Please give it to me.‘
‗Please come to me.‘2) Additional information in a polite command
Additional information, such as a phrase to clarify the purpose of an action or goal of a motion, is
mandatory90 in a polite command. Or, a polite command may include a direct object, indirect object, or
some other phrase. The subject is rarely stated. Word order of a polite command follows normal pattern;
that is to say, the additional information always precedes the verb.",[207]
"‗Tomorrow, I‘m going to plant rice. The day after
tomorrow (on the other hand), I‘m going to spear
fish.‘b) Time expressions used after the subject
If a time expression is used as an adverb to limit the scope of the action by stating when it took place (or
will take place), the time expression occurs after the subject of the sentence. This parallels the time
expression occurring after the verb in English, ―I will go at 3 o‘clock.‖
Example
Antin pan ne.
‗I am going tomorrow.‘
If there is more than one adverbial expression occurring after the subject, the time expression occurs
immediately following the subject. This word order is different from English word order.
ExampleAntin pan negzhe ne.",[160]
"‗Kunas eat fish.‘
‗I practice medicine.‘
‗I (always) buy blouses.‘
‗I (always) pull teeth.‘
‗My wife (always) sews blouses.‘Exercise 16. Habitual aspect drill
The teacher says Sentence 1 and the student changes it to the habitual aspect form of the verb and adds the word
pane-pane ‗everyday‘.52
ExampleTeacher: Machi ua kucha.
Student: Machi pane-pane ua kun.
1. Machi ua kucha.
‗The boy ate the fish.‘
2. Tad ua chwas.
‗The elder caught fish.‘
3. Pun mol enukcha.
‗The girl washed the clothes.‘
4. Mu mol makne.
‗The old lady is going to sew a blouse.‘
5. Ome mas tus.
‗The woman cooked food.‘10.4.10 Adverbs (Ex. 17–18)
Adverbs in Kuna, as in English, modify the verb; but their position in the sentence is different from English
word order. In Kuna, they occur after the subject and before the indirect or direct object: subject + adverb +
indirect object + direct object + verb.
Subtle nuances of meaning are achieved by changing this basic word order and are discussed in later lessons.
Example
Pab pirkin machi pilal.",[139]
"‗Tomorrow I want to plant corn.‘
‗Day after tomorrow I want to weed corn.‘
‗Later I want to buy corn.‘
‗At noon I want to fetch corn.‘
‗Tomorrow I want to harvest corn.‘3.4.3 Intransitive sentence word order
In Kuna, the normal word order for an intransitive sentence is subject, then predicate. This is similar to the word
order in intransitive sentences in English.
Example
Subject
Predicate
An
abarmane.
I
run-going-to
‗I am going to run.‘
3.4.4 Long and short forms of words
Many (but not all) Kuna words have a short form and a long form. The short form of a word is made by
dropping the final vowel.",[43]
"‗Make the boy drink the medicine.‘19.4.7.3 Verb ima „to make‟ in causative command
If a verb is not intrinsically causative and has no causative form, the imperative form of the verb ima ‗to make‘
is used. The purpose suffix -gal/-kal is added to the verb which is to be carried out. The action verb plus
-gal/-kal is followed by the actor and subsequently by imako ‗make‘.
Example
(Pe) neg chobgal machi imako.
‗(You) make the boy build the house.‘
Note the difference in word order. In this example, machi, the one caused to do the action, precedes ―to make‖
while the object of building occurs in the normal order for a direct object. On the other hand, in the example for
Exercise 12, machi occurs in the normal order for an indirect object but without the suffix -ga/-ka.
19.4.7.4 Prevention of causative action
To prevent an action from being caused, the word melle ‗do not‘ is used to begin the causative command
sentence.
Examples
1. Melle machi palmidago.
2. Melle machi ina ogobo.
3. Melle neg chobgal machi imako.",[276]
"9.4 Grammar
Adjectives
Adjectives in Kuna, as in Spanish and English, are modifiers of a person or object and are used in conjunction
with the noun in order to describe it more fully. Most Kuna adjectives are part of a noun phrase and convey a
concept similar to the English/Spanish adjectival concept. Since some aspects of negation of adjectives and of
Kuna color are unique, they are described apart from the general discussion on adjectives. The formation of
attributive and existence sentences is also unique.
9.4.1 Word order of a noun phrase (Ex. 4–5)
A noun phrase may consist of a noun, adjective and suffix, or of a noun modifying another noun.
9.4.1.1 Position of adjective in noun phrase
In Kuna, unlike English, the adjective is placed after the noun.
ExampleKarpa tummad chi.",[117]
"302APPENDIX K: ORDERING OF STORY INTRODUCTIONS
In Kuna, the introduction to a story or the relating of an event is presented in a set order: topical information,
identificational information, descriptive information, evaluatory information and summary information. The
story introduction must be presented in the pre-determined order in order, to ensure that the listener will
understand the nature of the story.","[315, 316]"
