Paragraph,Page number
"Chapter 9Sentence patterns
9.1 Basic word order
Yurok word order is ﬂexible. It is often possible to arrange the words in the same sentence in two or more different ways, all of them quite acceptable. The order that speakers
choose may depend more on emphasis and the nature of their conversation or story than
on purely syntactic rules. But several clear patterns can be noted here.","[118, 119, 120]"
"9 Sentence patterns
9.19.2
9.3Basic word order . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
9.1.1 Preverbs and adverbs . . . . . . . . . . . . . . . . . . . . . . .
9.1.2 Nouns and verbs . . . . . . . . . . . . . . . . . . . . . . . . .
Commands, exhortations, and requests . . . . . . . . . . . . . . . . .
Questions . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
9.3.1 Yes–no questions . . . . . . . . . . . . . . . . . . . . . . . . .
9.3.2 Content questions . . . . . . . . . . . . . . . . . . . . . . . .",[10]
"LBy 1902 (ALK)QuestionsQuestions are of the following two types:
• In a yes–no question, there are only a couple of natural answers. For example, thelikely answers to the English question Will you help me? are either Yes or No (or some
expansion or equivalent).
• In a content question, the range of likely answers is broader. For example, given theEnglish question Who will help me?, there are numerous possible answers depending
on the circumstances: Alice, Bert, Charlie, Donna, etc.
In many languages, yes–no questions and content questions are formed in different
ways. In English, for example, content questions use a word such as where?, what?,
why?, etc., while yes–no questions are formed by changing word order: Can you hear
me? Yurok too has two different methods for forming the two types of questions.",[123]
"MM 1927 (ES)
FS 1980 (PP)In contrast, adverbs, even those with generally similar meanings, may be positioned
before or after verbs. For example, in (150), the adverbs chmeyaan “yesterday”, ’owook
“tomorrow”, and wonekw “above” occupy a position before the verb (and before the preverbs) in two sentences, and after the verb in two others.
(150) Adverb position
(a) Wonekw ’o soonekw kue laas.
“The trail goes uphill.”
(b) Chmeyaan neskwechook’ mehl Kohpey.
“Yesterday I came from Crescent City.”
(c) Kue pegerk no’p’en’ meweehl chmeyaan.
“The man chased an elk yesterday.”
(d) Kee lahchue’ so Kohpey ’owook.
“A voyage will be made to Crescent City tomorrow.”
Preverbs never show the word order ﬂexibility of adverbs.",[120]
"xx/GlossaryObject. Some verbs have an object as well as a subject; the object is the person or thing
affected or targeted by the action. In English, for example, that rock is the object
in the sentences I saw that rock and I threw that rock.
Plural. A plural noun or verb refers to more than one person or thing (in the case of
verbs, usually the subject but occasionally the object).
Preﬁx. A preﬁx is a piece of a longer word that is added to the beginning of the word,
such as English un- in unhappy) or Yurok ’ne- in ’ne-’yoch “my boat”.
Singular. A singular noun or verb refers to one person or thing (in the case of verbs,
usually the subject but occasionally the object).
Subject. Almost every verb has a subject: the person or thing that does the action,
or that experiences or undergoes the state expressed by the verb. In English, for
example, that rock is the subject in the sentences Yesterday that rock fell on my car
and That rock was big.
Suﬃx. A suﬃx is a piece of a longer word that is added to the end of the word, such as
English -ness in happiness or Yurok -ek’ in skewokseemek’ “I like it”.
Transitive verb. A transitive verb is a verb that requires an object and a subject. See
§2.1 on page 17. An English example is see; a Yurok example is newook’ “I see it”.
Verb. See §2.1 on page 17.","[26, 27]"
"Word classes/19Both inﬂected and non-inﬂected verbs can be classiﬁed according to transitivity,
which refers to the number of obligatory participants implied by their meaning. The
options can be summarized as follows.
• An intransitive verb has a subject but no object. Yurok examples are kepoyuerek’ “Iswim” and knewolepek’ “I am tall”.
• A transitive verb has a subject and an object. Yurok examples are ko’moyok’ “I hear it”and nooluemek’ “I love her or him”.
• A ditransitive verb has a subject and two objects. These verbs usually refer to givingor transfer, where one object is the thing given and the other is the recipient (the person
to whom it is given). A Yurok example is nahchek’ “I give it to her or him”.
• An impersonal verb has no subject or object. These verbs usually refer to the weatheror similar situations. A Yurok example is rook’ws “it’s windy”.
For more information about Yurok verbs see chapters 5–6 and 11–25.","[49, 50]"
"2.3 Nouns
A noun is a kind of word that can be the subject or object of a verb, or the object of a
preposition; nouns typically refer to people, places, things, events, substances, or qualities. English nouns include boy, creek, boat, water, and happiness; Yurok nouns include
mewah “young boy”, raak “creek”, and ’yoch “boat”. (Abstract concepts tend to be expressed
as verbs in Yurok, not nouns.) For more information about Yurok nouns see chapter 3.",[50]
"GT 2003 (YLCB)LT 1922 (GR)GT 2003 (YLCB)YL 1951FS 1980 (PP)Questions that ask “what?”, as in (165), use the question word tee’neeshoo. As a rule,
tee’neeshoo questions are used with verbs that ordinarily have a noun as their (missing)
subject or object. In (165c), the missing noun is understood with mehl “about”.
(165) Questions with tee’neeshoo
(a)Tee’neeshoo kee nepem’?
“What are you going to eat?”",[126]
"Grammatical description
Non-inﬂected verbs are identiﬁed as such. For other verbs, verb class (e-class, aa-class,
o-class, or oo-class) is identiﬁed. For information about non-inﬂected verbs, see §5.2 on
page 38 above. For information about verb classes, see §5.3–§5.4 beginning on page 40.
For oo-class verbs, the 3rd person singular ending (-ok’w, -om’, or -o’) is identiﬁed.
For information about these endings, see §5.3 beginning on page 40.
Finally, impersonal verbs are identiﬁed as such. For all other verbs, transitivity status
(intransitive, transitive, or optionally transitive) is identiﬁed. These terms are deﬁned
here:
• intransitive. An intransitive verb has only a subject, and no object; for these terms seethe Glossary beginning on page xix. Examples are English run and Yurok ro’opek’ “I run”.
• transitive. A transitive verb has both a subject and an object. Examples are English seeand Yurok newook’ “I see it”.
• ditransitive. A ditransitive verb has a subject and two objects. Most ditransitive verbsare verbs of transfer, like English give (for example, I gave her a book, with two objects
her and a book). A Yurok ditransitive verb is nahchek’ “I give it to her/him”.
• optionally transitive. An optionally transitive verb can be intransitive or transitive.",[144]
"2.4 Pronouns
A pronoun is a kind of word that stands in place of a noun. It may be the subject or object
of a verb, for example, but its reference may differ from sentence to sentence, depending
on context. English pronouns include words like me, that, and what. Yurok pronouns are
of three types:
• personal pronouns refer to “I”, “you”, “me”, etc.: nek, kel’, nekah, kelew, etc.
• demonstrative pronouns refer to a third person, that is, “s/he”, “that one”, “them”, etc.:yo’, wee’eeet, etc.
• question (or interrogative) pronouns include words like kues “how?”, tee’now “who?”,tee’neeshoo “what?”, and other words in forming content questions (§9.3.2).",[50]
