Paragraph,Page number
"(2.227)COORDINATIVE CONJUNCTION NEE: COORDINATING TWO ADJECTIVES
hayoo kin /awakw nee bo/abò/
[20151021c.443]
hayoó
tngi∅
-n
/awakw
feathers.LN∅ MP- A.3- P.N- AUX -EXPECT
white.N.PL
nee ~Red~
bò/
and ~ATTEN~
black.N.PL.EMPH
“the feathers will be white and blackish”2.5 Constituents
The following subsection is concerned with words or word groupings which act as a
single unit within the structured hierarchy of the larger clause. Following the1712. A grammatical sketch of Gorwaa
presentation of constituent order in main clauses, this subsection will treat verb
phrases, noun phrases, adpositional phrases, and comparatives.
2.5.1 Constituent order in main clauses
Basic constituent order in pragmatically neutral clauses is Subj. Obj. Sel V, where:
Subj. = Subject
Obj.= Object
P= Patient
Sel= Selector (glossed here as ProObj and =Imprf)
V= Verb
(2.228)BASIC CONSTITUENT ORDER
garmaSUBJ baahaaOBJ nginaSEL taáhhV
garmá
baahaár
ngaboy.LMO
hyaena.LFR A.3- P.F“The boy hit the hyaena.”","[171, 172]"
"Free Word Order
The first piece of evidence that most nouns are base-generated outside of the TP
is that they are not sensitive to the ordering restrictions imposed by the
Uniformity of Theta Assignment Hypothesis (Baker 1988), which states that like
thematic relations between items are represented by like structural3997. The linker
relationships. For example, in §3.3 finches, as patient of the verb examine, will
always be generated as the internal argument of the verb, whereas Charles, the
agent of the verb examine, will always be generated as the external argument of
the verb. This results in a strict SVO word order in English. In Gorwaa, though
SOV word order is common enough to be considered canonical, Gorwaa nouns
may appear in any order relative to each other, and relative to the verb.
(7.13) SOV WORD ORDER (CANONICAL)
aní slee ana taáhh [201609271222-228.25]
aní
sl-ee
-r~´~ ∅a∅
PRO1SG STM--SFX2 -LA.P-P.F--naAUXtaáhh-IMPRF beat.1.PST!""#‘I beat the cow.’(7.14) OSV WORD ORDER
desirqá' kuúng an sla'
[20131108b_20150725j.84]
des- -i
-r~´~ -qá’ kuúng
STM- -SFX2 -L
-DEM3 PRO.2SG.M
!""#$∅a∅
A.P- P.F- AUX
‘You love that girl.’-n
-EXPECTsla’
want.2.SUBJ(7.15) VS WORD ORDER
ina tláy gofaangw [20131108b_20150725j.152]
i∅
-na
tláy
goof- -aangw
S.3-AUX-IMPR go.M.PSTSTM-“The buck went.”","[399, 400]"
"8.4 Prospects
The most immediate step following from this thesis is further descriptive work.
Detailed examination of nominal morphosyntax has uncovered a plethora of
fascinating patterns, relevant for the writing of a Gorwaa grammar, as well as
lexicographic work. Doubtless, the same sort of attention to the morphosyntax of
the verb, or indeed larger phrasal domains will be equally fruitful and relevant.
It has been established in this work that nouns are typically not arguments to the
verb. In §7.3.3.1, free word order, syntactically discontinuous expressions, and
pervasive NP-dropping were shown to exist in Gorwaa -- each key characteristics of
a pronominal argument language (Jelinek 1984, Hale 2003).
(8.8) FREE WORD ORDER
a.
SOV WORD ORDER (CANONICAL)
aní slee ana taáhh [201609271222-228.25]
aní
sl-ee
-r~´~ ∅a∅
PRO1SG STM- -SFX2 -L
A.P- P.F- AUX-na
taáhh
-IMPRF beat.1.PST!""#‘I beat the cow.’
b.",[452]
"Moving on to clausal constituents, comment is made oncanonical word order, the verb phrase, the noun phrase, the adpositional phrase,
as well as comparatives (§2.5). A section on pragmatically marked structures
includes focus, contrast, topicalization, negation, and non-declarative speech acts
(§2.6). The sketch ends with complex clauses: relatives and coordination (§2.7).",[73]
"VS WORD ORDER
ina tláy gofaangw [20131108b_20150725j.152]
i∅
-na
tláy
goof- -aangw
S.3- AUX -IMPR go.M.PST
STM- -SFX2-ó
-L-VO WORD ORDER
gwéh a ansiimaán ya'eér hatlá' [20150817d.106]
gwéh ∅a∅
ansiim -aán
ya’--ee-r~´~let’s.goA.P--SFX2 -L!""#$“The buck went.”
d.",[453]
"2.5.3 Noun phrase
When modified, the noun occurs first (2.234), except when modified by the
quantifier umó, which itself precedes the noun it modifies (2.235). Nouns quantified
by umó obligatorily occur with the topic marker.
(2.234)NOUN-MODIFIER ORDER
garmaqá’ wák tlarantleér [...] [20160927l124-128.12]
garmá -qá’ wák ~Red~
tleér
boy -DEM3 one ~AMP~
tall.M
“That one very tall boy [...]”(2.235)SPECIAL MODIFIER-NOUN ORDER FOR UMÓ
[...] umó kurkoo [...] [20151202d.158]
umó kurkú
=oo
every year.LMK
=TOP
“[...] every year [...]”Greenberg’s Universal 20 states that, if demonstratives, numerals, and descriptive
adjectives follow the noun, that they should either occur in the order listed, or in the
exact opposite order (i.e. descriptive adjective, numeral, demonstrative). Gorwaa1742. A grammatical sketch of Gorwaa
complies with this universal, in that these elements can occur in the first of these
orders (demonstrative, numeral, descriptive adjective) only (2.236).
(2.236)DEMONSTRATIVE-NUMERAL-DESCRIPTIVE ADJECTIVE ORDER
moro’osí tám afahhamít
[20131027_20150725c.89]
moro’ó
-sí
tám afahhamít
things.LMO -DEM2 three important.M.PL
“These three important things.”","[174, 175]"
"OSV WORD ORDER
desirqá' kuúng an sla'
[20131108b_20150725j.84]
des- -i
-r~´~ -qá’ kuúng
STM- -SFX2 -L
-DEM3 PRO.2SG.M
!""#$∅a∅
A.P- P.F- AUX
‘You love that girl.’-n
-EXPECTsla’
want.2.SUBJ4528. Conclusionc.","[452, 453]"
"2234. Fundamentals: nominal structure and noun stems
b.(4.17) a.b.[...] garmasí - kudá’ oo da/alusumo [...]
[20131108b_20150725j.30-31]
garmá -sí
kudá’
oo
da/alusumo
boy.LF -Dem2 ProDem2.M ProMod.M sorcerer
“[...] this boy - that one of the sorecerer [...]”
daawudu
daawudu
medicines
“medicines”
*daawasí todu ar da/alusumo
daawár
-sí
to(a)du
ar
da/alusumo
medicine.LF -Dem2 ProDem.Pl.F ProMod.F sorcerer
(intended meaning: ‘this medicine - those ones of the sorcerer’)As such, that the noun is a word may be based on its indivisibility.
4.3.5 Wordhood: summary
To summarize, four types of evidence were examined above in order to establish
the noun as a word: orthographic boundaries, pausa, word-internal phonological
operations, and indivisibility. Informal Gorwaa orthographies consistently place
boundaries between all lexical categories, but treat lexical categories with
enclitics as one orthographic word. Pausa occur following subject nouns, but not
obligatorily. Furthermore, no such pausa can be identified for object nouns.
Phonologically, the noun is reliably a metrical domain for syllabification and
stress-assignment. The segmental operation of epenthetic vowel insertion is a
consistent word-internal operation, but vowel coalescence, vowel assimilation,
and consonant cluster simplification may apply both within the word, as well
within elements larger than the word (e.g. the noun phrase). Most consistently,
noun-internal morphology cannot occur separate from the noun, whereas extranominal morphology may appear separate from the noun, attached to elements
such as demonstratives.","[223, 224]"
"-ó-SFX2-L!""#$(7.16) VO WORD ORDER
gwéh a ansiimaán ya'eér hatlá' [20150817d.106]
gwéh ∅a∅
ansiim -aán
ya’- -ee
-r~´~
let’s.goA.P- P.F- AUX begin.1-1PL.PRES STM- -SFX2 -L
hatlá’
other
“Let’s go -- we are starting another leg.”",[400]
"Third, dislocation and special constituent orders will bedescribed. The subsection will conclude with comment on clefts and pseudo-clefts.",[178]
"4589. Bibliography9. Bibliography
Abney, Stephen P. (1987): The English noun phrase in its sentential aspect. Doctoral
dissertation, MIT.
Acquaviva, Paolo (2008): Lexical Plurals: A Morphosemantic Approach. Oxford
University Press, Oxford.
Acquaviva, Paolo. (2009): 'Roots and lexicality in Distributed Morphology.' Fifth
York-Essex Morphology Meeting (YEMM), 9th February and 10th February 2008,
Department of Language and Linguistic Science, University of York.
Adger, David (2002): Core Syntax: A Minimalist Approach. Oxford University Press,
Oxford.
Adger, David (2006): ‘Post-syntactic movement and the Old Irish verb’ Natural
Language & Linguistic Theory. 24: 605–654.
Adger, David, Daniel Harbour, and Laurel J. Watkins (2009): Mirrors and
macroparameters: Phrase structure beyond free word order. Cambridge University
Press, Cambridge, Mass.
Alexiadou, Artemis (2004): ‘Inflection class, gender and DP internal structure’. In:
Müller, G., L. Gunkel, and G. Zifonun (eds.) Explorations in nominal inflection (Vol 10).
Walter de Gruyter, Amsterdam. 21-49.
Alexiadou, Artemis, Hagit Borer, Florian Schäfer (eds.) (2014): The Syntax of Roots
and the Roots of Syntax. Oxford University Press, Oxford.
Anderson, Gregory D.S. (2011): ‘Auxiliary Verb Constructions in the Languages of
Africa’ Studies in African Linguistics. 40,1 and 2: 1-409.
Anyanwa, Rose-Juliet (ed.) (2004): Stress and Tone – the African Experience.
Frankfurter Afrikanitische Blätter 15, Frankfurt.
Arad, M. (2003): ‘Locality Constraints on the Interpretations of Roots’ Natural
Language and Linguistic Theory 21,4: 737-778.
Arad, M. (2005): Roots and Patterns: Hebrew Morpho-syntax. Springer, Dordrecht.
Århem, Kaj, Luis Cañón, Gladys Angulo, and Maximiliano García (2004): ‘Etnografía
Makuna’ Tabula Rasa. 2: 327-336.","[458, 459]"
"1752. A grammatical sketch of Gorwaa
Prepositions are commonly combined with a special set of ‘locational nouns’ in
order to give more precise descriptions of space. Such preposition-locational noun
strings can run up to 3 elements long, and exhibit restrictions on ordering and cooccurrence. For more on locational nouns, see §2.3.1.3.
The lative ay is undoubtedly related to the adverbial suffix, -i. -i occurs consistently
in dative-shift constructions, in which a noun which may otherwise be expressed as
an adjunct is promoted to an object of the verb in a now double-object construction
(compare (2.238) (non-dative-shift) with (2.239) (dative-shift)). In this new dativeshift construction, -i encliticises to the end of the noun which would have served as
the direct object in the non-dative-shift construction.
(2.238)DITRANSITIVE (DOUBLE-OBJECT) CONSTRUCTION: NO DATIVE-SHIFT
mwalimu kitaabu ngwa hariís dír desi
[20160928c.44]
mwalimú
kitaabú
ngu∅
-(g)a hariís
teacher.LMO book.LMO
A.3- P.M- AUX -PRF bring.M.PST
dír
desír
to
girl.LFR
“The teacher brought the book to the girl.”","[175, 176]"
"A similar line of argument may be used to establish that slee in (7.12)a) is not
within TP. Given that this noun occurs to the left of the selector, it is therefore
outside of the syntactic unit. This raises a more fundamental question: if nouns
such as slee in (7.12)a) are not part of the TP, then where, exactly, are they? I
argue that, with the exception of nouns such as those in (7.12)b) described
above, all overt nominal expressions in Gorwaa are base-generated outside of the
TP as adjuncts. Evidence for this claim will be provided in examining free word
order, syntactically discontinuous expressions, and pervasive NP-drop: all key
characteristics of non-configurationality (Jelinek 1984).",[399]
"In the previous chapter, the SFX2 was described as the instantiation of some
projection (identified in this work as n), dominating # and, in turn, dominated by D.
In order to account for the listed phenomena, this characterization will be revised.
Rather than SFX2 itself, it is the SFX2 paradigm which exists at n. 178 SFX23706. The suffix 2: the listed phenomena
paradigms have thus far been identified for Gorwaa, and, as such, there are 178
different versions of n. The SFX2 itself is instantiated via a process of realization
post-Spellout. The revised structure is presented in (6.30), and the valuation
process is presented in Table 5.4, where -n135 corresponds to the paradigm -ó (Mo) |
-∅ (Mo) | (a)’i (N∅).
(6.30) QOONQALUMÓ (VERSION 2)
Merge of n135 (syntactic object α) and √qoonqal-(a)m-# (syntactic object β).
nP
√qoonqal-(a)m-#-n135
cat n
5
#P
n
√qoonqal-(a)m-#
-n135
!""# !
cat #, Sg
!""#$ ∅
!""# N; <#>
5
ClP
#
√qoonqal -(a)m
cat #, Sg
cat Cl, Indiv
infl ∅
sel < Cl >
5
√qoonqal
Cl
-(a)m
Table 6.3: Valuation of n135 (Version 1)
Phonological Component
Input
Syntactic
Value
Context
/Sg
[ó]
n135
/Pl
[aɁ]
elsewhere
∅ ~´~Semantic Component
Input
Syntactic
Value
Context
/Sg
singular
n135
/Pl
plural
elsewhere
generalHaving arrived at this characterization for the SFX2 morpheme, discussion will
briefly return to SFX1 in order to provide a similar account.","[370, 371]"
"2.4.3.1 Tonic pronouns
The tonic pronouns are, by all measures, full nouns. As their name suggests, they
have stress and tone. Tonic pronouns may serve as full arguments in any position1622. A grammatical sketch of Gorwaa
occupied by a full noun (e.g. subject of a nominal copula (2.201), object of a nominal
copula (2.202), subject of an adjectival copula (2.203), object of a verb (2.204)), as
well as be modified as a full noun (e.g. NP modifier (i.e. possession) (2.205)).14
(2.201)ANÍ IS SUBJECT OF NOMINAL COPULA
aní a uumtuuso’oo [20131027_20150725c.194]
aní
∅
uumtuuso’oór
PRO1SG
AUX nurturer.♀.LFR
“I am a nurturer.”","[162, 163]"
"1462. A grammatical sketch of Gorwaa
voice (in which the grammatical subject of the verb has characteristics of both the
agent and the patient) and is used in combination with other affixal configurations
within the selector to fulfill many different functions, each of which is discussed
below.
Commonly, the mediopassive is used to form an impersonal passive. Along with
having the mediopassive prefix t-, the subject of this construction is marked as the
(P)atient argument and, in cases in which the (A)gent argument may be marked (i.e.
when the (P) argument is 3rd person such as (2.158)d)), the subject is marked as the
(A)gent argument as well. The verb takes default 3rd person singular agreement for
an impersonal subject. 11
(2.158)IMPERSONAL PASSIVE CONSTRUCTION
a.
aní ti /aay
[20160119f.38]
aní
ti∅
PRO.1SG
MP- P.1SG- AUX
“I am being eaten.”/aay
eat.3SG.PRESb.kuúng tu /aay
[20160119f.39]
kuúng
tu∅
PRO.2MSG
MP- P.2MSGAUX
“You are being eaten.”c.kuungá’ tundu /aay [20160119f.43]
kuungá’
tnu- ∅
/aay
PRO.2PL
MP- P.2PL- AUX eat.3SGPRES
“You (Pl.) are being eaten.”d.hhawata ku /aay
[20160119f.41]
hhawató
tngu∅
man.LMO
MP- A.3- P.M- AUX
“The man is being eaten.”/aay
eat.3SG.PRES/aay
eat.3SG.PRES11 The 2nd person plural (P)atient marker nu- is realized as [nu] word-initially, and as ndu-elsewhere (Mous 1993: 128). The mediopassive t- and the 3rd person (A)gent marker ngare realized together as [k].","[146, 147]"
"3796. The suffix 2: the listed phenomena
Furthermore, because the assignment of morphological case makes reference to the
syntactic structure (i.e. in assigning dative to the subject, and nominative to the
remaining caseless NP), it must occur after the syntax, but be sensitive to it. It is
argued that this post-syntactic stage is the morphology, which “takes a syntactic
structure as its input and incrementally alters that structure in order to produce a
phonological form” (296). Thus, quirky case and those phenomena similar to it are
called m-Case (m for morphological). Based on the argument that,
crosslinguistically, it is m-Case (and not any syntactic relation such as grammatical
function) which determines the accessibility of a given NP for controlling agreement
on the predicate, agreement must be a postsyntactic operation.","[379, 380]"
"This is an indication that the identity of this element is unknown, and not of central
importance to the current explanation.
4 Note that, for this derivation, the morpheme -s (syntactic object α) has merged as the
rightmost element, and the morpheme finch (syntactic object β) has merged as the2083. The theoretical framework
(3.10) FINCHES UNDER DISTRIBUTED MORPHOLOGY
a.
Operation 1: Merge of -s (syntactic object α) and N finch (syntactic
object β).
FP
finch -s
cat F, !: Pl
5
finch
-s
N
cat [F, !: Pl
cat ! 3
M
infl [ ]
infl Case: [ ]
sel [< ! >]
sel
Within the larger architecture, this syntactic derivation represents one step in
the larger process. Following derivation, syntactic items are ‘spelled-out’, and
simultaneously transferred to the phonological component, where they receive
pronunciation (List 2), and to the semantic component, where they receive
meaning (List 3). Harley’s (2014) model, based Halle and Marantz (1993), is a
classic representation.leftmost element. This is the first time that such a configuration has been displayed, and
is essentially one of convenience, in that merging the elements in this way results in
finch-s, rather than -s finch and, therefore, eliminates the need for a Move operation.
Such a decision is not uncontroversial (see esp. Kayne 1994), but is licit under the rules
given up to this point (where the structure is sensitive to hierarchy, but not linear order).
This configuration will, in fact, suit the structure of the Gorwaa noun as well, and will be
employed throughout.","[208, 209]"
"3.2.2 The operations
Minimalism employs four syntactic operations, each of which will be briefly
described and exemplified below. Note that the operations given below do not
necessarily occur in this order, nor do the examples (3.4)-(3.8) represent
sequential stages in the derivation of the clause Charles examines finches on the
Galapagos. For the full derivation, see subsection 3.3.",[196]
