Paragraph,Page number
"2567Clause and sentence structureIn this chapter, the most important aspects of simple and complex sentences in Movima are
described. Before going into details in the following sections, I want to point out some crucial
properties of Movima clause structure.
First of all, Movima has a hierarchical alignment system. There is no case marking and no
agreement indicating grammatical relations. Word order is fixed, but it is semantically
determined: in a transitive clause, the participant higher in the animacy hierarchy is encoded
as the first core argument (ARG1) and the participant lower in the hierarchy is encoded as the
second core argument (ARG2). The semantic roles of the arguments are indicated by direct or
inverse voice marking on the verb, as described in 7.5. An effect of this system is an
ergativity split, since the alignment of grammatical relations and semantic roles is switched by
the voice markers (cf. 7.5.3).
The fact that due to the hierarchical alignment system, grammatical relations are not
distinguished by case marking, agreement, or word order, makes it difficult to attach labels
such as “subject” and “object” to the syntactic positions. J. Judy (1965) uses these terms,
labelling the first argument in a transitive clause “subject” and the second argument “object”.
This, however, is a problem in inverse clauses, where, as Judy also points out, the second
argument encodes the agent.
Moreover, it can be shown that if anything can be analysed as the subject in Movima, this is
not the first, but the second core argument, which represents the undergoer in a direct
transitive clause. This becomes apparent from the structure of relative clauses, described in
7.11. In addition, the second, but not the first core argument can be deleted in coordination,
which is also a criterion for subjecthood (cf. Keenan 1976). However, it may be misleading to
use the term “subject” for the second transitive argument, since it has some untypical
properties. In the direct construction, which can be seen as pragmatically less marked since it
indicates that the participant higher on the animacy hierarchy acts on the participant lower on
the hierarchy, the second argument encodes the undergoer. Also, this argument is not
obligatorily realized. To avoid confusion, I use the neutral terms ARGintr for the intransitive
argument, ARG1 for the first transitive argument, and ARG2 for the second transitive
argument. ARGintr and ARG2 are furthermore subsumed under the term “absolutive
argument”.
Note, furthermore, that ARG1, the first argument in a transitive clause, is encoded in the
same way as the possessor (cf. 6.1).134
This chapter is organized as follows. Sections 7.1–7.8 discuss constituent order, argument
encoding, and the assignment of semantic roles in affirmative main clauses. In Sections 7.9–
7.10, I describe affirmative main clauses with nonverbal predicates, as well as arguments that
contain a verb. In Section 7.11, relative clauses are described. Section 7.12 presents the main
134The peculiarities of the Movima system outlined here may arise from the possibility that, at least historically,
all clauses are basically equational. Under this view, ARG1 represents a possessor, and the absolutive argument
represents the intransitive subject everywhere. This means that the proposition ‘I hit the dog’ would in Movima
be expressed as ‘my hitten one is the dog’. The term “subject” would be uncontroversial then. For an analysis of
other languages along these lines, see Sasse 1991.","[279, 280]"
"1.9. Structural characteristics of Movima
Movima has many characteristics typical of Amazonian languages. I will compare it to the
features listed as typically Amazonian in Dixon & Aikhenvald (1999: 8f.).
(a)8polysynthetic, head-marking, agglutinating with little fusion
Movima is agglutinating, i.e., most morphemes have only one meaning, and displays a
limited degree of fusion. It is head-marking in that one transitive argument as well aspossession are marked on the predicate or possessed noun, respectively. It is
problematic to classify the language as polysynthetic, however. Polysynthetic features
of Movima are that a clause can consist of the predicate alone, and that there is
productive noun incorporation. However, while voice/valency and applicative
categories are encoded by verbal morphology, tense, location, and direction (typical
features of polysynthesis in Amazonian languages, cf. Payne 1990: 214) are not
morphologically expressed on the verb, and person only to a limited degree.
Moreover, Movima is syntactically fairly configurational (verb-initial), a feature
untypical of polysynthetic languages.
(b)/ / in the vowel inventory, contrastive nasalization of vowels
Neither the central unrounded vowel [ ], nor contrastive nasalization of vowels exist in
Movima. The five vowel phonemes are i, e, a, o, u.(c)Extensive classifier and/or semantically based gender systems
Movima has a semantically-based gender system, marked on the referential elements
(articles, pronouns, demonstratives). This system is independent of the classifier
system, which seems to have arisen through compounding and incorporation.(d)Only few oblique cases
Indeed, there is only one oblique case in Movima, marked by the prefix n- on the
referential elements (articles and pronominal forms). Otherwise, case marking is
absent.(e)Possession marked on the possessed noun, not on the possessor; most widespread
word order is ‘possessor possessed’
Possession is marked on the possessed noun. Since the possessed noun is marked by
an enclitic encoding the possessor, however, the word order is ‘possessed possessor’.(f)Just one core argument cross-referenced on the verb
This is true for Movima: the only core argument that is obligatorily cross-referenced is
the transitive argument encoding the participant higher on the animacy hierarchy.(g)‘Split-ergative’ systems arise due to complex rules determining which core argument
is cross-referenced on the verb
A split-ergative pattern can indeed be observed in Movima, arising from the
hierarchical alignment system: the transitive argument lower on the animacy hierarchy
(in subordinate and negative clause, the argument higher on the hierarchy) is encoded
like the intransitive argument, regardless of whether it is A or O.(h)The bound pronominal forms marking a possessor within an NP are the same as one
of the bound pronominal paradigms for marking core arguments of a clause
This is indeed the case. The possessor is encoded in the same way as the first
argument of a transitive clause, which is the only argument obligatorily encoded.","[31, 32]"
"581D’Introno, Francesco et al. 1995. Fonética y fonología actual del español. Madrid.
Dixon, R. M. W. & Alexandra A. Aikhenvald 1999. “Introduction,” in: Dixon, R. M. W &
Alexandra A. Aikhenvald (eds.): The Amazonian Languages. Cambridge (UK):
Cambridge University Press. pp. 1–21.
Dryer, Matthew S. 1986. “Primary objects, secondary objects and antidative,” in: Language
Vol. 62, 4: 808–845.
Givón, T. 2001. Syntax: An Introduction. Amsterdam/Philadelphia: Benjamins.
Gordon, Raymond G. Jr. (ed.), 2005. Ethnologue: Languages of the World. Fifteenth edition.
Dallas, Tex.: SIL International.
Greenberg, Joseph H. 1987. Language in the Americas. Stanford: Stanford University Press.
Grimes, Barbara F. (ed.) 1996. Ethnologue. Languages of the World. Dallas: Summer Institute
of Linguistics.
Grinevald, Colette. 2002. “Nominal Classification in Movima,” in: Crevels, Mily et al. (eds.):
Current Studies on South American Languages. Leiden: CNWS. pp. 216–239.
Haspelmath, Martin 1993. “Passive Participles Across Languages,” in: Fox, Barbara & Paul J.
Hopper (eds.): Voice: Form and Function. Amsterdam/Philadelphia: Benjamins. pp.
151–177.
Haude, Katharina. In press. El idioma Movima: su fonología y ortografía. Trinidad: Tiempos
del Beni.
——2004. “Nominal tense marking in Movima: nominal or clausal scope?,” in: Cornips,
Leonie & Jenny Doetjes (eds.): Linguistics in the Netherlands 2004.
Amsterdam/Philadelphia: Benjamins. pp. 80–90.","[604, 605]"
"9(i)Most languages have prefixes, and there are fewer prefix than suffix positions
There is only one “real” prefix in Movima, the oblique case marker n-. Other prefixes
are reduplicated elements. Otherwise, Movima is mainly suffixing.(j)(On typical order of prefixes)
Does not apply: only one prefix (n- or a reduplicated element) can occur at a time.(k)Most verbal categories (e.g. tense, aspect, modality, direction) are expressed through
optional suffixes
All these categories are expressed not by suffixes, but by optional particles in
Movima, whose distribution in the clause is relatively free. Tense is, in addition, a
nominal category, expressed by referential elements.(l)Subordinate clauses typically involve nominalized verbs, the type of subordination
being marked on the verb
Indeed, subordination (as well as main-clause negation) always involves
nominalization of the predicate. The type of subordination, however, is either not
overtly indicated, or indicated by a particle preceding the subordinate clause.(m)If there is noun incorporation, typically only those nouns which are obligatorily
possessed can be incorporated, and they typically precede the verb root
There are different types of productive noun incorporation, involving unpossessed
nouns or body-part-terms. Apart form body-part terms, obligatorily possessed nouns
cannot be incorporated. The incorporated nominal element follows the root.(n)In many languages adverbs and adpositions may be incorporated into the verb
This does not seem to be the case in Movima.(o)There is generally only a small class of lexical numbers
Indeed, there are only four number terms, from 1 to 4, and the terms for 1 and 4 seem
to be morphologically complex (“no other” and “several times two,” respectively).","[32, 33]"
"364(206)n-os
am~’am-wa
obl-ART.n.p INV~enter-NMZ
‘when X put me into it’{EC 16, 281}Example (207) is an illustration of the root am- with the agentive suffix -e e, which is retained
(and reduced to -e ) before further suffixation. Here, the verb is monovalent, its only core
argument encoding the actor.
(207)yo’-na=is
is
kara’a
bo
isko
an n-os,
eney,
catch-DR=pl.a ART.pl red_macaw REAS PRO.pl.a EV obl-ART.n.p (filler)
am-e -wa=is
n-is
rim-a- e=is
di’ dro:ga
enter-AGT-NMZ=pl.a obl-ART.pl trade-DR-CO=pl.a REL drug
‘They caught the red macaws because those, apparently, (were) for them to put in
what they sold, which was drugs.’ [i.e., the bird dealers said that they used the
macaws for smuggling drugs]
{EA, Parabas 003}In (208), finally, the root am- is nominalized without any further voice marking. This creates
a monovalent verb, the semantic role of its argument not being specified.
(208)bo
as
jayna am-wa=sne
n-os
de:-wa=sne
REAS ART.n DSC enter-NMZ=f.a obl-ART.n.p lie-NMZ=f.a
‘... in order (for her) to get in, to lie down.’
{EA, Lagartija 013}3653669Complex verbal bases: incorporation and applicativesThe main characteristic of complex verbal bases is that they consist of several morphemes and
are subject to voice alternations (cf. 8.4). In this chapter, the different kinds of complex bases
are presented.
The first part of this chapter deals with the two types of noun incorporation, argument
incorporation (cf. 9.1) and modifying incorporation (cf. 9.2). Argument incorporation, already
introduced in 7.7, is different from all other derivational processes described in this chapter,
since the resulting verb is automatically monovalent and does not participate in voice
alternations. It is described here in order to contrast it with modifying incorporation.
Modifying incorporation, like the processes described later in this chapter, creates a complex
base which undergoes voice and valency alternations (as characterized in Ch. 8).
The other processes which create a complex base can be subsumed under the cover term of
applicatives. These morphemes allow a verb to take an additional bivalent voice marker or to
take a new participant as a core argument. The most straightforward morphemes of this type
are the causative suffix -poj (cf. 9.3) and the benefactive and malefactive suffixes -kwa and
-bij (cf. 9.4). The suffix -kwi or -pi ‘LOC’, which only occurs on semantically bivalent bases,
is clearly an applicative morpheme since it introduces a location as an additional undergoer.
Other applicative suffixes are more difficult to describe, since their function can vary
according to the base they are attached to. Section 9.6 presents the not very productive
applicative suffix -pa. Sections 9.7 and 9.8 deal with the applicative suffixes - e ‘coparticipant’ and -e ‘applicative’, which seem to be very similar in form and function, but
have clearly distinct functional and distributional properties. In 9.8, the agentive voice marker
-e e (cf. 8.1.3), phonologically also very similar to these applicative markers, will be brought
up again. An overview of the main properties of these three phonologically similar
morphemes is provided in Section 9.9.
Other verbal morphemes, which do not interact directly with the voice and valency
properties of the verb and which generally have an aspectual or a modal function, are
described in Ch. 10.","[387, 388, 389, 390]"
"As can be seen, Movima only deviates in minor points from the typical Amazonian patterns
observed by Dixon and Aikhenvald, while the similarities are striking. In the following
paragraphs, I will point out some other features of Movima, not mentioned in connection with
the list above.
Lexical tone, a feature found in a number of Amazonian languages, is not present in
Movima. Instead, there is contrastive vowel length. A consonant which deserves special
mention, since it does not seem to be common in the area, is the voiceless lateral fricative / /.
The syllable structure is simple: either CV or CVC.
Morphological features which deserve special mention include the existence of an infix,
inserted according to metric criteria. Different types of reduplication are not only frequent, but
also serve a wide range of functions which are noteworthy from a cross-linguistic perspective.
These include, among other things, voice marking, the marking of inalienable possession, the
expression of predicative possession, and nominalization. Furthermore, Movima uses10different cliticization processes to distinguish grammatical relations.
The major parts of speech, distinguished by their morphological properties, are verbs,
nouns, and particles. Adjectives form a subclass of nouns. Referential elements (articles,
pronouns, demonstratives) constitute a category of their own, but display nounlike rather than
verblike properties. The class of particles is heterogeneous, the defining feature being that
particles are not productively combined with other morphemes. There are no ideophones.
The fine-grained system of reference and deixis, expressed by referential elements (articles,
pronouns, demonstratives) is highly complicated, something which is not uncommon for
Amazonian languages. Gender, number, presence, absence, visibility, position, and motion
form the main parameters of deictic reference. The system also marks temporal categories on
nominal constituents, differentiating between actual or future existence and ceased existence
of the referent.
Compounding and incorporation occur frequently. The different degrees of lexicalization of
words created by these processes make the morphological description of Movima difficult.
The morphological entities that can form part of a compound or can be incorporated into a
verb are nouns, noun roots, truncated nominal elements, and other bound elements with
lexical content. Many of these morphemes have a classificatory function, indicating shape and
consistency of an entity. All this is typical for Amazonian languages (cf. Payne 1990).
Demonstratives and other pronouns are not combined with nominal elements.
Inalienable possession is an important criterion for the semantic classification of nouns.
Relational (inalienably possessed) nouns have to be overtly marked when denoting an
unpossessed or inalienably possessed entity; conversely, non-relational nouns are overtly
marked when denoting an inalienably possessed entity.
A clause can have maximally two core arguments, depending on the valency of the verb.
The valency of a verb is generally overtly indicated by voice markers, which also specify the
semantic role(s) of the argument(s). The productivity and function of voice markers depend
on semantic properties of the base. Grammatical relations are distinguished by the way in
which the argument is cliticized to the base. It seems that Movima displays syntactic
ergativity, most clearly in relative clauses.
As mentioned above, only the transitive argument higher on the animacy hierarchy is
obligatorily encoded. Strikingly, there is no obligatory marker for the first person singular, so
that this person is implicit on a bivalent predicate unmarked for person. This is untypical for
Amazonian languages (Dan Everett, p.c.). It has to do with the fact that, while all persons,
except the first, are encoded by enclitics, first and second person are (also) encoded by
optional bound pronouns preceding the predicate. The first person is not encoded by an
enclitic, but by the optional preverbal form only.
There is no copula. Instead, in equational or possessive clauses, nouns function as
predicates. Morphological verbs can occur in NPs, their voice marker specifying the referent.
Serial verb constructions only exist to a very limited degree, and always involve verbs of
directed motion.","[33, 34]"
"2476.5.3. Retention and reduplication of -kwa
Instead of dropping the suffix -kwa, as described in the previous section, the nouns ending in
-kwa (cf. (59)) can undergo infixing reduplication when denoting an inalienably possessed
entity. This is the same process as with any other non-relational noun (cf. 6.4.1). As will be
shown in 6.6.3, for body-part terms ending in -kwa, this is the only option for possessive
marking. Since the suffix -kwa is the final element of these nouns, this is the syllable that is
reduplicated:
(74)as
lora-n-<kwa~>kwa=as
ART.n BR.leaf-LN-<INAL~>ABS=ART.n
‘the mango leaf’(75)as
mosi-<kwa:~>kwa
ART.n BR.lower_back-<INAL~>ABS
‘my lower back’manka
mangoAt least synchronically, there does not seem to be a semantic difference between this
mechanism and the one described above, which involves the omission of -kwa. Both can be
used when the referent is physically attached to its possessor as well as when it is detached
from it. This is shown by (76)a and b which both equally express inalienable possession:
(76)a. i’ko
PRO.pllora-n-a=as
manka
BR.leaf-LN-LV-ART.n mango~b. i’ko
lora-n<kwa~>-kwa=as
PRO.pl
BR.leaf-LN<INAL~>-ABS=ART.n
‘They are mango leaves.’manka
mango
{EA 13, 135c}However, in elicitation, speakers do employ the different constructions in order to
differentiate between the two types of inalienable possession (attachment and detachment).
This can be seen in the following examples. In both, variant a. is used to refer to an entity that
is still part of a whole, and b. is used for a detached entity:
(77)a. is
di~di-n-a=as
ko’
ART.pl
RED~BR.grain-LN-LV=ART.n tree
‘the seeds of the tree [still on the tree]’
b. is
di~di-n-<kwa~>kwa=as
ko’
ART.pl RED-BR.grain-LN-<INAL~>ABS=ART.n tree
‘the seeds of the tree [on the ground]’(78)248a. as
a~< a~> a=as
do’we
ART.n RED~<RED~>BR.seam=ART.n clothes
‘the seam of my dress’{EA 13, 131b}b. as
a~ a<kwa~>-kwa=os
ART.n RED~BR.seam<INAL~>-ABS=ART.n.p
‘the [loose] seam of my ex-dress’do’we
clothes
{EA 13, 291c}It can be assumed that historically, the two types of marking inalienable possession with
nouns ending in -kwa had the function of differentiating between attached vs. detached
inalienable possession. This is because speakers still use this resource, although
inconsistently. However, at the present stage of the language, a specific inalienable relation is
not connected to a specific possessive form: both are used interchangeably, as was shown in
(76). Finally, note that on body-part terms with the ending -kwa, this ending is always
reduplicated and not dropped. This will be described in the following section.","[270, 271, 272]"
"174in determiner function, i.e. with the cliticized determining element (cf. 4.4), usually the long
form is used:
(158)i:ri=s
kwe ris
DM.spk.pl=DET sujo
‘This sujo [type of reed].’{EA 6, 119}The long form is probably used here because the short form together with the determining
element (here, i:=s) would in some cases be phonologically similar to the presential article (is
‘ART.pl’). The short form of the speaker-oriented neuter demonstrative, in contrast, is often
found in article position, since it is sufficiently distinct from it. Here, it is interchangeable
with the long form:
(159)a. ay=s
do’we
~
DM.spk.n=DET clothes
‘these clothes (I’m wearing)’b. ayru=s
do’we
DM.spk.n=DET clothes
{EA 7, 084}Very often, the long and the short form cooccur, in this order. This is a phenomenon which
does not occur with any of the other referential elements, and further research is needed to
explain it.86 The following example illustrates it:
(160)jayna
ayru
ay
loy-’i
DSC
DM.spk.n DM.spk.n make_ready-D
‘This is made ready now.’{EA 7, 037b}In the case of the feminine forms, which do not have a long and a short variant, the form is
simply repeated:
(161)kilni
kilni
da’
de:-che n-as
mo<si~>si=n,
DM.ad.f
DM.ad.f
DUR.nst lie-R/R obl-ART.n back<INAL~>=2
kas dewaj-ná=n--i’ne
NEG see-DR=2--f
‘She is there behind you, don’t you see her?’
{EA, DEM 031}The proximate demonstratives are prototypically used to refer to entities that are within reach
of either the speaker or the addressee. This includes the body parts of the respective person
(cf. (162)), entities in direct contact with the body (in (163), the speaker is holding the object),
and entities that are within reach of either speaker or adressee (cf. (161) above and (164)
below). In contrast to the other presential demonstratives (cf. 4.9.2 below), the proximate
demonstratives do not require that the speaker actually looks at the referent (as shown by
(164)).","[197, 198]"
"1.7. History of linguistic description
The first materials of the Movima language are lists of words and phrases (Hervás y Panduro
1787, D’Orbigny 1838, Heath 1883, Cardús 1886, Chamberlain 1910, Créqui-Montfort &
Rivet 1914, del Castillo 1929). Of these older lists, the one produced by the missionary
Cardús (1886) is most reproduced in the literature. In the 1960s, Movima was studied
extensively by Robert and Judith Judy of the Summer Institute of Linguistics. The results
include a word list with a grammatical sketch (1962a), an outline of the phoneme inventory
(1962b), two articles on specific topics (J. Judy 1965 and R. Judy 1965), and a tagmemic
grammar (1965 and 1967).
A government-financed alphabetization campaign led by Colette Grinevald in 1995 raised
new interest in the language. An alphabet was created by the speakers, mainly based on the
orthography used by Judy and Judy, but with some changes (most importantly, c and qu were
replaced by k). The workshops, furthermore, resulted in the publication of a collection of
stories in Movima (Ministerio de Desarrollo Sostenible y Planificación 1998) and in a course
book introducing the alphabet (Ministerio de Educación et al. 2003). Also, Colette Grinevald
published an article on Movima noun classifiers (Grinevald 2002). Of the several unpublished
materials inspired by the workshops, an extensive word list by Eligardo Chirimani (1998)
deserves special mention. It needs to be said that without those workshops, the present
grammar may not have been written: it is because of the interest expressed by the Movima
participants that Movima was proposed to me as a language of research.
The present research project is part of the Spinoza project “Lexicon and Syntax” directed by
Pieter Muysken, which aims at describing as many of the language isolates in Amazonian
Bolivia and Brazil as possible. It is hoped that it will serve as a basis for the production of
materials that will help the Movimas to teach and learn their ancestral language.",[29]
"Apart from a bound pronoun, a possessor can additionally be encoded by a free pronoun or an
NP. The most productive way to encode the possessor by a free form is the addition of a
relative clause containing an oblique-marked pronoun, as in (2).
(2)oso’
os
kawayo=y’ i
di’ n-iy’ i
DM.n.p ART.n.p horse=1pl
REL obl-PRO.1pl
‘We had a horse of our own.’ [lit.: “There was our horse, which was of us.”]
{EA, Cbba 059}The free pronoun or NP can also occur directly after the possessed noun. This is similar to a
free pronoun encoding an argument of a clause, to be described in 7.3. The pronoun or NP can
either be unmarked, or it can be marked as oblique. It is not clear what the conditions are for
alternative marking, but the choice is not arbitrary. First of all, there are nouns on which the
possessor can only be expressed by the oblique pronoun, marked by the prefix n- (cf. 4.6), as
in (3)a. The use of an unmarked pronoun is ungrammatical, as shown by (3)b.
(3)228a. as
roya=n
ART.n house=2
‘the house of yours’n-ulkwan
obl-PRO.2sgb. * as
ART.nulkwan
PRO.2sgroya=n
house=2{EC 16, 404a}With other nouns, it is only possible to express the possessor by the unmarked pronoun, as in
(4)a, but not by an oblique pronoun. The oblique pronoun can only occur in the relative
clause, as in (4)b:
(4)a. is
e: -a=n
ulkwan
ART.pl BR.name-LV=2 PRO.2sg
‘the name of yours’
b. is
e: -a=n
ART.pl BR.name-LV=2
‘the names of yours’di’ n-ulkwan
REL obl-PRO.2sg
{EA, 19, 266a}Judging from these examples, it seems that the distinction is conditioned by inherent
properties of the noun (cf. 6.2): a non-relational noun such as ro:ya ‘house’ in (3) can only be
combined with an oblique-marked possessive pronoun, whereas a relational noun such as e
‘BR.name’ is combined with an unmarked pronoun.115
However, the data are contradictory. For instance, the noun iwaniwansi ‘my way of
speaking’, a relational noun, is often found with the oblique pronoun, but cannot be combined
with the unmarked pronoun (cf. (5)).116 In contrast, some non-relational nouns, such as ju:ve
‘dugout’, can be combined neither with the unmarked nor, as would be expected, with the
oblique pronoun (cf. (6)). And finally, there are nouns which, despite being non-relational,
can be combined with the unmarked pronoun (cf. (7)).
(5)a. as
iwani-wansi=n
n-i:de
mowi:maj
ART.n speak-INSTR:BE.sound=2
obl-PRO.1incl Movima
‘the manner of speaking of us Movimas’117 [i.e., our language]
{HR, TX 114}
b. * as
iwani-wansi=n
ART.n speak-INSTR:BE.sound=2(6)(7)i:de
PRO.1incla. * ayru
a’ko
DM.spk.n PRO.n 1ju:ve
dugoutin a
PRO.1sgb. * ayru
a’ko
DM.spk.n PRO.n 1
(‘This is my dugout.’)ju:ve
dugoutn-in a
obl-PRO.1sgmowi:maj
Movima {EC 16, 405 }i:ri
i’ko
lokwa=‘ne i’ne
PRO.spk.pl PRO.pl locro=f
PRO.f
‘This is her locro soup.’ [lit.: “This, it (is) her locro soup of hers.”]{EA 19, 253}{EA 19, 254d}115This would be a parallel between relational nouns and bivalent verbs (cf. 7.3).
All deverbal instrument nouns are relational, as will be shown in 11.1.6.
117
As will be shown in 6.2, the encoding of the first person is not obligatory with relational nouns. In (5),
therefore, the marker of the first person is omitted, only leaving the second-person marker =n to encode the first
person inclusive on the noun (cf. 4.1.2).
116229In all these examples, the version with the relative clause is preferred over the version with
the oblique pronoun only. Compare the following three examples with (3), (5), and (6),
respectively, above:
(8)(9)(10)as
roya=n di’ n-ulkwan
ART.n house=2 REL obl-PRO.2sg
‘the house of yours’ [lit.: “the house that is yours”]
as
iwani-wansi=n
di’ n-i:de
mowi:maj
ART.n speak-INSTR:BE.ntr=2 REL obl-PRO.1incl Movima
‘the manner of speaking of us Movimas’ (i.e., our language)
ayru
a’ko
DM.spk.n PRO.n 1
‘This is my dugout.’ju:ve
dugoutdi’
REL{EC 16, 406a}{HR, TX 114}n-in a
obl-PRO.1sg
{EA 19, 088}The form with the relative clause is always judged as “the best” by the speakers. The form
with the oblique-marked pronoun, which is used, but not preferred in elicitation, may,
therefore, be an elliptic version of the relative clause. In order to find out whether this is the
case, more nouns have to be tested for their relational status (cf. 6.2). Subsequently, the
different constructions in which possessed nouns can occur have to be systematized and tested
with all these nouns.","[251, 252, 253]"
