Paragraph,Page number
"5.4.3.1. The -se forms. This subgroup includes the Supine (or ‘Purpose-of-motion’), the
HabitualPast,characterizedthe
bytheRemotePast,presenceandtheof a suffixnegativeforms.-se, whichhasAllof themareformallythefollowingidiosyncraticallomorphic pattern (the illustrative examples are in the Supine form, except for the final
example,in the negative form;notice that t-adding verbs occur in their t-form[113],1130]):-sewith CV- and I-reducing stems (which occur in their length grade; 113a-g)-jewith NV-reducing stems (which occur in their coda grade; 113h-j),
with non-I-reducing i-final stems (112k), and with the stem [t]éu (1121);-ewith vowel-final stems, if the final vowel is not e (112m-p)lengthwith e-final stems (unrealized word-finally; 113q)(112a) ahké(té)(b)— enno(ki)‘cut O”’
‘command O’‘fill’ (So)(c)anné(pi)(d)ja(t)(e)enmi(ti)(f)enu(ru)‘be bom’
‘catch O’(h)aoki(mi)(i)kéhtu(mu)GQ)émé(mi)(k)moi‘hug O”
‘shout’ (So)
‘enter’ (Sa)
‘obey QO’(g)— apa(i)‘burn’ (So)
‘dive’ (So)¢3)[t]éu‘take O out’(m)eerana(n)
(0)etahpaka
[t]éné‘laugh’ (So)
“sit down’ (Sa)
“eat O (meat)’(Pp)amo(q)ene‘mourn O’
‘see 0’bhiddllldbllisicd328ahkéé-se
ennoo-se
annéé-se‘in order to cut O’
‘in order to command O’
‘in order to fill’jaa-se
enmii-se‘in order to burn’
‘in order to dive’enuu-se‘in order to be born’apéé-se
aokin-je
i-kéhtun-je
émén-je
i-moi-je
t-éu-je
eerana-e
etahpaka-e
t-éné-e‘in order to catch O’
‘in order to hug O’
‘in order to shout’
‘in order to enter’
‘in order to obey O’
‘in order to take O out’
‘in order to laugh’
‘in order to sit down’
‘in order to eat O (meat)’amo-e
ene‘in order to mourn O’
“in order to see O’(cf. in-enee-wa‘not seeing O’)There are some irregular forms. Some verb stems change their final vowels: nonreducing stems ending in -ru undergo u > é; the stem eku ‘have sex with O’ undergoes u >
o; the i-final monosyllabic stems [t]pi ‘bathe O’, [t]ri ‘do, make O’, and [t]ki ‘grate O’(113a) apuru‘close, lock O’(b)éturu‘talk’(c)eku(d)—[€]pi(e)
(f)[t)}ri
[t]ki‘have sex with O’
‘bathe OQ’
‘do, make O’‘grate Q’blidddundergo i> é.apuré-e
éturé-e
eko-e
ti-pé-e
ti-ré-e‘in order to close/lock O”
‘in order to talk’
‘in order to have sex with O’
‘in order to bathe (O)’
‘in order to make (O)’ti-ké-e‘in order to grate (O)’Synchronically, the suffix -se is not a semantically consistent morpheme; it is best
seen as part of complex morphemes(-se ‘supine’, ‘habitual past’, -sewa ‘negative’, t- -se329
‘remote past’). Diachronically, however, it is quite possible that -se was an adverbializer (or
“Participial’; cf. Gildea 1998:140ff).","[348, 349, 350]"
"However, there is in Tiriy6 a more likely cognate for the Kari’na and Tamanaku words:péeto ‘servant, subject’ (as e.g. the inhabitants of a village, with respect to the chief).°11.3.2. Color terms. In order to identify Tiriyé color terms, five different speakers (fourmales and one female; one from Miss4o Tiriés, in Brazil, two from Kwamalasamutu and
two from Tepoe, in Surinam)were consulted. With the help of the computer programPaintbrush (a simple drawing software that comes as part of the accessories folder in
most versions of Windows for PCs), 24 different colored squares, each of which occupies
the whole screen, were prepared; these were shown to the speakers, whonamed themwith Tirty6 color words. Afterwards, the list of all terms was read to the same speakers;
for each word, the speakers were asked to give names of animals,artifacts or naturalobjects that had the corresponding color. Table 11.2 lists the terms which had the most
consistent uses, which are assumed to be more ‘basic’; the remaining words are in Table
11.3. These results are admittedly preliminary and subject to revision.",[611]
"532
Thus, given the available evidence, it seems best to consider (39c) as an ‘emergent
phrase’, with the special characteristic that, in order to be possessed, it has to be ordered so
that the first (leftmost) word is possessible.","[552, 553]"
"10.2.1.1. Possessive Noun Phrases. These phrases occur in the order possessor-possessed
with the possessed word in its third-person form (i.e. with a prefix i- on consonant-initial> A similar argument can be used in favor of a ‘Causee” participant: just as the Dative participant correlates
with object nominalizations of -nté/-hté (beneficiative) verbs, causees correlate with transitive verbs
causativized with the suffix -po (cf. 10.6.2.3), in the sense that the immediate interpretation of a _: ja-phrase
co-occurring with a causativized verb is that of a causee. Notice, however, that there are no ‘Causee-orientednominalizations’, either from the postposition _:ja or from causativized verb stems, which weakens the claim
for a Causeeparticipant.",[536]
"epr‘bathe’ (Sa)(b)etahpaka‘sit down’ (Sa)(c)éewe(ti)‘eat’ (Sa)(d)éiwa‘hunt’ (Sa)(e)emo(ki)“move away’ (Sa)(f)
(g)potina
wanpa(mi)‘whistle’ (So)
‘sing hymns’ (So)(i)audmu)“stand up’ (So)@)enmi(ti)‘dive’ (So)(k)ta(ti)“get lost’ (So)T-addingverbshaveblldlidiudd330
(115a)epé-e
etahpaka-e
éewee-se
éiwa-e
emoo-se
i-potina-e
i-wanpan-je
aun-je
enmii-sethe extra t(i)- in the Supine‘in order to bathe’
‘in order to sit down’
‘in order to eat’
‘in order to hunt’‘in order to move away’
‘in order to whistle’
“in order to sing hymns’
“in order to stand up’
‘in order to dive’
“in order to get lost’and HabitualPast form.","[350, 351]"
"Themostfrequentthe usualcasein thesubordinatefamily;thereclauses
are,areverbalhowever,finite(conjugated) subordinate adverbial clauses (cf. 10.4.1.1). Interestingly, the preferred wordorder is not the same in all clause types; Tiriyé could be described as a ‘split-word-order’
language (cf. Gildea [to appear]). Identifiable semantic roles include A, O and S, as well asperipheral participants (with datives having a special status) marked with postpositions.",[512]
"(114)pono(pi) ‘tell O”
Non-collective1
2
142
3ji-ponoo-se
€-ponoo-se
ki-ponoo-se
i-ponoo-sein order to tell about me
in order to tell about you
inorder totell aboutus
in order to tell about O0ponoo-sein order to tell (stories)Collective&-ponoo-see-ne
ki-ponoo-see-ne
i-ponoo-see-nein order to tell about you all
in order to tell about us all
in order to tell about them all“6 This surprising similarity is a strong indication of a diachronic connection. Cf. Meira 1998a:130ff for the
idea that the Habitual Past may have come from an earlier construction involving the Supine.",[350]
"10. SYNTAX10.1. Introduction. Of all aspects of grammar, it is in the realm of syntax that Cariban
languages are least understood, in spite of having attained world celebrity with cases of
OVS as the basic word order (cf. e.g. Derbyshire & Pullum 1981). There are more detailed
studies for twolanguages,Carib(also knownas Kari’na: Hoff1968,1978,1986,1990,1995, and also Gildea 1994a) and Hixkaryana (Derbyshire 1979, 1985, 1986a). The syntax
of fourotherlanguageshasreceivedsomeattention:Apalai(Koehn&Koehn1986),De’kwana (Hall 1988), Macushi (Abbott 1991, Carson 1981), and Waiwai (Hawkins 1998).
Given this situation, any generalizations in the area of Cariban syntax are at best tentative.
Asfarknowledgeextantasgoes,however,Tiriy6isa fairlytypicalCaribanlanguage. It has several recognizable phrase types (cf. 10.2): noun, verb and postpositional
phrases. The possessive noun phrase in Tiriy6 is different from the general Cariban pattern
(cf. Gildea 1998:112-113); the others, however, seem to be almost pan-Cariban (cf. Gildea1998:61ff for the OV
the 3A0verb phrase, described in terms of the morphosyntactic behavior ofprefix n-; cf. Gildea [to appear]clause types (cf. 10.3)for a diachronic perspective). The basic maininclude equative and conjugated or Set I (copular, intransitive andtransitive), which are widely attested in the family, but also remote past (t- -se) and habitual
past(-se)clauses,nominalizations,whichwhichareis alsonot.","[511, 512]"
"Table 10.5
Main tendencies in word order.",[603]
"Oneof the verbal personmarkers,n(i)- (used ontransitive verbs when both participants are third persons), has the syntactic peculiarity of
being in complementary distribution with an overt preverbal object (cf. 5.4.1.1.1, 10.2.2).
(16a-c) illustrate this fact:(16a)An-VOpahkon-etaji-pawana1:father 3AO-hear:Prs.Prf 1-friend
‘My father heard my friend.’(b)AOVvpahkoji-pawanaetal:father 1-friend
_hear:Prs.Prf
“My father heard my friend.’This fact is interpreted as an indication that n(i)- occupies the same syntactic slot
as a preceding object (forming a single constituent with the verb; cf. 10.2.2 for the OV
phrase). Such behavior is reminiscent of e.g. French pronominal clitics such as il ‘him/it’,
which is obligatory as a subject marker, but cannot co-occur with an overt subject (unless
a pause is inserted between the subject and the verb):124
(17a)Pierre est parti.
‘Peter is gone.’Gildea1998:34ffpronominal clitics. In fact,(b)Test parti.
“He is gone.”consideredmorphemes(c)withthis*Pierre il est parti.
*Peter he is gone.kindofbehaviortoben(i)- is occupying a higher-level position within the sentencerather than a simple morphological slot within the verb word. However, it has none of the
properties that were mentioned in 3.2.1: it does not occupy a specific position within thesentence, it does not have phrasal scope, it takes no morphology, it cannot be separated
from the verb word by any clitics, and it is specific to the verb class. It seems simpler to
analyze it as a prefix, rather than to introduce new criteria so as to be able to add n(i)- tothe set of clitics. Sincethe other person-markingprefixesthe sameoccupyalreadysyntactic slot as a freer morpheme (clitic or independent word; cf. 10.2.2) within the verb
phrase, assuming the same for n(i)- does not entail any extra costs.","[144, 145]"
