Paragraph,Page number
"24.1. Word order at a clause level
Udihe exhibits certain typological features of a head-final SOV language: a
head-final noun phrase (Chapter 13) and relative clause (19.1), a left-branching
complement embedded clause before the matrix verb (Chapter 20),
postpositions (10.2), etc. Indeed, the SOV order is the most common
statistically as well. The typical SOV order is illustrated by examples below.
(1765) a.b.c.",[876]
"Chapter 24
Information structure and word orderThis chapter deals with the effects of information structuring on the surface
shape of the clause. We assume that the information structure is an independent
level of clause representation that deals with the ""packaging"" of the
information in the utterance. The relevant units of the information structure
here considered as primitives are topic and focus. In their definition we will
rely heavily on the practice of Lambrecht (1994) where they are identified in
relation to one another and to the corresponding proposition. Topic will be
understood as the subject about which the proposition is pragmatically
construed (Lambrecht 1994: 131). The existence of a topic participant is
presupposed by the speaker, so topic is always (a part of) the pragmatic
presupposition of the utterance. Focus will be understood as ""the semantic
component of a pragmatically structured proposition whereby the assertion
differs from the presupposition"" (Lambrecht 1994: 213). If the presupposition
is lacking, the focus and the assertive part of the utterance coincide. Thus,
every sentence has a focus, but not every sentence necessarily has a topic (if it
lacks a pragmatic presupposition). Roughly speaking, sentence elements that
do not correspond to the functions of topic and focus may be viewed as neutral
with respect to information structure.
Although, strictly speaking, the notions ""topic"" and ""focus"" refer to relations
at the level of information structure, we will use these terms to refer to the
corresponding elements of the clause as well. Topic normally corresponds to a
non-verbal constituent whose referent is mentioned in the discourse, although
new topics are possible as well. As distinct from the topic, focus can
correspond not only to the nominal constituent, but to a verbal constituent as
well.
We will further assume that information structure functions stand in a certain
mapping relationship to syntactic and semantic units. However, this is a matter
of considerable controversy, and no attempt will be made to describe here such
mapping relationships in Udihe. This chapter only concentrates on the
correspondences between a particular information structure status and the
linear order of the sentence elements. As demonstrated below, word order in
Udihe is primarily motivated by information structure considerations, although
grammatical information is also relevant.
Section 24.1 deals with word order at a clause level. Additional information
about word order can also be found in other chapters, particularly those on840 Information structure and word order
questions and negation (Chapter 23), on the adverbs (10.1.7), and the particles
(Chapter 12). Word order within a regular NP is treated in Chapter 13.
In some cases the information structure, together with semantics, conditions
the sentence construction, that is, the encoding of semantic units by
grammatical relations. Some remarks on this may be found in Chapter 16 on
the valence-changing operations. Such alternative constructions at the level of
the clause were discussed in Chapter 16. In section 24.2 we address the word
order and information structure driven alternative encoding of sentence
elements within a noun phrase, while in 24.3 we focus on copular
constructions.","[874, 875, 876]"
"844 Information structure and word order
24.1.2.2. Presentational construction
A new participant is usually introduced in the discourse as a subject within
presentational constructions in which the correlation between the subject and
the topic is violated. In Udihe the (indefinite) subject of presentational
sentences is regularly postposed after the verb. It may be immediately
postverbal, as in (1773), or separated from the verb by other lexical material, as
in (1774).
(1773) a.b.c.d.","[879, 880]"
"I:-le
b'a-i
si
mamasa-na-mi?
what-LOC find.PAST-2SG
you
wife-DEST-REF
'WHERE did you find a wife for yourself?' (K 146)
Ei ni:
bi:-ni
Susana
nerju-ni?
this man
be-3SG
Susan
younger.sibling-3SG
'Is THIS MAN Susan's younger brother?'
Um'a
i:-du
xuaja:-i?
hook
what-DAT
break.PAST-2SG
'WHY did you break the hook?' ( K i l l )
Sugzä:-wa
j'eu
diga-gi-e-ni?
fish-ACC
what
eat-REP-PAST-3SG
'WHO ate the fish again?' (K 148)842 Information structure and word order
24.1.1.2. Subject focus
When the subject bears a focus status, the possible word orders are OSV
(1768a) or SVO (1768b). In (1768b)-(1768c) the focus bears an additional
contrastive implication.
(1768) a.b.c.","[877, 878]"
"12.2.3.2. Onomatopoetic words
The following are onomatopoetic words imitating sounds made by animals
(923a) or other sounds (923b):
(923) a.gabak
xai-gu-gu-gu
siñ-siñ
kor-kor, kärre-kärre a
ke-ku
xeu-xeu
kwjtitiete-kuytitieteraven
hare
a little bird
crow
cuckoo, cf. keku-nde- 'cuckoo'
dog
turtledoveExtra-clausal elementsb.todi-todi
küi-kiii-küi
ko:y-ko.η
pum-pum
tiewj-tiewj
ki-iñ
käk-cikea small bird
a small bird
raven
shaman tambourine
shaman tambourine
screaming of a baby
cracking noiseUnder (924) we list the traditional meaningless refrains used in folk songs.
(924) jawa-jawa
jewe-ju
zän-zän-zän
dele
ba-ba, baba-ju (cf. baba- 'rock to sleep')
beke-beke, beke-ju (cf. beke-gi- 'rock to sleep')SyntaxUdihe is a head-final SOV language. However, head-finality is not rigid. In
some noun phrases, such as the possessive phrase, the head-final order is
obligatory. Other noun phrases demonstrate a split in head properties: in certain
constructions attributes may raise to the phrase-final position and receive some
other head properties (24.2.1.1). Postpositional phrases and non-finite clauses
are always head-final. In the matrix clause the word order is largely motivated
by information structure. The most important requirement for word order at a
clause level is the immediately preverbal position of the focus element
(including the question words) (24.1.1).
Major grammatical relations, such as the subject, direct object, and indirect
object, are rather easily identified by a cluster of grammatical properties
(Chapter 15). In particular, the subject is a grammatical element associated
with the highest syntactic activity and is the main controller of coreferential
relations, both within the clause and clause-externally. The verb only agrees
with the subject. A number of rules that change grammatical relations apply
(Chapterló). The case marking patterns are uniformly based on the Accusative
system with the following two exceptions. First, the direct object marked with
the reflexive-possessive affix stands in the Nominative (22.3.2). Second, the
single argument of certain constructions denoting state may be encoded by the
Accusative noun phrase (17.2.2.5.2).
The subordinate clause mostly makes use of non-finite verbal forms,
participles, converbs, and infinitives. Clause-chaining is organized around the
switch-reference system, which opposes same-subject and different-subject
relationships (22.5). They are morphologically encoded on the non-finite verbal
forms employed in the subordinate clause. Relative clauses are formally
patterned as attributive noun phrase (Chapter 19), complement clauses as
possessive noun phrases with participles taking corresponding case and
possessive affixes (Chapter 20).","[508, 509, 510, 511]"
"The effect on language contacts on Udihe23However, the influence of Russian on Udihe syntax at the structural level is
surprisingly small compared to other minority languages of Siberia and the
Russian Far East. The following points can be noted here:
(i) Younger speakers tend to follow the Russian word order. In particular,
they place the focus object in a post-verbal position, which violates the major
requirement of Udihe word order, namely, the preverbal position of the focus
element (24.1.1). In general, the fact that verb-finality in modern Udihe is not
rigid (24.1) may be due to the influence of Russian word order. The example
below illustrates a non-head-final embedded clause generally disallowed in
Udihe but which in this case appeared under Russian influence.
(21)sa:-ni
namu tagiadi-ni
Bagdi-mie
bagdi-mie
know-3SG
sea
behind-3SG
live-INF
live-INF
bi:-we-ni
nada xatala.
be.PRP-ACC-3SG
seven girl
'He lived, lived, and learnt that íere were seven girls on the other side
of the sea.' (SKX216)(ii) Another violation of head-finality that may be due to influence of
Russian word order is the postnominal position of proper name apposition
(13.8.2) and the postverbal complement subordinate clause (Chapter 20).
(iii) W/i-words in Udihe are typically not used as subordinators, since clausal
subordination is mostly expressed by non-finite verbal forms; their occasional
use in this function, as in (22), is due to the Russian influence:
(22)Ali
ami-n(i)
eme-gi-si-kce-i-we-ni
when father-3SG
come-REP-MUL-INT.PRP-ACC-3SG
tu: pala-wasi:-ni.
all distract-DIV-3SG
'When the father was going to come home, she distracted (her son).'(iv) Certain sentence constructions may be influenced by the corresponding
phenomenon in Russian, namely, the desiderative copular clauses with the
Dative experiencer NP (17.2.3.2), the Impersonal construction (16.1.3), and the
promotion of the nominal patient to the subject position in the Personal Passive
clause (16.1.1).
(v) Cases of ""semantic translation"" from Russian may include the use of the
interrogative pronoun jeu 'what' in tag questions, as in the meaning 'what for,
why' (9.5.1.3), and the adverbial use of the universal quantifier teu 'all; all the
time, always' (11.2.2.1.3).
(vi) Udihe has borrowed certain functional words from Russian (the
conjunctions i 'and', no 'but', a 'and, but', and others) as well as many
interjections.","[56, 57]"
"Bi nua-ma-ni
ηαΐα-zi:
me he-ACC-3SG hand-INST.REF
Ί would take him by the hand.'zawa-za-mi.
take-SUBJ-lSG846 Information structure and word order
b.ηala-zi:
zawa-za-mi
hand-ENST.REF
take-SUBJ-lSG
nua-ma-ni.
he-ACC-3SG
Ί would take him by the hand.'bi
meIn the language of the younger generation the object may be postposed without
any particular information structure motivation, under the influence of Russian.
This is possible even when the object is a (non-contrastive) focus, cf. (1781a)
and (1781b).
(1781) a.b.","[881, 882]"
"Mamasa
ule:-we
olokto-ini.
old.woman meat-ACC
cook-3SG
'The old woman is cooking meat.'
Omölo-i
wopti-we
kimpigi-e-ni.
granddaughter-1SG door-ACC
close-PAST-3SG
'My granddaughter closed the door.'
Cinda-ziga
jegdige
ag'a-du
kuge-we
bird-PL
hero
brother-DAT bellows-ACC
kuge:-ti.
blow.PAST-3PL
'The birds blew (the fire) with bellows for the brother hero.'
(SKX 76)Cross-linguistically, subject is known to correlate with topic information
structure status, while the direct object is likely to encode the focus (in the
sense of narrow focus). The SOV order in Udihe seems to be a result of three
independent requirements: (i) the preverbal position of the focus (24.1.1), (ii)
subject/topic initiality (24.1.2), and (iii) verb finality (24.1.3). Requirement (i)
appears to be inviolable, therefore, when an element other than the direct object
corresponds to the focus function, the SOV order is abandoned. Requirements
(ii) and (iii) can easily be violated. As a result, the SOV order appears
non-rigid, deviations being motivated by specific information structure
requirements.",[876]
"860 Information structure and word order
e.","[895, 896]"
"862 Information structure and word order
f.","[897, 898]"
