Paragraph,Page number
"2.2.3.1 INTRAMORPHEMIC CLUSTERS
Word-medial clusters of two consonants a re common in Wambaya. The biconsonantal
clusters that are found in the corpus are shown in Table 2.3. The initial consonant of the
cluster is shown along the vert ical axis, and the second consonant is given along the
horizontal axis. The consonan ts are given in the same order as Hamilton's continuum: labials,
dorsals, laminais and apicals (alveolars and then retroflexes). Within each group the
consonants are given in the order: stop, nasal, liquid, semivowel. Question marks indicate
what may be accidental gaps in the table.",[47]
"265266Appendix C
TABLE C.3: EASTERN GROUP FUTURE TENSE AUXILIARIES (WITHOUT OBJECTS)
WI SG.S/A
2SG.S/A
3SG.S
3SG.M.A
3SG.NM.A
I DU.INC.S/A
1 DU.EXC.S/A
2DU.S/A
3DU.S/A
1 PL.INC.S/A
1 PL.EXC.S/A
2PL.S/A
3PL.S/AGBngurla, nguba
ngu, ngulu
nyurla, nyuba
nyu, nyulu
gurla, guba
gu
gu, gulu
gurnurla, gurnuba
gunu
gunu, gunulu
nguyurla, nguyuba
nguyu nguyu, nguyulu
murndu murndu, murndulu murndurla, murnduba
ngurlu ngurlu, ngurlulu
yurlurla, yurluba
gurlu
gurlu, gurlulu
gurlurla, gurluba
wurlu wurlu, wurlulu
wurlurla, wurluba
ngurru ngurru, ngurrulu yurrurla, yurruba
ngirri
ngirri, ngirrili
yirrirla, yirriba
girri, grrili
gin-i
girrirla, girriba
wîrri, wirrili
wirrirla, wirriba
ngu
nyuNgngulu
julu
yulu
nulu
nguyulu
murndulu
ngurlulu
gurlulu
wurlulu
ngurrulu
ngirrili
girrili
iniliAuxiliaries with objects contain the same subject bound pronouns and tense suffixes as in
the charts above (Wambaya is the only member of the Eastern Group that has a different
system of tense marking in these auxiliaries than in auxiliaries without objects; see §5.2.1).
In all languages/dialects third person object is not overtly expressed in the auxiliary and object
bound pronouns register person only. The object bound pronouns in all languages/ dialects
are: ng(V) `first person object' and ny(V) `second person object'.
The only significant difference among auxiliaries with objects in the Eastern Group
languages is in the ordering of object bound pronouns and tense suffixes. The usual order is
subject-object-tense:
ngi-ny-a
ngî-nya-ma
ngi-ny-ani
ngi-ny-aISG.A-20-NF (W)
1SG.A-20-PST (G)
I SG.A-20-PST (B)
I SG.A-20-PST (Ng)but in Binbinka the order is subject—tense—object in the future tense:
ny-urla-nga2SG.A-FUT-20 (B)and tense—subject—object in the present tense:
ya-ngî-nyaPR-ISG.A-20 (B)Table C4 lists the other tense/aspect/mood suffixes, the directional suffixes and the
reflexive/reciprocal pronouns given in Chadwick (1978), along with the _ Wambaya
equivalents.","[283, 284]"
"CHAPTER 7SYNTAX OF SIMPLE SENTENCESWambaya has two basic clause types (divided according to their predicators): verbal and
nominal (or verbless). A verbal clause has a finite verb as predicate and, except for under
certain discourse conditions (see §5.4), always requires the presence of the auxiliary.
Nominal clauses, on the other hand, have either nominal predicates or predicates consisting
of a purposive non-finite subordinate clause and cannot contain an auxiliary. A simple
sentence consists of a single clause of either type. I will begin with a discussion of verbless
clauses — those with nominal predicates — and will then discuss verbal clauses in §7.2. Nonfinite subordinate clauses are discussed in §8.1.
7.1 VERBLESS CLAUSES
For the purposes of this study I will assume verbless clauses to consist of a subject and a
(usually nominal) predicate.' Note that `subject' in this context, in which it is opposed to
`predicate', is used differently than in verbal clauses, in which it is opposed to `object'.
Verbless clauses do not contain an auxiliary, and therefore do not indicate tense. The tense
of these clauses is usually taken to be the same tense as the rest of the discourse or, if uttered
in isolation, present tense. If it is necessary for a verbless clause to be marked for past or
future tense, it can be made into a verbal clause with the use of mina `sit, be' and thereby
contain an auxiliary. The use of mina as a type of `copula' verb is discussed in §7.1.7.
As with other types of sentences, word order in verbless clauses is relatively free; the
subject can precede (example (7-1)) or follow (7-5) the predicate, or can be discontinuous (74). The subjects of these clauses are often modified (or represented) by a demonstrative that
can mark definiteness and therefore emphasise the subject. In all verbless clauses, the subject
must be in the nominative case. In ascriptive and having/lacking verbless clauses, the
predicate must also be in the nominative case and agree with the subject in both gender and
number.
7.1.1 ASCRIPTTVE CLAUSES
The predicate of an ascriptive clause attributes a certain property to the subject. The
predicate can be an adjective (examples (7-1) and (7-2)); a full noun phrase (7-3); a nominal
inflected with an adnominal suffix, such as the `origin' suffix (7-4); or a nominal derived
with the agentive or pri vative suffixes ((7-5) and (7-6)). Both subject and predicate must
agree in case (nominative), gender and number.","[190, 191]"
"12Chapter Ilanguages which are not prefixing in at least the verbal domain a re the Tangkic languages,
such as Kayardild and Lardil.3
The four genders in Wambaya are masculine (Class I), feminine (Class II), vegetable
(Class III) and neuter (Class Iv). Class membership is primarily semantically based. There are
two series of gender suffixes: those which occur in the nominative and accusative cases
(absolutive) and those which occur in all other cases (non-absolutive).4 Gender is marked on
nouns, adjectives, demonstratives and some indefinite/interrogatives.
Wambaya is a `split-ergative' language: nominals (excluding free pronouns) have an
ergative-absolutive pattern of inflection while the free pronouns have a nominative/accusative
declension. Following Goddard (1982), the class of nominals as a whole is analysed as
having a three-way case system: ergative (/locative), nominative and accusative (see §4.4).
A second position auxiliary, obligatorily present in most Wambaya clauses, contains
bound pronouns representing the subject and object arguments of the clause. This auxiliary
also contains most of the tense, aspect and mood information for the clause, and can contain
directional affixes indicating movement towards or away from the speaker. Unusually, the
auxiliary has no root.
Some further unusual aspects of Wambaya grammar include: a subjective/objective
distinction that is made by some adjectives (see §3.1), a suffix found with kinship nominals
which appears to have a reflexive possessive function (see §4.5.1.2) and some verbs which
alternate in transitivity without changing their form (see §7.2.7).
As is common for Australian languages, Wambaya is morphologically agglutinative and
the word order is relatively free.
1.1.1 THE WEST BARKLY LANGUAGES
The West Barkly language family consists of 5 languages/dialects: Jingili, Ngarnga (or
Ngarnji), Wambaya, Gudanji and Binbinka. The structure of this family can be represented
as in Table 1.1 (following Chadwick 1978:2).
TABLE 1.1: THE WEST BARKLY LANGUAGE FAMILYWest Barkly Language Family
JingiliEastern GroupsNgarngaMcArthur LanguageWambaya Gudanji Binbinka3
4
5Although the Tangkic languages were originally classified by O'Grady, Voegelin and Voegelin (1966) as
Pama-Nyungan, recent discussions (namely Evans (1985, 1988, 1995a) and Blake (1988, 1990)) have
shown them to be clearly non-Pama-Nyungan.
These gender suffixes are then followed by the appropriate case suffix.
The terms 'Eastern Group' and 'McArthur' are taken from Chadwick (e.g. 1978).","[19, 20]"
"23 Note that the corresponding Yukulta term has the same form: yaka narri (McConvell (1985:29) citing
Sharp).
24 I am not completely sure about the order of these two choices; they may go the other way around.",[30]
"Parts of speech and other preliminaries533.1.2.2 PARTICLES
There are only a few particles in Wambaya. Particles have grammatical functions, such as
marking yes/no interrogative clauses, marking negation in declarative and imperative clauses,
and linking two finite clauses into a single complex clause. They are formally distinguished
from adverbs as they have strict positional restrictions: particles almost always occur in initial
position. Particles are discussed in §7.7.2.
3.1.2.3 arms
Clitics can be distinguished from other non-inflecting word classes as they are bound
forms; they can not stand alone as words.10 There are three clitics in the corpus: =miji, =nima
and =minyi. Miji (glossed INFER') expresses epistemic mood; it indicates that the speaker
considers the proposition to be probable or possible, but does not know for sure whether or
not it is actual. It is an unrestricted clitic and is always encliticised to the initial word of the
clause. Nîma (glossed `NST') can usually be translated by English words such as `just',
`only' and `still', although in some examples it seems to have an emphatic function. It is a
restricted clitic which usually occurs with nominals, although it can also occur with verbs and
other word classes. The other clitic, =minyi (glossed `AGAIN'), is used only with verbs. It is
encliticised to the verb over which it has scope. These three clitics are discussed and
exemplified in §7.7.1.
3.1.2.4 INTERJECTIONS
There are only a small number of interjections in Wambaya. Interjections can constitute a
complete utterance on their own and are therefore distinguished from word classes such as
adverbs and particles. Examples of interjections in Wambaya include gunku `I/we don't
know', guyala `no, nothing' and alima `OK, goodbye'.
Note that guyala functions both as an interjection meaning `no, nothing' and as a particle
negating a clause, as in guyala nguda yarru `I didn't go'. This is the only other exception to
the mutually exclusivity of word class membership. Interestingly Evans (1995a:87) gives
warirra `nothing' as the only Kayardild word that may belong to more than one word class,
serving both as a nominal and an interjection.' 1
3.2 GRAMMATICAL RELATIONS
3.2.1 CORE FUNCTIONS, ADJUNCTS AND COMPLEMENTS
Grammatical relations (or grammatical functions), such as subject, object, indirect object,
complement and adjunct, are important in describing many syntactic and morphological
10 Note that the auxiliary is essentially a bundle of clitics. However, its special status in Wambaya
grammar warrants its treatment as a distinct part of speech.
1 l Bill McGregor (pers.comm.) points out that the possible use of guyala as an interjection does not
necessarily justify the claim that it belongs to more than one word class since it is not uncommon in
languages for words of other classes to be used as complete utterances of their own, as in the use of
`Man!' in English, for example. However, the two uses of guyala have different characteristics — as a
particle, for example, guyala must co-occur with counter-factual mood marking in the auxiliary (see
§7.6.I.1)— and thus are considered members of different word classes here.","[70, 71]"
"NEG.INT 2SG.S-NACT.PR talkCan you talk Wambaya? (Hale 1959:31)
(7-146) (W)ayî ny-udîyabu guyiga?
have fire.IV(ACC)
Have you got firewood? (Chadwick 1978:99)
NEG.INT 2SG.A-NACT.PRI suspect that the basic use of wayî is in yes/no questions when the speaker is anticipating
a negative reply, and that examples such as (7-145) and (7-146) could probably have been
explained in this way in the contexts in which they were given. The information question
associated with (7-143) could arise for pragmatic reasons: if the speaker asks the question
Aren't you listening? then it might be expected that he/she is also looking for an explanation
why. However, further research is required in order to test this hypothesis and more
accurately determine the meaning of this particle and the contexts of its use.
7.5.2 INFORMATION QUESTIONS
These questions involve the use of an indefinite/interrogative, usually initial in the clause,
that indicates the nature of the information being sought. As in many Australian languages,
indefinite/interrogatives in Wambaya can be used either in interrogative function (e.g. `who',
`what') or as indefinite pronouns (e.g. `someone', `something'). They contain one of five
basic roots: gayinî- `what, who'; inja- `where, which'; yangula `when'; yangulanji `how
19 Based on the forms of the auxiliaries and the negative particles he recorded, as well as some of the lexical
items.",[216]
"54Chapter 3processes in Wambaya. While these functions all have close associations with semantic roles,
the semantic roles are not necessarily invariant; a particular grammatical function may have
one semantic role with one verb, and a different semantic role with another. The role of
grammatical functions, therefore, is to provide the link between the surface morphological
and/or syntactic structure and the semantic level at which lexical predicates select arguments
with specific semantic roles (Bresnan 1982:288).
Distinctions can be made within the grammatical functions according to two main
parameters: whether or not the function is subcategorisable by a verb, and whether the
function is semantically restricted, or semantically unrestricted.12 The criterion of subcategorisability separates adjuncts from other types of grammatical relations. Adjuncts are
never subcategorised for and can potentially occur with any verb. Adjuncts are semantically
transparent in that an adjunct's meaning is consistent and predictable and is not affected by
the verb with which it may occur.
Among the subcategorisable functions, namely subject, object, indirect object and
complements, a distinction can be made according to whether or not the function is
semantically restricted (i.e. is only ever linked to an argument having a particular semantic
role) or semantically unrestricted (i.e. can be linked to any type of argument) (Bresnan
1982:293-294). Thus we can distinguish core functions (subject, object, indirect object) from
complements on this basis.13 Core functions are always subcategorisable and are
semantically unrestricted in that their meaning (i.e. their semantic role) is dependent upon the
verb of which they are an argument. Thus, the subject of one verb may have the semantic role
of agent, but that of another may be a perceiver or an undergoer. Similarly semantic roles
such as patient, perceived entity and location may all be paired with the grammatical function
of object subcategorised for by different verbs. Complements on the other hand, although
subcategorisable,14 are more closely linked with specific semantic roles and have a consistent
and predictable way of contributing to the meaning of the sentence (Andrews 1985:92).
Complements, therefore, form the middle ground so to speak, between semantically
transparent and non-subcategorisable adjuncts on the one end and semantically nontransparent and subcategorisable core functions on the other.
Some examples and a brief discussion of the types of complements and adjuncts found in
Wambaya follow. As the core functions are always subcategorised for, and are directly
related to, the verb of which they are an argument, they are discussed in §7.2, which deals
with the syntax of simple verbal clauses, and verb argument structures.
Complements have invariant meanings which are related to, and easily characterised in
terms of, their case marking. Yet, unlike adjuncts, they can combine with only certain verbs,
and would therefore be part of a full dictionary entry for their governing verb. A verb such as
12 This terminology and the system of classification of grammatical relations is taken from Bresnan
(1982:287).
13 Note that I use the term `indirect object' to refer to a type of object that is marked with an oblique case
(usually dative). This is in contrast to what I simply refer to as `objects', which are marked with
accusative case. Bresnan (1982) does not make such a distinction; in Bresnan's classification, these are
both a type of object.
14 Note that there is a slight difference here in the use of the word `subcategorisable'. The subcategorisability of complements is different from that of core functions in that core functions are
generally obligatory (i.e. a transitive verb has an obligatory subject and object) while complements are
more often optional (i.e. a verb of motion can have an optional ablative or allative complement
indicating the source or the direction of the motion).","[71, 72]"
"ISG.NOM ISG.S-FUT old.woman.II(NOM) beI will (live to) be an old woman.
For examples of subject complements with other verbs, see §7.2.3.2.
7.2.2.4 NGARLWI `TALK (LANGUAGE) (TO IO)'
Ngarlwi is unique in that it subcategorises for a nominative subject NP and two optional
object arguments: an accusative object referring to the language spoken (usually called a
cognate object, e.g. Austin 1982) and a dative indirect object. It can, therefore, appear in four
different case frames, the most of any verb in the corpus: simple intransitive (example (7-184Chapter 758)), intransitive with cognate object (7-59), semitransitive (7-60), and semitransitive with
cognate object (7-61).11
(7-58)Ngarlwî ngurru-n.
talk
1PL.INC.S(NP)-PROG
We're talking.","[201, 202]"
"3.2.2 DEFINING SUBJECT, OBJECT AND INDIRECT OBJECT
Following are the properties by which subjects, objects and indirect objects can be
characterised and identified in Wambaya.
SUBJECT I7(i)Subject NPs take either the ergative case (A) or the nominative case (S).(ii)In a main verbal clause or a finite subordinate clause, the subject is represented by a
bound pronoun in the first position in the auxiliary.(iii)In a non-finite subordinate clause the subject is the pivot and is obligatorily omitted,
being identical to a core argument of the main clause (see §8.1).(iv)In a simultaneous non-finite subordinate clause in which the verb is inflected with the
nominal suffix -nî, the main-clause subject is that which is co-referential with the
(omitted) subordinate-clause subject.(v)In a reduced adjoined clause the subject is the pivot and is omitted, being coreferential with the subject of the preceding clause (see §8.2).1816 I have not tested the limits of these combinations. For example, what is the limit on the number of noncore functions that can occur within a clause? And is it possible to have the complete set of dative
functions within the one clause? Consider, for example, 'I talked to the woman (indirect object) about
language (complement) for money (adjunct)'.
17 Note that this discussion does not help to identify or define the properties of a subject in a verbless
clause. There are often difficulties with formally identifying the subject in such clauses (e.g. see Morphy
(1983) on Djapu). Verbless clauses are discussed in §7.I.
18 In a non-reduced adjoined clause, the subject can be identified from the auxiliary by (ii).",[74]
