Paragraph,Page number
"( 1 5)In-frur in-do-tu.
1 SG-do1 SG-self-oneI do it by myself.
( 1 6)An-ayaan-do-tuahI SG-father2SG-self-one 2SG-cut.down 2SG-cut.down gardenan-maman-mammabapak.big
Well, father, you have to clear that big garden by yourself.
RELmer54Cecilia Ode4 Verb
Subject prefixation for person and number on verbs (see §3) is obligatory only with human
subjects, but note that (mi)nton 'child ', mamir 'person ', nkan 'old person ' , mampu
'youngster', maunbwat 'thief' etc. do not trigger subject prefixation if the speaker does not
know the gender. The word order in verbal clauses is SVO.","[9, 10]"
"6.8 Nouns and word order
Word order in noun phrases is as follows: P�S + N + A + NUM + DET, as in:(78)A-onsraa-hijanmafun3SM-like 3SM-possess house beautiful
He likes his many beautiful houses.fon.
many64Cecilia OdeA modifying relative clause (see § 1 5) is normally introduced by the relative marker ma,
occupying the position of the postnominal modifiers. I n the following example, a nominal
predication is presented followed by a negation which obligatorily follows the nominal
predicate:(79)Iwma-n-kakokorjan.bird REL-3SF-that chicken NEG
This bird is not a chicken.","[19, 20]"
"12 Conjunctions
There are simple (aka 'and then', 'so') and complex (na toka 'in order to') conjunctions
that link clauses. For example:(2 1 3)An-unsi bain-eaka an-detbar-(d)et!",[36]
"4.2 Transitive and intransitive verbs
Transitive verbs can, but need not always, have an object, whereas intransitive verbs
cannot have a direct object, but can have an object with a preposition.
The verb det 'to eat' is an example of a transitive verb and requires at least the object bar
'thing' :(20)An-det bar-(d)etpa-e?",[10]
"6 Nouns
Nouns are of the following types: simple nouns, compounds, alienable and inalienable
nouns. Nouns referring to human beings are marked for gender. Nouns have possessive
inflection by means of bound pronouns prefixed to inalienable nouns and by means of the
subject prefixed verb tar or bi 'to possess' preceding the alienable noun. Nouns as head of
noun phrases can be modified by adjectives, numerals and demonstratives following the
noun. Loans are predominantly from neighbouring languages: Numforese, Irianese Malay or
Standard Indonesian, but also from Dutch. Since loans do not behave differently from
original Mpur words, they will not be further discussed.",[16]
"(67)Nton[ 1 .7]bwar: 'Jan,child say
no
The child said: 'No,(68)n-aa-kwendeke(k)-nonnaa-mimin,l SG-father 3SM-fall a.while.ago-little for 3SM-arrive lSG
a little while ago my father fell down in order to reach me,(69)a-tapretkaman jana a-botna n-det'.",[50]
"3PL-fall from bridge
They fall from the bridge.
Transitive verbs may occur without an object. Examples with and without objects are
illustrated in (25) and (26):(25)Derek-aa-onsranan.vs(26)jan!",[11]
"[ 1 .2]3SM-give squash seed for 3SM-child eat-CL finished
He gave the squash seeds to his child to eat them all up.
(50)A-robuna-bwir[ 1 .0]a-ta-ki3SM-pull.out 3SM-tooth 3SM-ANA-this
He pulled out his teeth
(5 1 )na a-kawa-kua-nona-tafor 3SM-plant 3SM-in 3SM-child 3SM-ANA
in order to plant them into the jaw of his child.kamtar.",[49]
"9 Prepositions
Prepositions in Mpur have no subject prefixation. For the purpose of this exposition,
prepositions are subdivided into three types: ( 1 ) referring to space, (2) referring to space with
an aspectual meaning, and (3) non-spatial prepositions. Such a subdivision may not be
tenable, since the preposition na 'for, to', mainly used with verbs like 'say' and 'give', also
occurs with demonstratives. Some prepositions also occur as verbs (see below). The
discussion of locative prepositions be andfe is delayed till §1 0.
The prepositions presented below in alphabetical order will be commented upon in this
section:(1 1 9)bari
be
fe
fraru
ka
ke
koso
ku
ma
mim
na
pu
si
tutfrom
LOC (see § 1 O)
LOC (see § 1 0)
between (lit. 'middle ')
with (instrument)
to (in the process of going to)
along
to, at, in (completed action)
to, at, in (habitual, permanent or actual presence)
till
for, to
to, at, in (far away)
to (future action)
with (comitative)Examples of the three types are, respectively:( 1 20)In-unkosowar.",[25]
"6.7 Nouns with the same form as verbs
A number of nouns in Mpur have the same form as verbs with subject prefixation. For
example sor 'mountain/cross' and tum 'arrow/shoot' :(74)In-sordok.",[19]
