Paragraph,Page number
"2The Noun Phrase22310.3 ATTRIBUTES
10.3.1 Overview of the Structure of NPs with Attributes
Attributes are defined as modifying constituents within the noun phrase, except for
the determiner(s). Attributes can be classified as follows:
(1) Pre-head attributes:
(i) the restrictive adverb roki 'just'.
(ii) the restrictive adverb me eng 'exactly, right'.
(iii) local-directional (LD) nouns.
(iv) absolutive noun phrases which are the expansions of the 3rd person Possessors of non-reciprocal kinship terms, or nouns which are cross-referenced
by the bound demonstrative of reciprocal kinship terms.
(v) nouns, usually with the purposive suffix, which modify local nouns denoting
positions.
All the five types of pre-head attributes can potentially cooccur in this order (roki occurs
before the determiner, and all the others after the determiner).
(2) Post-head attributes:
(i) nouns/pronouns in juxtaposition to the heads.(ii) local noun phrases in ergative or ablative case.
(iii) adjectives and adjectival participles.
(iv) classifier constructions and numerals.
(v) relative clauses which require a 3rd person possessive pronoun as a relative
pronoun.
All the five types of post-head attributes can potentially cooccur. The order of (ii), (iii)
and (iv) are variable. Post-head relative clauses are usually placed after them.
(3) Attributes which can be placed in either position:
(i) the restrictive adverb nang 'only'.
(ii) the numeral noi 'one/some/any'.
(iii) the quantifier tu'ki 'all'.
(iv) Possessors and local nouns with gender suffixes.
(v) Possessor nouns/pronouns with the ergative suffix.
(vi) relative clauses without relative pronouns.
Classifier constructions, noi and tu 'ki cannot cooccur. Two Possessors or two relative224Chapter 10clauses cannot cooccur. The restrictive adverb nang does not occur with meeng but it
can occur with raki.
Motuna places NP attributes, either in pre-head or post-head positions, primarily
according to their pragmatic functions. Pre-head attributes are used to identify the
entities referred to by the heads; post-head attributes, on the other hand, describe their
characteristics. Schematically,
Diagram 10-2aMajor Functions of NP AttributesPre-head AttributesNP-------Head
Post-head Attributes<--Identification--><-- Description -->The relative order of pre-head attributes is fixed. Among them, those which give
more specific information for identification (such as possessive pronouns, Possessor
noun phrases or nouns, nouns which modify local nouns of positions, or pre-head
relative clauses), are placed closer to the heads, while those which give more general
information, such as LD nouns and restrictive adverbs, are placed farther away. 3
Schematically,
Diagram 10-2bMajor Functions of Pre-head AttributesrakiDeterminer meeng LD NounNoun(-PURP)(nai)nangPossessor(tu 'ki)HeadRelative Clause
IDENTIFICATION<- general informationspecific information ->3 Seiler (1978: 309) summarises the sequential order of modifying elements in the noun phrase (whichhe calls ""determiners"") in High German as follows:
""The potential of a determiner D for singling out the object referred to by the head noun N
increases proportionally with the positional distance ofD from N.""
According to Mosel (1984: 27-28), the order of pre-head NP modifiers in Tolai is governed by the same
principle.
Motuna distinguishes ""identification"" and ""description"" as two separate parameters, and within each
parameter there seems to be a continuum, which is reflected in the positional distance of modifiers from
the head. The order of the pre-head modifiers which ""identity' the entity referred to by the head seems to
be governed by Seiler's principle. But that of the post-head modifiers which ""describe"" it seems to be
governed by more complex principles, as discussed below.","[251, 252, 253]"
"Core case markings are ergative/absolutive. In addition, there are five more cases--comitative, purposive, locative, ablative and similative. Motuna has no prepositions or
postpositions. Verbs, kinship terms, classifiers and numerals show extremely complex
morphology, with both suffixing and prefixing.
The phoneme inventory of Motuna is relatively simple. It has five vowel phonemes.
Stop and nasal phonemes are distinguished in three places of articulation. In addition,
there are two fricatives and glides, and a rhotic. The most interesting part of the
phonology of Motuna is the three archi-consonants which are ""underspecified"" as
regards the places of articulation, and which always occupy the coda position in the
I had no opportunity to examine their work except for the translations of the Gospel of Mark (So
Gospeli Maka, 1952) and the Gospel of Matthew (So wasiih mirahu Matiu ki kehurung, 1968). The
latter was translated by Pamela Beaumont.
34Chapter 1syllable. The alternations of CV syllables and these archi-consonants under specific
morphological environments constitute the core of the complex morphophonemics of
Motuna.
Word order is determined by both syntactic and pragmatic factors.
In a verbal clause, an NP, usually in absolutive case, which provides ""given"" 4
information occupies the first position, and the verb the last position. SV, OAV and
AOV 5 are commonly found constituent orders in my corpus. The first core or local
NP in absolutive case tends to be a sentential topic. (If A is a topic, it is not marked by
ergative case.) However, core NPs are often left unexpressed if understood from the
context, because they are obligatorily cross-referenced on the verb. Furthermore, any
NP which provides ""new"" information can be placed after the verb.
The basic order of major NP constituents is:
Determiner (Article/Demonstrative)+ Local Noun+ NP Head
NP Head + Adjective + Classifier/Numeral/Quantifier
Motuna distinguishes kinship, classifier, and other possessive constructions. The
first two types of possessive constructions are basically head-marking, and the last type
dependent-marking. Possessors in kinship and classifier possessive constructions are
always placed before the head, while those in other possessive constructions can
occupy either pre-head or post-head positions.
Relative clauses can also occupy pre-head or post-head positions. Motuna has
internal relative clauses as well.
A gender system and classifiers coexist in Motuna. Five genders --- masculine,
feminine, dimunitive, local and, marginally, manner --- are distinguished in singular
nouns, but these distinctions are neutralised in nonsingular number. 6 They are
obligatorily cross-referenced by modifiers within the same NP and/or by the predicate.
In addition, most nouns are classified into fifty-one semantic types, which can be
indicated by classifiers modifying them. Nouns distinguish four numbers--- singular,
dual, paucal and plural.
Personal pronouns distinguish singular and nonsingular number. In 1st person
4The terms ""given"" and ""new"" information are according to Chafe (1976).","[32, 33]"
"Syntactic Preview
Table 3-161Basic Word Order of Core NPs in Transitive Verbal ClausesNP usually functioning as a topic 14word order
(1)O(ABS)A(ERG)VP0(2)A(ERG)O(ABS)VP0(3)A(ABS)O(ABS)VPA(4)O(ABS)!11VP(5)A(ERG)!11VP(6)!11!11VP0, or unexpressed A
0
unexpressed 0 or AAs discussed above, the choice between (1) and (3) depends on which argument is the
topic. (2) is used instead of (1) when A provides given information. The 0 NP, or the
A NP in ergative case, can be placed after the verb, when they provide new information
in the discourse. 15
In addition to core arguments, many transitive verbs can take NPs in absolutive case,
verbal nouns, verbal clauses with verbs in Definite Future TAM, or sentences in
quotation, as Complements. Examples of absolutive NPs functioning as the Complements of transitive verbs are given below (see §14.3.2.1, §14.5 and §14.6 for the
examples of different types of Complements):
3-65hooimpaKeehnotang-a-'-ko-ng.themnow'tribe.name'call-30.3pcl.A-pcl-PRES-M[ 0]
c ]
'Now people call them Keehno tribe.' (XI-30, cf. 14-39)3-66hooko'sacKoimekeART.F 'female.name'ART.M shell[tiinep-ee-wa-ro ...
take-APPL-30.3pcl.A-PERF.SS][
0
]
'... after they took the shell from Koimeke, (they) .. .' (VIII-34)
Note that the verb stem nep-ee- in 3-66 is derived by the applicative suffix -(j)ee. It
introduces a new 0 argument (Koimeke) and moves the original 0 (hoo ko'sa) into
Complement status. (See also 3-24. See Ch 14 for a detailed discussion of valencychanging processes.)14Unless another absolutive NP denoting location precedes and functions as a topic. e.g. 3-15.","[89, 90]"
"Since the person and number of A and 0 NPs are obligatorily cross-referenced, in
many cases A and/or 0 NPs can be left unexpressed without confusion. Thus the basic
· word order and case-markings of core NPs in transitive verbal clauses are:13 In other words, the ergative suffix marks the A argument which is not a sentential topic. In
elicitation sessions, my informants sometimes marginally accepted sentences in which A NPs in
ergative case are sentential topics at the same time. But I have found no such sentence in my entire
corpus of narratives and daily conversation. This fits Wierzbicka's argument that 'the ergative marks
the peripheral (less topical) actant' ( 1981: 69).",[89]
"232Chapter 10If two or more adjectives or such participles occur, the unmarked order seems to be:sex +evaluation/size + shape + colour+ quantity/order
Below are all the examples in my corpus in which two adjectives cooccur in one
noun phrase:nungamang and kuraisa (sex)+ hanna (size):
10-55
haa
nammai nungamang jii
ART.Mpeoplemaleandkuraisahanna-ngung tu 'kifemalebig-piall'all the hlg, (=adult) male and female people' (II-19)hanna (size)+ rinu'rang (order):
10-56
haa
tuutu hanna
ART.M warrinu'rangbiglast'the last hlg, war' (II -1)hanna (size)+ simiri (order):
10-57
haa-nna
G.
ART.M-COMIT'male.name'pa-anghannana-warihis-sonbigone-CL.animateeldest'with G.'s one big[= grown-up] eldest son' (XV-52)mirahu (evaluation)+ pannaa (quantity):
10-5 8
pau
mirahu
pannaa
fcx:xlgcx:xiplenty'~of good food'(III-46)Further examples obtained in elicitation sessions are given below:hanna (size)+ ihkaata (shape):
10-59
ang
manare hanna ihkaata
DEM.Mroadbiglong'this big long road'pehkita (size)+ kaakata (colour):
10-60
Kangku
paka-na
'male.name'3sg.POSS-Fhuuru pehkitakaakatana-waripigwhiteone-CL.animatesmall'one of Kangku's small white female pigs'
In 10-60, kaakata may precede pehkita in certain context, although the above order is
preferred. The numeral classifier na-wari can also be placed next to the head for
emphasis.","[260, 261]"
"Verbal Morphology297(B) Rules of Dearticulation (these rules apply after all the other rules which affect
cross-referencing suffixes):
Rule 13-3Dearticulation of /s-i/ to /HIThe sequence ls-i/ is dearticulated to /HI before a (phonological) word bound
ary, or before a CV sequence followed by a (phonological) word boundary.
s-i -> H I_- (CV) # IRule 13-4cf. (3a), (3b), (5)Dearticulation of /t-u/ to /Q/The sequence lt-u/ is dearticulated to IQI before a CV sequence followed by a
(phonological) word boundary.
tu -> Q I _- CV #Rule 13-5cf. (7)Dearticulation of /-r-i/ to 1-N/ and /-Q/The sequence 1-r-il formed due to Rule 13-2 is dearticulated to 1-NI or 1-QI,
in the following environments.
-r (pcl.inc) -i -> -N I_ -CVcf. (5)V (V) )#cf. (3a), (3b)[+voiced]-Q I_ -( C
[-voiced]Rule 13-6Dearticulation of /-ru/ and /-r-u/ to 1-N/ and /-Q/The paucal/plural inclusive suffix 1-rul, or a sequence 1-r-u/ formed due to
Rule 13-2b, is dearticulated to 1-NI or 1-QI, in the following environments.
f-ru (pcl.inc) ~ ->
l-r (pcl.inc) -uJ-N I-( CV (V) )#[+voiced]-Q I- -cv[-voiced]cf. (la), (lb), (3a*), (7),
(9a*), (10), (11), (13*),
(14*)
cf. (2a), (6), (8a), (8b ),
(8c), (9a), (9b), (13)298Chapter 13(C) Rules of TAM and Gender Suffixes:
Rule 13-7Assimilation of Near Past SuffixVi (V) -i (NRPAST) -> vyi I_ -ngcf. (5)[+back]Rule 13-8Realisation of Remote Past Suffix(a) and (b) apply in this order.
(a) r-i + -u (RMPAST) -> r-i-ru I_ -N
(b) Vi(V) + -u (RMPAST) -> vyiRule 13-9Assimilation of /i/ of IMAG Suffixkui (IMAG) -> kuu I_ -ngRule 13-10cf. (9b)Gemination of Vowel before CONT DS SuffixA single vowel is geminated, when it is immediately followed by the
Continuous Different Subject suffix 1-juu/ (this rule applies after Rule 13-2).
Vi-> ViVi I C- _ -juu (CONT.DS)Rule 13-11cf. (14)Realisation of DP Gender Suffix(a), (b) and (c) apply in this order. These rules apply before Rules 13-313-6.
(a) -o -{DP} -> -eecf. (lb), (2), (3b), (4b), (8b), (8c)(b) {DP} -> -nicf. (5), (6), (7)(c) -ni -> !i> I -Vi (NRPAST/IMAG)cf. (5), (9b)Verbal Morphology13.2.2299SA VerbsSA verbs have the following morphological structure:
Diagram 13-7Structure of SA VerbsStem-(SA suffix~-}gender
(negative)- TAM - { 0switch-reference
..","[325, 326, 327, 328]"
"Verbal Morphology13-51akonn-ongo-ng395'I always walk' (Rule 13-22c)walk-lS.PRES-Mbkonn-u-ku
walk-3S-GEN.DSkopi'-ku'after he/she walks/walked, sb else .. .'
(Rule 13-21d not applied. Rule 13-22c applied)
'idem' (Rule 13-2ld applied)walk.3S-GEN.DSckonn-u-woro
walk-3S-OPTkopim-woro'I wish he/she would walk'
(Rule 13-21d not applied.Rule 13-22c applied)
'idem' (Rule 13-21d applied)walk.3S-OPTdkonn-u-ra-na
walk-3S-PERF-Fkopinna-na'she walked'
(Rule 13-2ld not applied. Rule 13-22c applied)
'idem' (Rule 13-2ld and f applied)walk.3S.PERF-Fkonn- (/konin-1) 'to build' (transitive) (compare the folowing examples with 13-51ad):13-52akonn-ungo-ng'I always build it' (Rule 13-22c)build-30.1A.PRES-Mbkonn-u-ku
build-30.3A-GEN.DSkonii-ku'after he/she builds/built it, sb else .. .'
(Rule 13-21c not applied. Rule 13-22c applied)
'idem' (Rule 13-21c applied)build.30.3A-GEN.DSckonn-u-woro
build-30.3A-OPTkonii-woro'I wish he/she would build it'
(Rule 13-21c not applied. Rule 13-22c applied)
'idem' (Rule 13-21c applied)build.30.3A-OPTdkonn-u-ra-na
build-30.3A-PERF-Fkonii-ra-na'she built it'
(Rule 13-21c not applied. Rule 13-22c applied)
'idem' (Rule 13-21c applied)build.30.3A-PERF-Fkamann- (lkamarin-/) 'to feel cold' (S 0 ):
13-53a kamam-mu-i-na
'I felt (and am still feeling) cold'
feel.cold-lS-NRPAST-F
(Rule 13-22c and e)396Chapter 13bkamann-u-mo
feel.cold-3S-GEN.SSkamarii-mo'while he/she is feeling cold, he/she .. .'
(Rule 13-21c not applied. Rule 13-22c and e
applied)
'idem' (Rule 13-21c applied)feel.cold.3S-DEFFUTckamann-u-raa
feel.cold-3S-NEGOPTkamarii-raa
feel.cold.3S-NEGOPT. I'I wish he/she would not feel cold'
(Rule 13-21c not applied. Rule 13-22c and e
applied)
'idem' (Rule 13-21c applied)Valency of Verbs397CHAPTER 14 VALENCY OF VERBS14.1INTRODUCTIONAs discussed in Chs 12 and 13, verb stems in Motuna can take one or more of tp.e
five types of cross-referencing marking (0/A, S0 , SA and irregular markings in active
voice, and middle suffixes in middle voice). Verb forms, in tum, may take:
(1) core noun phrases, which are obligatorily cross-referenced,
(2) Complements, which are not cross-referenced but are nevertheless syntactically
obligatory, and
(3) peripheral arguments, which are syntactically optional.
Transitive verb forms (hence transitive verbs) require two core arguments (0 and A),
while intransit~ve verb forms (hence intransitive verbs) require only one (S). Transitive
verbs may further take one or two Complements (Cs), and intransitive verbs may take
one. Thus, as far as the number of obligatory participants are concerned, a verb form
can have one or more of the five types of valency below: 1
Intransitive verbs:
one-place
two-places
scv
vTransitive verbs:
two-place0Athree-place0Acfour-place0Accv
v
vNote that A NPs can be in ergative or absolutive case, while 0 NPs are always in
absolutive case.
This chapter is organised as follows:1 The order of NP constituents and verbs given here is the unmarked one, although almost anyconstituents can be placed in different order or be left unexpressed, due to discourse factors. Specifically, the order of 0, A and Vis discussed in §3.3.1.1.","[423, 424, 425, 426]"
"ART.M-ERG 'ancestor's.name'kill-30.3A.RMPAST-F[O(Undergoer)-Topic] [
A (Actor)
'... Perui (Topic) was killed by Paanaangah.' (VII-57)
As mentioned in §3.2.1, I use the symbol 0 and A, to indicate the grammatical
functions of core NPs in transitive verbal clauses, which play the roles of the Undergoer and the Actor respectively. In Motuna, 0 is always denoted by an absolutive noun
phrase, but A can be denoted either by an ergative or absolutive noun phrase. When A
is a sentential topic, it must be denoted by an absolutive NP. 13
When A is in ergative case, word order is free. However, when A is in absolutive
case, A must precede 0. For example, in 3-63, the 0 NP in absolutive case (tii Perui)
and the A NP in ergative case (ho-i Paanaangah) are interchangeable, but not the two
NPs in absolutive case in the following sentence:
3-64hooPaanaangahART.M 'ancestor's. name'tiiPeruiART.F 'witch's.name'A (ABS) -Topic ]
[
0 (ABS)
*tii
Perui
Paanaangah
hoo
'Paanaangah (Topic) killed Perui.'tu-u-ng.
kill-30.3A.RMPAST -Mtu-u-ng.",[89]
"46215-88Chapter 15tikoongneenurivuu-woota-wa-heesoDEM.Mit.must.be.my.sondie-CAUS-30.3pcl.A-DEFFUTpaarang-a-ro-ng.
call-30.3pcl.A-PERF-M'So they must have called this son of mine in order to kill him."" ' (I-31)
15-89tikohoo=hoohooandsoART.M 'kind.of.vine'tongoruhanong-ki-na
take.30.3A-HABPAST-Fhoo-joummahngo-o-hee.","[490, 491]"
"88Chapter 44-79Tantanu-kirokinoh-u-r-u-ng:'ancestor's.name'-ERGjustsay .to-30.3A-pcl-RMPAST-M'Tantanu just said to them:' (III-41)
4-80... ti-ki
ART.L-ERGuri-ngihooKeehnovillage-ERGART.M 'tribe.name'uru-ki-ng.
be.3pcl.S-HABPAST-M' ... the Keehnos used to live in the village.' (XI-1)
As is seen in 4-80, proper names can be determined by the article and/or the demonstrative. Furthermore, those in local gender often take attributes such as LD nouns,
possessive pronouns, etc. For example, the proper (place) name Aaru in the following
example is determined by the article and the demonstrative in local gender, and is
further modified by two LD nouns raang 'north' and koto 'up':
4-81... tiiowoART.L DEM.LraangkotoAalumi-i-na.northup'place.name'go.lS-RMPAST-F'... I went to Alu up in the north.' (XV-39)
As is shown in 4-81, place names are usually treated as local nouns by themselves.
In some cases, however, the derivational suffix -kori (or its allomorph -ngori or -jori,
cf. §4.6.1) is attached to them, in order to clearly indicate their local gender. For
example:
4-82... tii
ART.LMaato-ngoriuwi-ro ...'river.name'-Lgo.3pcl.S-PERF.SS'... they went to (the River) Maato, and (they) .. .' (XXIII-4)
Local nouns derived by the suffix -kori may be lexicalised as place names. For
example, the village from which one of my informants comes is called Kaakoto-kori
'white-L [lit. white-place]'. 154. 4. 4. Kinship Terms
There are two kinds of kinship terms:
BG\slc...basic-bC~sic...and dya.dic... .' kinship terms consist of bound personal pronouns (Possessors), andkinship roots (Possessees). A bound pronoun and a kinship root aredirectly combined in this order.","[116, 117]"
