Paragraph,Page number
"I
1,therefore, despite
despite being
being word
word initial,
initial, do
not bear
bear stress,
stress, and
and are
are not
not subject
subject toto
therefore,
do not
any phonological
phonological smoothing
smoothing processes
processes (see
(see 2.4.4.1).
2.4.4.1).
any
Prefixation,
on the
other hand,
Prefixation, on
the other
hand, isis ordered
ordered before
before all
all other
other
phonological processes
processes are
are applied,
applied,, resulting
resulting in,
in, among
among other
other things,
things, the
the
phonological
treatment
the prefix
the word
word for
for the
the purpose
purpose of
of stress
stress
treatment of
of the
prefix as
as part
part of
of the
assignment.
Prefixes therefore
bear stress
are subject
subject toto such
such
assignment.
Prefixes
therefore do
do bear
stress and
and are
phonological smoothing
smoothing processes
processes as
as diphthongisation,
diphthongisation, vowel
vowel harmony
harmony
phonological
etc..
etc..","[348, 349]"
"Other than the 10 simple verbs then, all Ngan‘gityemerri verbs are of
the complex type, consisting of the two major units, the auxiliary and the
complex verb stem. The complex verb constitutes a single phonological
word (having only a single primary word stress, cf. 2.5.3) and’ is typically
ordered with the verb stem following the auxiliary, as in 3-2 and 3-4. There
are however two subclasses of verbs that are ordered inversely with the verb
root preceding the auxiliary. These subclasses are:1The verb 'to want/like’' formed with the 'Hands' auxiliary, e.g.
3-5derrigidi- wurrmum-ngi
want- 3plHands-1sgSU Pres
DO
They want/like me.
All complex verbs formed with the ‘Say’ auxiliary, e.g.
3-6~=perrety-meny
die
-3sgSaySU Perf
He died.",[129]
"- For complex verbs though, I find that stress is neither syllable-timed,
nor morpheme-timed, but falls on the initial syllables of the auxiliary and
the CVS, regardless of their syllabic or morphemic constituency.
Put
another way, stress patterns in the Ngan'gityemerri verb have the
synchronic function of signalling the boundary between the auxiliary and
the CVS. In a fixed-ordered, synthetic/agglutinative verbal structure, why
shouid there be this higher-level grouping of a string of morphemes into
“two ‘halves', and why should this have such saliency for the application of
stress rules? The Ngan'gimerri data collected by Laves (1931) provides a
historical viewpoint that suggests an explanation. A detailed comparison of
the verbal structures exemplified in Laves' Ngan'gimerri data and my own
data on contemporary Ngan'giwumirri, can be found in Reid (to appear).
Just a brief suminary is given here.
The 1931 Ngan'gimerri data suggests that the. precursor to the
contemporary Ngan'gityemerri verb structure, was a phrasal verb,
consisting of a ‘finite verb’, and a freeform ‘participle’ (that shared at least
some features of nominals). These two major elements of the phrasal verb
appear to have formed separate phonological words. They could be ordered
variably with respect to each other, and verbal enclitics could be copied ontoboth elements of the phrasal verb. Compare Laves' example below where
the first word corresponds to the contemporary auxiliary, and the second
word to the contemporary CVS.
2-125Laves: WarrangitipepiparlandipeCont : Warra
-ngiti = fi-pal -endi
-pe
Gloss:
3plPokeDtr-1sg
_- Tr - return- AGAIN-Fut
SU IrrIOTrans: They'll come back for me later.
Laves'divisionof the elementsof the phrasalverbintotwophonological. words, accords perfectly with our division of the same
elements in the contemporary fixed-constituent structure into auxiliary andCVS.",[126]
"SU PimpThe identity of an actor can require clarification where any of three
pragmatically determined conditions hold. Firstly, where the subject and
object of a verb are both 3rd person singular, or both 3rd person plural, the
bound pronominal morphology on the verb does not suffice to adequately
track participant identity. This is especially true where there are switches in
the identity of subject/object roles and freeform nouns or pronouns in
either role are free to appear in any order with respect to the verb. In 6-3
below the object of the first clause wa-wunu 'that man’, is the agent of the
transitive verb in the second clause and this switch in role is disambiguated
through the attachment of -ninggi.
6-3wa-wunu wupun-@
-ta, e
M-there
3sgSlash-3sg-hit and
cl
SU Perf DOwa-wunu-ninggi dam
-© -pawal
M -there-AGENT 3sgPoke-3sg-spear
cl
SUPerf DOHe hit that man, then that man speared him.",[353]
"immediate environment of peripheral
consonants.
The majority of examples of this front vowel
lowering result from the partial operation of the
Vowel Harmony rule (see 2.4.4). When the
‘animal’ class-marker a- prefixes a nominal root
of which V; is /e/, this rule operates to
harmonise /a/ with /e/. In many instances /a/is
fronted to (z], but fails to be fully raised to the
target articulation of [e).
a-werrmisya-saltwater crocodile [(ewermtfa]a-perrperr-Burdekin duck[zperper]Elsewhere /e/ is consistently realised as {e].
engete- forest kingfisher[enete]egeningge-magpie goose_[egenunge]merrepen- Sand palm[merepen]From these observations on vocalic realisation, it is apparent that theconditioned allophony of /e/ is quite different to that of the other three
vowel phonemes. /i/, /u/ and /a/ all have as their major allophones a pair
of tense and lax realisations, which are essentially conditioned by the feature
't word-final'. In contrast, the only allophonic variant of /e/ appears to be
triggered by the rather obscure condition that it be stressed and in the
immediate environment of a peripheral non-nasal consonant.
2.1.2Diphthongs
Of the four Ngan'gityemerri vowels, e,a and u are subject to
diphthongisation in certain environments. The environment that triggers
this process varies for each vowel, and none of the resultant diphthongs are
phenemic. The following discussion of diphthongs as conditioned
allophones rightly belongs then, in the previous section 2.1.1. They are
treated separately here purely for clarity.
As is common in Australian languages, phonetic diphthongisation
primarily affects back vowels. In Ngan'gityemerri these three vowels can be
ranked in terms of the frequency of, and the number of environments in
which, they diphthongise, in the order a>u>e. The low front vowel is only
minimally diphthongised, and in only a single narrowly defined
environment.
The high front vowel is not audibly subject todiphthongisation at all. As all diphthongisation is triggered by articulatory
preparation for laminal tongue configuration in the following consonant,
this ranking accords with our expectations, in the sense that it is ordered
inversely to the qualities of tongue height and frontedness that are
associated with the quality ‘laminal'’.
In Ngan'gityemerri we find the diphthongs [at] and [ot] occurring
word-finally.
Patterning these diphthongs with the behaviour of back
vowels occurring before the laminal consonants ty, sy and ny, we analyse
them as sequences of /at+ty/ and /uty/ respectively.
/af—[at]-before any syllable-final laminal.","[60, 61, 62]"
"Where tyagani asks ‘what ?' pre-supposing no knowledge about the
entity in question (except that it is inanimate), in contrast, ‘tyen+noun class
generic’ seeks clarification of the species within the genus designated by the
noun class marker/classifier. Tyen- is discussed in more detail in 5.4.
Yityi!- differs in word class status from the other interrogatives in
being a verb root. Yityi- forms a complex verb in combination with only the
‘say/do' auxiliary (recall that complex verbs employing this auxiliary have
their verb root ordered before the auxiliary). Where tyagani asks ‘what ?' of
entities, yityi- 'say/do' enquires about 'what was done or said ?’.
12-23 wananggal-ninggi
doctor
-AGENTyityi-meny
-bi
what-3sgSay/Do-2s¢SU PerfIGWhat did the doctor tell you/do to you.
12-24'yawurr yerr-wurumbi yinyinggin’, 'yityi -meny -nimbi ?'tree
gen.",[419]
"6-41horThe single case I have recorded of three enclitics on a single NP involves a
verb of ‘outward projection’ (to see) from inside a location, and consists of
the locative, source and thither enclitics in that order.",[362]
"walipan ngerinyrag-yerr1sgHands-soak
SU PerfI soaked the rag.ngemeny-me-yerr1sgHandsDtr-hand-soakSU PerfI soaked my hands (in order to remove the flour stuck tothem).","[304, 305]"
"Secondly, the compounding of nominal roots, and the attachment of
enclitics to nominal roots, can potentially result in the ordering of
contiguous vowels. Such occurrences are rare within noun phrases and
impossible within the verbal complex because Ngan’gityemerri morphologyis generally constructed of CV(C) syllables. Wherever two nominal rootsforming a single phonological word, be it through compounding (as in 2-79aa) or encliticisation (as in 2-79 b), end and begin with i and a respectively,
then i is deleted. Consider the examples below.
2-79 a)
kuri - apukek
-—
kur-apukek
water-under
underwater
b)__ kinyi-ambirrikiny-ambirri
this - firstbefore now
Given the limited distribution of morpheme-initial vowels in
Negan'gityemerri, note that ita is the only possible ordering of contiguous
vowels within a single phonological word.
2.4.3.2rV Deletion
An examination of the Ngan'giwumirri and Ngan'gikurunggurr
auxiliary verb paradigms (see appendices A and B), shows evidence of a
general aversion to the occurrence in contiguous syllables of the apical stop
/d/ and continuant /r/. Where these are ordered in consecutive syllables,
the syllable containing the continuant will be deleted. e.g. -dVrV- — -dV-.
By way of example, the underlying and surface forms of the Ist, 2nd and 3rd
singular and Ist dl inc, present tense forms of the ‘sit’ auxiliary are given
below.
ngirim
yirim
dimI'm sitting.
You're sitting.
He's sitting.ngindimWe (dlinc) are sitting.","[109, 110]"
"Foley and Van Valin (1984::210) claim that aspect is anuclear operator while tense is a peripheral one. They argue that this
difference in scope is reflected in ordering constraints in those languages
that mark tense and aspect as separate inflectional categories. Quotingexamples from Kewa (Franklin 1971) and Tiwi (Osbourne 1974) they note
that aspect is always marked closer to the verb nuclei than tense, and add
that 'they know of no cases of the inverse ordering in which tense is closer
to the stem than aspect'(Foley and Van Valin 1984:210). In contradistinction
to this claim Ngan'gityemerri clearly marks tense closer to the verb nucleus
than imperfective aspect. This is demonstrated in 3-228 below, where the
Past tense enclitic -tye immediately follows the verb root, and is in turn
followed by the serialised 'Sit' auxiliary.
3-228 wanni_-batybity-tye -winni3plPoke -sew
SU Pimp redupwarrgudu-Past-3plSit _ dillybag
SU PimpThey were sewing dillybags.",[205]
