Paragraph,Page number
"Doe s he kno.. .; ?iThe moon is shinings shilon beshi kwel ~ We are going to the chief's house
my father is in the crops
aba .a kwau nea~ib()IJ £1 kabar neThe water is hot (now)ani tan;;rari s shidiThe~rare performing a ceremony
~t!\d,Vmen a direct object is present, the particle is placed~in frofft
of the verb; in other cases, after the SUbject. This mo~ be seen
from the above examples.
':men a compound verb (:formed vrith a noun +s1'1e, to do) is present,
a often appears twice - after the SUbject, and before the auxiliary:
kw~ra kegen ~ she-.1i,_,(""The hen is clucking110,rnen the sUbject is included in the verb, s is placed
immediately in front of the verb:s kabar nE; f
ei, kabar s neb~JJIs the water hot?
Yes, it is hotFor the use of s wit.h ~;1 see below •. ..."" .w. 1t..~6r ~.","[121, 122]"
"IP:::;:SS~!j:rT :FUT""lJlill:S & PtarntamintamidiDual.tarntamintamidinS &Pte.ltalintaldiDual.te.ltalintaldinSUbject:,
f'Sing.","[137, 138]"
"~:l1a~aa163This conjugation differs from the verbs in -un, -on, -n,
chiefly in having the terminations -(e)rou, -Celrau in the
Past tense (Plur. object).","[175, 176]"
\~. :SUbject:PRESENT:S & PDual.,[139]
"In several words w has developed from g, e.g. mogur, mowur,
and mour (monkey) are heard in different districts.
A final, gin,the Present Tense of many verbs weakens to w in
tbe :ra~t,,~en~e, e.g.
'
.",[21]
"It,fa ledara fa ledarr
tDEPE}IDENT PRESE1IT:'t""""dle~&c. t
ttvriluno, &cDEPEliDENT PAST;,
IS & PDual.
11IlJiSDIAT:'~FUTURE:Ilienli
li,r'leo.1i, &c. trt
Il:]t=-~DIATEPAST:lealou, &c!,P1\SSIV3 P=-\~Sl~};JT:tvrilei, &c!,PASSIVE PAST:twileiun, &c.
,,<l ....lient
tlid!lidin""SUbject:Object.
Dual,Sing,
tfCONSECUTIVE PRESENT:
rtwi1ag,
r
tU1ag
&c • 't,
rtCONSECUTIVE PAST;128Plur!","[139, 140]"
"Words ve~ §imilgr:',,':.....",[27]
Words distinguished by Tone(see pp.16-7)V.,[27]
"PAST PARTICIPLE:nyigV:8RJ3AL lJOU1iJ:nyigi..d.a(i.e. as Present)----_._----------------.--_._-Vovrel Stem:
Object.",[133]
"T;b;e Nominative Case denotes the sUbj ect of a verb, or i~: ~overIl~Cl',}·';!;;;:\:,
by the verbs 'to bet, tto become t •
gil .... doso ka tam,the dog is eating foodkwedile ka f'idsij,the salt is finishedE J:a -/ldi, .the people are dancingsndu' shil~ ka ta,he became kingen. a ~ ne,he is an Arabb~r diathe cow is bigne,The ACQu§ative Case indicates the object of a transitive verb.
a gilo a wen,I see a doga lli>u twil,I am drinking waterkwonn ls\""1S,cook the meaten a eloo twen,he is bringing milksn a miro ka tushe,she has lit the firewadaI,J timi:l:.o. tows,the man is making a wattle doorA double Accusative is used in phrases like the following:tergeny a1J ~ wa!'sn, the donkey kicked me on the hand
mordu wadaJJ kire waren, the horse kicl<ed the man on the foot27Th§ Gen:Ltiye;·'Cae§ denotes:
(i) the ·possesso~. In Nyamang the word indicating the possessor
precedes. the word indicating the thing possessed.
gilu ami a ng,it is the dog's bonewadaJJQ ~rdu wun ne a?","[37, 38]"
"Syllables in ~:tJ:
Reduplicatives:k'li-su-doku-kl.'l-su-doVerb stems:ta-wtnta-vflti'ille-agConsonantal verb stems bear the stress on the second
syllable of an extended stem in tense-forms of more
than three syllables:
e.g.nyig (to set right)Plur.Pres. ny!~gi-di .ny!ger? (I usually . nYig!de~o (r usually. set
set rJ.ght - one thJ.ng)
rJ.ght- many thJ.ngs)
ta-wMn-di-di-dtg has a prinmr,y stress (marked with
two accents) and a secondal~' stress (one accent). This
occurs in other verb for~llS of five syllables.
Exception§.:16
TOJ}l::& •. ·;>;>;,:~. \:)i;) ,
';"".yamang~s""\not a. "" /',,.full:>,-fledged tone language, though it
no doubt was at one time. Tone, intonation and stress have . ,
become intermingled, and there are now relatively few w:oi:'d$'~;!:iX.
distinguished by musical tone alone.
N;yamang tones ha""e;);io't,: ""
yet been fully invettigated; the indications given here ar~ .
therefore of an very elementary nature.
.
':'"" :,.,.,:~'f:<, ~:;'>'.'.).;. ,;""~;.: :~/:-There are two significant tones:
high (marked -:-'l\'~;'@d·: ..""
low (_). In addition to these, syllables may bear a r~sing;,</}, ..
falling C,), or mid-tone (-) ~ these appear not to be s;i;~ican't:""
but to be dependent on an adjacent high or low tone.
.,
.
Words distinguished by~~
n~r,,/k""J~(-)forehead
~tl'1~er1!"""".'~:'j.i~.'.","[24, 25]"
"--139
147
148-152-CONJUGATION OF VERBS IN -N
-153-161
Irregular Verbs in -n - 154
Principal Tenses ot other Verbs in -n - - 157
Sentenoes illustrating Verbs in· -n - 158.
Exercises 27 & 28161GROUP 11: CONJUGATION OF VERBS IN -OU, -AU
162-17'Prinoipal Tenses of Regular Verbs
Irregular Verbs
.. - - - - - ..
Ne andW;J
.;.
- - FAlf and A FAlf Sentences illustrating Verbs in -ou, -au -163
163Exercises 29 & 30170-------SUPPLEMENTARY NOTES ON VERBS --:e-_-165
167
168171-172i•.~.","[4, 5]"
"'.... ,Pre:s';"" '- teg , give
Past:
'lwe:rn.eg, pour away
, .badig, put intawntwernevron
badevronu is replaced by w between vowels,
stickywith a stickexists in a few words as a develppment 'from j •
biji~, biyi~,bii~, bi~aiji, aiyi, aiyj:>~,Y:>1JI t is also found in::('calf
bandyou (Accus.)qa (also at-a),mother13
FLAPPED ::CONSONAJllTS •',::"",!:~i~~:>te~}~~~ped consonant is given to certain kinds ofr aJ).q:.;~;,~"".~sO\lnds;UJAd.e by curling up the tip of the tongue and then
flapping it dowti'quickly; on thw way, the \,Ulderside of the~tQngv.e
touches the teeth-ridge, making one tap."" (Westermann &W.:r,g:,','""
Practical Phonetics for Students of African Languages, 1933Y""·· "",
There are two sounds of this type in Nyamang, denoted by
the symbols
and 1:, which appear to be separate phone~~.~. ;,<'1.","[21, 22]"
"99- 103VERBS:INTRODUCTION: THE NYAMANG VERB SYSTEM - 104-119
General Remarks
104
Moods and Tens es - -105
Othe!' Vel'b Forms: Extensions of the Stem -107
Mood and Tense-Forming Particles
- - 109
01assification of Verbs
- 118
GROUP I: ,CONJUGATION OF VERBS IN -UN - -'120-133
Formation of Moods and Tenses
- 123
List ot Verbs in -un - - -la4, 130
Irregutar Verbs - - - - - - 125
Sentenoes illustrating Verbs in -un
- - 131
Exercises 23 & 24133- - 134-152
- 136\'OONJUGATION OF VERBS IN -3
List of Verbs in -~n
!rregular Verbs - - - Oompounds of she - Sentences illustrating Verbs in -;>n
Exeroises 25 & 26-----..",[4]
"""CASE:"" The relation between a noun and other words in the sentenceis ind.ic~:te~ by case:endings for the. oblique case,s. - the,!i,8ffi~~:!?iye .
has no d~st~nct sUff'J.~.
For convemence~ tI;e La,t~n case"":.""~~~,:~1~y,;e,
been used, but the NYima,ng uSag,e and ,#,h: L,at,~n ~rsJ~,0 DC)'t""~aJ.ways,,'
C)jrre~p~~ (erg. Locativ7Ja)~i1J..,,~
'K.~~,~
""'1' L,,',r~~~ ~1IA..~7#·, ..4'.""~~)'!~----~-!",[37]
". ):W;i,th~irtQ.~i;;':#rican languages the underlying p:rinciple of'
that each syllable must end with a '. vowel.
This principle does not apply entirely in Nyamang, as"" m~p,~AA""';:\::;i',
consonant groups are divieed, and most consonants may en?i':iWQ'r,d~·L:·
sy1lable'aiv1'~10n is,'/'."".",[23]
"J:mQ1.( sing.) ~? (plur.. }
JD!~)Nom:JrJaJQ1 iJd. tagiAcc:
:gwungiell]a-VlHAT?
1IJa, ete.w:>ndakid~ tagid~agid~
ilJid~Id. tagiduoIDJuWCi>ndu1d tagidiatJiwendiki tagide:at'J&vrondeki tagidaualJ!auki tagi~ vn1at thing, and is used vn~en a definite object is
mentioned,cf.",[104]
"'._.
r(fc{) war (-).palateft~~'CJ) hen:br.:>r(- ):GGawer""001' (_)kw""l L)""-,.strea..mt!:<> \..-kwudu '\~""'7 come
"":':""."",,romanroof,..t 04kU'(j)'
(~MJt()'- ke4 «,w~dt~ [--J dJ,j.w~.l9p ~J[--]f ~18WORDS' OF SPECIAL DIFFICULTY•
.):<.~. ,y§:~:(.,:?,: ."" . . ._~ .."" .1·;,.7'.. ;<::/< -I.'c'Word.s;cir~t.:ihguished by e and e(see P.2)II.'wordS(see p.3)did~K~iSh~d by0and :>Ill. Words distinguished by Stress(see p. 15)IV.","[25, 26, 27]"
"I
fPAGi,
1Vowels - Diphth~ngs
Oombinations of Vowels - Conso~~ts
Consonants - Division of 8,.11a
~
Words of Special Difficult,. _
y~I'HOIETIO SUMMARY:... Other'
- Flapped
Tone ,.;.",[2]
./IVERBS.,"[114, 115]"
"This verb . also possesses two stems:- twi1- and 1i-""le-~
.",[139]
"-+-ag
~(Final i dropped),rL_L23
FORMATION OF MOODS lllill TEfI§;8S.
From the foregoing paradigms it will be seen that all moods
and tenses, except the Dependent Past, are built uJ?()n the Present
Singular.
Verbs which are formed from different stems are
.
exception~.
Irregularities in other verbs will be noted as they
occur.
In regular verbs, if the Present, singUlar is knovm, any Person
in any mood or tense may be ascertained.
DiffiCUlty is crea.ted,
kPmumpin some tenses b~r alternative terminations, the rules for
which he,ve not ;)ret been fUll~~ V!o::'ked out.
The HIP3l!\.TIVE ma~r (;:1.0. in -i or -e.
rulEB ma;y be stated:The following generalCA) Verbs whose Present tense ends in a diphthong, -8, -0,-0, -g, -~take -e.(b) Other verbs take l .
Exceptions will be notec: """"u::..c.c::.' sa Cl::"" ConjL1.gC,tion.","[134, 135]"
".~OtlI?-S,however, und.erg~ no rnodJ.fJ.caiaon to ~ress t:.hes~. They;.,..;\~:n.!;!.l..\~,.:.~.:.);...\S:.fi.;,9.;,.;m.':.i:""
by other words J.n the sentence.
[qC. f<;c.;.~~:':::f/jfpir'j7lf1
There is no definite or indefinite article,thusImay mean the (or a) small potkwir k4girJ(the) small potsPlurality of ac Noun 1ndicCl;ted by other word§ in the
(1) liumera.l§ (follow the noun)kwir kegiij arba,
toma kwudu,
·gami. f~,
',' .:"" .''l,';.~ : ..',:,:/, '. _r,~ :,} .:.::-~"";.~ -,.:,"",:: ';; 'i"" .':,'J:;'(~)EnumerMive§two J""&1J. pots
four trees
ten eggssuch as kago1) (many), kweren or kWer8IJ (all),/\::; temsl· (;f'ew).:Born kagoIJ
wa kweren
bar ternslmany snakesall the people, everybody
few cows(3) The y,rb takes Dual and Plural SUffixes, agreeing with the
subj ect of an intransitive verb, and with, the obj ect of a
transitive verb.
bar nyala ne
bar arba nen
bar asa nedithe;re is one f'.Jow
there are two cows
there are three COWSwel toidi
wel a toideni
wel a toididishut the door (entrance)
shut the two doors
shut the doorsa bar a wen
a bar a wenden
a bar a wendiI see a cow
I see two COWS
I see COWS' . ' i """"3~.,,.>.'",[28]
"Ee (spoke and) said •••Wadu mir~ ka tusheThe people lit a fireidu biiJIJ kekedilj ird::> e •••You take away the little
calves and.
Ace rtain ruan..
0WadaIJ nyagu•••••00•lilld the man said •••• • oe k.zrgy, bUdarau kadi ko8. taw~ -tuJ,+b-~~4. ~ ~ t:J.~
(tt:i..J
1)t:> k
cIA,same'0 •and . the vlolna.naftervlardss~ed tlk- ~idge~ ii.~tl~)' (~~}ip.h?J'is used in the
way as -du, mnt solely in quoting someone r S
~ords, or emphasizing the speaker's words. It r1aY be suffixed to
verbs.
-DScn a tavieD e sho., ""L.de ne lcid::> n~ she""
He said to me ""It
'was '[OU ""llho did tha.~'~.ende
- vlada ku sudo she .'",[93]
"(Accus. )with mudOther combinations occur, but will be noted later. They
are found especially in the declension of Nouns and Adj ectives.~~~~~l
C:""(J{F<f~1J:1"" {/d;M}le WI'JI'.~ (~.,:.w)wr.4(?~w-x.tt (~WKJ..,J~ (~$'~)o .( Ul<ww~C~)clVl.!f:J.)f(~)7IV •CONSONANTS •""
The Nyamang
consonants are represented by the following
letters:w, y.b, d, g, f, g, j, k, 1, 1., m, n, ny, 1), r, 1:, s, sh, t, !""
h occurs in words boftrowed from Arabic.","[14, 15]"
"'. "". ',',:,"".'.,;"",....
~. '; ..'kidi, . . , cloth
DJ.:)rdu,
horse
ariIJI!,
bed
kire,
foot
btu,
good ~t\
aiy,
hand
(inserts
a
befbre ne)
w:Jt'0 ,
head1.
k'Usude,
bad
kwedi,
sheep
kabar,
hot; painful
kW:Jdo,
goat
d~,
that
/' .
wada, word(s),talk
(as
adjective,
follows
nQU#)
dij i ,
ta-lk '1
e,
and
tweni~
bring
(j oins phrases)
\.Imperative)
.
i aIJid:J a war? what do you want?
I want ... (singular object)'
a ••••• war
'You want ••• (singular object)
i ••.•• war
I want... (plural obj ect)
a •••wardi
You
want... (plural obj ect)
i ••• wardit'iJt,!",[46]
"Immediate future: (separated from v,:;rb of motion)
a ~ tamili kVlaI am E,""oing to have my foodHabitual:
(:;.~xamples of otller tenses on pp .106-7)~ is placed ,e.t the bec;il11'li:.'lS 0:.' :.':inal clauses c:.el'Jenc1ent on v8r~Jsthan +1""'·ose
of ma""""lcY>
v .
verb is in the 1st Person.
O -'c""her""
.LJ:.",[126]
"TLWI'Y0AL:PliSSIVE P:BS3ITT:PAST PAR7ICIFL3:.(\8=:lBATJ HOlIJ:_154
AlL verbs ef this conjugation are vowel stems, most a:'e irreE.,ular
in sorl:(e.itenses~' 'iu is regular.
IRREGULAR VERBS IN -·B.12i, tp put.
Sub.i ,D.Obj,P .Obj.t,.'","[166, 167]"
"P.;\8SI113 1::;:~~-~;3~:~I,~~r rla:. cnd iYl -·ei or· -ale
e:n.c~s. in -e sl::f:f:'~( -·a:!-.~:-:.eEi~:Z;.?_itS~in -ili and -ilouS0111e 'Jer:)s tcl;:.e -·ali and -alou.cases.
r\l'el""lDS vIll.ose Pl'esent?l1C F.i1.SSI73 PAST is :fO!'l"";'18Q. iD. e,11 Conjugations b~r (?,ddi:ng -un
to t'l:e ?e.ssive }'J:·CS821.t.r.:ost verbs e:ndinz.; in a '/o""'::el,-l,S'-).ffix of the VZ1\il:1L :::()::~}:·T..,:r~,-:r, -!l~P (.;.::'0:;; ""~>e ,;, 0:': -:::';.:'8124
The remaining tenses are formed as shown in the paradigm.
VERBS 11-T _-UN•
Sine e the mode of formation of' the various tenses
has been explained, the siD6~lar and plural of the Present, Past,
. and Imperative only vvill be given.
Irregular verbs vlill be. given
as fully as nee8ssa~J.","[135, 136]"
"'::4~~f1i;}~~1W-tiC forms of the. Nominative pron?un~ witJ:1 -du
."".J~,it"" i~;;~J precede Accusat~ve p::onouns beguuung WJ. th a,
t1;i.:.i I;;"";, . ,~ffs.~he former words ~s el~ded, as follows:""')~;;!',~;~):n}\~~\::)~JJ\;;;:?~~l¥~i, end r ai.l, end r 8.lJiExamp~es ofetc.the Accusa.tive p..:r:onoun.§:en alJ ka de
a.~Jij leawishiI
a nyi ke: wishidiI
an~nJ tili
en a]jl i a wendi
en ani a wendia 00 a maiRe struck me
I greet youl
I greet.youl
Call him
He sees us
He sees them
I'know it(a common(Plur.)Dual pronouns are indicated 'by the Dual form of the verb:
He sees us (two)
en aIJi a wenden
en a nyi a wenden He sees you (two)
en ani a wenden
He sees them (two persons)'. :;/~;~t~li:~;~('i::·,';X3.';'··;';'·;,·.; . . '.","[96, 97]"
"II
J
IP..zGULAR VERBS In -0""Q.:.-=..A.U: Principal Ten§es.",[176]
"21(2) di;t:fi:r:~nt <.kings of) ••• , sepArAte •••;c.a'~()~~~.a wendi,see different kinds of trees
a keU4.~~'kagpIJ swaidi, I hoe several different fields
memsde :kwel'llll tor, The (people of the) separate hills
came together
I(3) PQrtions of •••kadi,millet porridge
(Nyamang staple food)kakagi,portions o,f ,'.
millet pom~e""
,;t. ,~~/ ' ..""':..';'~'~;:/(el0, milk
bDIJ, wateree10,
bDbDIJ'GENDER.
Grammatical gender does not exist. For persons, sex is
expressed either by a different word or by the addition of kashel
(male), kar (female), e.g.
kwai,man.. ',_ father
azli:o' 'la~she 1, son,:.:~p~,'.w~ge:Jj· kashel,boyker,
woman
aya, ata, mother
a.niIJ kar, daughte r
wig81J kar, girlWhere the senee Is clear, wigeliJa boy or girl, and anilJ~ son or
daughter. '
For animals, etc., different words exist in a few cases
to express sex; in others kaus (male), kar (female) are a#ded, e.g.
k'wudumul, cock
bull
gwoso,
gifi kaus, lion
gil kaus, dog
tushi kaus, male
guinea-fowlkw::>r,
hen
bar,
cow
gifi kar, lioness
gil kar, bitch
tushi ka;t', female guinea-fowl,.,In the normal way, gifi,gil, tushi, etc., are used without
the adjectives to indicate the male; when it is necessary to speak
of the female, kar is added.
Dimiyijtives are formed by the suffix -iIJ' the noun to
SIZE.
which this is added often undergoing phonetic change •
Ama,tNyimanit.
Sulu, Arab
kwnr, hen
gil, dog
kudur, pig•Ny~ng child
AmadilJ'
Arab child
SUluiIj,
chick. .
kweriIJ ,
puppy
gilitJ,
gi1iIJiIJ ,
kwederilJ, piglet22
~Jtie.,!. ,',' cattle
t'e:rg~ny, donkey
',,:l~w~J{\,:, ·,',·""t;..,.
toma;grass"""",';;:'''',treekieIJ,
young of cattle
tergenyiIJ, little donkey
lawiij, . gi~ass seed (also used
for a~ kind of seed)
tumiI),
fruit (of all trees)No augmentative form has yet been found.
NOUN-FOl\IVIATION.","[31, 32, 33]"
