Paragraph,Page number
"The order of the suffixes is, as a rule : 1. suffix indicating the category;
2. suffix indicating the object ; 3, suffix indicating the subject.
The suffix indicating the subject only occurs before the suffix indicating
the object, in farm 2.",[97]
"3. The morphemes that were not found as the core of a verb, but
that do occur as a word within another word-class, i s . cases of
transposition. For example :44THE ASMAT LANGUAGEsirz quick (adjective) dp.siri to break into a run
kiki close together (adjective) kiki.m to put close together.
67Secondly: among the remaining morphemes that were not found as
cores, a number can be distinguished which have the character of
affixes. These are morphemes that conform to the following criteria:1. they occur in a series of forms;
2. their position in relation to the root is constant: they are either
always placed before it, or always behind it;
3. they add to the core a specific semantic element ;
4. they do not occur in combination with each other as a core;
5. there can be established a relative order in which they occur in
relation to the root.","[55, 56]"
"I - hirny them, etc.>or : absence oi object
1 - you, y m (pl.)
you - him, them, etc., or : absence of object
you - me
you - us
he - him, them, etc., ar : absence of object
lie - me, you, you (pl.)
he - us
we - him, them, etc., or: absence of object
we - you, you (pl.)
you - him, them, etc., or: absence oi object
yOL13rd- pers. pl.3rd. pers. dual- 1neyou - us
they - himy tl~em,etc., or : absence of object
they - you, you (pl.), me
they - us
b'ofthof them - himy them, etc., or: absence
of objectWORD-CLASSES85In the paradigms, the verbal forms will be given in the order as
above.12
124The suffixes that characterize the subject- and object categories display
great uniformity in a11 the categories which follow. For the description
of these suffixes, we will take as a basis the standard list given below
and only the deviations from the list in each category will be given.
A survey of these deviations will be found at the b'ack of the book.
Suffixes indicating the object
---I.
11.zero
-fi-m
-2%after a vowel OT Y .
word-finally ; and after C.
medial ; and after C + T .111. -aw
-Suffixes indicating the subject- --1st. pers. s.
2nd. pers. s.
3rd. pers. s.
1st. pers* pl.
2nd. pers. PI.
3rd. pers. p1.","[96, 97]"
"The following' combinations were found :
of or(re)duplication : 6.si.si.m.tdm again to push
(different objects) towards someone.
oforem/ow: 6 r . e m . h again to stand up
em/om- -f- o/om/ot/oc-: 6m.o.p to sit down by, with++A relative order could be determined for the following suffixed
formatives :R -m/Vm, - k w h , -tarn, -par,, -aw&/e&/ew'ir/a
-it / n tHere, the following sequences of formatives were noted :
t5.m.p~ to try to make
h . e s to make something at night
jik.tam.ph- to try to tie up something
for someone
otdw.por.u'wer continually to try to
exhort someone
jisin ak.itzhr.aw~r to! gather coconuts
all afternoon
sa.ku&awbr
to be dried up all
nd.kwzh.por to try to eat up everything
b.m.tam.p& to try to make for someone.",[70]
"58THE ASMAT LANGUAGEOnly a few different combinations of prefixed formatives were found;
for some of these a relative order could be tentatively fixed:
ofor-, em/om-, o/om/ot/oc-, Root, or:
d o r - , (re)duplication, Root.
(Re)duplication was not found with roots with which em/om- and
o/om/ot/oc- occur ($ 80).","[69, 70]"
"7. The quotation marker in/un/n
258in/un/n occurs in sentences containing a quotation in direct or in
indirect speech, or containing a statement made from hearsay.
It's noteworthy that the rule of distribution obtaining for in/un is
parallel to that which applies to the verbal forrnatives i t w n / u t h , it/ut
and to a number of verbal suffixes (see $ 91): un occurs after wordfinal m (except after em, to stand), and after word-final p, w or f
preceded by a, o or 26, except after ap to sit. in occurs in the other cases.
n 46 was found only in two texts, narrated by a boy from Jepbni.
(Text VII and IX, 5s 303-306; 316-320). In these texts it occurs
after form 6 of category 19:
Sajan at&tow@mare'nfirst she dropped Safan upstream (5 303).in/un/n always occurs at the absolute end of a word-group.47
With exception of a few interjections, and n2 ($ 2.59). n is distinguished from
all other words by the absence of vowels. In order to indicate that in n a vowel
has been dropped, I shall write 'a. The same applies to n1.
47 For the postpositions en/an, op&/pen, am, ew, aw, and in/un/'n a relative
order could be determined ; this order is :
en/an
opkn/pen
- ew - aw - in/un/'n.",[188]
"I. a.
b.
11.
111.an-ic/i
an-cej
an-cen/cin
511-caw6jto give
iwi to shoot
tetamgive it
you should give it to' him
give it to me
give it to ustetam-iic
tetam-cej
tetam-cen/cin
tet Am-cawUjdirect imperativezero, a-, rn-/mV-, p-/pV-!mom-/porn-iwi-c
iwi-cej
iwi-cen/cin
iwi-cawhjpor-ic/i
pOr-cej
p6r-cen/cin/en/in
pOr-cawUj/awu jIpostponed imperativelook !
you should look at it
look at me
look at us1postponed imperativeIf a comparison is made between the forms vw'i-c, vwi-cen, and iwicawhj, it will be seen that the object categories I1 and 111 are
characterized by the suffixes -en and -awuj, respectively, but that a
1x The following should be notedregarding the arrangement of the paradigms :
the verbal forms in the paradigms are shown without any prefixes. When
prefixes do occur, they are given separately below the paradigms;
in the forms, only the junction between the core and the peripheral part
is shown: in the usual manner, by a dash. The morpheme structure of the
peripheral part can be deduced by comparing the different forms and from
the discussion on the formal characteristics of the categories which will
be given immediately after the paradigms;
when the phonological structure of the core influences the form of the
suffixes following the core, the paradigms of the different verbs will be
given in order to demonstrate this influence;
in general, a translation will only be given of one of the series of forms.
This translation will always be of the forms with prefixes given in A.",[91]
"+WORD-CLASSESThe morphological structure of the coreOnly provisional observations can be made here about the structure
of the core. The reason for this is that the main point of research, as
regards the verb, was an investigation into the verbal categories. An
insight into the structure of the verbal system proved to' be a prerequisite if I were to understand and to speak the Asmat language.
The relative independence of the core made it possible, temporarily
to leave its structure outside consideration. Since, however, research
into the verbal categories took most of the available time, there was
none left for a systematic examination of the cores. This remains one
of the most important tasks for future research.
Consequently, the paragraphs on co-re-structure, as well as the paragraphs on core-morphology, represent only a preliminary reconnaissance
in the field. The picture of the core-structure given here is for the
main part based on indirect information, i.e. information obtained from
an analysis of a specific corpus of verbal cores of which only a small
part was elicited from the informants with this analysis in view. This
corpus of verbal cores consists of 2 3,000 cores, of which Â±1.200
occur in the texts to be appended to this grammatical description.","[54, 55]"
"THE ASMAT LANGUAGEto Asmat, KAn~oroand Skmpan, are spoken. These two languages
cover the whole coastal area between the Rivers Opa and Otakwa.
Between the Otakwa and the MomAc, where the Asmat language-area
begins, there are no villages. Nothing is known about the languages
to the north and the north-east of the Asmat language-area : in the east
and the south-east, Asmat meets up with the Awju and Jakaj languages,
which are probably not related to Asmat.3
Asmat has various dialects, but a systematic investigation into them
has not yet been made, so that little is known about the nature and
extent of the dialectical variations. Broadly, Asmat dialects can be
divided into a central group of little differing dialects with, around it,
on the periphery of the Asmat language-area, a number of dialects
differing sharply from it: those spoken upstream of the Rivers Pomiic
(Noordwest), Unir (Lorentz) and Sirkc, and the dialect of the
Casuarinen Coast.
8 The terrain, the people, the concept of their worldThe area in which the Kiimoro, Skmpan and Asrnat languages are
spoken consists mainly of a marshy, low-lying, thickly wooded plain,
intersected by countless rivers and streams of which a noteworthy
feature is the ebb and flow of the tide far into the hinterland. The
climate of the region is very humid and the rainfall abundant approximately 225 inches a year. The terrain is very heavy going on
foot, so the canoe is the usual means of transport. I t is used extensively.
One can go everywhere along the natural network of waterways by
canoe and people can thus move about easily and can cover great
distances.
The Asmat people dwell in villages situated along the rivers. The
The data on the Kamoro and Sempan languages are taken from P. Drabbe,
M.S.C., Spraakkunst van de Kamoro-taal, Kon. Inst. TLV., Martinus Nijhofl,
The Hague, 1953.
The first studies of the Awju and Jakaj languages, also by the same author,
are :
1) Twee dialecten van de Awju-taal, BKI, Vol. 106, Part I, 1950, pp. 93-147;
2) Spraakkunst van het Aghu-dialect van de Awju-taal, Kon. Inst. TLV.,
The Hague, 1957;
3) Kacti en Wambon, twee Awju-dialecten, Kon. Inst. TLV., The Hague,
1959; and
4) De Jakaj-taal. Talen en dialecten van Zuid-West Nieuw-Guinea, MBA,
Vol. 11, Part 3, 1954, pp. 73-98.
(Vocabulary on pp. 128-142.)INTRODUCTION3largest villages have between 1,000 and 2,000 inhabitants ; the smallest
less than 100. The total Asmat population is estimated to be 40,000
persons. The people of the central Asmat region call themselves &mat
ow.which probably means 'tree peoplej.4
According to the Asrnat people, the territory they inhabit, the b a t
capmmi, is enclosed within, and lies at the bottom of, a gigantic
coconut: their world is not convex but concave.5 The boundaries of
their world correspond roughly to those of their language-area between the Casuarinen Coast and the Mimika Coast (where Kimoro
is spoken). And one can do' the 'journey round the world' by setting
out from the Casuarinen Coast, crossing the stretch of water between
it and the Mimika Coast, landing there, and then returning to the
Casuarinen Coast. Through the middle of this world flows the great
River Sirkc, rising far away, somewhere at the top of the coconut,
close to the holy entrance to the upper world (the outside world).
From this opening, in prehistoric times, the heavenly beings descended
to earth, in order to populate the world with their descendants.
3 Establishment of Government and the Missions;
first linguistic research.","[13, 14, 15]"
"INTRODUCTION7where the investigation was later to be carried on. Mifekpic had even
spent part of his childhood there.
My relationship to the two boys developed from the outset on the
'anak piara' 12 pattern: they called me their 'father' and were regarded
as my 'children'. They were paid in cash for their assistance. They
were given a meal every day, and now and then some clothes and
tobacco. With their wages they could buy clothes, tobacco, and the
highly prized axes and chopping knives at the shop in Agats. The
relationship with these informants was a very good and personal one
throughout the whole undertaking. They worked with enthusiasm and
pleasure, apart from some unavoidable lapses.
Because the boys were still rather young, their knowledge of their
mother tongue, of tradition and of mythology was sometimes inadequate
for the translating of the folk tales I collected. The help of an older
man was then enlisted for the interpretation of mythological matters
and special usage. In addition, all the Asinat people with whom I conversed acted as informants. The information received from them was
always checked again with the regular informants.
The reason I chose two of the latter was primarily to enable me to
control the information given by the one by that provided by the other
and vice versa. Another reason was that the boys' capacity for work
was rather small, especially in the beginning - an hour at a stretch
was more than enough for them. Later, when they had been properly
trained, they could sustain a session of two hours or longer without
difficulty. No fixed scheme of questioning was followed at these
sessions. The discussion began on a particular subject and developed
as it went along, depending upon the mood of the informant. The boys
were never prevented from giving information spontaneously, even if
it were not relevant, but sometimes they had to be guided along a fresh
track back to the original subiect. If it became apparent that an answer
to a question about a particular matter was not forthcoming readily,
either because the boy did not understand me, or because he had had
enough, then it was put on one side. Later, a casual return to it often
produced good results. If one of them gave information on a subject
and it differed from that which the other had furnished, then these
variations were discussed in the presence of both of them. And sometimes it then became clear that they held differing opinions regarding
the pronunciation of particular wolrds, or their meaning.
12 The Indonesian word for foster-child,THE ASMAT LANGUAGE7 Tape recordingA portable tape recorder was used extensively for the collecting
of the language data and the music. Thus texts and music could always
be got without difficulty. Only once was I requested not to record
a sacred song. The Asmat people were delighted to hear their own
music reproduced. Western music meant nothing to them. They were
not much interested in the texts, though this did not alter the fact that
the audience always listened critically and expressed their disapproval
in a very positive fashion of any deviations from the version they knew.
The analysis of the texts collected appeared to be of great value for
an understanding of the language and it was through these that I came
upon the track of the special forms of the Asmat verb which express
varying moods.
The language of the folk tales would not appear to differ from
common usage. Asmat songs, however, have their own vocabulary
which is known only to the older people, particularly the singers.
These latter were, however, less inclined to be con~municativeabout
it to strangers.
8 Research in Ag-ats and JepemI began the investigation at Agats, but since Agats was completely
outside the sphere of Asmat society - it was a 15-minute walk from
Surh - I decided, once I had surmounted the first difficulties of the
language, to continue it in one of the Asmat villages in the vicinity
of Agate. By living amidst the Asmat people I would be able quietly
to observe the way in which Asmat society functioned and would
become acquainted with the people and their language. Surfi was less
suitable as a place in which to stay because the presence of the Government and the Missions had to a certain extent already influenced the
way of life there. The village of Jepkm, where both my informants
had relatives, appeared to be the most suitable, and from May, 1961,
the investigation was carried on from there, interrupted from time
to time by a short sojourn in Agats.
During the period of my stay in the Asmat region, the Dutch scholar,
Dr. A. A. Gerbrands, and the American student D. B. Eyde, were
also there: the former doing research into Asrnat art, similarly under
the auspices of W.O.N.G., and the latter doing ethnological field work.
Their presence was of great value in acquiring as good an insight asINTRODUCTION9possible into Asmat culture. Many were the pleasurable and stimulating
discussions we had when we were together, either in the house of
the W.O.N.G. in Agats or at the 'Wong Club', as Dr. Gerbrands'
house in the village of Amhamkaj was called. During the last year,
a lively correspondence on mythological and linguistic subjects was
kept up with Eyde. A knowledge of mythology seemed to be of the
greatest importance for acquiring an insight into Asmat culture, and
it was for this reason that I put as many tales as possible on the tape.
I collected approximately 80 texts, but these represent only a fraction
of the wealth of stories the Asmat people know.","[18, 19, 20, 21]"
